Year,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,Accounts & Notes Receiv,Inventories,Other ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",LT Investments & Receivables,Other LT Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,ST Debt,Other ST Liabilities,Total Current Liabilities,LT Debt,Other LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Share Capital & APIC,Common Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Total Equity,Total Liabilities & Equity,Shares Outstanding,Net Debt,Net Debt to Equity,Tangible Common Equity Ratio,Current Ratio,Cash Conversion Cycle,Number of Employees
2010 Y,1785,1785,373,- -,88,2246,574,820,- -,170,744,2990,241,106,42,389,367,72,439,828,947,- -,606,-6,2162,2162,2990,2517,-1535,-71.0,50.14,5.77,- -,- -
2011 Y,3908,1512,547,- -,149,4604,1475,1925,- -,252,1727,6331,234,279,386,899,398,135,533,1432,2684,- -,1606,-6,4899,4899,6331,2138,-1512,-30.86,66.82,5.12,25.72,3200
2012 Y,9626,2384,1170,- -,471,11267,2391,3273,- -,1445,3836,15103,280,365,407,1052,1991,305,2296,3348,10094,- -,1659,2,11755,11755,15103,2372,-884,-7.52,75.59,10.71,28.27,4619
2013 Y,11449,3323,1109,- -,512,13070,2882,4142,- -,1943,4825,17895,355,239,506,1100,237,1088,1325,2425,12297,- -,3159,14,15470,15470,17895,2547,-3323,-21.48,85.01,11.88,27.58,6337
2014 Y,11199,4315,1678,- -,513,13390,3967,5784,- -,22609,26576,39966,542,114,768,1424,119,2327,2446,3870,30225,- -,6099,-228,36096,36096,39966,2778,-4315,-11.95,78.57,9.4,18.51,9199
2015 Y,18434,4907,2559,- -,659,21652,5687,7819,- -,22068,27755,49407,605,208,1112,1925,107,3157,3264,5189,34886,- -,9787,-455,44218,44218,49407,2834,-4706,-10.64,81.56,11.25,19.45,12691
2016 Y,29449,8903,3993,- -,959,34401,8591,11803,- -,21969,30560,64961,1068,- -,1807,2875,- -,2892,2892,5767,38227,- -,21670,-703,59194,59194,64961,2892,-8903,-15.04,86.98,11.97,19.28,17048
2017 Y,41711,8079,5832,- -,1020,48563,13721,18337,- -,22240,35961,84524,1795,340,1625,3760,- -,6417,6417,10177,40584,- -,33990,-227,74347,74347,84524,2906,-7739,-10.41,84.2,12.92,21.29,25105
2018 Y,41114,10019,7587,- -,1779,50480,24683,31573,- -,22171,46854,97334,3383,500,3134,7017,- -,6190,6190,13207,42906,- -,41981,-760,84127,84127,97334,2854,-9519,-11.32,83.01,7.19,20.45,35587
2019 Y,54855,19079,9518,- -,1852,66225,44783,55446,86,22282,67151,133376,9953,800,4300,15053,9524,7745,17269,32322,45851,- -,55692,-489,101054,101054,133376,2852,-18802,-18.61,71.59,4.4,12.96,44942
2020 Y,61954,17576,11335,- -,2381,75670,54981,70399,6234,22431,83646,159316,7498,1023,6460,14981,9631,6414,16045,31026,50018,- -,77345,927,128290,128290,159316,2849,-17576,-13.7,77.78,5.05,14.82,58604
2021 Y,47998,16601,14039,- -,4629,66666,69964,90044,6775,22582,99321,165987,11037,1127,8971,21135,12746,7227,19973,41108,55811,- -,69761,-693,124879,124879,165987,2741,-16601,-13.29,71.87,3.15,-4.36,71970
2022 Y,40738,14681,13466,- -,5345,59549,92191,117166,6201,27786,126178,185727,16162,1367,9497,27026,25224,7764,32988,60014,64444,- -,64799,-3530,125713,125713,185727,2614,-4758,-3.78,63.52,2.2,-22.53,86482
2023 Y,65403,41862,16169,- -,3793,85365,109881,143015,6141,28236,144258,229623,18172,1623,12165,31960,35611,8884,44495,76455,73253,- -,82070,-2155,153168,153168,229623,2561,-23477,-15.33,63.27,2.67,-29.08,67317
