Year,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Chg in Non-Cash Work Cap,Cash from Operating Activities,Acq of Fixed & Intang,Net Change in LT Investment,Cash from Investing Activities,Dividends Paid,Cash From Debt,Cash (Repurchase) of Equity,Cash from Financing Activities,Net Changes in Cash,Capital Expenditures,EBITDA,EBITDA Margin (%),Free Cash Flow,Price/Free Cash Flow,Cash Flow to Net Income
2009 Y,8235,734,1776,710,-586,10159,-1213,-16147,-17434,0,0,475,663,-6612,-1213,12474,29.07,8946,14.78,1.23
2010 Y,14013,1027,2319,879,1236,18595,-2121,-11075,-13854,0,0,912,1257,5998,-2121,19412,29.76,16474,12.67,1.33
2011 Y,25922,1814,4036,1168,5757,37529,-7452,-32464,-40419,0,0,831,1444,-1446,-7452,35604,32.89,30077,7.94,1.45
2012 Y,41733,3277,6145,1740,-299,50856,-9402,-38427,-48227,-2488,0,665,-1698,931,-9402,58518,37.39,41454,10.47,1.22
2013 Y,37037,6757,3394,2253,6478,53666,-9076,-24042,-33774,-10564,16896,-22330,-16379,3513,-9076,55756,32.62,44590,7.08,1.45
2014 Y,39510,7946,5210,2863,7047,59713,-9813,-9027,-22579,-11126,11960,-44270,-37549,-415,-9813,60449,33.07,49900,8.87,1.51
2015 Y,53394,11257,5353,3586,11262,81266,-11488,-44417,-56274,-11561,27114,-34710,-17716,7276,-11488,82487,35.29,69778,6.89,1.52
2016 Y,45687,10505,9634,4210,405,66231,-13548,-32022,-45977,-12150,24954,-29227,-20890,-636,-13548,70529,32.71,52683,7.79,1.45
2017 Y,48351,10157,10640,4840,-4923,64225,-12795,-33542,-46446,-12769,28662,-32345,-17974,-195,-12795,71501,31.19,51430,10.51,1.33
2018 Y,59531,10903,-27694,5340,34694,77434,-13313,30845,16066,-13712,6969,-72069,-87876,5624,-13313,81801,30.8,64121,12.44,1.3
2019 Y,55256,12547,5076,6068,-3488,69391,-10495,58093,45896,-14119,6963,-66116,-90976,24311,-10495,76477,29.39,58896,13.03,1.26
2020 Y,57411,11056,6517,6829,5690,80674,-7309,5453,-4289,-14081,16091,-71478,-86820,-10435,-7309,77344,28.17,73365,23.07,1.41
2021 Y,94680,11284,2985,7906,-4911,104038,-11085,-3075,-14545,-14467,20393,-84866,-93353,-3860,-11085,120233,32.87,92953,20.73,1.1
2022 Y,99803,11104,10044,9038,1200,122151,-10708,-9560,-22354,-14841,5465,-89402,-110749,-10952,-10708,130541,33.1,111443,16.98,1.22
2023 Y,96995,11519,8606,10833,-6577,110543,-10959,16001,3705,-15025,5228,-77550,-108488,5760,-10959,125820,32.83,99584,22.28,1.14
