Year,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Chg in Non-Cash Work Cap,Cash from Operating Activities,Acq of Fixed & Intang,Net Change in LT Investment,Cash from Investing Activities,Dividends Paid,Cash From Debt,Cash (Repurchase) of Equity,Cash from Financing Activities,Net Changes in Cash,Capital Expenditures,EBITDA,EBITDA Margin (%),Free Cash Flow,Price/Free Cash Flow,Cash Flow to Net Income
2009 Y,902,378,-188,341,2201,3293,-373,-1924,-2337,-,87,-,-280,676,-373,1507,6.15,2920,16.22,3.65
2010 Y,1152,568,-711,424,2486,3495,-979,-2029,-3360,-,143,-,181,316,-979,1974,5.77,2516,18.35,3.03
2011 Y,631,1083,-296,557,2485,3903,-1811,586,-1930,-,177,-277,-482,1491,-1811,1945,4.05,2092,13.97,6.19
2012 Y,-39,2159,-984,833,3044,4180,-3785,935,-3595,-,3378,-960,2259,2844,-3785,2835,4.64,395,14.27,-107.18
2013 Y,274,3253,-1111,1134,3059,5475,-3444,-520,-4276,-,394,-,-539,660,-3444,3998,5.37,2031,20.79,19.98
2014 Y,-241,4746,-2329,1497,4666,6842,-4893,807,-5065,-,6359,-,4432,6209,-4893,4924,5.53,1949,12.22,-28.39
2015 Y,596,6281,2605,2119,2557,12039,-5387,-1066,-6450,-,353,-,-3882,1707,-5387,8514,7.96,6652,18.5,20.2
2016 Y,2371,8116,2869,2975,3847,17203,-7804,-2663,-9516,-,618,-,-3716,3971,-7804,12302,9.05,9399,14.51,7.26
2017 Y,3033,11478,4096,4215,-242,18365,-11955,-3054,-27084,-,16228,-,9928,1209,-11955,15584,8.76,6410,19.02,6.06
2018 Y,10073,15341,6352,5418,-1043,30723,-13427,1140,-12369,-,1068,-,-7686,10668,-13427,27762,11.92,17296,17.01,3.05
2019 Y,11588,21789,7575,6864,-2438,38514,-16861,-9131,-24281,-,2273,-,-10066,4167,-16861,36330,12.95,21653,16.82,3.32
2020 Y,21331,25251,6001,9208,13481,66064,-40140,-22242,-59611,-,17321,-,-1104,5349,-40140,48150,12.47,25924,15.64,3.1
2021 Y,33364,34433,-1859,12757,-19611,46327,-61053,-773,-58154,-,26959,-,6291,-5536,-61053,59312,12.62,-14726,15.99,1.39
2022 Y,-2722,41921,28439,19621,-20886,46752,-63645,29036,-37601,-,62719,-6000,9718,18869,-63645,54169,10.54,-16893,7.75,-17.18
2023 Y,30425,48663,17399,24023,-11541,84946,-52729,4139,-49833,-,18129,-,-15879,19234,-52729,85515,14.88,32217,11.58,2.79
