Year,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Chg in Non-Cash Work Cap,Cash from Operating Activities,Acq of Fixed & Intang,Net Change in LT Investment,Cash from Investing Activities,Dividends Paid,Cash From Debt,Cash (Repurchase) of Equity,Cash from Financing Activities,Net Changes in Cash,Capital Expenditures,EBITDA,EBITDA Margin (%),Free Cash Flow,Price/Free Cash Flow,Cash Flow to Net Income
2009 Y,8441,3127,2688,- -,1590,15846,-4937,-7238,-11161,- -,3114,- -,233,4918,-4937,3127,2.78,10909,7.36,1.97
2010 Y,13494,4279,-1830,- -,1952,17895,-5980,3754,-18277,- -,11474,- -,8125,7743,-5980,4279,3.14,11915,8.23,1.38
2011 Y,10746,5492,-1272,- -,5510,20476,-8191,-3634,-19189,- -,5943,- -,-2217,-930,-8191,5492,3.82,12285,6.59,2.0
2012 Y,15312,6154,-1675,- -,1159,20950,-9775,1508,-10574,- -,8879,-1296,-806,9570,-9775,6154,3.79,11175,7.23,1.41
2013 Y,19845,6508,-3692,- -,5043,27704,-11087,-8971,-27535,- -,13575,- -,961,1130,-11087,6508,3.57,16617,7.54,1.42
2014 Y,20170,7370,-3916,- -,8386,32010,-15185,-1357,-20326,- -,7758,- -,2731,14415,-15185,7370,3.79,16825,7.84,1.61
2015 Y,24414,7779,-8622,- -,7920,31491,-16082,-7495,-28001,- -,9882,- -,3803,7293,-16082,7779,3.69,15409,6.84,1.31
2016 Y,24427,8901,-7714,- -,7033,32647,-12954,-39678,-84225,- -,17249,- -,12791,-38787,-12954,8901,3.98,19693,8.81,1.36
2017 Y,45353,9188,-952,- -,-7861,45728,-11708,-23252,-41009,- -,5658,- -,-1398,3321,-11708,9188,3.8,34020,8.51,1.02
2018 Y,4322,9779,25112,- -,-1813,37400,-14537,-13533,-32849,- -,9428,-1346,-5812,-1261,-14537,9779,4.34,22863,9.69,9.3
2019 Y,81792,10064,-72377,- -,19208,38687,-15979,13267,-5621,- -,13544,-4850,730,33796,-15979,10064,3.08,22708,10.15,0.48
2020 Y,43253,10596,-29642,- -,15566,39773,-13012,-18252,-37757,- -,14370,-24706,-18344,-16328,-13012,10596,3.7,26761,10.51,0.94
2021 Y,90949,10718,-80958,- -,18718,39427,-13276,42354,29392,- -,6920,-27061,-28508,40311,-13276,10718,3.02,26151,12.85,0.44
2022 Y,-21998,10899,63417,- -,-14968,37350,-15464,-61782,-87601,- -,12695,-7854,-1662,-51913,-15464,10899,4.66,21886,12.89,-1.64
2023 Y,97147,12486,-80878,- -,20441,49196,-19409,-5335,-32663,- -,7817,-9171,-14405,2128,-19409,12486,2.84,29787,11.3,0.51
