Year,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Chg in Non-Cash Work Cap,Cash from Operating Activities,Acq of Fixed & Intang,Net Change in LT Investment,Cash from Investing Activities,Dividends Paid,Cash From Debt,Cash (Repurchase) of Equity,Cash from Financing Activities,Net Changes in Cash,Capital Expenditures,EBITDA,EBITDA Margin (%),Free Cash Flow,Price/Free Cash Flow,Cash Flow to Net Income
2008 Y,4227,1500,1799,1120,327,7853,-2358,359,-5319,-,-,-72,88,2621,-2358,8132,37.31,5494,9.57,1.86
2009 Y,6520,1524,785,1164,486,9316,-810,-7101,-8019,-,-,-,233,1530,-810,9836,41.59,8506,19.56,1.43
2010 Y,8505,1396,1279,1376,-99,11081,-4018,-7956,-10680,-,5246,-801,3050,3451,-4018,11777,40.17,7063,12.72,1.3
2011 Y,9737,1851,2347,1974,630,14565,-3438,-13349,-19041,-,21810,-,807,-3669,-3438,14093,37.18,11127,11.75,1.5
2012 Y,10737,2962,2022,2692,898,16619,-13841,1119,-13056,-,16109,-,1229,4792,-13841,15722,31.33,2778,7.72,1.55
2013 Y,12920,3939,1831,3343,-31,18659,-8806,-7099,-13679,-,10768,-,-857,4123,-8806,17905,29.93,9853,13.83,1.44
2014 Y,14444,4979,2589,4279,364,22376,-15847,-6997,-21055,-,11625,-,-1439,-118,-15847,21475,32.54,6529,9.54,1.55
2015 Y,16348,5063,5022,5203,-409,26024,-10151,-13210,-23711,-,13705,-,-3677,-1364,-10151,24423,32.57,15873,14.9,1.59
2016 Y,19478,6144,7114,6703,3300,36036,-11198,-17779,-31165,-,8729,-1780,-8332,-3461,-11198,29860,33.08,24838,11.72,1.85
2017 Y,12662,6915,8268,7679,9246,37091,-13471,-19448,-31401,-,4291,-3693,-8298,-2608,-13471,35797,32.29,23620,14.66,2.93
2018 Y,30736,9035,3292,9353,4908,47971,-26630,-1972,-28504,-,6766,-4046,-13179,6288,-26630,40427,29.55,21341,9.85,1.56
2019 Y,34343,11781,7577,10794,819,54520,-26063,-4017,-29491,-,317,-8125,-23209,1820,-26063,47709,29.48,28457,11.61,1.59
2020 Y,40269,13697,9331,12991,1827,65124,-22281,-9822,-32773,-,11761,-18396,-24408,7943,-22281,54921,30.09,42843,13.78,1.62
2021 Y,76033,12441,4701,15376,-1523,91652,-24640,-8806,-35523,-,20199,-31149,-61362,-5233,-24640,91155,35.38,67012,16.88,1.21
2022 Y,59972,15928,17830,19362,-2235,91495,-31485,16567,-20298,-,52872,-59296,-69757,1440,-31485,90770,32.09,60010,9.44,1.53
