Year,Sales & Services Revenue,Cost of Revenue,Gross Profit,"Selling, General & Admin",Research & Development,Operating Income (Loss),Non-Operating (Income) Loss,Pretax Income,Income (Loss) from Cont Ops,Basic Weighted Avg Shares,"Basic EPS, GAAP",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",EBITDA,EBITDA Margin (%),EBITA,EBIT,Gross Margin (%),Operating Margin (%),Profit Margin (%),Sales per Employee,Dividend per Share,Depreciation Expense
2010 Y,78.52,69.0,95.46,32.97,33.68,140.08,-52.45,132.21,145.67,1.84,141.23,1.95,140.97,132.17,30.06,140.08,140.08,9.49,34.48,37.62,32.98,- -,46.09
2011 Y,65.96,62.95,70.6,37.74,36.31,83.79,167.74,84.49,84.99,1.63,82.02,1.29,82.63,83.41,10.51,83.79,83.79,2.8,10.74,11.46,29.52,- -,76.63
2012 Y,44.58,36.34,56.7,32.12,39.19,63.48,25.78,63.03,60.99,1.14,59.18,0.93,59.51,64.36,13.68,63.48,63.48,8.38,13.07,11.35,20.26,- -,80.65
2013 Y,9.2,21.36,-6.35,7.87,32.36,-11.3,121.46,-10.06,-11.25,-1.01,-10.34,-1.45,-9.95,-4.72,-12.75,-11.3,-11.3,-14.24,-18.77,-18.73,-1.54,328.95,106.19
2014 Y,6.95,5.3,9.69,10.74,34.99,7.15,-15.22,6.64,6.68,-6.05,13.54,-6.12,13.63,8.42,1.37,7.15,7.15,2.56,0.18,-0.26,-6.94,12.1,17.6
2015 Y,27.86,24.79,32.73,19.48,33.54,35.67,31.12,35.59,35.14,-5.46,42.94,-5.38,42.83,36.46,6.73,35.67,35.67,3.81,6.11,5.7,12.75,9.91,41.67
2016 Y,-7.73,-6.22,-10.0,-0.94,24.52,-15.73,4.9,-15.37,-14.43,-4.91,-10.01,-5.05,-9.88,-14.5,-7.33,-15.73,-15.73,-2.46,-8.67,-7.26,-12.51,10.52,-6.68
2017 Y,6.3,7.36,4.66,7.52,15.29,2.2,103.64,4.43,5.83,-4.64,10.97,-4.52,10.84,1.38,-4.63,2.2,2.2,-1.55,-3.86,-0.45,0.25,10.2,-3.31
2018 Y,15.86,16.1,15.48,9.46,22.93,15.57,-26.96,13.75,23.12,-5.02,29.63,-4.79,29.32,14.41,-1.26,15.57,15.57,-0.33,-0.25,6.27,7.96,13.06,7.34
2019 Y,-2.04,-1.21,-3.38,9.22,13.92,-9.83,-9.88,-9.83,-7.18,-6.81,-0.4,-7.02,-0.17,-6.51,-4.56,-9.83,-9.83,-1.37,-7.95,-5.25,-5.62,10.49,15.08
2020 Y,5.51,4.81,6.67,9.16,15.63,3.69,-55.56,2.06,3.9,-6.06,10.6,-5.74,10.23,1.13,-4.15,3.69,3.69,1.1,-1.73,-1.53,-1.67,6.16,-11.88
2021 Y,33.26,25.61,45.62,10.33,16.86,64.36,-67.87,62.77,64.92,-3.75,71.34,-3.78,71.4,55.45,16.65,64.36,64.36,9.27,23.34,23.76,27.2,6.75,2.06
2022 Y,7.79,4.96,11.74,14.2,19.79,9.63,-229.46,9.06,5.41,-2.91,8.57,-3.2,8.89,8.57,0.72,9.63,9.63,3.66,1.7,-2.21,1.22,5.66,-1.6
2023 Y,-2.8,-4.21,-0.96,-0.65,13.96,-4.3,69.16,-4.51,-2.81,-2.91,0.1,-3.14,0.34,-3.62,-0.84,-4.3,-4.3,1.9,-1.54,-0.01,-0.99,4.27,3.74
