Year   ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA  ,EBIT   ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income
2010 Y ,6.93                     ,1.97            ,8.23         ,2.18                       ,-3.29                  ,18.34                   ,-268.82                     ,26.19         ,28.77                       ,-1.48                     ,30.7              ,-0.77                       ,29.76               ,16.78  ,9.21              ,18.34  ,18.34  ,1.22             ,10.68                ,20.43             ,11.73              ,              4    ,4.33                 ,16.98                          ,-9.4                    ,16.28                   ,3.21        ,-13.34          ,12.98                ,1.26                           ,7.8                       ,57.19                        ,-6.73           ,6.39                    ,       10.56 ,-3.66               ,-50     ,2.71                 ,-3.28                     ,31.85   ,17.25                ,22.09                        ,4.2               ,101.52               ,0.76         ,-26.91            ,8.88         ,16.73                           ,16.73        ,                     10.56 ,-2.69              ,-231.52  ,-212.67            ,13.08                        ,16.81         ,58.19                 ,-4.3                ,28.77      ,4.33                        ,-5.04          ,                   10.71 ,-471.35                  ,26.45                          ,-36.61                ,-22.84                      ,-28.26                         ,          2.46 ,39.5           ,2.19                        ,78.09                          ,-87.32              ,-36.61               ,38.81          ,-18.17               ,-1.8
2011 Y ,11.94                    ,25.67           ,8.54         ,5.12                       ,3.78                   ,12.71                   ,-0.55                       ,12.23         ,23.4                        ,-3.67                     ,28.1              ,-3.74                       ,28.2                ,11.79  ,-0.13             ,12.71  ,12.71  ,-3.04            ,0.69                 ,10.24             ,10.69              ,             17.45 ,3.48                 ,43.45                          ,74.57                   ,15.16                   ,85.41       ,12.72           ,34.56                ,6.97                           ,10.65                     ,40.12                        ,-1.95           ,11                      ,       26.23 ,11.63               ,- -     ,15.87                ,10.05                     ,141.36  ,23.43                ,65.67                        ,29.25             ,0.89                 ,0.89         ,-62.04            ,76.59        ,23.62                           ,23.62        ,                     26.23 ,-3.37              ,432.49   ,330.74             ,2.04                         ,22.28         ,-133.01               ,1.12                ,23.4       ,3.48                        ,106.22         ,                   14.54 ,-554.31                  ,12.13                          ,19.12                 ,34.07                       ,29.19                          ,         13.15 ,-18.72         ,2.47                        ,-36.98                         ,-852.26             ,19.12                ,11.51          ,-5.37                ,-9.13
2012 Y ,5.4                      ,12.54           ,3.36         ,1.45                       ,8.49                   ,2.93                    ,-725.16                     ,-20.68        ,-26.66                      ,-1.11                     ,-25.84            ,-1.01                       ,-25.91              ,3.33   ,-1.97             ,2.93   ,2.93   ,-1.94            ,-2.35                ,-30.42            ,0.92               ,             24.64 ,7.27                 ,19.46                          ,-27.8                   ,5.29                    ,-17.13      ,-11.4           ,13.57                ,-132.99                        ,-54.04                    ,-10.02                       ,97.19           ,7.11                    ,       11.56 ,-39.56              ,23.1    ,33.65                ,13.6                      ,-10.13  ,5.32                 ,-2.74                        ,6.37              ,-48.12               ,3.76         ,-108.94           ,-23.67       ,16.26                           ,16.26        ,                     11.56 ,0.06               ,116.62   ,86.33              ,3.6                          ,-0.03         ,166.39                ,4.44                ,-26.66     ,7.27                        ,-694.19        ,                    3.6  ,-1296.47                 ,17.16                          ,-2.12                 ,-1.76                       ,69.58                          ,         23.26 ,- -            ,-65.88                      ,12.32                          ,-164.17             ,-2.12                ,19             ,1.29                 ,59.75
2013 Y ,5.6                      ,15.51           ,2.5          ,10.85                      ,6.12                   ,-4.26                   ,-105.06                     ,21.49         ,28.77                       ,-0.25                     ,29.1              ,-0.42                       ,29.32               ,-1.31  ,-6.54             ,-4.26  ,-4.26  ,-2.93            ,-9.34                ,21.95             ,0.26               ,             17.05 ,26.56                ,22.18                          ,-45.17                  ,10.81                   ,70.45       ,-2.09           ,19.25                ,-471                           ,172.15                    ,10.92                        ,-30.83          ,13.2                    ,       17.45 ,4.97                ,143.62  ,10.41                ,14.47                     ,17.62   ,17.05                ,17.33                        ,15.62             ,2.29                 ,2.29         ,1648.23           ,22.57        ,18.96                           ,18.96        ,                     17.45 ,-0.63              ,135.64   ,98.08              ,3.27                         ,4.18          ,98.3                  ,5.32                ,28.77      ,26.56                       ,63.57          ,                    7.22 ,19.34                    ,-8.83                          ,84.69                 ,48.66                       ,-3.93                          ,         16.76 ,-27.92         ,42.14                       ,-13.39                         ,21.73               ,84.69                ,-16.18         ,15.19                ,-29.2
2014 Y ,11.54                    ,33.01           ,3.99         ,1.01                       ,9.32                   ,4.19                    ,-122.92                     ,2.84          ,0.97                        ,-0.91                     ,1.89              ,-0.84                       ,1.82                ,8.45   ,-2.77             ,4.19   ,4.19   ,-6.77            ,-6.59                ,-9.48             ,-13.73             ,             20.19 ,38.8                 ,11.28                          ,127.89                  ,11.77                   ,37.25       ,26.16           ,12.6                 ,30.23                          ,23.55                     ,34.61                        ,51.66           ,41.92                   ,       21.03 ,44.63               ,-33.31  ,22.93                ,21.94                     ,63.84   ,21.24                ,41.83                        ,30.11             ,1.57                 ,1.57         ,78.98             ,112.74       ,13.73                           ,13.73        ,                     21.03 ,-1.07              ,18.48    ,4.18               ,-12.11                       ,-7.66         ,1.57                  ,29.29               ,0.97       ,38.8                        ,0.86           ,                    1.66 ,4.83                     ,11.79                          ,28.85                 ,-58.86                      ,-20.91                         ,         19.1  ,111.96         ,51.48                       ,3.02                           ,-260.08             ,28.85                ,8.83           ,6.88                 ,10.72
2015 Y ,7.77                     ,22.66           ,1.07         ,-1.49                      ,5.84                   ,1.03                    ,14543.94                    ,-33.48        ,-44.76                      ,-1.47                     ,-43.94            ,-1.73                       ,-43.79              ,3.11   ,-4.32             ,1.03   ,1.03   ,-6.21            ,-6.26                ,-48.75            ,16.9               ,             12.96 ,14.29                ,12.62                          ,-35.46                  ,-8.37                   ,9.1         ,16.47           ,9.16                 ,13.22                          ,16.3                      ,-17.43                       ,-19.01          ,-11.4                   ,        2.23 ,-16.91              ,274.2   ,0.67                 ,9.28                      ,34.7    ,13.13                ,25.17                        ,16.39             ,0.14                 ,0.14         ,-48.64            ,-31.98       ,-10.8                           ,-10.8        ,                      2.23 ,-2.57              ,112.49   ,138.23             ,-12.49                       ,-0.11         ,-4.33                 ,-7.81               ,-44.76     ,14.29                       ,-10.87         ,                    5.23 ,3.64                     ,-9.78                          ,8.37                  ,75.7                        ,22.13                          ,         11.3  ,3.19           ,105.83                      ,8.17                           ,-159.97             ,8.37                 ,-13.5          ,12.12                ,63.34
2016 Y ,-8.83                    ,-0.78           ,-13.22       ,-5.24                      ,-0.48                  ,-24.42                  ,-84.06                      ,6.72          ,37.77                       ,-3.08                     ,42.15             ,-2.92                       ,41.91               ,-18.21 ,-10.29            ,-24.42 ,-24.42 ,-4.82            ,-17.1                ,51.11             ,-5.63              ,             14.92 ,11.16                ,17.32                          ,16.35                   ,2.06                    ,-22.43      ,-20.12          ,11.99                ,24.61                          ,17.99                     ,-13.46                       ,2.1             ,4.9                     ,        9.91 ,6.63                ,72.42   ,10.25                ,19.05                     ,46.66   ,16.69                ,34.7                         ,26.58             ,-0.42                ,-0.42        ,-74.91            ,-39.06       ,-10.1                           ,-10.1        ,                      9.91 ,-2.73              ,58.86    ,76.7               ,-22.44                       ,-5.94         ,9.69                  ,-3.39               ,37.77      ,11.16                       ,28.65          ,                    3.65 ,19.73                    ,14.6                           ,40.36                 ,12.04                       ,4.13                           ,         11.37 ,30             ,10.8                        ,-7.57                          ,-132.72             ,40.36                ,7.98           ,-7.43                ,-16.82
2017 Y ,5.43                     ,4.52            ,5.99         ,3.95                       ,8.75                   ,6.29                    ,-133.55                     ,17.2          ,26.23                       ,-2.26                     ,29.15             ,-2.26                       ,29.15               ,12.52  ,6.73              ,6.29   ,6.29   ,0.54             ,0.82                 ,19.73             ,-3.08              ,             10.11 ,32.56                ,17.43                          ,17.71                   ,8.29                    ,-3.11       ,-16.89          ,14.46                ,29.3                           ,25.57                     ,-42.26                       ,103.9           ,50.34                   ,       24.47 ,5.57                ,-21.57  ,19.44                ,8.71                      ,86.53   ,30.31                ,67.09                        ,38.62             ,1.67                 ,1.67         ,16.04             ,-71.96       ,0.55                            ,0.55         ,                     24.47 ,-1.28              ,66.46    ,65.55              ,-52.63                       ,5.29          ,-16.58                ,8.77                ,26.23      ,32.56                       ,30.45          ,                   22.41 ,24.36                    ,18.55                          ,-2.57                 ,-13.22                      ,95.33                          ,          7.62 ,219.39         ,-28                         ,-200.18                        ,15.48               ,-2.57                ,25.6           ,15.94                ,-6.08
2018 Y ,22.69                    ,11.94           ,29.3         ,11                         ,12.96                  ,54.9                    ,173.89                      ,57.56         ,-21.85                      ,-0.59                     ,-21.38            ,-0.49                       ,-21.47              ,44.28  ,17.6              ,54.9   ,54.9   ,5.39             ,26.26                ,-36.3             ,16.13              ,              7.85 ,16.89                ,0.59                           ,55.89                   ,33.8                    ,22.05       ,37.86           ,6.14                 ,52.3                           ,36.43                     ,-69.09                       ,-0.58           ,9.79                    ,        7.37 ,30.87               ,-60.5   ,-5.3                 ,-9.36                     ,2.28    ,41.79                ,12.94                        ,4.41              ,2.75                 ,2.75         ,416.69            ,-607.42      ,14.26                           ,14.26        ,                      7.37 ,-0.4               ,-18.13   ,-28.35             ,30.65                        ,17.1          ,-0.98                 ,5.65                ,-21.85     ,16.89                       ,-124.68        ,                   20.64 ,-96.71                   ,11.08                          ,43.09                 ,-152.41                     ,-87.04                         ,          7.21 ,-83.8          ,-11.77                      ,-499.5                         ,273.28              ,43.09                ,2.79           ,22.82                ,42.14
2019 Y ,14.03                    ,11.88           ,15.17        ,3.94                       ,14.6                   ,22.54                   ,-48.52                      ,19.78         ,136.8                       ,-0.35                     ,137.63            ,-0.53                       ,138.05              ,20.57  ,5.74              ,22.54  ,22.54  ,1                ,7.46                 ,107.66            ,3.74               ,              9.14 ,13.85                ,0.04                           ,-4.94                   ,11.49                   ,-22.5       ,50.29           ,3.47                 ,21.33                          ,21.14                     ,42.27                        ,26.03           ,24.46                   ,       10.7  ,40.13               ,37.97   ,11.67                ,18.69                     ,-6.37   ,5.33                 ,-2.41                        ,4.6               ,10.25                ,10.25        ,76.51             ,-84.45       ,23.71                           ,23.71        ,                     10.7  ,-0.44              ,-5.4     ,-23.53             ,22.48                        ,-12.82        ,-2.71                 ,9.92                ,136.8      ,13.85                       ,-97.79         ,                   18.07 ,-58.98                   ,18.92                          ,19.71                 ,-91.76                      ,160.24                         ,          8.76 ,- -            ,89.33                       ,9.82                           ,-111.22             ,19.71                ,18.63          ,13.63                ,-49.78
