Year,Sales & Services Revenue,Cost of Revenue,Gross Profit,"Selling, General & Admin",Research & Development,Operating Income (Loss),Non-Operating (Income) Loss,Pretax Income,Income (Loss) from Cont Ops,Basic Weighted Avg Shares,"Basic EPS, GAAP",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",EBITDA,EBITDA Margin (%),EBITA,EBIT,Gross Margin (%),Operating Margin (%),Profit Margin (%),Sales per Employee,Dividend per Share,Depreciation Expense,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,Accounts & Notes Receiv,Inventories,Other ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",LT Investments & Receivables,Other LT Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,ST Debt,Other ST Liabilities,Total Current Liabilities,LT Debt,Other LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Share Capital & APIC,Common Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Total Equity,Total Liabilities & Equity,Shares Outstanding,Net Debt,Net Debt to Equity,Tangible Common Equity Ratio,Current Ratio,Cash Conversion Cycle,Number of Employees,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Chg in Non-Cash Work Cap,Cash from Operating Activities,Acq of Fixed & Intang,Net Change in LT Investment,Cash from Investing Activities,Dividends Paid,Cash From Debt,Cash (Repurchase) of Equity,Cash from Financing Activities,Net Changes in Cash,Capital Expenditures,EBITDA,EBITDA Margin (%),Free Cash Flow,Price/Free Cash Flow,Cash Flow to Net Income
2009 Y,24509,22270,2239,1008,1240,1129,-32,1161,902,8660,0.1,8840,0.1,1507,6.15,1129,1129,9.14,4.61,3.68,1008601,-,378,6366,3444,988,2171,272,9797,1290,1915,-,2726,4016,13813,7364,-,-,7364,252,940,1192,8556,5741,5,172,-56,5257,5257,13813,8880,-3335,-63.44,28.77,1.33,-23.93,24300,902,378,-188,341,2201,3293,-373,-1924,-2337,-,87,-,-280,676,-373,1507,6.15,2920,16.22,3.65
2010 Y,34204,31193,3011,1499,1734,1406,-91,1497,1152,8940,0.13,9120,0.13,1974,5.77,1406,1406,8.8,4.11,3.37,1014955,-,568,8762,3777,1587,3202,196,13747,2414,3256,-,2636,5050,18797,10372,-,-,10372,641,920,1561,11933,6330,5,1324,-190,6864,6864,18797,9020,-3593,-52.35,29.33,1.33,-32.17,33700,1152,568,-711,424,2486,3495,-979,-2029,-3360,-,143,-,181,316,-979,1974,5.77,2516,18.35,3.03
2011 Y,48077,44773,3304,2288,2909,862,-72,934,631,9060,0.07,9220,0.07,1945,4.05,862,862,6.87,1.79,1.31,855463,-,1083,9576,5269,5142,4992,-2220,17490,4417,5786,-,3371,7788,25278,14896,-,-,14896,1415,1210,2625,17521,6995,5,1955,-316,7757,7757,25278,9100,-5014,-64.64,22.73,1.17,-16.29,56200,631,1083,-296,557,2485,3903,-1811,586,-1930,-,177,-277,-482,1491,-1811,1945,4.05,2092,13.97,6.19
2012 Y,61093,56954,4139,3304,4564,676,132,544,-39,9060,0.0,9060,0.0,2835,4.64,676,676,6.77,1.11,-0.06,691097,-,2159,11448,8084,7634,6031,-3817,21296,7060,9582,-,4199,11259,32555,18210,-,792,19002,3830,1531,5361,24363,8352,5,1916,-239,8192,8192,32555,9080,-5000,-61.04,16.79,1.12,-3.5,88400,-39,2159,-984,833,3044,4180,-3785,935,-3595,-,3378,-960,2259,2844,-3785,2835,4.64,395,14.27,-107.18
2013 Y,74452,69331,5121,4262,6565,745,239,506,274,9140,0.03,9300,0.03,3998,5.37,745,745,6.88,1.0,0.37,634714,-,3253,12447,8658,9534,7411,-4767,24625,10949,14809,-,4585,15534,40159,21821,-,1159,22980,5181,2252,7433,30413,9578,5,2190,-185,9746,9746,40159,9180,-5467,-56.09,17.49,1.07,4.04,117300,274,3253,-1111,1134,3059,5475,-3444,-520,-4276,-,394,-,-539,660,-3444,3998,5.37,2031,20.79,19.98
2014 Y,88988,82793,6195,5884,9275,178,289,-111,-241,9240,-0.03,9240,-0.03,4924,5.53,178,178,6.96,0.2,-0.27,577469,-,4746,17416,14557,11224,8299,-5612,31327,16967,22730,-,6211,23178,54505,26266,-,1823,28089,12489,3186,15675,43764,11140,5,1949,-511,10741,10741,54505,9300,-6292,-58.58,13.2,1.12,8.3,154100,-241,4746,-2329,1497,4666,6842,-4893,807,-5065,-,6359,-,4432,6209,-4893,4924,5.53,1949,12.22,-28.39
2015 Y,107006,97601,9405,7001,12540,2233,665,1568,596,9340,0.06,9540,0.06,8514,7.96,2233,2233,8.79,2.09,0.56,463631,-,6281,19808,15890,11308,10243,-5654,35705,21838,30053,-,7204,29042,64747,30769,-,3118,33887,14175,3301,17476,51363,13399,5,2545,-723,13384,13384,64747,9420,-7663,-57.25,14.39,1.05,5.53,230800,596,6281,2605,2119,2557,12039,-5387,-1066,-6450,-,353,-,-3882,1707,-5387,8514,7.96,6652,18.5,20.2
2016 Y,135987,121969,14018,9665,16085,4186,294,3892,2371,9480,0.25,9680,0.24,12302,9.05,4186,4186,10.31,3.08,1.74,398322,-,8116,25981,19334,16678,11461,-8339,45781,29114,42441,-,8507,37621,83402,39048,-,4768,43816,15213,5088,20301,64117,17191,5,4916,-985,19285,19285,83402,9540,-11640,-60.36,18.6,1.04,2.32,341400,2371,8116,2869,2975,3847,17203,-7804,-2663,-9516,-,618,-,-3716,3971,-7804,12302,9.05,9399,14.51,7.26
2017 Y,177866,159803,18063,13743,22620,4106,300,3806,3033,9600,0.32,9860,0.31,15584,8.76,4106,4106,10.16,2.31,1.71,314251,-,11478,30986,20522,26328,16047,-13164,60197,48866,72656,-,22247,71113,131310,52786,-,5097,57883,37926,7792,45718,103601,21394,5,8636,-484,27709,27709,131310,9680,4221,15.23,9.59,1.04,9.01,566000,3033,11478,4096,4215,-242,18365,-11955,-3054,-27084,-,16228,-,9928,1209,-11955,15584,8.76,6410,19.02,6.06
2018 Y,232887,202020,30867,18150,28837,12421,1160,11261,10073,9740,1.03,10000,1.01,27762,11.92,12421,12421,13.25,5.33,4.33,359671,-,15341,41250,31750,16677,17174,-,75101,61797,95770,-,25750,87547,162648,61855,-,6536,68391,33145,17563,50708,119099,26796,5,19625,-1035,43549,43549,162648,9820,-8255,-18.96,17.29,1.1,-1.7,647500,10073,15341,6352,5418,-1043,30723,-13427,1140,-12369,-,1068,-,-7686,10668,-13427,27762,11.92,17296,17.01,3.05
