Year   ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA ,EBIT ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income
2010 Y ,35.38                    ,- -             ,35.94        ,12.7                       ,- -                    ,- -                     ,623.69                      ,623.69        ,357.92                      ,14.87                     ,1220.16           ,19.05                       ,1173.77             ,15.93  ,-14.37            ,- -   ,- -  ,- -              ,- -                  ,158.09            ,32.88              ,-41.9              ,15.93                ,72.61                          ,19.38                   ,21.75                   ,- -         ,- -             ,50.03                ,-12.92                         ,-1.58                     ,14.17                        ,-11.97          ,-2.07                   ,4.7          ,3.28                ,58.2    ,- -                  ,4.29                      ,4.67    ,2.29                 ,3.07                         ,3.29              ,56.79                ,6.67         ,10.12             ,-16.61       ,22.54                           ,23.92        ,4.7                        ,11.13              ,-0.27    ,-19.52             ,36.72                        ,43.86         ,- -                   ,1.88                ,305.55     ,15.93                       ,1683.05        ,-0.4                     ,-166.06                  ,-187.72                        ,-58.26                ,- -                         ,551.99                         ,-33.26         ,-26.02         ,-15.17                      ,37.67                          ,-132.31             ,-58.26               ,-180.09        ,-214.03              ,-125.1
2011 Y ,2.47                     ,- -             ,4.2          ,3.78                       ,- -                    ,- -                     ,-1.42                       ,-1.42         ,-14.04                      ,21.52                     ,-52.67            ,18.71                       ,-51.55              ,-1.06  ,-3.44             ,- -   ,- -  ,- -              ,- -                  ,-14.72            ,3.53               ,-40.63             ,-1.06                ,11.03                          ,14.67                   ,-10.12                  ,- -         ,- -             ,3.41                 ,4.92                           ,6.39                      ,-9.6                         ,-9.79           ,-9.57                   ,-7.16        ,-4.31               ,-17.12  ,- -                  ,-4.67                     ,1.12    ,-14.38               ,-9.23                        ,-8.42             ,68.84                ,25           ,4.5               ,-66.38       ,8.46                            ,7.14         ,-7.16                      ,27.44              ,-5.82    ,-12.1              ,39.79                        ,8.48          ,- -                   ,-1.03               ,-18.54     ,-1.06                       ,141.92         ,3.17                     ,-105.94                  ,-83.42                         ,8.58                  ,-97.9                       ,-93.02                         ,-27.85         ,0.62           ,-106.02                     ,-223.66                        ,-103.27             ,8.58                 ,-86.24         ,243.09               ,-81.02
2012 Y ,-24.16                   ,- -             ,-19.45       ,-20.75                     ,- -                    ,- -                     ,-91.58                      ,-91.58        ,-85.8                       ,13.96                     ,-104.97           ,14.54                       ,-104.94             ,12.61  ,48.47             ,- -   ,- -  ,- -              ,- -                  ,-100.61           ,-17.72             ,-50.66             ,12.61                ,9.81                           ,1.43                    ,32.09                   ,- -         ,- -             ,16.78                ,-7.91                          ,1.43                      ,5.2                          ,-2.51           ,0.84                    ,4.14         ,3.32                ,-10.87  ,- -                  ,2.97                      ,-9.78   ,14.91                ,5.78                         ,5.25              ,2.58                 ,- -          ,-1.06             ,228.66       ,0.1                             ,-6.64        ,4.14                       ,2.44               ,-16.31   ,-10.36             ,-10.95                       ,13.41         ,- -                   ,-7.82               ,-84.59     ,12.61                       ,-82.79         ,-31.46                   ,-1242.04                 ,267.27                         ,0.61                  ,1449.09                     ,509.72                         ,-43.76         ,-27.74         ,-28.39                      ,131.1                          ,-147.4              ,0.61                 ,331.9          ,-56.53               ,-79545.24
2013 Y ,24.94                    ,- -             ,24.91        ,4.26                       ,- -                    ,- -                     ,799.42                      ,799.42        ,462.67                      ,1.06                      ,-2427.39          ,1.97                        ,-2406.8             ,-4.43  ,-23.51            ,- -   ,- -  ,- -              ,- -                  ,-12859.5          ,27.78              ,0.21               ,-4.43                ,29.65                          ,27.4                    ,-11.17                  ,- -         ,- -             ,15.13                ,1.23                           ,8.44                      ,-32.91                       ,36.29           ,4.05                    ,6.63         ,23.02               ,129.4   ,- -                  ,25.29                     ,-11.43  ,9.05                 ,2.59                         ,6.73              ,4.88                 ,- -          ,5.66              ,111.82       ,6.14                            ,5.51         ,6.63                       ,-1.48              ,-35.15   ,-38.54             ,-2.08                        ,-8.11         ,- -                   ,-2.22               ,404.61     ,-4.43                       ,132.19         ,32.44                    ,34.84                    ,44.83                          ,0.3                   ,53.89                       ,97.04                          ,1.28           ,18.16          ,204.41                      ,-122.13                        ,5691.14             ,0.3                  ,47.34          ,18.77                ,-100.91
2014 Y ,5.74                     ,- -             ,5.48         ,9.26                       ,- -                    ,- -                     ,37.93                       ,37.93         ,69.22                       ,0.95                      ,109.41            ,0.74                        ,109.86              ,-23.16 ,-27.34            ,- -   ,- -  ,- -              ,- -                  ,91.61             ,5.73               ,88.52              ,-23.16               ,3.05                           ,-11.31                  ,-14.26                  ,- -         ,- -             ,-1.62                ,1.48                           ,-0.9                      ,8.82                         ,-10.23          ,-4.46                   ,-3.75        ,15.24               ,-42.65  ,- -                  ,12.98                     ,-0.06   ,-12.69               ,-9.25                        ,-4.49             ,-1.31                ,- -          ,5.82              ,14.18        ,7.55                            ,4.45         ,-3.75                      ,0.31               ,11.67    ,6.91               ,4.68                         ,-12.92        ,- -                   ,0.01                ,1.49       ,-23.16                      ,-12            ,6.78                     ,-115.61                  ,-96.82                         ,-24.62                ,4.29                        ,44.41                          ,90.32          ,31.5           ,111                         ,778.96                         ,-180.51             ,-24.62               ,-99.59         ,2115.62              ,-98.43
2015 Y ,2.45                     ,- -             ,2.45         ,-9.66                      ,- -                    ,- -                     ,32.96                       ,32.96         ,-0.88                       ,-0.78                     ,-1.76             ,-0.91                       ,-1.63               ,23.43  ,20.48             ,- -   ,- -  ,- -              ,- -                  ,-2.55             ,1.69               ,62.22              ,23.43                ,-2.87                          ,-2.34                   ,-7.26                   ,- -         ,26625.64        ,-19.13               ,4.34                           ,9.62                      ,-12.85                       ,13.12           ,4.24                    ,-1.75        ,3.07                ,-1.31   ,- -                  ,2.98                      ,-1.02   ,-5.76                ,-4.34                        ,-2.48             ,-0.4                 ,- -          ,10.26             ,32.69        ,6.04                            ,5.66         ,-1.75                      ,-1.59              ,0.42     ,-4.96              ,6.77                         ,-21.47        ,- -                   ,0.75                ,71.23      ,23.43                       ,191.51         ,-12.38                   ,44.75                    ,224.85                         ,38.41                 ,-75.31                      ,-43.4                          ,60.95          ,-6.96          ,90.19                       ,5.28                           ,-172.8              ,38.41                ,1555.4         ,-66                  ,225.38
2016 Y ,-1.66                    ,- -             ,-1.66        ,-1.39                      ,- -                    ,- -                     ,4.16                        ,4.16          ,-2.75                       ,-3.14                     ,0.28              ,-3.38                       ,0.52                ,21.14  ,23.19             ,- -   ,- -  ,- -              ,- -                  ,-0.77             ,-0.05              ,23.89              ,21.14                ,-29.95                         ,-49.17                  ,2.32                    ,- -         ,- -             ,-7.96                ,-99.61                         ,-99.81                    ,7.98                         ,7.52            ,6.56                    ,3.49         ,2.08                ,-34.31  ,- -                  ,1.39                      ,7.83    ,3.11                 ,4.58                         ,3.72              ,-3.65                ,- -          ,9.09              ,59.6         ,1.15                            ,1.3          ,3.49                       ,-3.52              ,66.71    ,64.56              ,-1.38                        ,-9.23         ,- -                   ,-1.61               ,-2.48      ,21.14                       ,5.67           ,2.9                      ,22.9                     ,-33.4                          ,-7.06                 ,138.47                      ,-2.44                          ,20             ,27.63          ,41.83                       ,-69.53                         ,-219.8              ,-7.06                ,-49.11         ,73.1                 ,-31.75
2017 Y ,9.6                      ,- -             ,9.6          ,7.96                       ,- -                    ,- -                     ,17.57                       ,17.57         ,2.55                        ,-3.73                     ,6.2               ,-3.5                        ,5.94                ,0.98   ,-7.87             ,- -   ,- -  ,- -              ,- -                  ,-6.09             ,5.19               ,24.04              ,0.98                 ,-4.87                          ,6.42                    ,20.94                   ,- -         ,- -             ,2.97                 ,- -                            ,- -                       ,9.31                         ,3.09            ,4.87                    ,4.51         ,0.52                ,49.92   ,- -                  ,1.13                      ,14.81   ,2.02                 ,6.11                         ,4.81              ,1.18                 ,- -          ,7.26              ,15.78        ,1.76                            ,1.67         ,4.51                       ,-3.48              ,18.16    ,16.22              ,-3.54                        ,1.82          ,- -                   ,4.2                 ,1.52       ,0.98                        ,43.45          ,-9.68                    ,101.11                   ,-284.1                         ,27.66                 ,-118.28                     ,-36.48                         ,19.42          ,27.03          ,9.13                        ,119.03                         ,-93.41              ,27.66                ,-623.83        ,-256.29              ,-278.87
2018 Y ,5.19                     ,- -             ,5.19         ,3.08                       ,- -                    ,- -                     ,8.02                        ,8.02          ,41.56                       ,-4.04                     ,52.17             ,-4.56                       ,52.99               ,5.19   ,- -               ,- -   ,- -  ,- -              ,- -                  ,35.13             ,0.46               ,18.71              ,5.19                 ,11.38                          ,12.3                    ,-5.14                   ,- -         ,- -             ,5.49                 ,- -                            ,- -                       ,14.61                        ,-7.64           ,-0.99                   ,0.21         ,-6.24               ,0.79    ,- -                  ,-6.11                     ,-2.37   ,4.11                 ,1.86                         ,10.38             ,1.06                 ,- -          ,11.46             ,-25.1        ,3.69                            ,3.75         ,9.77                       ,-4.94              ,-6.6     ,-9.97              ,4.9                          ,12.35         ,- -                   ,4.71                ,42.91      ,5.19                        ,-60.73         ,-10.33                   ,-69.72                   ,-262.15                        ,14.49                 ,-838.79                     ,84.66                          ,13.91          ,-27.71         ,29.68                       ,48.85                          ,-1458.9             ,14.49                ,-188.69        ,-122.51              ,-214.07
2019 Y ,3.21                     ,- -             ,3.53         ,6.41                       ,- -                    ,- -                     ,0.57                        ,0.57          ,3.94                        ,-5.33                     ,9.35              ,-5.64                       ,9.71                ,43.33  ,38.87             ,- -   ,- -  ,- -              ,- -                  ,0.14              ,3.07               ,16.84              ,43.33                ,-0.9                           ,-4.21                   ,4.41                    ,- -         ,- -             ,0.8                  ,- -                            ,- -                       ,15.46                        ,0.85            ,5.9                     ,4.91         ,10.18               ,170.04  ,- -                  ,13.3                      ,1.08    ,3.59                 ,2.76                         ,-4.78             ,0.59                 ,- -          ,9.99              ,21.64        ,1.62                            ,1.59         ,-4.23                      ,-6.23              ,7.05     ,5.37               ,-3.36                        ,-11.04        ,- -                   ,0.14                ,3.99       ,43.33                       ,-17.26         ,25.33                    ,-654.93                  ,458.15                         ,-2.09                 ,12.57                       ,46.68                          ,10.61          ,-23.6          ,6.97                        ,-149.44                        ,-155.09             ,-2.09                ,615.94         ,-73.91               ,440
