   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA   ,EBIT    ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,21.49                    ,14.85           ,27.84        ,9.3                        ,-4.67                  ,1104.26                 ,-415                        ,9785.71       ,-2306.45                    ,0.29                      ,-2300.09          ,2.02                        ,-2262.7             ,267.46 ,202.46            ,1104.26 ,1104.26 ,5.22             ,891.23               ,-1916.15          ,10.33              ,- -                ,24.69                ,6.26                           ,6.86                    ,46.05                   ,29.71       ,502.8           ,55.74                ,15.98                          ,5.06                      ,-12.88                       ,-9              ,-3.4                    ,27.38        ,46.24               ,150000  ,25.61                ,174.53                    ,-24.59  ,10.83                ,-15.04                       ,26.72             ,4.66                 ,- -          ,24.78             ,-52.43       ,28.81                           ,28.72        ,27.38                      ,- -                ,144.6    ,90.03              ,-33.38                       ,-43.27        ,-15.41                ,10.12               ,-2306.45   ,24.69                       ,-167.44        ,-7.04                    ,-149.52                  ,75.98                          ,-5.47                 ,-40.62                      ,8285.71                        ,- -            ,-30.38         ,30.23                       ,-8.52                          ,-86.2               ,-5.47                ,113.21         ,-11.7                ,-107.98                 ,0.20561311156934692
 1 ,2011 ,21.51                    ,22.75           ,20.44        ,3.25                       ,6.05                   ,89.22                   ,-130.95                     ,49.13         ,47.95                       ,- -                       ,47.95             ,0.57                        ,47.12               ,72.4   ,41.88             ,89.22   ,89.22   ,-0.88            ,55.73                ,21.76             ,20.21              ,- -                ,25.25                ,33.14                          ,33.14                   ,-1.04                   ,25.42       ,-85.32          ,-9.73                ,2.65                           ,1.44                      ,-17.61                       ,-1.66           ,-1.11                   ,-6.59        ,-37.01              ,-83.14  ,127.09               ,-40.42                    ,-11.78  ,-18.11               ,-14.01                       ,-26.61            ,4.56                 ,- -          ,29.38             ,-231.82      ,33.46                           ,33.37        ,-6.59                      ,0.29               ,-228.79  ,-196.56            ,97.91                        ,51.5          ,3.16                  ,1.08                ,47.95      ,25.25                       ,-288.79        ,9.09                     ,330.77                   ,75.49                          ,55.37                 ,-57.89                      ,-210.22                        ,- -            ,- -            ,72.32                       ,-381.7                         ,493.79              ,55.37                ,79.56          ,-33.31               ,18.61                   ,-0.15685913886042668
 2 ,2012 ,3.67                     ,5.44            ,2.13         ,0.44                       ,2.93                   ,4.48                    ,94.87                       ,1.07          ,13.93                       ,0.29                      ,13.61             ,-0.56                       ,14.58               ,7.25   ,3.45              ,4.48    ,4.48    ,-1.49            ,0.78                 ,9.9               ,-5.43              ,- -                ,18.97                ,-33.34                         ,-33.34                  ,7.33                    ,12.92       ,20.07           ,-16.88               ,15.71                          ,10.34                     ,-6.84                        ,95.94           ,69.35                   ,16.33        ,8.43                ,-1.19   ,-0.74                ,3.05                      ,9.32    ,38.48                ,19.08                        ,12.87             ,2.71                 ,- -          ,23.54             ,-195.69      ,20.29                           ,20.13        ,16.33                      ,-0.29              ,-100.82  ,-100.68            ,-49.12                       ,-19.34        ,17.13                 ,9.63                ,13.93      ,18.97                       ,-122.83        ,2.78                     ,-21.43                   ,-2.54                          ,3.19                  ,-68.75                      ,-282.84                        ,- -            ,-46.59         ,-62.69                      ,-97.81                         ,-236.47             ,3.19                 ,-3.54          ,-8.55                ,-14.46                  ,0.049722156580276344
 3 ,2013 ,-43.22                   ,-38.94          ,-47.09       ,-34.84                     ,-49.55                 ,-65.5                   ,22.37                       ,-71.91        ,-80.49                      ,-2.01                     ,-35.03            ,-2.27                       ,-34.86              ,-46.62 ,-5.99             ,-65.5   ,-65.5   ,-6.81            ,-39.25               ,12.12             ,-43.5              ,53.08              ,23.59                ,13.78                          ,13.78                   ,-2.6                    ,5.13        ,0.59            ,7.65                 ,-2.58                          ,-0.14                     ,27.52                        ,-4.4            ,-3.45                   ,1.42         ,-8.85               ,- -     ,4.09                 ,-15.37                    ,27.79   ,-18.57               ,9.75                         ,0.86              ,2.75                 ,- -          ,10.32             ,-181.98      ,2.01                            ,2.01         ,1.42                       ,-3.76              ,118.18   ,113.89             ,17.99                        ,27.2          ,88.66                 ,0.49                ,-36.34     ,23.59                       ,-370           ,14.86                    ,-49.43                   ,-6.19                          ,0.52                  ,-360                        ,-89.52                         ,50             ,49.62          ,1150                        ,1397.3                         ,-129.79             ,0.52                 ,-7.45          ,46.63                ,47.36                   ,0.11530295481045116
 4 ,2014 ,3.95                     ,4.28            ,3.62         ,1.27                       ,6.23                   ,8.55                    ,104.3                       ,-21.84        ,3.11                        ,-2.35                     ,-23.41            ,-2.03                       ,-23.66              ,5.94   ,1.91              ,8.55    ,8.55    ,-0.32            ,4.42                 ,-28.05            ,0.07               ,15.53              ,3.23                 ,-17.08                         ,-17.08                  ,-30.37                  ,-46.15      ,509.62          ,10.56                ,-44.36                         ,-52.43                    ,-30.94                       ,3.36            ,-6.96                   ,1.21         ,-23.75              ,- -     ,32.26                ,5.62                      ,-38.38  ,96.72                ,0.63                         ,2.11              ,2.8                  ,- -          ,6.52              ,-467.03      ,0.28                            ,0.28         ,1.21                       ,0.6                ,-2412.5  ,-2405.96           ,42.19                        ,4.68          ,-34.65                ,3.88                ,-25.2      ,3.23                        ,-112.59        ,12.94                    ,107.87                   ,-36.55                         ,5.13                  ,-107.69                     ,-7.26                          ,12.82          ,98.66          ,-77.78                      ,-78.88                         ,9.71                ,5.13                 ,-45.04         ,52.17                ,-15.16                  ,-0.10607841032822685
 5 ,2015 ,-0.25                    ,-3.62           ,3.29         ,-0.83                      ,-7.82                  ,24.58                   ,-77.89                      ,109.61        ,88.79                       ,- -                       ,-26.96            ,-0.89                       ,-26.3               ,-3.49  ,-3.25             ,24.58   ,24.58   ,3.55             ,24.89                ,-26.78            ,80.91              ,-24.43             ,-34.11               ,-9.69                          ,-9.69                   ,-3.19                   ,-5.75       ,-74.37          ,-33.09               ,-4.28                          ,-2.56                     ,-10.42                       ,-32.23          ,-28.51                  ,-30.85       ,-14.46              ,- -     ,-56.89               ,-42.32                    ,-0.48   ,-68.55               ,-38.91                       ,-39.96            ,0.87                 ,- -          ,-13.73            ,17.07        ,-21.39                          ,-21.38       ,-30.85                     ,-0.9               ,-37.3    ,-20.25             ,3.81                         ,15.99         ,-19.34                ,-44.86              ,-26.96     ,-34.11                      ,-1117.65       ,-43.75                   ,70.27                    ,-29.96                         ,-52.2                 ,- -                         ,73.91                          ,-24.43         ,- -            ,33.5                        ,830.77                         ,-354.43             ,-52.2                ,-21.29         ,45.3                 ,-4.11                   ,0.04191580203892453
 6 ,2016 ,4.06                     ,0.4             ,7.64         ,5.38                       ,-0.3                   ,17.82                   ,69.05                       ,13.33         ,5.48                        ,-2.1                      ,17.69             ,-1.79                       ,17.31               ,11.1   ,6.76              ,17.82   ,17.82   ,3.44             ,13.22                ,10.72             ,-1.77              ,15.2               ,-2.77                ,14.28                          ,14.28                   ,4.13                    ,-1.48       ,-66.04          ,-1.38                ,5.79                           ,5.4                       ,56.98                        ,9.09            ,9.65                    ,4.21         ,-11.27              ,- -     ,5.22                 ,-3.18                     ,15.05   ,3.1                  ,11.57                        ,7.22              ,1.26                 ,- -          ,9.1               ,28.64        ,1.82                            ,1.82         ,4.21                       ,-2.41              ,10.63    ,8.65               ,-7.22                        ,1.85          ,-1.05                 ,5.93                ,15.21      ,-2.77                       ,-33.53         ,7.41                     ,-90.48                   ,54.88                          ,41.84                 ,-8000                       ,-40.5                          ,12.78          ,-53.29         ,62.55                       ,-75.39                         ,-129.38             ,41.84                ,57.97          ,-26.16               ,34.43                   ,0.0062770041192268256
 7 ,2017 ,6.43                     ,3.39            ,9.19         ,-0.16                      ,3.65                   ,31.22                   ,-94.37                      ,47.61         ,48.05                       ,-1.23                     ,49.89             ,-0.91                       ,49.41               ,18.35  ,11.21             ,31.22   ,31.22   ,2.6              ,23.3                 ,39.11             ,-1.46              ,14.74              ,-13.82               ,16.99                          ,16.99                   ,14.74                   ,7.88        ,5.49            ,14.69                ,18.47                          ,13.8                      ,2.22                         ,-0.68           ,2.36                    ,8.11         ,10.2                ,-16     ,12.5                 ,33.65                     ,-5.41   ,-24.61               ,-10.56                       ,1.21              ,-42.14               ,-50          ,-102.07           ,-31.21       ,13.86                           ,13.87        ,8.11                       ,-0.62              ,73.25    ,52.14              ,26.64                        ,-14.19        ,1.8                   ,8                   ,48.05      ,-13.82                      ,67.83          ,3.45                     ,566.67                   ,12.11                          ,26.62                 ,-98.73                      ,27.73                          ,13.33          ,-27.8          ,-55.3                       ,-24.63                         ,33.45               ,26.62                ,9.02           ,35.56                ,-24.28                  ,0.2889797388643409
 8 ,2018 ,9.88                     ,7.77            ,11.71        ,11.03                      ,13.49                  ,12.02                   ,-1150                       ,17.81         ,-53.8                       ,-0.31                     ,-53.66            ,-0.31                       ,-53.66              ,9.32   ,-0.51             ,12.02   ,12.02   ,1.66             ,1.94                 ,-57.96            ,0.23               ,12.7               ,-0.94                ,-16.09                         ,-16.09                  ,7.18                    ,10.96       ,-2.6            ,-7.7                 ,8.59                           ,3.75                      ,-50.72                       ,13.12           ,10.24                   ,1.36         ,11.73               ,- -     ,10.76                ,-7.28                     ,-0.11   ,89.75                ,20.23                        ,10.55             ,0.15                 ,- -          ,166.67            ,17.92        ,-5.46                           ,-5.46        ,1.36                       ,-1.24              ,-32.83   ,-28.95             ,-36.26                       ,-0.45         ,-0.76                 ,9.63                ,-53.8      ,-0.94                       ,-53.37         ,16.67                    ,-335.5                   ,22.27                          ,0.57                  ,1000                        ,131.91                         ,12.35          ,20.75          ,117.53                      ,294.55                         ,-208.36             ,0.57                 ,27.63          ,-20.21               ,164.67                  ,0.07902593171415939
 9 ,2019 ,5.07                     ,5.55            ,4.66         ,5.11                       ,4.39                   ,4.09                    ,-152.38                     ,-2.85         ,238.92                      ,-2.18                     ,246.48            ,-2.15                       ,246.38              ,5.83   ,0.73              ,4.09    ,4.09    ,-0.38            ,-0.93                ,222.58            ,-4.6               ,10.26              ,13.33                ,-38.5                          ,-38.5                   ,19.85                   ,6.43        ,5.88            ,-17.13               ,3.41                           ,6.93                      ,50                           ,39.65           ,33.45                   ,10.67        ,46.22               ,193.33  ,6.69                 ,77.63                     ,-0.44   ,-16.7                ,-6.25                        ,18.49             ,-0.58                ,- -          ,-94.64            ,25.98        ,3.96                            ,3.87         ,10.67                      ,-2.83              ,-328.79  ,-320.27            ,-95.37                       ,-53.34        ,5.68                  ,10.14               ,238.92     ,13.33                       ,-275.56        ,2.86                     ,-127.6                   ,-6.07                          ,-11.86                ,109.09                      ,125.53                         ,7.85           ,169.57         ,71.33                       ,-62.48                         ,109.16              ,-11.86               ,-4.95          ,24.1                 ,-72.29                  ,-0.01338459479142129
