   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA  ,EBIT   ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,37.05                    ,7.34            ,60.86        ,17.22                      ,10.14                  ,170.79                  ,-63.7                       ,203.14        ,187.47                      ,2.06                      ,181.59            ,4.5                         ,175.03              ,116.89 ,58.25             ,170.79 ,170.79 ,17.37            ,97.58                ,109.7             ,33.83              ,              5.12 ,-13.55               ,48.01                          ,67.26                   ,28.61                   ,9.61        ,5.08            ,39.68                ,-0.81                          ,                     3.52 ,-11.31                       ,-13.73          ,-6.99                   ,27.16        ,69.77               ,- -     ,61.21                ,66.44                     ,5.53    ,-21.94               ,-0.59                        ,29.02             ,220.86               ,2.33         ,            16.29 ,227.82       ,26.51                           ,26.51        ,27.16                      ,2.33               ,157.35   ,103.41             ,0.12                         ,-16.07        ,-14.9                 ,2.41                ,187.39     ,-13.55                      ,-44.57         ,6.46                     ,-451.45                  ,129.36                         ,98.87                 ,109.32                      ,-9.15                          ,          7.29 ,- -            ,959.22                      ,-149.75                        ,896.66              ,98.87                ,133.91         ,-42.08               ,-20.19                  ,0.09915284666718249
 1 ,2011 ,8.39                     ,4.65            ,10.4         ,4.13                       ,2.69                   ,17.21                   ,-13.93                      ,17.72         ,21.04                       ,0.68                      ,20.98             ,0.78                        ,20.87               ,14.94  ,6.04              ,17.21  ,17.21  ,1.85             ,8.13                 ,12.38             ,0.15               ,             11.9  ,-2.23                ,33.66                          ,31.32                   ,-10.01                  ,6.34        ,18.81           ,26.08                ,1.31                           ,                     1.68 ,124.07                       ,8.95            ,4.88                    ,21.92        ,-30.79              ,- -     ,-3.95                ,-18.41                    ,117.62  ,0.39                 ,97.1                         ,31.27             ,0.74                 ,-0.23        ,            20.22 ,-22.1        ,18.62                           ,18.62        ,21.92                      ,-0.23              ,-22.51   ,-34.67             ,-2.73                        ,54.53         ,3.08                  ,8.24                ,21.81      ,-2.23                       ,-91.93         ,1.17                     ,-176.78                  ,-9.15                          ,10.25                 ,-41.16                      ,44.85                          ,         12.67 ,39.19          ,728.79                      ,-290.83                        ,-22.49              ,10.25                ,-11.61         ,22.76                ,-25.41                  ,-0.02410297717843024
 2 ,2012 ,-9.76                    ,-4.63           ,-12.36       ,-2.5                       ,1.27                   ,-22.51                  ,47.82                       ,-23.36        ,-24.35                      ,-0.22                     ,-24.76            ,-0.66                       ,-24.42              ,-20.98 ,-12.43            ,-22.51 ,-22.51 ,-2.88            ,-14.12               ,-16.8             ,-9.76              ,             22.67 ,-7.09                ,8.57                           ,-62.36                  ,-2.45                   ,6.32        ,-5.44           ,7.06                 ,4.6                            ,                     4.27 ,-38.46                       ,2.93            ,3.69                    ,6.49         ,-24.92              ,- -     ,29.66                ,0.01                      ,-7.43   ,43.91                ,-2.85                        ,-1.84             ,29.96                ,1.15         ,             8.8  ,146.07       ,9.75                            ,9.75         ,6.49                       ,1.15               ,-156.44  ,-151.43            ,3.26                         ,7.05          ,13.88                 ,- -                 ,-24.92     ,-7.09                       ,688.38         ,2.18                     ,-129.59                  ,-9.55                          ,7.46                  ,107.31                      ,90.37                          ,         22.4  ,- -            ,-51.39                      ,-352.23                        ,-360.81             ,7.46                 ,-12.24         ,13.28                ,20.47                   ,0.0785865704740889
 3 ,2013 ,-2.5                     ,-1.96           ,-2.79        ,-0.07                      ,0.24                   ,-5.95                   ,-271.01                     ,0.22          ,3.42                        ,3.01                      ,0.39              ,2.56                        ,0.83                ,-5.2   ,-2.77             ,-5.95  ,-5.95  ,-0.3             ,-3.54                ,6.07              ,-1.43              ,             14.33 ,0.53                 ,20.06                          ,-25.86                  ,-4.34                   ,-9.69       ,27.31           ,16.53                ,1.46                           ,                     2.91 ,110.13                       ,-5.73           ,-1.61                   ,13.55        ,21.06               ,- -     ,5.32                 ,8.65                      ,8.07    ,62.38                ,15.24                        ,12.87             ,73.22                ,3.2          ,             7.06 ,25.08        ,13.79                           ,13.79        ,13.55                      ,3.2                ,64.01    ,44.14              ,0.49                         ,7.25          ,-4.16                 ,-1.09               ,3.42       ,0.53                        ,-292.18        ,6.33                     ,590.19                   ,12.01                          ,-6.89                 ,-22.27                      ,-29.09                         ,         17.77 ,-4.2           ,-62.3                       ,-71.24                         ,-84.21              ,-6.89                ,15.67          ,16.64                ,8.31                    ,-0.04903825994512179
 4 ,2014 ,8.77                     ,9.91            ,8.14         ,14.75                      ,9.05                   ,0.88                    ,-286.61                     ,-10.55        ,-6.56                       ,1.76                      ,-8.18             ,1.27                        ,-7.73               ,4.3    ,-4.11             ,0.88   ,0.88   ,-0.58            ,-7.26                ,-14.1             ,3.11               ,              9.95 ,28.58                ,-38.79                         ,45.18                   ,21.98                   ,29.85       ,-0.08           ,-30.34               ,22.48                          ,                     8.09 ,251.07                       ,507.04          ,235.17                  ,7.49         ,30.69               ,- -     ,19.22                ,24.28                     ,0.06    ,160.73               ,29.96                        ,27.99             ,-9.01                ,0.05         ,             4.32 ,109.23       ,0.39                            ,0.39         ,7.49                       ,0.05               ,-36.78   ,-37.02             ,-26.29                       ,-43.95        ,3.74                  ,5.49                ,-6.56      ,28.58                       ,-14.69         ,-10.68                   ,-19.81                   ,-4.47                          ,44.56                 ,-319.99                     ,-87.92                         ,         11.89 ,304.02         ,488.72                      ,473.42                         ,-230.48             ,44.56                ,-12.11         ,-0.11                ,2.24                    ,0.007590821257130287
 5 ,2015 ,19.91                    ,13.65           ,23.44        ,5.34                       ,13.9                   ,5.2                     ,-65.72                      ,11.07         ,10.74                       ,-0.17                     ,10.92             ,-0.36                       ,11.14               ,13.02  ,-5.75             ,5.2    ,5.2    ,2.95             ,-12.27               ,-7.65             ,18.67              ,              8.29 ,56.54                ,5.67                           ,55.36                   ,17.63                   ,12.06       ,-5.03           ,7.02                 ,3.48                           ,                     4.99 ,30.49                        ,-3.77           ,-2.14                   ,2.95         ,-14.77              ,2485.1  ,20.69                ,57.09                     ,-42.88  ,-27.51               ,-37.15                       ,-5.36             ,-1.21                ,0.27         ,             4.86 ,-69.83       ,6.62                            ,6.62         ,2.95                       ,0.28               ,-103.63  ,-103.4             ,9.59                         ,-31.87        ,1.25                  ,1.04                ,10.74      ,56.54                       ,-96.94         ,35.64                    ,-106.86                  ,4.15                           ,-13.46                ,-92.47                      ,-85.08                         ,          8.11 ,- -            ,-36.31                      ,-0.87                          ,77.02               ,-13.46               ,8.67           ,21.49                ,-5.94                   ,0.031124729386618366
 6 ,2016 ,-0.4                     ,1.57            ,-1.42        ,-3.66                      ,2.57                   ,25.39                   ,309.49                      ,18.12         ,23.65                       ,-1.26                     ,25.22             ,-1.44                       ,25.45               ,18.85  ,19.33             ,25.39  ,25.39  ,-1.03            ,25.89                ,24.14             ,-3.39              ,              5.83 ,-5.6                 ,33.9                           ,4.16                    ,2.38                    ,-8.67       ,-62.22          ,21.95                ,-1.24                          ,                     2.87 ,25.48                        ,0.7             ,0.43                    ,12.86        ,13.8                ,- -     ,1.14                 ,-29.71                    ,247.48  ,-23.17               ,130.95                       ,40.99             ,-33.92               ,-1.25        ,             7.85 ,45.16        ,1.83                            ,1.83         ,12.86                      ,-1.25              ,-7461.76 ,-7329.71           ,-13.18                       ,73.49         ,-3.04                 ,3.09                ,23.65      ,-5.6                        ,-6611.86       ,-7.98                    ,-1310.46                 ,41.1                           ,-17.25                ,-750.03                     ,7013.99                        ,          4.5  ,-38.09         ,63.06                       ,-95.99                         ,-87.56              ,-17.25               ,53.02          ,-20.97               ,14.12                   ,0.25423492828174643
 7 ,2017 ,49.28                    ,71.32           ,37.47        ,49.76                      ,48.15                  ,6.03                    ,225.32                      ,-13.42        ,-15.6                       ,12.19                     ,-24.77            ,12.22                       ,-24.79              ,34.92  ,-9.62             ,6.03   ,6.03   ,-7.91            ,-28.97               ,-43.46            ,-2.43              ,              4.58 ,178.4                ,-74.16                         ,13.76                   ,44.25                   ,46.28       ,-1.81           ,-52.74               ,74.07                          ,                    23.44 ,13.22                        ,655.46          ,527.29                  ,165.25       ,72.53               ,-19.97  ,60.78                ,103.89                    ,335.93  ,532.82               ,364.13                       ,291.48            ,1070.98              ,19.62        ,             2.61 ,-16.87       ,96.71                           ,96.71        ,165.25                     ,19.62              ,738.82   ,326.42             ,-500.01                      ,-76.82        ,-21.98                ,53                  ,-15.6      ,178.4                       ,-567.22        ,64.28                    ,80                       ,-13.14                         ,60.21                 ,-426.99                     ,443.23                         ,         17.33 ,803.09         ,-87.43                      ,-24660.71                      ,210.15              ,60.21                ,-21.24         ,71.44                ,2.91                    ,0.058813215739276226
 8 ,2018 ,21.41                    ,-3.83           ,38.27        ,0.71                       ,20.32                  ,75.91                   ,10.29                       ,97.77         ,105.63                      ,6.95                      ,92.27             ,6.98                        ,92.21               ,62.38  ,33.75             ,75.91  ,75.91  ,13.89            ,44.89                ,69.37             ,17.57              ,              9.22 ,36.81                ,-22.07                         ,-22.07                  ,-7.15                   ,6.53        ,8.36            ,-10.17               ,4.25                           ,                     6.76 ,15.67                        ,-2.85           ,-2.41                   ,-3.27        ,8.3                 ,-77.67  ,-0.4                 ,-11.91                    ,-17.02  ,-2.34                ,-14.16                       ,-13.83            ,0.6                  ,0.41         ,            16.13 ,-4.76        ,8.14                            ,8.14         ,-3.27                      ,0.41               ,-18.92   ,-25.02             ,-13.63                       ,1.98          ,9.28                  ,3.27                ,105.63     ,36.81                       ,32.1           ,45.09                    ,221.33                   ,119.52                         ,24.88                 ,- -                         ,-95.26                         ,         16.81 ,-93.33         ,385.63                      ,-141.89                        ,-286.49             ,24.88                ,140.78         ,-52.08               ,6.76                    ,0.04598131798790661
 9 ,2019 ,-3.38                    ,0.49            ,-5.19        ,-6.87                      ,-3.01                  ,-7.04                   ,5.25                        ,-9.32         ,-8.86                       ,-0.35                     ,-8.53             ,-0.55                       ,-8.35               ,-4.54  ,-1.2              ,-7.04  ,-7.04  ,-1.86            ,-3.78                ,-5.66             ,-6.92              ,             10.93 ,1.53                 ,-20.61                         ,-20.61                  ,-0.72                   ,3.94        ,32.91           ,-6.01                ,5.69                           ,                     8.03 ,169.14                       ,5.57            ,5.83                    ,4.61         ,51.09               ,347.26  ,-58.61               ,7.29                      ,-17.13  ,66.68                ,1.49                         ,2.35              ,-6.48                ,-0.5         ,            20.97 ,221.35       ,6.56                            ,6.56         ,4.61                       ,-0.5               ,-12.19   ,-17.6              ,-45.18                       ,-12.4         ,5.67                  ,3.8                 ,-8.86      ,1.53                        ,-120.79        ,-0.57                    ,-105.06                  ,-7.75                          ,8.04                  ,- -                         ,-6.63                          ,         10.55 ,88.23          ,171.27                      ,-9.81                          ,-27.34              ,8.04                 ,-9.59          ,36.13                ,1.21                    ,0.12431455462332441
