   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA  ,EBIT   ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,30.79                    ,32.05           ,11.89        ,15.24                      ,- -                    ,9.98                    ,132.86                      ,16.63         ,5.16                        ,-0.16                     ,5.66              ,1.55                        ,3.88                ,6.23   ,-18.78            ,9.98   ,9.98   ,-14.45           ,-15.91               ,-19.34            ,24.83              ,6.35               ,-3.84                ,-5.97                          ,-41.2                   ,-21.46                  ,53.16       ,213.64          ,49.53                ,9.04                           ,8.62                      ,12.34                        ,17.71           ,10.69                   ,33.15        ,3.59                ,185.93  ,- -                  ,49.64                     ,21.02   ,34.08                ,23.39                        ,36.89             ,157.66               ,- -          ,15.83             ,-119.58      ,28.74                           ,28.75        ,33.15                      ,5.79               ,49.25    ,15.92              ,-3.14                        ,-0.08         ,192.37                ,4.78                ,5.16       ,-3.84                       ,-98.04         ,4.44                     ,-87300                   ,-187.18                        ,-22.4                 ,-525.37                     ,0.6                            ,6.18           ,5692.59        ,-1549                       ,-448.64                        ,4688.89             ,-22.4                ,-433.05        ,-564.85              ,-182.64                 ,-0.14714101306949656
 1 ,2011 ,10.36                    ,11.78           ,-14.7        ,0.93                       ,- -                    ,-24.06                  ,-184.97                     ,-41.46        ,-38.45                      ,3.58                      ,-42.01            ,1.83                        ,-41.01              ,-18.96 ,-26.57            ,-24.06 ,-24.06 ,-22.71           ,-31.19               ,-45.57            ,12.94              ,11.21              ,-3.31                ,8.35                           ,109.92                  ,-28.47                  ,1.14        ,6.13            ,-2                   ,3.28                           ,4.43                      ,-6.55                        ,-6.03           ,-0.21                   ,-1.37        ,-6.66               ,84.36   ,8.55                 ,10.65                     ,-20.94  ,20.25                ,-12.82                       ,0.37              ,-8.05                ,-8.05        ,6.49              ,-615.34      ,-4.46                           ,-3.55        ,-1.37                      ,-2.51              ,-6.96    ,-3.53              ,-2.31                        ,-11.43        ,44.52                 ,-2.28               ,-38.45     ,-3.31                       ,-15600         ,2.13                     ,-106.5                   ,-223.72                        ,18.44                 ,-327.37                     ,-33.01                         ,15.19          ,-93.8          ,-136.37                     ,-130.61                        ,-256.84             ,18.44                ,-139.53        ,-124.8               ,-305.96                 ,-0.029039520739820968
 2 ,2012 ,- -                      ,- -             ,- -          ,- -                        ,- -                    ,- -                     ,- -                         ,- -           ,- -                         ,- -                       ,- -               ,- -                         ,- -                 ,- -    ,- -               ,- -    ,- -    ,- -              ,- -                  ,- -               ,- -                ,- -                ,- -                  ,- -                            ,- -                     ,- -                     ,- -         ,- -             ,- -                  ,- -                            ,- -                       ,- -                          ,- -             ,- -                     ,- -          ,- -                 ,- -     ,- -                  ,- -                       ,- -     ,- -                  ,- -                          ,- -               ,- -                  ,- -          ,- -               ,- -          ,- -                             ,- -          ,- -                        ,- -                ,- -      ,- -                ,- -                          ,- -           ,- -                   ,- -                 ,- -        ,- -                         ,- -            ,- -                      ,- -                      ,- -                            ,- -                   ,- -                         ,- -                            ,- -            ,- -            ,- -                         ,- -                            ,- -                 ,- -                  ,- -            ,- -                  ,- -                     ,-0.1524083119369969
 3 ,2013 ,0.86                     ,0.64            ,6.03         ,8.18                       ,- -                    ,4.31                    ,-61.73                      ,14.67         ,9.02                        ,-0.6                      ,10.39             ,-0.45                       ,10.23               ,5.16   ,4.26              ,4.31   ,4.31   ,5.12             ,3.42                 ,8.79              ,-2.71              ,10.78              ,7.19                 ,142.26                         ,141.75                  ,48.24                   ,-6.16       ,-14.4           ,5.85                 ,3.31                           ,3.7                       ,10.85                        ,-23.32          ,2.73                    ,4.74         ,8.07                ,-59.76  ,88.85                ,7.06                      ,-18.18  ,4.59                 ,-11.99                       ,-0.19             ,0.56                 ,0.56         ,10.2              ,-93.72       ,12.17                           ,11.15        ,4.74                       ,- -                ,-58.48   ,-62.64             ,6.53                         ,-1.13         ,-56.8                 ,3.67                ,9.02       ,7.19                        ,-93.55         ,-10.42                   ,762.65                   ,80.52                          ,-38.19                ,-83.95                      ,-48.57                         ,10.11          ,-76.29         ,-80.83                      ,195.53                         ,108.14              ,-38.19               ,204.16         ,4.94                 ,64.51                   ,0.32296271963292966
 4 ,2014 ,-9.58                    ,-11.04          ,22.6         ,9.89                       ,- -                    ,33.1                    ,-378.3                      ,54.64         ,66.4                        ,-1.21                     ,69.56             ,-1.06                       ,69.3                ,22.7   ,35.71             ,33.1   ,33.1   ,35.59            ,47.2                 ,85.26             ,-17.05             ,26.08              ,-1.65                ,-54.59                         ,-64.79                  ,22.46                   ,-18.07      ,4.27            ,-8.77                ,-2.82                          ,-3.25                     ,8.18                         ,260.06          ,18.05                   ,0.56         ,-20.32              ,-91.33  ,54.07                ,-0.36                     ,3.39    ,26.79                ,10.95                        ,3.43              ,-16.64               ,-16.64       ,11.54             ,2077.19      ,-2.88                           ,-2.79        ,0.56                       ,-3.34              ,21.66    ,25.15              ,-12.02                       ,-8.44         ,90.52                 ,9                   ,66.4       ,-1.65                       ,-1583.33       ,27.91                    ,-23.59                   ,-5.42                          ,-2.08                 ,-200.96                     ,490.47                         ,24.55          ,-95.65         ,1071.29                     ,10.33                          ,-245.06             ,-2.08                ,-6.12          ,25.77                ,-43.54                  ,0.1093703322062538
 5 ,2015 ,-16.62                   ,-16.61          ,-16.82       ,2.69                       ,- -                    ,-30.12                  ,2.71                        ,-27.03        ,-18.06                      ,-5.36                     ,-13.09            ,-5.34                       ,-13.11              ,-23.22 ,-7.92             ,-30.12 ,-30.12 ,-0.24            ,-16.19               ,-1.35             ,-12.49             ,16.33              ,-1.34                ,-16.48                         ,-17.2                   ,-25.36                  ,-12.07      ,-13.86          ,-16.13               ,0.02                           ,2.24                      ,-0.85                        ,10.53           ,2                       ,-8.73        ,-13.71              ,-25.76  ,-13.05               ,-13.44                    ,4.54    ,-8.62                ,-0.32                        ,-8.72             ,-37.83               ,-37.83       ,7.41              ,72.93        ,-8.56                           ,-8.74        ,-8.73                      ,-6.59              ,8.9      ,19.33              ,-2.45                        ,-3.11         ,-1.65                 ,-4.72               ,-18.06     ,-1.34                       ,11.46          ,43.64                    ,-123.52                  ,-65.51                         ,25.84                 ,-133.33                     ,-99.38                         ,10.1           ,125100         ,72.44                       ,-25.94                         ,-52.72              ,25.84                ,-85.68         ,35.24                ,-58.06                  ,-0.26973683361966583
 6 ,2016 ,-7.91                    ,-7.86           ,-8.77        ,-0.2                       ,- -                    ,-17.36                  ,-38.94                      ,-20.23        ,-30.23                      ,-4.85                     ,-27.3             ,-4.83                       ,-27.32              ,-11.39 ,-3.77             ,-17.36 ,-17.36 ,-0.94            ,-10.27               ,-24.89            ,-6.46              ,7.24               ,2.04                 ,-32.12                         ,-31.98                  ,-5.47                   ,7.13        ,-9.03           ,-3.59                ,-0.96                          ,0.96                      ,7.93                         ,3.56            ,2.16                    ,-0.97        ,0.72                ,335.71  ,-9.28                ,-2.46                     ,12.55   ,-2.4                 ,7.49                         ,1.45              ,-26.82               ,-26.82       ,3.43              ,21.06        ,-4.06                           ,-3.96        ,-0.97                      ,-3.7               ,27.08    ,32.32              ,-4.04                        ,-1.16         ,-0.17                 ,-1.55               ,-30.23     ,2.04                        ,-74.19         ,-6.33                    ,1525.81                  ,-481.7                         ,-21.6                 ,23674.29                    ,-32728.57                      ,2.04           ,-16.85         ,-50.98                      ,-78.14                         ,-75.65              ,-21.6                ,-1374.14       ,-159.34              ,-651.81                 ,0.1885528128754128
 7 ,2017 ,-2.43                    ,-2.41           ,-2.76        ,-0.15                      ,- -                    ,-5.93                   ,-62.7                       ,-11.69        ,24.38                       ,-3.23                     ,28.87             ,-3.21                       ,28.85               ,-2.88  ,-0.45             ,-5.93  ,-5.93  ,-0.34            ,-3.58                ,27.82             ,-0.88              ,7.61               ,2.67                 ,-12.13                         ,29.89                   ,-14.6                   ,3.87        ,-10.27          ,-5.32                ,3.89                           ,5.52                      ,10.59                        ,10.23           ,7.02                    ,0.49         ,-6.18               ,103.75  ,-9.94                ,-4.58                     ,1.83    ,-17.04               ,-3.97                        ,-4.33             ,3.05                 ,3.05         ,0.62              ,-36.99       ,6.64                            ,6.8          ,0.49                       ,-2.79              ,5.97     ,-0.77              ,7.14                         ,-0.78         ,2.81                  ,-1.57               ,24.38      ,2.67                        ,392.97         ,-10.81                   ,-8.25                    ,-8.33                          ,18.93                 ,3.64                        ,6.41                           ,4.14           ,-48.9          ,-25                         ,77.55                          ,-226.38             ,18.93                ,-5.07          ,-2.11                ,-26.49                  ,-0.28895456992057933
 8 ,2018 ,5.78                     ,4.97            ,18.85        ,9.45                       ,- -                    ,30.91                   ,-36.23                      ,28.03         ,13.3                        ,-0.88                     ,14.49             ,-0.87                       ,14.48               ,20.01  ,13.46             ,30.91  ,30.91  ,12.36            ,23.76                ,7.28              ,4.77               ,4.76               ,1.84                 ,149.13                         ,148.38                  ,2.18                    ,-3.92       ,-4.17           ,3.33                 ,-1.82                          ,1.25                      ,2.64                         ,5.4             ,1.03                    ,2.18         ,-11.8               ,-20.69  ,0.58                 ,-6.32                     ,16.23   ,-3.38                ,11.02                        ,0.93              ,6.76                 ,6.76         ,5.55              ,28.65        ,3.65                            ,3.65         ,2.18                       ,0.36               ,-4.46    ,-7.82              ,1.68                         ,10.29         ,-3.73                 ,0.96                ,13.3       ,1.84                        ,-86.69         ,65.15                    ,-5.15                    ,-19.81                         ,-19.73                ,-8.96                       ,-9.72                          ,3.84           ,231.2          ,-89.73                      ,-118.19                        ,568.35              ,-19.73               ,-19.8          ,25.77                ,-29.34                  ,0.11513143514280999
 9 ,2019 ,0.49                     ,0.58            ,-0.81        ,15.15                      ,- -                    ,-17.96                  ,-250                        ,-22.91        ,-24.02                      ,-0.18                     ,-23.68            ,-0.35                       ,-23.54              ,-10.48 ,-10.92            ,-17.96 ,-17.96 ,-1.3             ,-18.36               ,-24.18            ,-16.65             ,4.27               ,5.53                 ,-57.46                         ,-57.34                  ,35.43                   ,4.05        ,3.22            ,3.69                 ,11.29                          ,7.44                      ,-3.48                        ,29.47           ,11.88                   ,7.75         ,16.11               ,106.38  ,7.08                 ,16.63                     ,9.81    ,9.2                  ,9.67                         ,13.43             ,-48.14               ,3.71         ,2.33              ,14.2         ,1.2                             ,1.25         ,7.75                       ,-0.36              ,25.63    ,24.08              ,-12.11                       ,-11.1         ,6.18                  ,20.57               ,-24.02     ,5.53                        ,2.38           ,-18.35                   ,3.78                     ,13.96                          ,-1.66                 ,-1.18                       ,-20.1                          ,4.09           ,-99.55         ,94.81                       ,-452.94                        ,-142.97             ,-1.66                ,11.62          ,-4.36                ,49.58                   ,-0.11775485141291919
