   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA  ,EBIT   ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,6.95                     ,10.99           ,4.91         ,- -                        ,- -                    ,-3.9                    ,-2.28                       ,-4.59         ,-11.09                      ,                     4.51 ,-14.61            ,                       4.49 ,-14.6               ,0.27   ,-6.25             ,-3.9   ,-3.9   ,-1.91            ,-10.15               ,-16.54            ,23.88              ,              3.98 ,7.23                 ,-24.63                         ,-49.22                  ,44.77                   ,-12.82      ,-1.8            ,5.47                 ,3.87                           ,3.98                      ,-0.94                        ,9.19            ,4.24                    ,        4.36 ,-1.59               ,42.21   ,31.53                ,22.36                     ,-1.62   ,4.88                 ,1.45                         ,4.62              ,                1.08 ,        0.56 ,8.78              ,1.87         ,3.67                            ,3.67         ,4.36                       ,              0.58 ,    4.8  ,1.09               ,-0.65                        ,-13.8         ,23.93                 ,-13.66              ,-10.77     ,7.23                        ,-95.32         ,- -                      ,-69.72                   ,7.56                           ,-46.15                ,17.98                       ,-13.48                         ,          8.67 ,7.42           ,-94.62                      ,-164.42                        ,-348.1              ,-46.15               ,11.49          ,2.23                 ,20.49                   ,-0.041892184888655315
 1 ,2011 ,4.78                     ,11.59           ,1.13         ,- -                        ,- -                    ,9.69                    ,-31.94                      ,28.02         ,60.02                       ,                     0.58 ,59.35             ,                       0.6  ,59.33               ,6.08   ,1.24              ,9.69   ,9.69   ,-3.48            ,4.69                 ,52.99             ,4.79               ,              8.2  ,0.67                 ,-27.46                         ,-24.83                  ,-18.47                  ,-10.77      ,-10.26          ,-16.63               ,3.64                           ,3.59                      ,-51.12                       ,45.64           ,5.73                    ,        3.5  ,2.3                 ,16.12   ,-21                  ,1.43                      ,-2.7    ,7.1                  ,2.08                         ,1.97              ,                0.91 ,        0.52 ,21.64             ,23.36        ,7.65                            ,7.66         ,3.5                        ,              0.54 ,    0.46 ,-6.69              ,4.05                         ,-17.8         ,1.87                  ,-0.01               ,29.39      ,0.67                        ,-351.61        ,- -                      ,-235.69                  ,42.3                           ,16.48                 ,-162.86                     ,14.55                          ,          8.83 ,-1.73          ,-1.08                       ,189.85                         ,-62.76              ,16.48                ,43.21          ,-17.83               ,-11.23                  ,0.20720293903415898
 2 ,2012 ,-1.13                    ,13.95           ,-10.04       ,- -                        ,- -                    ,1.2                     ,104.69                      ,-23.02        ,-35.25                      ,                     0.52 ,-35.47            ,                       0.54 ,-35.49              ,3.42   ,4.6               ,1.2    ,1.2    ,-9.01            ,2.36                 ,-34.56            ,-0.08              ,              1.25 ,7.03                 ,17.09                          ,26.24                   ,-0.74                   ,17.57       ,21.63           ,9.73                 ,4.85                           ,3.2                       ,140.14                       ,-24.12          ,3.62                    ,        4.11 ,4.5                 ,2.24    ,3.41                 ,3.21                      ,3.33    ,5.4                  ,4.39                         ,4.19              ,                1.02 ,        0.46 ,5.87              ,-28.3        ,3.91                            ,3.9          ,4.11                       ,              0.46 ,    2.86 ,-1                 ,-0.25                        ,6.32          ,-19.99                ,-1.05               ,-19.92     ,7.03                        ,-966.67        ,- -                      ,-110.44                  ,0.42                           ,0.94                  ,-230.3                      ,17.34                          ,          1.78 ,12.54          ,-9.78                       ,-63.44                         ,-179.45             ,0.94                 ,0.41           ,1.29                 ,55.22                   ,-0.05196791355473107
 3 ,2013 ,2.76                     ,5.36            ,0.81         ,- -                        ,- -                    ,4.23                    ,-14.37                      ,15.81         ,17.59                       ,                     0.4  ,17.09             ,                       0.4  ,17.08               ,1.66   ,-1.07             ,4.23   ,4.23   ,-1.9             ,1.43                 ,14.4              ,2.71               ,              3.73 ,-2.29                ,-21.89                         ,-57.71                  ,-0.59                   ,-6.32       ,-6.71           ,-6.08                ,5.76                           ,4.93                      ,12.61                        ,-5.42           ,4.67                    ,        3.77 ,6.77                ,-26.84  ,-0.87                ,-10.42                    ,7.97    ,3.99                 ,5.91                         ,3.06              ,                1.03 ,        0.43 ,8.5               ,-65.88       ,5.57                            ,5.57         ,3.77                       ,              0.43 ,    3.02 ,-2.42              ,1.77                         ,4.85          ,-37.53                ,0.04                ,17.59      ,-2.29                       ,-27.14         ,- -                      ,-573.08                  ,7.94                           ,43.93                 ,-6.98                       ,12.59                          ,          4.15 ,11.91          ,1.2                         ,26.48                          ,-377.59             ,43.93                ,6.9            ,2.35                 ,-8.18                   ,-0.15422093766226275
 4 ,2014 ,10.83                    ,14.56           ,7.91         ,- -                        ,- -                    ,4.9                     ,-23.58                      ,18.01         ,10.38                       ,                     0.41 ,9.96              ,                       0.38 ,9.99                ,7.06   ,-3.4              ,4.9    ,4.9    ,-2.63            ,-5.35                ,-0.38             ,10.78              ,              4.19 ,10.62                ,16.56                          ,38.14                   ,3.55                    ,-6.89       ,21.94           ,3.9                  ,7.61                           ,6.67                      ,-3.18                        ,1               ,5.86                    ,        5.71 ,2.74                ,66.91   ,16.84                ,30.35                     ,-3.84   ,7.32                 ,1.83                         ,6.15              ,                0.88 ,        0.3  ,9.46              ,-10.43       ,4.57                            ,4.59         ,5.71                       ,              0.33 ,    4.48 ,-0.11              ,-1.04                        ,-20.29        ,-34.1                 ,0.04                ,10.38      ,10.62                       ,54.9           ,- -                      ,-47.97                   ,12.35                          ,-24.68                ,8.75                        ,15.4                           ,          4.61 ,-17.62         ,-13.1                       ,-63.92                         ,-127.95             ,-24.68               ,13.79          ,19.52                ,1.76                    ,0.23656801785601944
 5 ,2015 ,-3.33                    ,-3.7            ,-3.02        ,- -                        ,- -                    ,3.14                    ,-4.23                       ,5.34          ,7.97                        ,                     0.36 ,24.83             ,                       0.34 ,24.85               ,3.45   ,7.02              ,3.14   ,3.14   ,0.32             ,6.69                 ,29.6              ,2.91               ,              5.73 ,3.94                 ,2.59                           ,8.22                    ,-14.82                  ,1.09        ,-21.93          ,-9.06                ,4.57                           ,1.83                      ,-7.48                        ,10.93           ,4.45                    ,        3.44 ,9.47                ,-31.62  ,7.65                 ,-10.78                    ,9.64    ,1.44                 ,5.25                         ,2.26              ,                1.09 ,        0.33 ,13.4              ,23.4         ,6.37                            ,6.42         ,3.44                       ,              0.34 ,    1.66 ,-4.48              ,3.07                         ,1.93          ,-28.54                ,-6.07               ,7.97       ,3.94                        ,-20.97         ,- -                      ,73.83                    ,4.45                           ,-20.69                ,-37.13                      ,-8.87                          ,          6.11 ,29.39          ,11.78                       ,387.28                         ,-69.11              ,-20.69               ,5.1            ,-8.06                ,-16.62                  ,0.0034992324341232006
 6 ,2016 ,-0.44                    ,-6.26           ,4.35         ,- -                        ,- -                    ,4.24                    ,322.08                      ,-81.87        ,-64.92                      ,                     0.24 ,-70.23            ,                       0.22 ,-70.22              ,1.41   ,1.87              ,4.24   ,4.24   ,4.82             ,4.71                 ,-70.02            ,-1.74              ,              5.61 ,-2.96                ,-3.73                          ,19.33                   ,16.84                   ,-27.78      ,392.67          ,48.17                ,-1.07                          ,-5.26                     ,-2.96                        ,5.66            ,-0.31                   ,        2.89 ,12.95               ,74.44   ,4.89                 ,33.61                     ,-2.04   ,1.28                 ,-0.33                        ,5.18              ,                0.42 ,        0.13 ,-6.02             ,22.97        ,-2.76                           ,-2.71        ,2.89                       ,              0.13 ,    7.74 ,10.74              ,-5.45                        ,10.89         ,-177.13               ,1.32                ,-64.92     ,-2.96                       ,195.8          ,- -                      ,-87.87                   ,-6.21                          ,39.67                 ,-123.4                      ,24.26                          ,          5.85 ,2.07           ,-58.09                      ,-163.83                        ,145.32              ,39.67                ,-7.1           ,13.99                ,214.29                  ,0.023898105152667215
 7 ,2017 ,-5.83                    ,-7.39           ,-4.68        ,- -                        ,- -                    ,-1.26                   ,-79.5                       ,492.14        ,210.86                      ,                     0.07 ,212.88            ,                       0.19 ,212.48              ,-0.15  ,6.03              ,-1.26  ,-1.26  ,1.22             ,4.86                 ,232.47            ,-6                 ,              6.26 ,1.69                 ,-30.6                          ,1.95                    ,-1.34                   ,-1.46       ,-60.4           ,-29.51               ,10.13                          ,8.69                      ,-0.09                        ,-19.58          ,5.3                     ,        1.99 ,15.24               ,-26.11  ,-24.68               ,-12.92                    ,11.75   ,-2.33                ,4.36                         ,0.8               ,                0.7  ,        0.03 ,9.3               ,-56.62       ,5.12                            ,5.13         ,1.99                       ,              0.06 ,    3.85 ,-1.21              ,3.09                         ,-19.06        ,233.83                ,0.18                ,210.86     ,1.69                        ,-78.84         ,- -                      ,-700.74                  ,-5.51                          ,-15.95                ,-556.25                     ,-26.71                         ,          6.32 ,9.87           ,-64.33                      ,-220.04                        ,-73.31              ,-15.95               ,-5.2           ,24.08                ,-69.82                  ,0.01530849541954482
 8 ,2018 ,5.0                      ,9.0             ,2.12         ,- -                        ,- -                    ,-19.76                  ,26.8                        ,-29.92        ,0.12                        ,                     0.2  ,0.39              ,                       0.23 ,0.35                ,-7.27  ,-11.68            ,-19.76 ,-19.76 ,-2.74            ,-23.58               ,-4.2              ,5.5                ,              5.13 ,12.89                ,4.49                           ,9.09                    ,1.88                    ,-3.37       ,-15.45          ,-3.27                ,9.62                           ,8.39                      ,-9.18                        ,-4.35           ,6.97                    ,        6.29 ,-2.67               ,6.37    ,17.26                ,4.56                      ,11.48   ,3.85                 ,7.73                         ,7.17              ,                0.98 ,        0.24 ,8.1               ,77.58        ,4.05                            ,4.07         ,6.29                       ,              0.25 ,   10.73 ,6.4                ,-2.08                        ,-7.49         ,7.76                  ,-0.48               ,0.12       ,12.89                       ,-0.69          ,- -                      ,-418.56                  ,22.31                          ,-57.31                ,-1.03                       ,73.77                          ,          5.34 ,40.7           ,503.28                      ,-292.08                        ,246.15              ,-57.31               ,24.38          ,-15.69               ,21.6                    ,0.11621599360732249
 9 ,2019 ,-3.92                    ,-10.15          ,0.87         ,- -                        ,- -                    ,-0.17                   ,17.2                        ,-7.03         ,-0.6                        ,                     0.19 ,-0.33             ,                       0.31 ,-0.45               ,6.5    ,10.84             ,-0.17  ,-0.17  ,4.98             ,3.9                  ,3.93              ,-2.96              ,              7.33 ,14.15                ,14.32                          ,5.43                    ,-11.49                  ,26.94       ,-13.64          ,-0.88                ,10.88                          ,9.6                       ,12.91                        ,11.15           ,11.02                   ,       10.3  ,10.93               ,29.45   ,13.08                ,19.08                     ,19.46   ,1.91                 ,11.16                        ,12.54             ,                0.56 ,        0.18 ,6.17              ,22.67        ,3.17                            ,4.48         ,10.3                       ,              0.19 ,   17.16 ,12.14              ,-5.28                        ,-16.76        ,-12.28                ,-0.99               ,-0.6       ,14.15                       ,-210.94        ,- -                      ,-94.97                   ,-18.25                         ,100.22                ,41.52                       ,12.45                          ,          7.53 ,0.78           ,-11.28                      ,146.4                          ,-136.51             ,100.22               ,-19.3          ,52.59                ,-18.13                  ,0.016414347584418953
