,Date,Sales & Services Revenue,Cost of Revenue,Gross Profit,"Selling, General & Admin",Research & Development,Operating Income (Loss),Non-Operating (Income) Loss,Pretax Income,Income (Loss) from Cont Ops,Basic Weighted Avg Shares,"Basic EPS, GAAP",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",EBITDA,EBITDA Margin (%),EBITA,EBIT,Gross Margin (%),Operating Margin (%),Profit Margin (%),Sales per Employee,Dividend per Share,Depreciation Expense,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,Accounts & Notes Receiv,Inventories,Other ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",LT Investments & Receivables,Other LT Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,ST Debt,Other ST Liabilities,Total Current Liabilities,LT Debt,Other LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Share Capital & APIC,Common Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Total Equity,Total Liabilities & Equity,Shares Outstanding,Net Debt,Net Debt to Equity,Tangible Common Equity Ratio,Current Ratio,Cash Conversion Cycle,Number of Employees,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Chg in Non-Cash Work Cap,Cash from Operating Activities,Acq of Fixed & Intang,Net Change in LT Investment,Cash from Investing Activities,Dividends Paid,Cash From Debt,Cash (Repurchase) of Equity,Cash from Financing Activities,Net Changes in Cash,Capital Expenditures,Free Cash Flow,Price/Free Cash Flow,Cash Flow to Net Income,Performance
0,2010,17.9,19.38,13.42,13.62,- -,13.4,213.26,-55.44,-49.89,15.29,-98.81,15.52,-98.82,13.12,-4.06,13.4,13.4,-3.8,-3.82,-98.84,9.77,- -,12.3,23.92,41.18,9.79,5.45,-15.94,7.5,1.33,1.74,14.09,-3.21,1.03,2.47,11.54,54.08,- -,21.81,-6.97,-12.33,-8.33,-1.82,22.94,14.29,-4.62,-12.52,38.46,17.26,2.47,17.96,-5.13,-19.09,18.85,-11.75,-48.6,7.41,-39.66,12.3,-12500,- -,-211.43,58.61,-8.33,-209.28,6.42,- -,-19.63,- -,-215.74,-15.67,-8.33,-490.88,-16.37,11496.02,-0.21272574682396828
1,2011,2.89,2.96,2.67,-0.26,- -,3,-40.19,107.57,66.74,1.17,536.99,1.16,537.04,4.02,1.1,3,3,-0.21,0.1,526.35,10.51,- -,7.13,-28.57,-33.28,6.36,30.83,30.79,-2.31,2.03,0.8,7.73,86.59,16.22,11.9,14.21,-20.13,95.1,4.72,17.37,40.22,22.91,18.03,0.75,- -,9.35,15.74,-6.94,-5.82,11.9,-2.85,18.26,25.57,-39.74,-6.71,-20.18,-6.9,44.48,7.13,-93.55,- -,-92.04,-17.83,5.19,-156.6,140.49,- -,182.71,-119.01,-300,-179.84,5.19,-62.17,7.97,-87.25,-0.027882879463731247
2,2012,5.91,10.48,-8.75,-23.02,- -,-7.23,104.96,-85.51,-123.47,-2.96,-1720.32,-3.58,-1730.73,-2.71,-8.14,-7.23,-7.23,-13.84,-12.41,-1584.61,14.39,-96.87,10.46,-12.88,15.61,6.73,-2.04,-18.44,-8.27,3.15,4.61,-15.89,-34.57,-7.59,-7.73,-4.77,17.55,- -,-1.5,-5.48,-0.13,-4,-3.41,0.21,- -,-138.94,5.87,-24.15,-23.38,-7.73,-2.73,-4.49,24.65,-3.84,-6.87,-12.1,-7.41,-123.33,10.46,4730,- -,-230.77,0.59,-13.25,783.33,-79.15,-96.45,-75.62,7.89,-223.16,-122.79,-13.25,74.67,-9.36,-106.4,-0.2268678451248498
3,2013,-12.4,-12.36,-12.57,-26.91,- -,-11.31,-36.14,233.76,-302.78,-1.59,-112.7,-0.93,-112.62,-10.11,2.62,-11.31,-11.31,-0.2,1.25,-114.27,-0.46,303.07,-7.17,-13.35,-16.65,-12.87,-11.05,2.76,-8.58,-3.09,-2.58,-15.55,4.7,-2.08,-3.39,-15.17,-23.62,200,-8.01,1.89,-16.58,-3.42,-4.53,-0.96,- -,-43.18,-1.3,-5.23,1.82,-3.39,-2.92,0.02,-1.77,15.37,-0.62,-40.12,-12,-254.34,-7.17,-50.83,- -,11.76,-6.41,-5.69,-115.47,73.41,296.67,261.39,6.98,-34.68,-240.29,-5.69,-8.32,45.21,-848.71,0.07746484376832563
4,2014,7.9,11.18,-4.9,-15,- -,-4.16,-33.05,50.38,61.1,-3.1,596.11,-3.21,596.92,-4.05,-11.07,-4.16,-4.16,-11.86,-11.18,525.19,28.31,24.87,-3.79,-2.68,-6.27,14.64,2.63,-9.03,1.12,0.16,1.14,-46.83,-16.76,-4.69,-3.58,4.92,-2.16,- -,-8.57,-0.76,-5.11,-1.84,-3.42,-0.4,- -,-441.33,14.02,-1.34,-4.26,-3.58,-2.58,-0.45,3.98,0.76,10.61,62.49,-15.91,108.17,-3.79,-55.68,- -,1244.74,-34.03,1.41,46.34,-63.02,21.01,30.1,-4.35,11.09,-34.87,1.41,-130.95,16.1,-90.22,-0.15134768299760104
5,2015,-12.73,-13.95,-7.19,4.81,- -,-7.96,16.83,-28.81,-35.2,-4.58,-58.3,-4.83,-58.19,-8.01,5.41,-7.96,-7.96,6.35,5.46,-54.4,-23.12,100.87,-8.11,-22.33,-18,-8.71,-3.85,-9,-12.27,-9.28,-8.11,13.59,20.29,-3.71,-5.43,-9.38,18.57,-98.45,-0.67,-2.39,-7.91,-3.71,-3.04,3.67,- -,-72.07,18.17,-26.29,-15.75,-5.43,-5.26,1.17,20.09,-9.84,-11.67,78.73,13.51,-33.57,-8.11,57.96,- -,-57.24,19.15,14.48,-141.67,260.67,91.67,-11.59,56.49,-102.22,60.63,14.48,-22.67,-44.77,199.44,-0.2747832404031928
6,2016,-9.2,-7.8,-15.11,-1.02,- -,-16.14,35.79,-87.79,-52.62,-3.93,-484.39,-4.21,-485.51,-10.46,-1.39,-16.14,-16.14,-6.5,-7.64,-506.71,-9.2,9.37,2.8,20.45,3.41,-12.41,-6.67,-23.33,-6.63,0.14,0.34,1.8,-4.85,-0.92,-1.98,-9.96,-48.48,- -,-24.14,4.83,9.83,5.98,-0.85,-1.44,- -,-901.4,-29.02,-11.27,-7.63,-1.98,-1.14,-1.98,6.12,-10.63,23.09,19.88,- -,-201.97,2.8,190.68,- -,-226.32,35.15,1.6,-594,-10.9,5.07,-14.51,-83.61,-2767.86,-114.22,1.6,-409.77,0.48,-136.6,0.16851095097089308
7,2017,-22.49,-27.68,1.27,10.82,- -,0.45,-29.69,462.77,-141,- -,2.74,- -,2.74,0.09,29.14,0.45,0.45,30.67,29.6,32.56,-22.49,9.31,-0.6,-34.71,-27.28,-32.46,-10.79,98.41,-0.2,-11.17,-12.78,92.75,-16.33,-10.08,-8.33,-28.67,66.08,7846.15,14.34,-7.09,-25.87,-11.56,-7.07,-1.06,- -,98.6,-31.93,-11.78,-15,-8.33,0.18,-0.74,16.78,-10.74,-12.72,-26.22,- -,- -,-0.6,11.9,- -,-111.96,-13.7,-7.16,-193.12,30.41,9.31,29.54,- -,-105.76,-848.28,-7.16,-42.12,2.89,-16,-0.2210938856704524
8,2018,1.96,1.2,4.42,-10.7,- -,5.87,-75.44,161.74,-1011.49,0.3,-203.3,0.76,-202.84,-0.99,-2.89,5.87,5.87,2.42,3.84,-201.63,1.96,8.19,-14.2,7.72,22.87,9.02,2.67,-54.53,-21.62,5.42,4.9,-6.93,-4.31,2.96,-1.78,-3.5,-23.34,-99.23,-27.02,-0.93,10,1.25,-4.78,-4.08,- -,-55.84,10.39,30.14,15.67,-1.78,0.29,-4.66,-17.58,22.71,7.41,-17.32,- -,-301.42,-14.2,-101.8,- -,181.82,-5.87,-2.57,-147.39,-81.63,8.52,-25.14,- -,-3920.93,-189.86,-2.57,-28.85,41.4,-190.85,0.4525783476336317
9,2019,-5.1,-3.96,-8.71,2.08,- -,-9.58,217.36,-50.4,-64.64,0.3,-74.89,0.3,-74.89,-5.5,-0.42,-9.58,-9.58,-3.8,-4.72,-73.46,-5.1,4.92,4.19,-3.38,-11.75,-7.27,-15.6,34.6,4.31,5.51,4.92,-13.29,-2.38,3.31,3.47,1.98,12.6,5425,15.84,3.79,2.79,3.57,5.58,-4.63,- -,-31.14,7.63,-6.61,-6.69,3.47,0.25,5.6,13.17,-13,-9.96,2.71,- -,-69.46,4.19,-2617.95,- -,-79.03,5.25,13.39,-4.59,438.81,5.23,63.86,- -,-94.77,-274.87,13.39,-72.52,27.45,317.87,0.13281454753802846
