   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA ,EBIT ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,13.58                    ,- -             ,13.17        ,135.91                     ,- -                    ,- -                     ,60.4                        ,60.4          ,56.58                       ,0.53                      ,55.75             ,0.86                        ,55.25               ,- -    ,- -               ,- -   ,- -  ,- -              ,- -                  ,37.86             ,15.55              ,              1.56 ,- -                  ,-7.43                          ,-8.7                    ,-13.48                  ,- -         ,- -             ,-8.87                ,4.55                           ,4.55                      ,21.7                         ,19.21           ,21.28                   ,20.13        ,1.12                ,- -     ,- -                  ,1.12                      ,16.89   ,19.49                ,19.4                         ,18.89             ,                7.11 ,- -          ,            14.38 ,2872.41      ,31.35                           ,31.35        ,20.13                      ,0.23               ,232.25   ,152.94             ,9.34                         ,-9.88         ,- -                   ,-1.71               ,56.58      ,- -                         ,-72.09         ,- -                      ,32.19                    ,13.44                          ,- -                   ,72.68                       ,35.72                          ,2.1            ,-46.76         ,-1185.71                    ,-76.97                         ,-120.38             ,- -                  ,13.44          ,6.04                 ,-27.55                  ,0.1212489062742248
 1 ,2011 ,6.94                     ,- -             ,6.93         ,6.79                       ,- -                    ,- -                     ,-16.54                      ,-16.54        ,-16.21                      ,-0.54                     ,-15.76            ,-0.79                       ,-15.55              ,- -    ,- -               ,- -   ,- -  ,- -              ,- -                  ,-21.65            ,-1.09              ,              3.73 ,- -                  ,7.14                           ,6.03                    ,2.87                    ,- -         ,- -             ,1852.86              ,-0.48                          ,-0.48                     ,17.54                        ,-473.55         ,-39.59                  ,15.9         ,59.77               ,- -     ,- -                  ,6.85                      ,8.13    ,15.23                ,14.98                        ,15.13             ,                6.35 ,- -          ,             9.79 ,142.46       ,22.16                           ,22.16        ,15.9                       ,-0.71              ,12.98    ,-7.52              ,5.4                          ,1727.64       ,- -                   ,8.12                ,-16.21     ,- -                         ,287.22         ,- -                      ,72.3                     ,55.13                          ,- -                   ,60.94                       ,45.71                          ,3.18           ,-17.11         ,271.05                      ,-60.25                         ,-127.3              ,- -                  ,55.13          ,-50.92               ,85.14                   ,-0.21290805663465018
 2 ,2012 ,14.4                     ,- -             ,14.4         ,- -                        ,- -                    ,- -                     ,43.78                       ,43.78         ,45.93                       ,0.07                      ,45.82             ,-0.02                       ,45.95               ,- -    ,- -               ,- -   ,- -  ,- -              ,- -                  ,27.56             ,9.26               ,              9.16 ,- -                  ,2532.15                        ,-9.25                   ,43.53                   ,- -         ,- -             ,13.39                ,-8.59                          ,-8.59                     ,14.61                        ,17.65           ,12.19                   ,11.95        ,193.68              ,- -     ,449.17               ,67.16                     ,32.48   ,9.42                 ,10.17                        ,11.12             ,                6.65 ,1.52         ,            11.58 ,29.9         ,18.3                            ,18.3         ,11.95                      ,0.32               ,123.07   ,88.56              ,5.68                         ,-32.16        ,- -                   ,4.71                ,45.93      ,- -                         ,-80.01         ,- -                      ,61.2                     ,37.91                          ,- -                   ,100.67                      ,56.54                          ,9.24           ,142.9          ,-69.5                       ,2939.06                        ,-171.43             ,- -                  ,37.91          ,-11.94               ,-5.49                   ,0.12971740243702667
 3 ,2013 ,-5.62                    ,- -             ,-5.72        ,- -                        ,- -                    ,- -                     ,11.95                       ,11.95         ,10.19                       ,-0.51                     ,10.75             ,-0.4                        ,10.63               ,- -    ,- -               ,- -   ,- -  ,- -              ,- -                  ,16.75             ,-7.44              ,              5.84 ,- -                  ,-0.06                          ,24.6                    ,19.36                   ,- -         ,- -             ,0.23                 ,-14.72                         ,-14.72                    ,-9.1                         ,-1.39           ,-14.94                  ,-7.47        ,-5.89               ,- -     ,-7.28                ,-3.63                     ,12.52   ,-8.26                ,-7.45                        ,-7.32             ,                8.84 ,- -          ,            14.37 ,-120.74      ,-8.5                            ,-8.5         ,-7.47                      ,-1.79              ,1.86     ,11.32              ,-1.12                        ,4.01          ,- -                   ,1.96                ,10.19      ,- -                         ,-99.37         ,- -                      ,-37.24                   ,-29.46                         ,- -                   ,-48.6                       ,-34.57                         ,5.31           ,-53.52         ,743.02                      ,-41.59                         ,-1176.36            ,- -                  ,-29.46         ,80.63                ,-35.98                  ,-0.006972489396808168
 4 ,2014 ,-5.06                    ,- -             ,-5.12        ,- -                        ,- -                    ,- -                     ,-6.75                       ,-6.75         ,-6.55                       ,-2.86                     ,-3.8              ,-2.87                       ,-3.8                ,- -    ,- -               ,- -   ,- -  ,- -              ,- -                  ,-1.58             ,-8.89              ,              6.03 ,- -                  ,14.7                           ,83.17                   ,-27.73                  ,- -         ,- -             ,13.94                ,-10.81                         ,-10.81                    ,-2.79                        ,15.33           ,-18.68                  ,-1.27        ,-21.51              ,- -     ,-62.32               ,50.43                     ,7.86    ,-7.67                ,-6.94                        ,-5.28             ,                3.92 ,- -          ,            11.42 ,-451.51      ,28.02                           ,28.02        ,-1.27                      ,-3.69              ,-60.75   ,-69.34             ,29.66                        ,-24.26        ,- -                   ,4.2                 ,-6.55      ,- -                         ,4600           ,- -                      ,-52.55                   ,-37.9                          ,- -                   ,-91.05                      ,-61.76                         ,2.99           ,7.14           ,62.34                       ,-112.94                        ,265.2               ,- -                  ,-37.9          ,45.13                ,-33.54                  ,-0.17646162023472767
 5 ,2015 ,-8.17                    ,- -             ,-7.94        ,- -                        ,- -                    ,- -                     ,-14.01                      ,-14.01        ,-14.16                      ,-4.55                     ,-10.07            ,-4.59                       ,-10.04              ,- -    ,- -               ,- -   ,- -  ,- -              ,- -                  ,-6.53             ,-11.78             ,              5.09 ,- -                  ,-1.08                          ,-6.61                   ,-16.27                  ,- -         ,- -             ,-1.25                ,-0.47                          ,-0.47                     ,-1.23                        ,-1.18           ,-1.28                   ,-1.23        ,-29.45              ,- -     ,-57.09               ,-22.4                     ,-5.13   ,0.72                 ,0.4                          ,-0.14             ,                6.58 ,- -          ,             8.35 ,-68.42       ,-7.13                           ,-7.13        ,-1.23                      ,-4.08              ,-28.46   ,-22.97             ,-5.97                        ,27.26         ,- -                   ,4.09                ,-14.16     ,- -                         ,803.19         ,- -                      ,-3.17                    ,3.45                           ,- -                   ,220.68                      ,15.47                          ,0.31           ,33.07          ,8.67                        ,1387.76                        ,-114.25             ,- -                  ,3.45           ,-10.59               ,20.52                   ,0.012627306043713427
 6 ,2016 ,8.08                     ,- -             ,8.06         ,- -                        ,- -                    ,- -                     ,5.31                        ,5.31          ,4.97                        ,-4.45                     ,9.87              ,-4.44                       ,9.86                ,- -    ,- -               ,- -   ,- -  ,- -              ,- -                  ,-2.88             ,4.94               ,              4.98 ,- -                  ,13.05                          ,11.7                    ,-5.11                   ,- -         ,- -             ,12.88                ,1.41                           ,1.41                      ,8.69                         ,11.77           ,4.81                    ,9.74         ,11.97               ,116.33  ,-44.1                ,39.08                     ,6.96    ,7.39                 ,7.37                         ,8.35              ,                7.81 ,- -          ,             8.22 ,320.8        ,17.83                           ,17.83        ,9.74                       ,-4.38              ,73.98    ,47.65              ,7.38                         ,-18.84        ,- -                   ,3                   ,4.97       ,- -                         ,-58.3          ,- -                      ,-12.37                   ,-11.64                         ,- -                   ,-0.5                        ,-21.28                         ,0.3            ,-1.2           ,7.58                        ,-25.97                         ,-266.56             ,- -                  ,-11.64         ,25.87                ,-15.83                  ,0.09565477436600478
 7 ,2017 ,-3.95                    ,- -             ,-3.95        ,- -                        ,- -                    ,- -                     ,-1.2                        ,-1.2          ,64.39                       ,-3.75                     ,70.8              ,-3.62                       ,70.56               ,- -    ,- -               ,- -   ,- -  ,- -              ,- -                  ,71.15             ,-13.34             ,              4.38 ,- -                  ,8.91                           ,-28.15                  ,23.62                   ,- -         ,-101.9          ,7.78                 ,0.23                           ,0.23                      ,6.1                          ,9.09            ,2.1                     ,5.7          ,-9.5                ,-15.56  ,15.21                ,-12.31                    ,-1.32   ,4.18                 ,3.9                          ,3.21              ,                7.05 ,- -          ,            15.06 ,53.16        ,18.96                           ,18.96        ,5.7                        ,-3.78              ,104      ,71.49              ,12.54                        ,22.91         ,- -                   ,10.83               ,73.15      ,- -                         ,-109.89        ,- -                      ,-47.58                   ,2.36                           ,- -                   ,53.37                       ,40.88                          ,0.46           ,5.48           ,-4.22                       ,27.55                          ,-366.67             ,- -                  ,2.36           ,18.77                ,-37.73                  ,0.09602628979618655
 8 ,2018 ,0.42                     ,- -             ,0.5          ,- -                        ,- -                    ,- -                     ,-0.87                       ,-0.87         ,-33.2                       ,-2.83                     ,-31.25            ,-2.91                       ,-31.19              ,- -    ,- -               ,- -   ,- -  ,- -              ,- -                  ,-33.48            ,-0.21              ,             23.47 ,- -                  ,-1.8                           ,24.23                   ,2.9                     ,- -         ,- -             ,-0.62                ,2.07                           ,2.07                      ,-2.2                         ,-9.17           ,7.69                    ,2.32         ,-5.21               ,- -     ,73.6                 ,-24.05                    ,9.25    ,5.01                 ,5.22                         ,3.63              ,                5.72 ,101.49       ,             6.33 ,-46.6        ,-3.71                           ,-3.71        ,2.32                       ,-3.28              ,-38.58   ,-36.21             ,-5.89                        ,30.85         ,- -                   ,0.64                ,-36.58     ,- -                         ,-2220          ,- -                      ,50.87                    ,-1.86                          ,- -                   ,-96.24                      ,-34.05                         ,19.97          ,-1.92          ,-5.69                       ,-21.74                         ,-159.65             ,- -                  ,-1.86          ,1.1                  ,46.91                   ,0.1244009484134666
 9 ,2019 ,2.52                     ,- -             ,2.46         ,- -                        ,- -                    ,- -                     ,11.6                        ,11.6          ,13.15                       ,-3.53                     ,17.29             ,-3.64                       ,17.43               ,- -    ,- -               ,- -   ,- -  ,- -              ,- -                  ,10.37             ,-0.44              ,              0.78 ,- -                  ,10.23                          ,12.89                   ,-2.7                    ,- -         ,- -             ,10.11                ,31.15                          ,31.15                     ,6.96                         ,7.43            ,6.61                    ,8.8          ,42.86               ,- -     ,78.33                ,33.58                     ,13.69   ,4.41                 ,4.88                         ,5.87              ,                5.88 ,- -          ,             7.87 ,207.53       ,23.43                           ,23.43        ,8.8                        ,-3.77              ,16.1     ,-5.94              ,13.44                        ,-17.57        ,- -                   ,2.98                ,13.15      ,- -                         ,-56.47         ,- -                      ,-22.28                   ,-9.29                          ,- -                   ,614.95                      ,-11.47                         ,-2.77          ,-39.71         ,26.95                       ,6                              ,-30.02              ,- -                  ,-9.29          ,24.17                ,-19.84                  ,-0.10327215121563427
