   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA   ,EBIT ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,-19.48                   ,- -             ,2.89         ,- -                        ,- -                    ,- -                     ,-231.42                     ,-231.42       ,-202.61                     ,0.93                      ,-163              ,0.98                        ,-162.97             ,-6.24  ,16.44             ,- -     ,- -  ,- -              ,- -                  ,-188.32           ,22.69              ,- -                ,-22.63               ,-15.02                         ,-64.59                  ,-5.05                   ,- -         ,726.06          ,-10.56               ,- -                            ,- -                       ,-33.34                       ,0.38            ,-20.14                  ,-19.37       ,-44.16              ,- -     ,629.84               ,- -                       ,-24.75  ,-21.87               ,-22.42                       ,-23.98            ,49.75                ,3.95         ,-69.84            ,33.92        ,22.19                           ,15.9         ,-19.37                     ,3.99               ,-26.03   ,-36.18             ,125.28                       ,- -           ,- -                   ,-34.38              ,-202.61    ,-6.24                       ,-160.59        ,- -                      ,-92.94                   ,-9.01                          ,-47.02                ,-573.7                      ,-276.96                        ,- -            ,-11.12         ,-58.85                      ,-68.06                         ,-44.42              ,-47.02               ,-7.95          ,110.49               ,-227.96                 ,0.7941206566342927
 1 ,2011 ,-16.9                    ,- -             ,-15.68       ,-1.88                      ,- -                    ,- -                     ,-105.94                     ,-105.94       ,40.52                       ,1217.4                    ,-83.44            ,1216.85                     ,-83.43              ,-34.88 ,-21.63            ,-1.8    ,- -  ,- -              ,- -                  ,175.08            ,-8.15              ,- -                ,-12.69               ,-45.03                         ,-5.39                   ,-6.31                   ,- -         ,16898.13        ,396.23               ,758.02                         ,758.02                    ,2.2                          ,-131.76         ,-59.79                  ,-18.68       ,- -                 ,- -     ,- -                  ,- -                       ,-29.31  ,-20.81               ,-22.4                        ,-22.52            ,761.14               ,1195.11      ,-513.5            ,-34.31       ,23.01                           ,0.58         ,-18.68                     ,1250.41            ,-29.67   ,-30.07             ,244.37                       ,- -           ,- -                   ,-9.52               ,40.52      ,-34.88                      ,-145.08        ,- -                      ,6907.29                  ,-99.79                         ,- -                   ,-144.02                     ,-455.33                        ,- -            ,-76.44         ,126.69                      ,298.73                         ,-78.3               ,- -                  ,-99.79         ,311564.33            ,-99.91                  ,-0.5145573722998744
 2 ,2012 ,2.05                     ,- -             ,9.26         ,331.58                     ,- -                    ,- -                     ,-975.31                     ,-975.31       ,-54.32                      ,-6.23                     ,-78.41            ,-6.24                       ,-78.41              ,-0.31  ,-2.31             ,-181.32 ,- -  ,- -              ,- -                  ,-81.07            ,-7.67              ,- -                ,-46.3                ,1147.27                        ,-21.91                  ,-4.97                   ,- -         ,- -             ,3.69                 ,- -                            ,- -                       ,3.99                         ,-7.41           ,-6.22                   ,-1.28        ,- -                 ,- -     ,- -                  ,- -                       ,-35.55  ,9.33                 ,1.69                         ,1.85              ,-1.59                ,- -          ,-1.09             ,151.08       ,-6.62                           ,-13.41       ,-1.28                      ,-22.17             ,-35.82   ,-25.89             ,-12.51                       ,- -           ,- -                   ,10.53               ,-78.2      ,-0.31                       ,-212.34        ,- -                      ,-89.27                   ,10402.86                       ,- -                   ,455.48                      ,-54.28                         ,- -            ,-37.59         ,-360.78                     ,-44.31                         ,-50.63              ,- -                  ,10402.86       ,-98.66               ,54271.77                ,0.38749507843229614
 3 ,2013 ,6.29                     ,- -             ,-2.17        ,-73.48                     ,- -                    ,- -                     ,0.49                        ,0.49          ,16.2                        ,-12.63                    ,202.44            ,-12.21                      ,201.01              ,-35.87 ,-39.66            ,- -     ,- -  ,- -              ,- -                  ,148.62            ,4.63               ,- -                ,-11.19               ,-5.93                          ,94.7                    ,-7.51                   ,- -         ,- -             ,-6                   ,- -                            ,- -                       ,-6.18                        ,-34.33          ,4.91                    ,-1.33        ,- -                 ,- -     ,- -                  ,- -                       ,-14.04  ,-0.65                ,-2.09                        ,-2.09             ,0.57                 ,- -          ,62                ,-49.42       ,2.52                            ,2.13         ,-1.33                      ,-0.83              ,-16.68   ,-18.42             ,3.54                         ,- -           ,- -                   ,1.59                ,145.73     ,-35.87                      ,-63.63         ,- -                      ,52.56                    ,59.55                          ,- -                   ,-50.86                      ,-57.27                         ,- -            ,8.07           ,-95.41                      ,-42.82                         ,-536.96             ,- -                  ,59.55          ,-18.94               ,-39.62                  ,0.15602976210102693
 4 ,2014 ,-7.27                    ,- -             ,-7.53        ,223.65                     ,- -                    ,- -                     ,12.09                       ,12.09         ,-15.92                      ,-3.13                     ,-14.45            ,-2.27                       ,-15.2               ,-5.62  ,1.78              ,- -     ,- -  ,- -              ,- -                  ,-10.63            ,-8.7               ,150.01             ,-5.62                ,-3.29                          ,-21.55                  ,-7.02                   ,- -         ,- -             ,-3.45                ,- -                            ,- -                       ,-3.5                         ,7.94            ,-6.32                   ,-4.76        ,- -                 ,- -     ,- -                  ,- -                       ,-25.13  ,-5.38                ,-7.25                        ,-7.25             ,0.07                 ,- -          ,29.65             ,66.93        ,6.4                             ,6.09         ,-4.76                      ,-6.02              ,-25.33   ,-29.62             ,11.52                        ,- -           ,- -                   ,1.56                ,-17.25     ,-5.62                       ,8.96           ,- -                      ,-21.67                   ,-14.63                         ,- -                   ,108.63                      ,101.21                         ,142.18         ,27.74          ,721.11                      ,68.29                          ,-141.21             ,- -                  ,-14.63         ,26.81                ,3.01                    ,-0.006517223280720019
 5 ,2015 ,-8.8                     ,- -             ,-8.8         ,-13.84                     ,- -                    ,- -                     ,-68.76                      ,-68.76        ,-70.66                      ,-8.97                     ,-67.96            ,-7.81                       ,-68.36              ,4.07   ,14.11             ,- -     ,- -  ,- -              ,- -                  ,-68.02            ,-10.72             ,58.62              ,4.07                 ,-4.71                          ,-7.34                   ,-4.82                   ,- -         ,- -             ,-4.72                ,- -                            ,- -                       ,-5.83                        ,-18.24          ,-2.3                    ,-3.61        ,- -                 ,- -     ,- -                  ,- -                       ,-5.98   ,0.05                 ,-0.41                        ,-0.39             ,0.64                 ,- -          ,3.92              ,-76.1        ,-16.13                          ,-15.91       ,-3.61                      ,-13.23             ,-5.9     ,11.9               ,-13.1                        ,- -           ,- -                   ,2.15                ,-70.47     ,4.07                        ,-105.77        ,- -                      ,-4.31                    ,-42.54                         ,- -                   ,-26.99                      ,-40.76                         ,44.38          ,2.69           ,118.09                      ,-42.24                         ,-81.89              ,- -                  ,-42.54         ,76.19                ,97                      ,0.12876083870632304
 6 ,2016 ,-10.47                   ,- -             ,-10.47       ,-13.38                     ,- -                    ,- -                     ,-102.26                     ,-102.26       ,-111.66                     ,-16.06                    ,-146.06           ,-18.24                      ,-147.29             ,-11.64 ,-1.31             ,- -     ,- -  ,- -              ,- -                  ,-143.18           ,5.4                ,59                 ,-11.64               ,-1.65                          ,14.67                   ,-8.61                   ,- -         ,- -             ,-1.95                ,- -                            ,- -                       ,-3.08                        ,-28.55          ,2.98                    ,0.27         ,- -                 ,- -     ,- -                  ,- -                       ,5.32    ,3.5                  ,3.63                         ,3.61              ,-0.52                ,- -          ,-7.21             ,27.32        ,-14.9                           ,-14.8        ,0.27                       ,-16.63             ,4.77     ,22.97              ,-15.22                       ,- -           ,- -                   ,-15.06              ,-115.71    ,-11.64                      ,-26.14         ,- -                      ,-64.36                   ,-17.17                         ,- -                   ,-47.25                      ,-43.94                         ,33.46          ,-13.3          ,7.19                        ,-40.21                         ,-426.67             ,- -                  ,-17.17         ,3.62                 ,-314.24                 ,-0.017693065677319986
 7 ,2017 ,-5.35                    ,- -             ,-5.35        ,-17.13                     ,- -                    ,- -                     ,-2081.08                    ,-2081.08      ,2239.77                     ,-14.71                    ,740.22            ,-14.71                      ,740.22              ,-5.28  ,0.08              ,- -     ,- -  ,- -              ,- -                  ,657.14            ,7.19               ,0.16               ,-5.28                ,-1.55                          ,26.45                   ,-2.07                   ,- -         ,- -             ,-1.57                ,- -                            ,- -                       ,-2.2                         ,-26.55          ,1.82                    ,0.01         ,- -                 ,- -     ,- -                  ,- -                       ,2.36    ,2.68                 ,2.65                         ,2.65              ,0.02                 ,- -          ,-25.27            ,69.2         ,-14.59                          ,-14.51       ,0.01                       ,-9.67              ,0.81     ,17.91              ,-14.88                       ,- -           ,- -                   ,-11.7               ,1635.24    ,-5.28                       ,-228.32        ,- -                      ,325.42                   ,-460.26                        ,- -                   ,176.62                      ,209.25                         ,-14.58         ,-43.63         ,-45.24                      ,-16.63                         ,32.31               ,- -                  ,-460.26        ,-121.71              ,-150.27                 ,-0.2628436460066048
 8 ,2018 ,-4.9                     ,- -             ,-4.9         ,2.14                       ,- -                    ,- -                     ,-82.47                      ,-82.47        ,-101.7                      ,-3.46                     ,-99.9             ,-2.19                       ,-99.9               ,38.41  ,45.55             ,- -     ,- -  ,- -              ,- -                  ,-99.9             ,-4.52              ,0.57               ,38.41                ,-3.89                          ,21.63                   ,7.45                    ,- -         ,- -             ,-3.45                ,- -                            ,- -                       ,-4.81                        ,-54.87          ,1.15                    ,-1.27        ,- -                 ,- -     ,- -                  ,- -                       ,9.17    ,-0.2                 ,0.48                         ,0.48              ,0.22                 ,- -          ,-2.67             ,-125.86      ,-13.52                          ,-12.78       ,-1.27                      ,-3.61              ,8.16     ,24.01              ,-15.48                       ,- -           ,- -                   ,-0.4                ,-101.01    ,38.41                       ,-1024.14       ,- -                      ,7.09                     ,-100.71                        ,- -                   ,-42.85                      ,-101.52                        ,-2.9           ,41.06          ,-72.29                      ,-113.94                        ,62.47               ,- -                  ,-100.71        ,-8978.24             ,-820.49                 ,-0.2585494495486005
 9 ,2019 ,4.87                     ,- -             ,4.87         ,-8.22                      ,- -                    ,- -                     ,1957.2                      ,1957.2        ,3900.97                     ,-2.41                     ,-56902.6          ,-2.27                       ,-56818.95           ,-6.64  ,-10.97            ,- -     ,- -  ,- -              ,- -                  ,-53310.17         ,13.07              ,2.29               ,-6.64                ,10.43                          ,-0.59                   ,-6.69                   ,- -         ,- -             ,9.68                 ,- -                            ,- -                       ,7.99                         ,90.75           ,3.59                    ,6.72         ,- -                 ,- -     ,- -                  ,- -                       ,2.35    ,5.54                 ,5.28                         ,5.28              ,0.09                 ,- -          ,10.53             ,-452.58      ,16.53                           ,17.66        ,6.72                       ,0.39               ,2.61     ,-12.79             ,10.67                        ,- -           ,- -                   ,-7.26               ,6734.43    ,-6.64                       ,-102.76        ,- -                      ,50.19                    ,-1621.31                       ,- -                   ,-129.13                     ,2355.16                        ,-0.18          ,-18.02         ,- -                         ,703.4                          ,-103.8              ,- -                  ,-1621.31       ,-108.47              ,-97.27                  ,0.04702738218252778
