   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA ,EBIT  ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,7.8                      ,10.55           ,3.35         ,7.03                       ,- -                    ,-3.57                   ,-1.84                       ,-3.84         ,22.69                       ,                     4.28 ,29.83             ,                       4.47 ,29.58               ,-0.36  ,-7.57             ,-3.57 ,-3.57 ,-4.13            ,-10.55               ,25.58             ,-0.26              ,0.1                ,                8.76 ,21.26                          ,21.32                   ,8.13                    ,- -         ,13.4            ,               12.08 ,-6.07                          ,                     6.94 ,- -                          ,          13.27 ,                   9.34 ,       10.64 ,6.92                ,- -     ,7.83                 ,                     6.98 ,- -     ,8.71                 ,3.28                         ,             5.6  ,               36.45 ,        5.76 ,8.44              ,-124.44      ,23.94                           ,23.94        ,                     10.64 ,              5.76 ,-12.76   ,-29.61             ,-15.95                       ,4.77          ,32.35                 ,8.08                ,21.41      ,                       8.76 ,-54.5          ,-9.09                    ,6.77                     ,8.51                           ,6.81                  ,- -                         ,-2.11                          ,4.38           ,-84.21         ,391.78                      ,-8.73                          ,253.91              ,6.81                 ,8.72           ,23                   ,-19.85                  ,0.2281308384273517
 1 ,2011 ,14.51                    ,14.95           ,13.75        ,18.16                      ,- -                    ,3.15                    ,8.13                        ,2.36          ,-11.76                      ,                     6.58 ,-22.34            ,                       7.04 ,-22.68              ,8.99   ,-4.82             ,3.15  ,3.15  ,-0.66            ,-9.92                ,-27.72            ,-1.19              ,2.47               ,               23.74 ,16.57                          ,16.57                   ,36.93                   ,- -         ,21.35           ,               27.43 ,20.45                          ,                    21.26 ,- -                          ,          22.22 ,                  22.14 ,       24.68 ,9.83                ,- -     ,339.5                ,                    31.47 ,22.73   ,35.72                ,27.88                        ,            30.15 ,               31.11 ,        5.81 ,-1.11             ,-2245.45     ,12.37                           ,12.37        ,                     24.68 ,              5.81 ,31.18    ,16.74              ,46.33                        ,-3.07         ,54.38                 ,15.89               ,-10.83     ,                      23.74 ,1.04           ,58.89                    ,-145.32                  ,23.75                          ,82.87                 ,- -                         ,236.07                         ,9.21           ,475            ,102.51                      ,-168.19                        ,-5.65               ,82.87                ,16.49          ,-4.34                ,49.51                   ,0.20260658375774576
 2 ,2012 ,18.06                    ,18.18           ,17.86        ,- -                        ,- -                    ,20.34                   ,34.1                        ,18.05         ,35.32                       ,                     8.33 ,24.92             ,                       8.89 ,24.28               ,20.83  ,2.35              ,20.34 ,20.34 ,-0.17            ,1.93                 ,14.62             ,6.86               ,29.42              ,               21.88 ,3.74                           ,3.74                    ,6.72                    ,- -         ,17.05           ,               10.46 ,15.44                          ,                     8.11 ,- -                          ,          28.48 ,                  27.96 ,       19.38 ,12.2                ,1190    ,-6.23                ,                    13.95 ,7.41    ,23.31                ,14.1                         ,            14.01 ,               46.18 ,        9.5  ,5.69              ,-30.51       ,33.37                           ,33.37        ,                     19.38 ,              9.5  ,40.15    ,5.08               ,18.78                        ,-3.06         ,-20.31                ,10.48               ,35.32      ,                      21.88 ,77.32          ,-47.55                   ,-164                     ,20.77                          ,11.11                 ,- -                         ,22.81                          ,40.19          ,27.9           ,11.14                       ,-30.03                         ,-82.55              ,11.11                ,22.64          ,-6.83                ,-10.75                  ,-0.05762029817054537
 3 ,2013 ,26.16                    ,32.23           ,15.51        ,- -                        ,- -                    ,17.52                   ,11.64                       ,18.63         ,45.95                       ,                     6.53 ,29.3              ,                       6.53 ,29.3                ,20.67  ,-4.35             ,17.52 ,17.52 ,-8.44            ,-6.85                ,9.18              ,5.39               ,-16.14             ,               27.21 ,-1.32                          ,-1.32                   ,29.04                   ,- -         ,12.78           ,               18.36 ,52.18                          ,                    22.54 ,- -                          ,          35.75 ,                  36.34 ,       28.18 ,18.41               ,388.76  ,20.62                ,                    39.02 ,13.79   ,9.81                 ,11.98                        ,            29.27 ,               26.31 ,        6.37 ,16.85             ,-92.07       ,25.74                           ,25.74        ,                     28.18 ,              6.37 ,109.71   ,66.78              ,54.1                         ,-14.86        ,-13.77                ,19.71               ,37.74      ,                      27.21 ,112.79         ,2.67                     ,1059.38                  ,8.6                            ,83.53                 ,- -                         ,122.84                         ,-10.67         ,208.92         ,-5.69                       ,945.75                         ,-88.06              ,83.53                ,-4.49          ,22.04                ,-21.16                  ,0.10359025648626075
 4 ,2014 ,45.51                    ,52.03           ,32.41        ,- -                        ,- -                    ,16.1                    ,105.6                       ,0.17          ,15.07                       ,                    18.62 ,-4.77             ,                      18.24 ,-4.47               ,25.99  ,-13.41            ,16.1  ,16.1  ,-9               ,-20.21               ,-22.37            ,18.13              ,3                  ,               44.96 ,5.47                           ,5.47                    ,21.77                   ,- -         ,52.57           ,               32.54 ,21.82                          ,                    23.08 ,- -                          ,          56.97 ,                  55.56 ,       45.91 ,21.75               ,-57.51  ,50.42                ,                    10.9  ,157.58  ,40.89                ,105.49                       ,            40.42 ,               88.64 ,       23.2  ,13.35             ,9923.08      ,54.85                           ,58.48        ,                     45.91 ,             23.2  ,79.58    ,13.32              ,28.21                        ,19.51         ,-21.06                ,23.17               ,21.93      ,                      44.96 ,-411.48        ,37.66                    ,-67.83                   ,17.21                          ,-12.93                ,- -                         ,136.2                          ,22.18          ,121.68         ,1208.4                      ,225.73                         ,-1550               ,-12.93               ,27.32          ,9.22                 ,3.76                    ,-0.07920406931792479
 5 ,2015 ,16.55                    ,17.17           ,15.14        ,- -                        ,- -                    ,9.82                    ,34.84                       ,0.69          ,18.81                       ,                    12.62 ,4.42              ,                      12.25 ,4.77                ,17.42  ,0.74              ,9.82  ,9.82  ,-1.21            ,-5.77                ,0.9               ,9.51               ,2.48               ,               29.08 ,52.8                           ,52.8                    ,17.47                   ,- -         ,-3.63           ,               10.56 ,27.43                          ,                    18.08 ,- -                          ,           7.4  ,                   8.03 ,        9    ,9.67                ,42.59   ,23.49                ,                    14.94 ,-2.51   ,2.81                 ,-0.88                        ,             7.72 ,               20.34 ,        7.47 ,14.57             ,100.5        ,12.66                           ,11.59        ,                      9    ,              7.47 ,-5.06    ,-14.92             ,-24.87                       ,-3.81         ,-2.71                 ,6.44                ,18.81      ,                      29.08 ,-148.77        ,5.66                     ,159.22                   ,57.15                          ,21.47                 ,- -                         ,-81.66                         ,15.42          ,-63.89         ,-79.61                      ,-102.03                        ,-2561.21            ,21.47                ,65.33          ,-36.35               ,33.63                   ,-0.09412212060466107
 6 ,2016 ,5.34                     ,7.87            ,-0.58        ,- -                        ,- -                    ,8.79                    ,-1.18                       ,13.66         ,10.59                       ,                     3.14 ,7.83              ,                       3    ,7.97                ,7.13   ,1.7               ,8.79  ,8.79  ,-5.63            ,3.27                 ,5.57              ,-8.67              ,2.49               ,                4.97 ,13.55                          ,13.55                   ,6.71                    ,- -         ,0.09            ,                4.8  ,51.65                          ,                    21.79 ,- -                          ,           3.85 ,                   5.63 ,        5.31 ,4.14                ,84.19   ,-1.72                ,                    10.14 ,3.52    ,11.83                ,6.16                         ,             8.47 ,                1.7  ,        0.79 ,18.32             ,46.14        ,-1.15                           ,-0.88        ,                      5.31 ,              0.79 ,16.69    ,17.73              ,-5.37                        ,-4.85         ,-6.03                 ,15.35               ,10.59      ,                       4.97 ,-26.8          ,31.25                    ,85.56                    ,-5.32                          ,120                   ,- -                         ,31.55                          ,5.71           ,251.24         ,-127.25                     ,-63.41                         ,-46.51              ,120                  ,-26.45         ,17.58                ,-14.86                  ,0.2156677217664309
 7 ,2017 ,9.95                     ,10.82           ,7.72         ,- -                        ,- -                    ,7.55                    ,6.84                        ,7.85          ,20.13                       ,                     1.41 ,19.61             ,                       2.07 ,18.83               ,8.58   ,-1.24             ,7.55  ,7.55  ,-2.03            ,-2.18                ,10.32             ,1.74               ,2.42               ,                9.98 ,24.88                          ,24.88                   ,107.7                   ,- -         ,22.92           ,               64.61 ,9.16                           ,                    11.6  ,- -                          ,           7.95 ,                   8.01 ,       29.77 ,66.42               ,-37.31  ,42.88                ,                    45.94 ,25.52   ,10.25                ,20.41                        ,            35.44 ,                3.64 ,        1.51 ,33.33             ,-27.27       ,17.77                           ,17.61        ,                     29.77 ,              1.51 ,6.48     ,-9.47              ,-41.87                       ,12.8          ,0.85                  ,8.06                ,20.13      ,                       9.98 ,-32.19         ,17.69                    ,-55.81                   ,31.5                           ,-40.68                ,- -                         ,5.3                            ,3.86           ,30.19          ,-177.08                     ,312.07                         ,93.45               ,-40.68               ,67.9           ,10.34                ,8.41                    ,0.056205334605193835
 8 ,2018 ,10.86                    ,10.28           ,12.37        ,- -                        ,- -                    ,20.69                   ,-9.1                        ,33.24         ,30.76                       ,                     1.44 ,29.75             ,                       2.25 ,28.72               ,15.49  ,4.18              ,20.69 ,20.69 ,1.37             ,8.87                 ,18.73             ,-2.27              ,5.24               ,                8.61 ,-10.86                         ,-10.86                  ,19.67                   ,- -         ,1.97            ,               11.68 ,5.99                           ,                     6.94 ,- -                          ,           7.61 ,                   7.53 ,        9.55 ,15.13               ,17.66   ,10.08                ,                    14.31 ,14.84   ,-17.56               ,4.92                         ,            10.88 ,                4.39 ,        1.66 ,27.57             ,41.45        ,6.22                            ,6.28         ,                      9.55 ,              1.66 ,22.49    ,15.25              ,10.96                        ,-2.3          ,5.36                  ,13.43               ,30.76      ,                       8.61 ,-139.86        ,-20.81                   ,318.92                   ,-10.43                         ,-3.72                 ,- -                         ,78.14                          ,6.76           ,-12.12         ,65.34                       ,-438.91                        ,-94.31              ,-3.72                ,-11.63         ,29.02                ,-31.95                  ,0.25423480227201256
 9 ,2019 ,2.83                     ,-3.07           ,17.99        ,- -                        ,- -                    ,20.85                   ,-13.06                      ,30.6          ,5.9                         ,                     1.81 ,3.7               ,                       2.09 ,3.41                ,17.77  ,14.53             ,20.85 ,20.85 ,14.74            ,17.53                ,2.67              ,-6.13              ,4.51               ,               13.22 ,-0.4                           ,-0.4                    ,9.8                     ,- -         ,22.16           ,               12.3  ,97.05                          ,                    54.27 ,- -                          ,          24.14 ,                  28.02 ,       20.21 ,10.6                ,52.33   ,24.23                ,                    15.95 ,34.47   ,36.97                ,35.07                        ,            22.57 ,                7.73 ,        2.23 ,21.99             ,-3.31        ,14.59                           ,14.13        ,                     20.21 ,              2.23 ,33.25    ,16.75              ,26.4                         ,-3.15         ,23                    ,9.54                ,5.9        ,                      13.22 ,1505.45        ,2.19                     ,-155.68                  ,55.68                          ,11.58                 ,- -                         ,59.12                          ,6.39           ,44.22          ,43.34                       ,294.07                         ,2167.86             ,11.58                ,64.24          ,-10.83               ,47.46                   ,0.029069970200161555
