   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA  ,EBIT ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,-1.91                    ,- -             ,-1.91        ,- -                        ,- -                    ,- -                     ,-9.78                       ,-9.78         ,8.67                        ,0.13                      ,8.52              ,0.3                         ,8.34                ,-203.3 ,-205.31           ,- -    ,- -  ,- -              ,- -                  ,10.79             ,1.11               ,-20.77             ,-203.3               ,4.72                           ,-8.17                   ,- -                     ,- -         ,- -             ,2.03                 ,-6.97                          ,-6.97                     ,-2.79                        ,1.49            ,-1.57                   ,-1.34        ,-2.83               ,- -     ,- -                  ,-2.83                     ,-0.03   ,-3.77                ,-3.57                        ,-3.54             ,0.13                 ,- -          ,1.51              ,-91.26       ,13.92                           ,13.89        ,-1.34                      ,-0.74              ,0.91     ,-11.4              ,16.23                        ,5             ,- -                   ,-2.99               ,8.67       ,-203.3                      ,-2.92          ,- -                      ,-94.74                   ,-14.23                         ,-14.29                ,14.84                       ,-32.21                         ,-20.66         ,- -            ,12300                       ,-19.53                         ,-125.38             ,-14.29               ,-14.23         ,21.53                ,-21.07                  ,-0.037495906859782435
 1 ,2011 ,3.99                     ,- -             ,3.99         ,- -                        ,- -                    ,- -                     ,-14.74                      ,-14.74        ,-15.09                      ,-3.63                     ,-11.89            ,-3.58                       ,-11.94              ,168.09 ,157.79            ,- -    ,- -  ,- -              ,- -                  ,-18.35            ,-1.26              ,4.97               ,168.09               ,6.27                           ,38.08                   ,1.67                    ,- -         ,- -             ,64.03                ,-0.76                          ,-0.76                     ,-0.76                        ,-28.74          ,-9.2                    ,-4.06        ,6.56                ,- -     ,- -                  ,- -                       ,- -     ,0.6                  ,0.57                         ,-4.44             ,0.41                 ,- -          ,1.1               ,-96.2        ,-1.8                            ,-1.8         ,-4.06                      ,-6                 ,-4       ,-2.25              ,0.48                         ,- -           ,- -                   ,5.32                ,-15.09     ,168.09                      ,-55.89         ,- -                      ,-709.09                  ,-47.71                         ,51.85                 ,249.06                      ,164.19                         ,1.16           ,-99.3          ,653.23                      ,29.73                          ,-528                ,51.85                ,-52.28         ,47.92                ,-38.42                  ,-0.11356171992181363
 2 ,2012 ,2.02                     ,- -             ,2.02         ,18.74                      ,- -                    ,- -                     ,244.38                      ,244.38        ,192.64                      ,-6.01                     ,211.36            ,-5.75                       ,210.51              ,53.97  ,50.91             ,- -    ,- -  ,- -              ,- -                  ,186.83            ,-0.62              ,30.61              ,53.97                ,-23.03                         ,3.87                    ,180.85                  ,- -         ,- -             ,19.12                ,8.21                           ,8.21                      ,5.41                         ,-21.22          ,-0.87                   ,1.1          ,8.43                ,- -     ,8.43                 ,- -                       ,2.52    ,-0.64                ,-0.47                        ,-0.46             ,-0.84                ,- -          ,4.52              ,-16885.71    ,10.21                           ,10.04        ,1.1                        ,-4.39              ,2.32     ,-7.02              ,9.55                         ,- -           ,- -                   ,2.66                ,192.64     ,53.97                       ,-16.08         ,- -                      ,127.99                   ,58.32                          ,15.85                 ,-81.79                      ,-74.34                         ,22.76          ,6942.86        ,-2.25                       ,-41.53                         ,-85.98              ,15.85                ,64.53          ,-11.33               ,-45.9                   ,0.36828133187779044
 3 ,2013 ,3.58                     ,- -             ,3.58         ,6.53                       ,- -                    ,- -                     ,2.72                        ,2.72          ,-1.13                       ,-5.11                     ,3.42              ,-4.6                        ,2.87                ,-5.15  ,-8.43             ,- -    ,- -  ,- -              ,- -                  ,-4.54             ,1.47               ,-29.35             ,-5.15                ,-2.36                          ,-16.25                  ,-6.95                   ,- -         ,- -             ,-6.1                 ,3.54                           ,3.54                      ,-16.92                       ,60.51           ,-2.18                   ,-2.7         ,-27.45              ,- -     ,-27.45               ,- -                       ,2.38    ,-4.46                ,-4.07                        ,-4.07             ,-0.6                 ,- -          ,5.32              ,-10.98       ,4.37                            ,4.37         ,-2.7                       ,-6.26              ,5.24     ,0.83               ,3.43                         ,- -           ,- -                   ,2.07                ,-1.13      ,-5.15                       ,91.86          ,- -                      ,-55.97                   ,38.9                           ,-27.37                ,10.24                       ,-0.06                          ,-32.96         ,360.65         ,100.88                      ,29.27                          ,-536.67             ,-27.37               ,45.72          ,-2.09                ,40.48                   ,0.08983239236347917
 4 ,2014 ,2.12                     ,- -             ,2.12         ,-1.05                      ,- -                    ,- -                     ,24.73                       ,24.73         ,25                          ,-7.11                     ,30.63             ,-6.83                       ,30.23               ,-0.54  ,-2.61             ,- -    ,- -  ,- -              ,- -                  ,22.4              ,0.09               ,69.59              ,-0.54                ,4.2                            ,-2.67                   ,8.53                    ,- -         ,- -             ,7.7                  ,0.68                           ,0.68                      ,0.33                         ,-49.75          ,-15.12                  ,-12.13       ,21.2                ,- -     ,21.2                 ,- -                       ,-16.24  ,-15.5                ,-15.55                       ,-15.49            ,1.78                 ,- -          ,6.36              ,-46.37       ,3.84                            ,3.84         ,-12.13                     ,-6.9               ,-17.9    ,-20.93             ,13.25                        ,- -           ,- -                   ,2.03                ,25         ,-0.54                       ,-83.9          ,- -                      ,4.09                     ,-23.72                         ,39.13                 ,-46.5                       ,2.59                           ,57.54          ,- -            ,25.46                       ,-18.11                         ,-86.26              ,39.13                ,-26.94         ,54.1                 ,-38.97                  ,0.1984276700876515
 5 ,2015 ,1.17                     ,- -             ,1.17         ,-5.99                      ,- -                    ,- -                     ,-22.52                      ,-22.52        ,-23.82                      ,-7.02                     ,-19.51            ,-7.17                       ,-19.39              ,1.37   ,0.19              ,- -    ,- -  ,- -              ,- -                  ,-24.71            ,-2.23              ,14.23              ,1.37                 ,-18.14                         ,-24.66                  ,0.77                    ,- -         ,- -             ,-2.76                ,-0.68                          ,-0.68                     ,-4.87                        ,1.45            ,-3.67                   ,-3.57        ,-6.17               ,- -     ,-6.17                ,- -                       ,-1.35   ,-1.82                ,-1.79                        ,-1.85             ,1.43                 ,- -          ,4.15              ,-234.58      ,-10.22                          ,-10.22       ,-3.57                      ,-8.85              ,2.03     ,13.64              ,-8.48                        ,- -           ,- -                   ,3.48                ,-23.82     ,1.37                        ,142.67         ,- -                      ,-223.57                  ,11.74                          ,5.21                  ,70.04                       ,-54.23                         ,6.21           ,- -            ,22.03                       ,-7.28                          ,800                 ,5.21                 ,12.38          ,-26.54               ,46.69                   ,-0.09220015312029506
 6 ,2016 ,2.47                     ,- -             ,4.9          ,0.61                       ,- -                    ,- -                     ,-16.09                      ,-16.09        ,-13.54                      ,-7.06                     ,-7.8              ,-7.25                       ,-7.61               ,2.96   ,0.48              ,- -    ,- -  ,- -              ,- -                  ,-15.63            ,-2                 ,8.13               ,2.96                 ,80.51                          ,-11.92                  ,1.99                    ,- -         ,- -             ,14.31                ,4                              ,4                         ,5.11                         ,-12.14          ,1.78                    ,3.78         ,24.42               ,- -     ,24.42                ,- -                       ,23.87   ,2.75                 ,4.02                         ,4.02              ,1.78                 ,- -          ,3.21              ,-44.9        ,2.74                            ,2.74         ,3.78                       ,-3.94              ,27.69    ,24.29              ,-0.59                        ,- -           ,- -                   ,4.57                ,-13.54     ,2.96                        ,11.4           ,- -                      ,166.76                   ,10.43                          ,3.3                   ,-204.83                     ,-440.43                        ,0.5            ,-45.57         ,-52.39                      ,-66.24                         ,-63.58              ,3.3                  ,11.08          ,0.48                 ,27.72                   ,0.12188949045159858
 7 ,2017 ,5.45                     ,- -             ,5.37         ,13.44                      ,- -                    ,- -                     ,44.92                       ,44.92         ,69.9                        ,-2.9                      ,79.71             ,-2.52                       ,79.01               ,26.44  ,19.91             ,- -    ,- -  ,- -              ,- -                  ,61.12             ,6.92               ,9.66               ,26.44                ,-45.79                         ,41.51                   ,2.54                    ,- -         ,- -             ,-9.43                ,0.66                           ,0.66                      ,0.94                         ,33.04           ,6.27                    ,3.51         ,0.61                ,- -     ,0.61                 ,- -                       ,0.05    ,2.24                 ,2.08                         ,2.08              ,0.3                  ,- -          ,6.23              ,-161.78      ,9.61                            ,9.61         ,3.51                       ,-3.01              ,-3.01    ,-11.52             ,3.04                         ,- -           ,- -                   ,-1.38               ,69.9       ,26.44                       ,-56.84         ,- -                      ,-68.36                   ,8.04                           ,-4.47                 ,-153.77                     ,-52.1                          ,6.48           ,- -            ,11.82                       ,91.55                          ,-406.78             ,-4.47                ,9.1            ,28.24                ,-36.41                  ,0.24224622168054233
 8 ,2018 ,3.35                     ,- -             ,1.04         ,-89.95                     ,- -                    ,- -                     ,-34.15                      ,-34.15        ,-32.27                      ,-3.92                     ,-31.85            ,-3.97                       ,-31.82              ,5.8    ,2.37              ,- -    ,- -  ,- -              ,- -                  ,-34.46            ,-2.98              ,21.46              ,5.8                  ,37.68                          ,-19.12                  ,6.88                    ,- -         ,- -             ,11.45                ,-2.52                          ,-2.52                     ,-2.1                         ,-2.85           ,-2.26                   ,-0.15        ,16.54               ,- -     ,16.54                ,- -                       ,1.59    ,1.16                 ,1.19                         ,1.19              ,-0.09                ,- -          ,1.9               ,-54.09       ,-5.49                           ,-5.49        ,-0.15                      ,-6.48              ,3.82     ,9.86               ,-9.08                        ,- -           ,- -                   ,6.53                ,-32.27     ,5.8                         ,469.43         ,- -                      ,75                       ,19.96                          ,-7.36                 ,-79.4                       ,42.07                          ,16.69          ,-59.71         ,54.05                       ,22.27                          ,-165.19             ,-7.36                ,21.99          ,-36.39               ,77.11                   ,-0.13282856091865636
 9 ,2019 ,12.21                    ,- -             ,4.34         ,-75.64                     ,- -                    ,- -                     ,131.7                       ,131.7         ,124.4                       ,-5.64                     ,146.39            ,-5.58                       ,146.24              ,26.61  ,12.84             ,- -    ,- -  ,- -              ,- -                  ,99.99             ,10.78              ,11.5               ,-75.34               ,30.29                          ,-32.26                  ,-0.23                   ,- -         ,- -             ,5.36                 ,9.57                           ,9.57                      ,9.35                         ,-1.21           ,7.17                    ,6.86         ,18.22               ,- -     ,18.22                ,- -                       ,2.79    ,3.36                 ,3.32                         ,3.32              ,4.61                 ,- -          ,9.18              ,1552.54      ,21.99                           ,21.99        ,6.86                       ,-3.92              ,5.73     ,-13.33             ,17.59                        ,- -           ,- -                   ,1.29                ,124.4      ,26.61                       ,-151.73        ,- -                      ,30.33                    ,-0.89                          ,56.32                 ,-1082.53                    ,63.29                          ,5.21           ,-1.41          ,-24.66                      ,-30.53                         ,36.44               ,56.32                ,-4.12          ,25.85                ,-55.83                  ,0.09943229650890961
