   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA   ,EBIT    ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt  ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,90.46                    ,62.82           ,159.64       ,28.23                      ,22.42                  ,-785.21                 ,-2.14                       ,-385.5        ,-407.17                     ,0.52                      ,-405.58           ,1.19                        ,-403.55             ,3523.7 ,1802.65           ,-785.21 ,-785.21 ,36.33            ,-459.78              ,-261.28           ,73.26              ,8.28               ,4.57                 ,16.7                           ,17.84                   ,49.39                   ,-4.92       ,29.17           ,18.92                ,-11.69                         ,-1.31                     ,24.25                        ,9.47            ,7.53                    ,14.3         ,89.9                ,1.45     ,-1.97                ,48.9                      ,1.8     ,-7.2                 ,-3.85                        ,37.41             ,                4.05 ,-0.96        ,5.28              ,-199.17      ,6.22                            ,6.22         ,14.3                       ,-0.96              ,20.2     ,13.16              ,-8.55                        ,-20.13        ,-3.19                 ,9.92                ,-407.17    ,4.57                        ,-53.2          ,-14.33                   ,-219.99                  ,416.79                         ,-31.97                ,-202.44                     ,-864.59                        ,8.84           ,- -            ,-668.29                     ,104.26                         ,73.83               ,-31.97               ,1729.12        ,-69.91               ,-268.24                 ,-0.09724517518655773
 1 ,2011 ,10.14                    ,5.54            ,17.36        ,-4.34                      ,-2.23                  ,45.31                   ,-104.12                     ,71.45         ,105.36                      ,-1.57                     ,108.63            ,-1.41                       ,108.29              ,35.15  ,22.71             ,45.31   ,45.31   ,6.56             ,31.93                ,86.45             ,13.51              ,15.72              ,-19.22               ,141.55                         ,220.83                  ,-16.37                  ,9.93        ,9.67            ,53.06                ,-10.07                         ,-4.56                     ,-28.78                       ,-10.42          ,-16.08                  ,26.66        ,-17.72              ,- -      ,31.72                ,-3.25                     ,853.15  ,1.56                 ,336.5                        ,48.54             ,                3.86 ,-2.11        ,13.19             ,260.14       ,16.77                           ,16.77        ,26.66                      ,-1.66              ,142.9    ,108.01             ,-7.15                        ,58.2          ,-7.79                 ,-2.97               ,105.36     ,-19.22                      ,-0.73          ,15.81                    ,-98.25                   ,40.81                          ,23.67                 ,-313.28                     ,-182.4                         ,13.91          ,- -            ,68.65                       ,-266.63                        ,1336.64             ,23.67                ,42.68          ,-28                  ,-31.43                  ,-0.2186718936635753
 2 ,2012 ,-17.1                    ,-12.2           ,-24.01       ,19.42                      ,10.64                  ,-57.77                  ,-6940                       ,-86.71        ,-94.34                      ,-4.02                     ,-94.1             ,-3.98                       ,-94.11              ,-45.6  ,-34.38            ,-57.77  ,-57.77  ,-8.34            ,-49.06               ,-93.17            ,-23.18             ,13.9               ,71.54                ,-68.97                         ,-76.64                  ,-20.37                  ,-25.22      ,-23.44          ,-50.73               ,-226.67                        ,-66.76                    ,13.32                        ,312.05          ,99.66                   ,-12.69       ,-10.01              ,- -      ,-32.35               ,-18.93                    ,-0.05   ,105                  ,14.78                        ,-3.83             ,                4.37 ,-7.69        ,-2.53             ,-1116.67     ,-17.78                          ,-17.78       ,-12.69                     ,-8.35              ,-113.81  ,-116.79            ,-44.53                       ,-39.22        ,-16.84                ,7.91                ,-94.34     ,71.54                       ,297.2          ,24.66                    ,8075                     ,-23.7                          ,-22.49                ,-139.04                     ,-756.34                        ,9.32           ,- -            ,253.62                      ,-282.71                        ,-211.4              ,-22.49               ,-23.82         ,7.08                 ,1248.17                 ,-0.032143436156964356
 3 ,2013 ,-13.88                   ,-16.43          ,-9.72        ,-16.54                     ,6.71                   ,-22.7                   ,-38.16                      ,10.76         ,134.86                      ,-5.06                     ,147.37            ,-4.54                       ,146.04              ,-16.81 ,-3.4              ,-22.7   ,-22.7   ,4.83             ,-10.24               ,172.71            ,-10.91             ,10.66              ,-2.84                ,-2.37                          ,22.92                   ,33.85                   ,11.08       ,4.75            ,10.58                ,1.82                           ,-6.59                     ,-4.74                        ,-7.51           ,-8.56                   ,-0.49        ,9.21                ,- -      ,5.17                 ,7.86                      ,- -     ,-13.72               ,-3.46                        ,1.81              ,                4.9  ,- -          ,-1.68             ,-37.7        ,-2.03                           ,-2.03        ,-0.49                      ,0.58               ,-57.58   ,-56.7              ,7.72                         ,2.53          ,14.88                 ,-3.33               ,134.86     ,-2.84                       ,-58.51         ,-10.99                   ,-239.14                  ,-66.34                         ,21.6                  ,-231.82                     ,-104.61                        ,5.07           ,- -            ,-95.22                      ,-70.41                         ,-106.99             ,21.6                 ,-74.78         ,292.1                ,-85.67                  ,0.28951959928847404
 4 ,2014 ,20.82                    ,15.74           ,28.49        ,-0.89                      ,8.18                   ,97.28                   ,-81.8                       ,313.71        ,332.03                      ,1.08                      ,327.41            ,0.98                        ,327.82              ,60.61  ,32.94             ,97.28   ,97.28   ,6.35             ,63.29                ,257.6             ,17.18              ,5.22               ,-8.54                ,67.21                          ,75.45                   ,2.27                    ,10.9        ,-19.43          ,23.48                ,0.81                           ,1.29                      ,-6.97                        ,-1.77           ,-3.03                   ,9.39         ,14.19               ,- -      ,18.39                ,15.55                     ,0.05    ,-11.31               ,-2.51                        ,6.4               ,                3.78 ,- -          ,4.68              ,100          ,11.48                           ,11.48        ,9.39                       ,1.41               ,-548.94  ,-502.69            ,16.18                        ,6.86          ,-10.97                ,3.1                 ,332.03     ,-8.54                       ,-41.99         ,9.26                     ,-117.58                  ,188.92                         ,22.34                 ,-83.5                       ,-174.88                        ,6.36           ,- -            ,-317.46                     ,-32.95                         ,304.7               ,22.34                ,265.96         ,-50.57               ,-33.12                  ,0.32304891253842505
 5 ,2015 ,6.47                     ,9.14            ,2.84         ,0.79                       ,1.61                   ,5.18                    ,-92.21                      ,10.36         ,24.5                        ,-0.08                     ,24.61             ,-0.41                       ,25.01               ,3.95   ,-2.37             ,5.18    ,5.18    ,-3.41            ,-1.21                ,16.94             ,2.69               ,0.5                ,-1.07                ,57.02                          ,59.79                   ,4.13                    ,16.98       ,27.46           ,32.93                ,3.2                            ,3.6                       ,1.18                         ,-2.11           ,-2.58                   ,16.2         ,-2.66               ,95289.51 ,-18.62               ,34.54                     ,71.65   ,10.56                ,59.13                        ,45.96             ,                2.97 ,-8.33        ,6.85              ,21.05        ,-3.66                           ,-3.66        ,16.2                       ,-5                 ,-75.83   ,-74.91             ,-22.81                       ,-1.2          ,17.53                 ,3.68                ,24.5       ,-1.07                       ,-79.08         ,5.65                     ,-893.75                  ,-35.39                         ,-10.79                ,-192.54                     ,74.53                          ,0.41           ,47.99          ,-1002.92                    ,-362.36                        ,39.04               ,-10.79               ,-39.19         ,13.47                ,-48.1                   ,-0.22789832596761295
 6 ,2016 ,12.07                    ,10.64           ,14.14        ,-8.7                       ,6.13                   ,34.16                   ,2216.67                     ,25.97         ,24.98                       ,-8.81                     ,37.06             ,-8.97                       ,37.3                ,28.66  ,14.8              ,34.16   ,34.16   ,1.85             ,19.71                ,11.52             ,4.02               ,-0.02              ,4.85                 ,-24.49                         ,-29                     ,31.05                   ,11.84       ,-62.02          ,-9.8                 ,0.6                            ,5.04                      ,-1.8                         ,3.38            ,3.11                    ,-4.7         ,12.17               ,-83.33   ,79.87                ,-4.37                     ,-5.95   ,7.39                 ,-4.05                        ,-4.21             ,                3.55 ,- -          ,9.2               ,25           ,-5.2                            ,-5.2         ,-4.7                       ,-7.07              ,-75.29   ,-73.94             ,-1.49                        ,-5.68         ,19.64                 ,7.74                ,24.98      ,4.85                        ,374            ,7.49                     ,-118.74                  ,112.04                         ,17.67                 ,151.61                      ,51.25                          ,-8.83          ,- -            ,45.84                       ,-475.9                         ,-177.49             ,17.67                ,133.44         ,-20.63               ,69.65                   ,0.6616745341750543
 7 ,2017 ,34.29                    ,26.78           ,44.8         ,8.67                       ,15.19                  ,79.74                   ,-1.44                       ,85.35         ,99.54                       ,-3.07                     ,105.86            ,-2.87                       ,105.43              ,68.24  ,25.28             ,79.74   ,79.74   ,7.83             ,33.84                ,48.58             ,21.88              ,-0.08              ,4.63                 ,94.08                          ,47.09                   ,2.59                    ,42.93       ,36              ,54.65                ,0.86                           ,13.77                     ,23.04                        ,0.96            ,4.27                    ,33.12        ,19.16               ,- -      ,21                   ,13.3                      ,68.76   ,9.23                 ,59.27                        ,36.62             ,                3.62 ,- -          ,19.71             ,-44.35       ,29.54                           ,29.54        ,33.12                      ,-1.67              ,-566.67  ,-460.25            ,14.53                        ,36.5          ,10.72                 ,10.18               ,99.54      ,4.63                        ,-38.82         ,9.45                     ,-416.81                  ,46.35                          ,36.36                 ,1254.49                     ,494.35                         ,-3.15          ,-15.69         ,-40.41                      ,-115.18                        ,-215.31             ,36.36                ,47.49          ,30.31                ,-26.65                  ,0.404412526804925
 8 ,2018 ,18.68                    ,17.88           ,19.67        ,12.58                      ,13.81                  ,23.99                   ,-25.55                      ,25.81         ,-3.52                       ,-5.59                     ,2.19              ,-5.35                       ,1.93                ,22.88  ,3.53              ,23.99   ,23.99   ,0.83             ,4.47                 ,-18.71            ,3.99               ,49.03              ,12.29                ,-44.61                         ,-31.34                  ,9.71                    ,27.03       ,14.97           ,-16.81               ,-15.35                         ,31.99                     ,37.18                        ,-1.24           ,8.08                    ,-8.48        ,11.06               ,- -      ,-19.1                ,-1.14                     ,0.09    ,139.17               ,15.3                         ,8.58              ,                3.07 ,-9.09        ,14.33             ,95.31        ,-26.85                          ,-26.85       ,-8.48                      ,-8.77              ,535.71   ,769.03             ,-35.53                       ,-15.84        ,11.79                 ,14.13               ,-3.52      ,12.29                       ,145.52         ,17.27                    ,-10.08                   ,4.93                           ,80.29                 ,-156.74                     ,-122.6                         ,40.7           ,- -            ,379.91                      ,-1237.81                       ,-197.88             ,80.29                ,-3.03          ,-50.18               ,8.76                    ,-0.2868471613834309
 9 ,2019 ,-15.33                   ,-12.87          ,-18.31       ,-2                         ,1.73                   ,-30.15                  ,-20.59                      ,-30.36        ,-18.32                      ,-7.5                      ,-11.7             ,-7.89                       ,-11.32              ,-29.32 ,-16.52            ,-30.15  ,-30.15  ,-3.51            ,-17.5                ,-3.53             ,-19.18             ,37.77              ,-20.57               ,-10.22                         ,-9.04                   ,-1.25                   ,-6.66       ,35.12           ,-5.03                ,1.5                            ,8.67                      ,8.61                         ,25.9            ,25.51                   ,7.04         ,-7.72               ,200      ,-0.82                ,9.32                      ,-11.23  ,5.97                 ,-7.33                        ,-1.13             ,                4.39 ,-10          ,16.82             ,44           ,20.11                           ,20.11        ,7.04                       ,-5.27              ,16.85    ,-2.71              ,31.2                         ,-13.13        ,57.75                 ,4.76                ,-18.32     ,-20.57                      ,-17.7          ,1.94                     ,-66.08                   ,-14.26                         ,-29.1                 ,-97.83                      ,-177.58                        ,27.44          ,- -            ,-56.23                      ,-47.45                         ,-80.19              ,-29.1                ,-11.34         ,84.71                ,4.97                    ,0.6097707149242744
