,Date,Sales & Services Revenue,Cost of Revenue,Gross Profit,"Selling, General & Admin",Research & Development,Operating Income (Loss),Non-Operating (Income) Loss,Pretax Income,Income (Loss) from Cont Ops,Basic Weighted Avg Shares,"Basic EPS, GAAP",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",EBITDA,EBITDA Margin (%),EBITA,EBIT,Gross Margin (%),Operating Margin (%),Profit Margin (%),Sales per Employee,Dividend per Share,Depreciation Expense,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,Accounts & Notes Receiv,Inventories,Other ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",LT Investments & Receivables,Other LT Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,ST Debt,Other ST Liabilities,Total Current Liabilities,LT Debt,Other LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Share Capital & APIC,Common Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Total Equity,Total Liabilities & Equity,Shares Outstanding,Net Debt,Net Debt to Equity,Tangible Common Equity Ratio,Current Ratio,Cash Conversion Cycle,Number of Employees,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Chg in Non-Cash Work Cap,Cash from Operating Activities,Acq of Fixed & Intang,Net Change in LT Investment,Cash from Investing Activities,Dividends Paid,Cash From Debt,Cash (Repurchase) of Equity,Cash from Financing Activities,Net Changes in Cash,Capital Expenditures,Free Cash Flow,Price/Free Cash Flow,Cash Flow to Net Income,Performance
0,2010,20.19,12.84,30.33,-362.5,-18.36,15.78,-139.56,137.99,59.12,5.65,46.65,8.11,43.31,-33.93,-45.03,-52.77,15.78,8.43,-3.68,4.22,12.61,- -,447.14,-33.15,-63.43,29.93,11.46,-28.57,-15.93,-81.62,-72.26,- -,-32.6,-71.48,-45.32,-11.06,-99.16,33.45,-24.25,-48.54,-90.02,-55.73,-46.27,2.32,- -,-7.93,-99.35,56.33,-41.24,-45.32,1.79,-48.41,-12.19,-5.77,10.99,56.23,6.73,60.75,-66.05,158.24,16,44.47,-187.1,-68.24,-89.53,-11.78,- -,-34.74,-88.19,-68.24,-245.17,-68.24,-8100,-421.04,-169.53,-0.2827858113382594
1,2011,1.14,2.69,-0.71,52.38,3.42,-44.79,-467.72,-100.1,5.1,2.25,1.95,1.23,2.98,-36.19,-36.9,-44.79,-44.79,-1.83,-45.41,3.07,1.14,- -,-17.23,-1.34,43.4,-5.06,-24.68,-66.34,-10.16,3.71,5.63,- -,-14.63,25.91,-0.2,-14.78,12125,-50.13,5.97,-30.21,-29.21,-30.17,-14.86,1.47,- -,-8.98,-600,56.96,56.96,-0.2,2.2,-27.68,-53.92,92.9,-15.22,3.05,- -,4.25,-17.23,-174.04,3.45,-83.21,-192.72,68.92,-253.85,-89.94,- -,-88.82,20,-101.24,-125.02,68.92,-123.57,-127.74,-188.94,-0.33982147703940646
2,2012,-17.45,15.41,-57.99,-17.04,-6.81,-305.15,-44.11,121600,-338.99,1.93,-336.38,-0.13,-341.26,-188.89,-207.68,-305.15,-305.15,-49.11,-348.51,-391.86,-11.38,- -,-17.98,-43.23,-36.82,-31.45,18.07,2.9,-29.85,-9.37,1,-57.61,56.64,0.58,-19.26,12.02,-98.98,-12.31,-21.25,33.4,-55.56,29.87,2.91,1.96,- -,23.77,-40,-66.16,-66.16,-19.26,2.15,30.17,284.69,-112.11,-10.92,26.8,-6.85,-340.94,-17.98,-309.77,7.78,-187.3,-188.48,-46.8,188.57,-83.19,- -,188.82,-22.22,-716.67,-221.67,-46.8,-456.82,-232.03,-63.28,-0.689612455010302
3,2013,-2.27,-20.68,60.16,-18.1,-11.3,-108.89,-39.08,-93.92,-92.98,1.75,-93.1,1.75,-93.1,-146.12,-147.19,-108.89,-108.89,63.88,-109.1,-92.82,-5.3,- -,-9.23,9.48,58.29,32.06,57.3,- -,27.33,-47.42,-21.87,-50.28,13.5,-16.25,8.42,15.72,1100,-15.2,15.82,-1.91,532.14,5.33,9.56,1.34,- -,1.35,-33.33,1.12,1.12,8.42,1.68,-20.36,-21.24,-29.13,9.94,43.95,3.2,-92.98,-9.23,-59.73,-6.19,-303.64,-56.21,-36.84,-25.5,-2494.74,- -,-88.8,-71.43,-64.86,-200,-36.84,-50.74,450.81,524.1,0.316487392508052
4,2014,3.91,10.42,-7.03,-10.39,-10.74,75.29,244.03,437.84,385.54,1.86,376.69,1.86,376.69,9.66,5.53,75.29,75.29,-10.52,68.7,367.29,14.31,- -,-13.98,-5.2,-7.36,-1.68,-22.51,171.83,-5.13,-12.72,-3.06,- -,-28.32,-29.04,-13.14,-15.71,195,-50.34,-11,1.85,-40.68,-1.61,-5.62,0.81,14.29,6.46,150,-65.62,-65.62,-13.14,7.03,18.33,244.25,149.39,6.6,-7.32,-9.1,385.54,-13.98,167.35,-10.99,-35.04,-33.78,13.1,-72.43,-102.64,- -,2000,- -,253.85,-120,13.1,-16.81,1382.32,-86.36,-0.4239838171312249
5,2015,-27.52,-20.62,-41.27,-20.2,-11.66,-336.24,-46.25,62.31,63.77,1.95,60.63,1.95,60.63,-152.56,-172.51,-336.24,-336.24,-18.98,-425.92,125.94,-22.74,- -,-17.73,-24.52,-2.48,-34.84,-1.02,67.88,-15.2,-37.75,-41.43,- -,-17.56,-23.47,-17.47,-16.37,29.94,145.83,-2.57,-0.15,-18.1,-1.03,-1.65,0.98,- -,9.93,60,-320.32,-320.32,-17.47,2.06,4.98,-147.65,316.31,-12.97,23.92,-6.19,63.77,-17.73,-60.81,-22.22,-135.05,141.84,1.05,183.13,-1325,- -,-91.34,- -,52.17,-68.75,1.05,72.54,-97.56,47.67,0.08217229067033283
6,2016,7.04,12.47,-7.59,-4.56,6.44,8.52,-77.55,-30.65,-24.7,6.64,-29.39,6.64,-29.39,34.59,25.74,8.52,8.52,-13.67,1.38,-29.65,18.79,- -,-20.36,61.02,61.02,-41.65,10.77,-37.04,9.05,-12.77,-10.47,-34.44,-5.49,0.25,6.82,21.89,- -,-25.42,-4.06,-29.38,44.19,-26.39,-17.5,18.76,12.5,6.8,-37.5,-200.97,-200.97,6.82,18.06,-88.42,-111.47,-117.19,13.67,-25.89,-9.89,-24.7,-20.36,77.92,36.51,76.47,-137.97,-19.79,- -,81.63,- -,- -,16575,74.29,-2495,-19.79,-103.9,-454.7,-150.43,2.855869496243227
7,2017,24.74,7.09,82.67,11.09,15.08,-153.4,104.55,-115.4,-108.65,14.01,-107.59,14.01,-107.59,-239.76,-212.04,-153.4,-153.4,46.43,-142.81,-106.94,14.93,- -,8.27,-6.25,-6.25,28.62,-1.6,46.08,3.64,59.15,13.62,-1.69,5.46,16.06,6.59,10.13,-69.57,-40.15,10.4,-7.67,-4.84,-7.44,0.83,1.56,- -,-0.55,-220,46.88,46.88,6.59,3.42,22.81,-16.39,136.46,-6.13,-23.05,8.54,-108.65,8.27,-47.08,12.79,-246.67,-24.44,46.75,- -,-142.7,- -,- -,- -,-127.05,-116.49,46.75,-446.15,-4.97,-973.28,-0.2876741177861093
8,2018,21.5,14.89,34.23,9.98,23.62,121.08,-10.37,378.26,683.72,3.15,659.78,11.76,601.22,78.45,46.86,121.08,121.08,10.47,81.95,545.01,7.07,- -,18.06,-2.45,-9.03,208.75,14.34,2.01,35.01,33.33,5.39,- -,1.84,10.68,28.7,36.42,94.29,-69.62,33.51,-15.92,62.71,-9.49,12.33,3.39,11.11,-4.18,-233.33,107.2,107.2,28.7,3.93,-18.1,-60.47,131.17,1.12,31.8,13.48,683.72,18.06,75.17,41.24,175.38,-50,44.25,-133.19,49.12,- -,- -,-100.9,-184.85,36.71,44.25,186.67,76.33,-93.62,0.8580924004399398
9,2019,3.95,-4.1,17.2,33.45,7.88,39.91,114.05,12.73,1.19,11.1,-8.92,5.26,-3.87,43.16,37.71,39.91,39.91,12.75,34.59,-2.66,-7.9,- -,51.76,30.02,35.99,50.53,16.21,-16.78,29.86,-118.1,-33.18,- -,135.41,40.85,32.31,25.27,-68.38,29.17,18.9,-38.51,-18.23,-35.53,-2.71,13.87,20,-4.59,- -,123.3,123.3,32.31,16.42,-669.77,-355.16,93.15,9.22,30.22,12.87,1.19,51.76,71.65,43.8,-25.45,1350,33.13,-152.56,-12.35,- -,- -,- -,53.57,-458.33,33.13,-313.95,-27.47,1332.99,1.195509811550553
