   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA  ,EBIT   ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,17.76                    ,14.69           ,24.4         ,16.66                      ,- -                    ,31.72                   ,6.29                        ,37.88         ,37.99                       ,-0.7                      ,38.96             ,-0.55                       ,38.75               ,28.62  ,9.22              ,30.9   ,31.72  ,5.65             ,11.86                ,17.18             ,2.53               ,12.42              ,                7.61 ,-32.82                         ,-33.75                  ,20.68                   ,7.61        ,-0.3            ,0.98                 ,2.6                            ,2.62                      ,14.18                        ,          29.97 ,                  25.07 ,       17.86 ,27.9                ,13.23   ,- -                  ,25.06                     ,12.08   ,50.14                ,20.77                        ,21.9              ,               17.68 ,       51.44 ,            17.01 ,22.15        ,                          13.5  ,       13.5  ,                     17.86 ,-0.69              ,26.4     ,11.36              ,85.17                        ,-19.25        ,-18.26                ,14.85               ,37.99      ,                      11.29 ,63.84          ,22.92                    ,-41.44                   ,16                             ,18.51                 ,-2.98                       ,433.01                         ,11.63          ,8434.79        ,- -                         ,-161.09                        ,-152.1              ,18.51                ,15.75          ,30.48                ,-15.93                  ,0.42069174986066304
 1 ,2011 ,21.0                     ,18.76           ,25.49        ,17.82                      ,- -                    ,31.89                   ,4.47                        ,37.02         ,35.41                       ,0.75                      ,34.39             ,0.76                        ,34.39               ,30.16  ,7.57              ,32.17  ,31.89  ,3.71             ,9                    ,11.9              ,15.05              ,33.36              ,                7.6  ,3.61                           ,4.4                     ,9.62                    ,13.49       ,-12.77          ,8.15                 ,2.26                           ,3.26                      ,-23.68                       ,          19.16 ,                  14.39 ,       12.79 ,7.72                ,44.63   ,- -                  ,14.19                     ,4.86    ,18.82                ,8.82                         ,10.27             ,               20.1  ,        0.65 ,            19.7  ,71.02        ,                          15.69 ,       15.69 ,                     12.79 ,-0.21              ,8.78     ,-5.98              ,8.94                         ,-5.3          ,-10.57                ,5.17                ,35.41      ,                      18.71 ,86.51          ,33.45                    ,-91.24                   ,20.22                          ,29.69                 ,- -                         ,-7.12                          ,34.36          ,-52.86         ,-24.52                      ,-49.13                         ,-117.21             ,29.69                ,19.26          ,-11.35               ,-11.21                  ,0.07902683464101612
 2 ,2012 ,11.52                    ,10.14           ,14.11        ,8.93                       ,- -                    ,17.29                   ,5.17                        ,19.01         ,19.42                       ,0.47                      ,18.86             ,0.34                        ,19.02               ,17.84  ,5.67              ,18.42  ,17.29  ,2.33             ,5.18                 ,7.09              ,-0.69              ,37.71              ,                9.83 ,-10.7                          ,-8.31                   ,15.85                   ,12.74       ,-3.56           ,9.12                 ,17.88                          ,6.2                       ,-15.07                       ,          26.55 ,                  23.82 ,       20.2  ,12.36               ,128.21  ,- -                  ,38.1                      ,0.86    ,27.12                ,9                            ,17.14             ,               22.69 ,       51.6  ,            19.31 ,-3.77        ,                          23.57 ,       23.57 ,                     20.2  ,1.18               ,18.66    ,-3.98              ,14.55                        ,-20.98        ,-27.55                ,12.3                ,19.42      ,                      21.89 ,-30.11         ,-12.48                   ,480.64                   ,20.43                          ,13.01                 ,- -                         ,52.67                          ,38.36          ,- -            ,-92.18                      ,447.87                         ,-219.74             ,13.01                ,21.25          ,11.01                ,0.84                    ,0.2129681509802992
 3 ,2013 ,7.8                      ,7.87            ,7.66         ,4.64                       ,- -                    ,9.28                    ,8.26                        ,9.41          ,12.6                        ,0.99                      ,11.49             ,0.85                        ,11.65               ,9.68   ,1.75              ,9.88   ,9.28   ,-0.12            ,1.38                 ,4.46              ,1.85               ,8.94               ,                6.63 ,88.96                          ,88.96                   ,5.68                    ,5.57        ,23.56           ,17.88                ,5.03                           ,6.57                      ,80.6                         ,          10.2  ,                  11.88 ,       13.22 ,5.59                ,-14.76  ,- -                  ,-1.89                     ,0.76    ,14.72                ,5.81                         ,3.27              ,               15.58 ,        0.62 ,            18.29 ,-56.89       ,                          23.6  ,       23.6  ,                     13.22 ,0.66               ,-13.69   ,-30.17             ,-24.13                       ,20.15         ,-33.55                ,5.84                ,12.6       ,                      12.5  ,-83.29         ,11.39                    ,-14.05                   ,7.87                           ,10.25                 ,- -                         ,-42.73                         ,10.03          ,-98.52         ,82.4                        ,-140.27                        ,-877.39             ,10.25                ,7.62           ,32.84                ,-4.2                    ,0.11350602412800259
 4 ,2014 ,11.9                     ,11.76           ,12.16        ,16.19                      ,- -                    ,10.25                   ,3.84                        ,11.04         ,13.05                       ,0.4                       ,12.6              ,0.42                        ,12.57               ,11.08  ,-0.74             ,11.06  ,10.25  ,0.23             ,-1.48                ,1.02              ,5.36               ,37.37              ,               11.33 ,27.92                          ,27.92                   ,9.09                    ,9.51        ,60.53           ,16.32                ,11.33                          ,6.6                       ,-31.01                       ,           8.91 ,                   7.15 ,        9.28 ,12.79               ,4.71    ,- -                  ,10.21                     ,25.06   ,8.77                 ,18.67                        ,16.02             ,                9.54 ,        0.31 ,            16.99 ,309.1        ,                           3.4  ,        3.4  ,                      9.28 ,-1.5               ,19.34    ,15.41              ,2.05                         ,5.54          ,-6.51                 ,6.21                ,13.05      ,                      16.79 ,833.37         ,-7.97                    ,-258.3                   ,9.88                           ,12.66                 ,- -                         ,39.38                          ,37.92          ,57239.45       ,2796.93                     ,-134.34                        ,-16.59              ,12.66                ,9.59           ,-7.25                ,-2.8                    ,-0.1083755570472058
 5 ,2015 ,-1.19                    ,-1.84           ,- -          ,-3.04                      ,- -                    ,1.02                    ,8.09                        ,0.19          ,1.09                        ,-2.03                     ,3.19              ,-2.23                       ,3.4                 ,1.93   ,3.15              ,1.54   ,1.02   ,1.2              ,2.23                 ,2.31              ,-1.19              ,8.97               ,                7.82 ,0.9                            ,0.9                     ,3.05                    ,3.74        ,-6.2            ,2                    ,8.05                           ,6.41                      ,17.14                        ,           3.69 ,                   4.52 ,        3.9  ,-2.9                ,34.9    ,- -                  ,8.55                      ,8.98    ,3.52                 ,7.02                         ,7.48              ,               15.49 ,        0.73 ,            14.55 ,51.98        ,                           0.4  ,        0.4  ,                      3.9  ,-2.41              ,16.81    ,16.35              ,11.19                        ,-6.04         ,9.34                  ,- -                 ,1.09       ,                       7.85 ,-179.76        ,19.58                    ,16.09                    ,-7.36                          ,-3.15                 ,- -                         ,-33.68                         ,6.75           ,-60            ,77.51                       ,-998.81                        ,-72.32              ,-3.15                ,-7.82          ,5.83                 ,-8.36                   ,0.03230246289870653
 6 ,2016 ,-3.38                    ,1.02            ,-11.24       ,3.21                       ,- -                    ,-11.66                  ,7.36                        ,-14.05        ,-13.32                      ,-3.05                     ,-10.59            ,-3.25                       ,-10.41              ,-7.15  ,-3.9              ,-18.87 ,-11.66 ,-8.14            ,-8.57                ,-10.29            ,-5.22              ,-0.12              ,              161.57 ,88.25                          ,88.25                   ,-1.82                   ,-4.34       ,4.67            ,19.05                ,-2.34                          ,-1.7                      ,-19.08                       ,           3.96 ,                   2.53 ,        6.54 ,1.01                ,-27.75  ,- -                  ,-9.83                     ,32.56   ,3.43                 ,22.43                        ,12.74             ,                6.28 ,        0.27 ,            10.79 ,33.71        ,                           0.06 ,        0.06 ,                      6.54 ,-2.61              ,4.05     ,3.99               ,-3.19                        ,32.02         ,4.62                  ,1.95                ,-13.32     ,                      20.24 ,-145.42        ,-7.29                    ,-233.51                  ,12.53                          ,-8.4                  ,- -                         ,6.3                            ,-3.16          ,310.45         ,-22.8                       ,-126.3                         ,1104.31             ,-8.4                 ,14.93          ,-20.95               ,29.83                   ,-0.18161943369687406
 7 ,2017 ,11.98                    ,10.73           ,14.54        ,15.27                      ,- -                    ,14.12                   ,8.8                         ,14.95         ,33.06                       ,-1.02                     ,34.42             ,-0.81                       ,34.14               ,11.89  ,-0.08             ,14.12  ,14.12  ,2.28             ,1.91                 ,18.82             ,4.03               ,0.38               ,                1.95 ,-9.89                          ,-9.89                   ,12.81                   ,9.84        ,-37.02          ,0.34                 ,4.24                           ,8.31                      ,63.47                        ,          12.65 ,                  13.32 ,        9.79 ,28.66               ,10.47   ,- -                  ,23.17                     ,-9.53   ,-10.91               ,-9.93                        ,-1.97             ,                9.36 ,        0.61 ,            13.6  ,-20.87       ,                          23.68 ,       23.68 ,                      9.79 ,0.79               ,-5.93    ,-23.94             ,-8.1                         ,-18.54        ,-26.51                ,7.64                ,33.06      ,                       1.95 ,-1072.09       ,13.89                    ,86.34                    ,10.1                           ,18.64                 ,- -                         ,38.34                          ,-0.64          ,- -            ,-97.96                      ,-676.95                        ,-133.67             ,18.64                ,9.32           ,34.22                ,-17.26                  ,0.3055852032427768
 8 ,2018 ,12.69                    ,11.74           ,14.55        ,9.44                       ,- -                    ,17.53                   ,-25.83                      ,23.98         ,14.16                       ,0.26                      ,13.86             ,0.37                        ,13.73               ,16.09  ,3.02              ,17.53  ,17.53  ,1.65             ,4.3                  ,1.3               ,4.64               ,55.41              ,                8.88 ,-45.23                         ,-45.23                  ,9.68                    ,15.59       ,56.37           ,-5.09                ,12.33                          ,9.36                      ,7.14                         ,          17.29 ,                  16.46 ,       11.11 ,8.34                ,16.47   ,- -                  ,10.54                     ,21.85   ,16.27                ,20.23                        ,17.3              ,                6.91 ,        0.34 ,            13.02 ,28.41        ,                           5.32 ,        5.32 ,                     11.11 ,-1.77              ,49.13    ,41.6               ,53.83                        ,-14.14        ,-14.02                ,7.69                ,14.16      ,                       8.88 ,-54.35         ,8.86                     ,-93.26                   ,11.07                          ,9.33                  ,- -                         ,93.35                          ,55.81          ,-31.78         ,5254.27                     ,-103.96                        ,123.02              ,9.33                 ,11.24          ,-16.88               ,-2.7                    ,0.0034473001870972686
 9 ,2019 ,6.45                     ,5.79            ,7.72         ,4.5                        ,- -                    ,9.47                    ,22.59                       ,8.3           ,10.72                       ,-1.33                     ,12.21             ,-1.43                       ,12.32               ,10.7   ,3.99              ,9.47   ,9.47   ,1.19             ,2.83                 ,4.01              ,7.04               ,0.23               ,               17.32 ,11.03                          ,11.03                   ,1.63                    ,-0.03       ,111.43          ,10.33                ,-122.84                        ,-47.18                    ,9.2                          ,          27.42 ,                  14.54 ,       13.65 ,3.18                ,38.61   ,- -                  ,13.28                     ,-0.11   ,16.23                ,4.48                         ,6.98              ,               17.78 ,        0.83 ,            12.98 ,-3.26        ,                          20.59 ,       20.59 ,                     13.65 ,0.87               ,4.26     ,-13.55             ,-15.59                       ,-2.61         ,-8.81                 ,-0.55               ,10.72      ,                      17.32 ,-209.66        ,47.88                    ,-791.19                  ,20.41                          ,24.7                  ,- -                         ,-4.89                          ,-1.1           ,-82.14         ,-96.76                      ,459.15                         ,-113.41             ,24.7                 ,19.99          ,21.58                ,8.76                    ,0.19390579287789622
