   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA  ,EBIT   ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,2.81                     ,6.17            ,2.25         ,4.27                       ,1.05                   ,0.71                    ,-24.5                       ,2.17          ,0.48                        ,-5.51                     ,6.34              ,-5.48                       ,6.31                ,0.11   ,-2.63             ,0.11   ,0.71   ,-0.54            ,-2.04                ,-2.27             ,1.63               ,- -                ,- -                  ,29.61                          ,13.97                   ,10.72                   ,-8.92       ,16.28           ,22.17                ,-3.76                          ,3.01                      ,- -                          ,-0.83           ,-1.64                   ,9.73         ,5.4                 ,- -     ,- -                  ,69.64                     ,2.58    ,-15.68               ,-0.89                        ,15.21             ,                1.32 ,        1.32 ,-18.83            ,240          ,5.63                            ,5.63         ,9.73                       ,-6.33              ,30.56    ,23.59              ,1.82                         ,-27.98        ,-15.58                ,1.16                ,0.48       ,-3.05                       ,-22.51         ,24.3                     ,-376.15                  ,-8.66                          ,9.43                  ,27.62                       ,29.67                          ,- -            ,24.8           ,22.03                       ,-39.13                         ,-63.69              ,9.43                 ,-10.32         ,-1.54                ,-9.1                    ,-0.15734793572231487
 1 ,2011 ,3.51                     ,9.32            ,2.51         ,12.63                      ,9.43                   ,-22.24                  ,-28.95                      ,-21.95        ,-20.4                       ,-5.73                     ,-15.56            ,-5.49                       ,-15.78              ,-18.13 ,-20.91            ,-18.99 ,-22.24 ,-0.97            ,-24.88               ,-23.1             ,1.19               ,- -                ,- -                  ,18.48                          ,111.32                  ,24.03                   ,22.85       ,16.44           ,19.3                 ,-1.85                          ,5.08                      ,- -                          ,6.9             ,4.52                    ,12.38        ,38.9                ,-96.62  ,- -                  ,-12.42                    ,96.28   ,30.79                ,85.69                        ,52.71             ,                1.75 ,        1.75 ,154.25            ,11.76        ,-20.53                          ,-20.53       ,12.38                      ,-14.64             ,43.74    ,80.87              ,-60.81                       ,36.22         ,9.83                  ,2.3                 ,-20.4      ,4.23                        ,-97.52         ,-3.4                     ,-221.26                  ,-11.54                         ,-2.24                 ,-112.58                     ,-81.07                         ,- -            ,351.19         ,124.37                      ,-45.29                         ,807.94              ,-2.24                ,-12.58         ,22.77                ,11.13                   ,0.1817654974749494
 2 ,2012 ,10.8                     ,20.23           ,9.06         ,7.02                       ,6.73                   ,29.34                   ,250.62                      ,20.7          ,17.97                       ,-14.36                    ,37.76             ,-13.71                      ,36.71               ,24.07  ,11.97             ,25.46  ,29.34  ,-1.57            ,16.73                ,6.47              ,9.57               ,161.11             ,- -                  ,16.57                          ,-53.11                  ,-13.05                  ,10.47       ,19.97           ,13.1                 ,-1.73                          ,6.38                      ,- -                          ,12.01           ,8.51                    ,11.1         ,-1.09               ,2870.24 ,- -                  ,40.82                     ,12.6    ,13.01                ,12.65                        ,18.08             ,                5.62 ,        5.62 ,16.86             ,-14.62       ,0.16                            ,0.16         ,11.1                       ,-4.94              ,60.7     ,60.43              ,-52.54                       ,-19.68        ,-6.03                 ,1.12                ,17.97      ,2.64                        ,4390.91        ,6.16                     ,-112.33                  ,14.91                          ,21.52                 ,-1673.23                    ,1170.99                        ,123.6          ,-55.75         ,-60.08                      ,-162.17                        ,-200.82             ,21.52                ,14.08          ,-1.37                ,-2.6                    ,0.23425100517183406
 3 ,2013 ,8.17                     ,14.67           ,6.85         ,7.98                       ,20.8                   ,5.2                     ,5.99                        ,5.11          ,16.94                       ,-2.84                     ,20.36             ,-2.8                        ,20.3                ,7.32   ,-0.79             ,-7.91  ,5.2    ,-1.22            ,-2.75                ,8.1               ,-2.64              ,30.26              ,337.41               ,-19.37                         ,16.83                   ,7.11                    ,10.02       ,19.3            ,-12.31               ,0.43                           ,2.88                      ,- -                          ,68.87           ,67.86                   ,21.78        ,-2.96               ,0.4     ,- -                  ,-1.93                     ,23.25   ,108.29               ,32.97                        ,24.95             ,                1.89 ,        1.89 ,-26.76            ,-210.27      ,15.93                           ,15.93        ,21.78                      ,-0.22              ,21.7     ,4.98               ,-350.92                      ,-10.59        ,-5.2                  ,11.11               ,16.94      ,18.2                        ,-35.83         ,11.33                    ,773.33                   ,6.95                           ,0.58                  ,-132.7                      ,-15.23                         ,26.57          ,63.27          ,-83.85                      ,550.6                          ,-114.85             ,0.58                 ,7.8            ,24.66                ,-8.54                   ,0.0519534987831507
 4 ,2014 ,7.43                     ,32.16           ,2.03         ,-9.36                      ,5.24                   ,5.52                    ,0.66                        ,6.08          ,1.52                        ,0.8                       ,0.71              ,0.65                        ,0.86                ,15.8   ,7.79              ,5.52   ,5.52   ,-5.02            ,-1.77                ,-5.5              ,20.03              ,29.78              ,62.67                ,39.3                           ,-1.94                   ,-5.6                    ,-12.32      ,10.84           ,26.84                ,-2.36                          ,-0.28                     ,- -                          ,-3.08           ,-11.51                  ,4.36         ,19.59               ,-80.04  ,- -                  ,-11.82                    ,2       ,-6.98                ,0.39                         ,-1.81             ,                1.74 ,        1.74 ,-39.43            ,-95.03       ,16.66                           ,16.66        ,4.36                       ,0.77               ,-4.73    ,-18.34             ,-74.67                       ,43.84         ,-31.63                ,-10.5               ,1.52       ,62.67                       ,-41.96         ,1.24                     ,-385.24                  ,35.99                          ,44.73                 ,-321.62                     ,-32.08                         ,30.81          ,-44.43         ,-108.96                     ,-205.54                        ,-113.5              ,44.73                ,34.91          ,2.63                 ,33.96                   ,0.3094261409566188
 5 ,2015 ,7.97                     ,-4.41           ,11.47        ,3.13                       ,-5.28                  ,36.81                   ,-18.81                      ,42.85         ,34.53                       ,-0.13                     ,34.71             ,-0.52                       ,35.23               ,27.71  ,18.28             ,36.81  ,36.81  ,3.24             ,26.71                ,24.6              ,7.97               ,29.61              ,0.76                 ,16.12                          ,11.07                   ,17.64                   ,-8.01       ,-31.6           ,10.96                ,-6.05                          ,-0.69                     ,- -                          ,-3.17           ,-3.61                   ,3.72         ,-1.4                ,350     ,- -                  ,23.67                     ,-3.01   ,-8.12                ,-3.86                        ,0.61              ,                0.79 ,        0.79 ,-54.89            ,5900         ,8.94                            ,8.94         ,3.72                       ,-0.84              ,1.59     ,-6.75              ,-189.39                      ,-10.28        ,-12.7                 ,- -                 ,34.53      ,0.76                        ,-471.74        ,-21.08                   ,-36.31                   ,6.1                            ,-35.29                ,-11.26                      ,-3.56                          ,29.44          ,-22.59         ,-3818.75                    ,8.34                           ,-658.11             ,-35.29               ,11.6           ,-1.95                ,-21.13                  ,0.046820540673311095
 6 ,2016 ,6.14                     ,-1.54           ,8.0          ,4.46                       ,-5.65                  ,15.63                   ,28.25                       ,14.85         ,11.28                       ,-1.32                     ,12.77             ,-1.57                       ,13.06               ,12.49  ,5.99              ,15.63  ,15.63  ,1.75             ,8.95                 ,4.85              ,-1.05              ,26.8               ,-0.14                ,21.36                          ,-21.79                  ,5.68                    ,12.73       ,18.11           ,19.45                ,1.1                            ,2.09                      ,- -                          ,-5.31           ,-4.36                   ,8.45         ,5.98                ,95.69   ,- -                  ,29.27                     ,3.03    ,15.11                ,4.94                         ,9.79              ,                0.44 ,        0.44 ,-79               ,-1.88        ,6.38                            ,6.38         ,8.45                       ,-2.12              ,14.38    ,7.52               ,151.29                       ,-7.6          ,19.2                  ,7.26                ,11.28      ,-0.14                       ,-176.9         ,-3.42                    ,-99.86                   ,14.07                          ,28.97                 ,73.65                       ,56.08                          ,25.13          ,111.2          ,63.03                       ,-16.62                         ,-318.64             ,28.97                ,12.92          ,-22.11               ,2.5                     ,-0.17091017053598312
 7 ,2017 ,-0.62                    ,-2.23           ,-0.26        ,-3.79                      ,-7.24                  ,1.83                    ,-40.41                      ,4.74          ,-74.37                      ,-2.27                     ,-73.78            ,-2.52                       ,-73.71              ,0.24   ,0.87              ,1.83   ,1.83   ,0.36             ,2.46                 ,-74.21            ,-8.26              ,14.85              ,-7.13                ,9.43                           ,17.25                   ,2.27                    ,3.24        ,-14.29          ,7.53                 ,0.56                           ,1.22                      ,- -                          ,-4.37           ,-3.6                    ,3            ,15.69               ,-73.84  ,- -                  ,-19.49                    ,13.24   ,81.04                ,25.03                        ,14.58             ,                0.68 ,        0.68 ,1057.99           ,44.16        ,-15.51                          ,-15.51       ,3                          ,-2.14              ,0.6      ,19.06              ,-64.1                        ,33.57         ,1.27                  ,8.33                ,-74.37     ,-7.13                       ,-226.81        ,5.79                     ,790900                   ,7.95                           ,-20.67                ,-58.41                      ,-53.52                         ,12.24          ,-38.84         ,8.59                        ,153.71                         ,-161.9              ,-20.67               ,10.47          ,9.37                 ,321.21                  ,0.028482798048407698
 8 ,2018 ,3.93                     ,0.79            ,4.61         ,9.49                       ,4.91                   ,2.91                    ,90.96                       ,-0.54         ,324.15                      ,-9.58                     ,369.07            ,-9.52                       ,368.8               ,2.36   ,-1.51             ,2.91   ,2.91   ,0.66             ,-0.98                ,308.11            ,0.55               ,15.26              ,-0.46                ,-29.69                         ,82.76                   ,10.6                    ,3.74        ,3.88            ,-23.97               ,-0.62                          ,1.39                      ,- -                          ,-6.47           ,-5.51                   ,-16.93       ,15.26               ,283.59  ,- -                  ,49.53                     ,-13.69  ,-5.09                ,-11.52                       ,-1.46             ,                0.82 ,        0.82 ,254.44            ,13.25        ,-50.48                          ,-50.48       ,-16.93                     ,-12.82             ,-14.45   ,72.75              ,-758.63                      ,-49.15        ,-1.7                  ,3.37                ,324.15     ,-0.46                       ,-150.07        ,-5.47                    ,-92.14                   ,1.06                           ,11.14                 ,-570.62                     ,-456.34                        ,4.22           ,- -            ,463.1                       ,241.07                         ,462.61              ,11.14                ,0.43           ,-2.5                 ,-76.17                  ,0.21470345577780392
 9 ,2019 ,-1.62                    ,6.22            ,-3.26        ,-3.41                      ,10.14                  ,-5.74                   ,-25.35                      ,-4.26         ,-6.58                       ,-8.47                     ,2.07              ,-8.42                       ,2.01                ,-2.69  ,-1.09             ,-5.74  ,-5.74  ,-1.66            ,-4.19                ,-5.04             ,-9.61              ,9.32               ,13.36                ,-69.59                         ,-13.07                  ,13.32                   ,21.9        ,5.24            ,-50.98               ,-0.61                          ,4.16                      ,- -                          ,52.43           ,43.3                    ,-10.1        ,8.96                ,-33.17  ,- -                  ,-4.84                     ,-8.68   ,-6.13                ,-7.99                        ,-7.2              ,                0.91 ,        0.91 ,18.65             ,-31.34       ,-22.62                          ,-22.62       ,-10.1                      ,-6.07              ,-11.55   ,14.29              ,338.58                       ,-48.49        ,20.45                 ,8.84                ,-6.58      ,13.36                       ,-150           ,-0.96                    ,-217.52                  ,-19                            ,-16.26                ,33.07                       ,-60.19                         ,0.06           ,- -            ,-56.72                      ,-29.89                         ,-128.87             ,-16.26               ,-19.19         ,41.25                ,-13.3                   ,-0.012769861964321949
