   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA  ,EBITDA Margin (%) ,EBITA ,EBIT ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,26.43                    ,- -             ,20.59        ,22.42                      ,- -                    ,- -                     ,77.61                       ,77.61         ,74.36                       ,6.28                      ,46.22             ,7.32                        ,44.8                ,-8.33   ,-27.5             ,- -   ,- -  ,- -              ,- -                  ,22.92             ,18.23              ,103.11             ,-8.33                ,14.37                          ,7.62                    ,14.93                   ,- -         ,-18668.7        ,-81.63               ,- -                            ,- -                       ,14.94                        ,151.09          ,78.17                   ,15.31        ,26.25               ,- -     ,-189.29              ,61.84                     ,249.13  ,9.77                 ,15                           ,15.38             ,                4.89 ,- -          ,28.23             ,114.83       ,15.93                           ,14.52        ,15.31                      ,-3.29              ,-679.72  ,-606.21            ,-0.68                        ,-88.65        ,- -                   ,6.93                ,70.96      ,-8.33                       ,-220.92        ,-13.19                   ,-113.76                  ,-261.76                        ,57.83                 ,1597.08                     ,-85.67                         ,115.85         ,- -            ,-167.83                     ,-129.55                        ,-92.69              ,57.83                ,-241.98        ,-185.61              ,-204.09                 ,0.378697904352989
 1 ,2011 ,1.92                     ,- -             ,6.37         ,3.86                       ,- -                    ,- -                     ,-15.24                      ,-15.24        ,-19.84                      ,-6.22                     ,2.26              ,-6.1                        ,2.13                ,- -     ,-1.88             ,- -   ,- -  ,- -              ,- -                  ,-5.91             ,-4.18              ,-36.14             ,- -                  ,2.15                           ,-2.46                   ,10.22                   ,- -         ,-76.03          ,413.4                ,- -                            ,- -                       ,2.51                         ,-42.18          ,-26.74                  ,2.13         ,-8.11               ,26.95   ,- -                  ,2.48                      ,-3.58   ,2.65                 ,2.23                         ,2.57              ,                3.45 ,- -          ,10.34             ,12.92        ,-4.03                           ,-2.54        ,2.13                       ,-10.03             ,-1.87    ,0.68               ,-4.57                        ,400.96        ,- -                   ,6.37                ,-23.02     ,- -                         ,-23.93         ,-8.23                    ,219.75                   ,7.03                           ,90.84                 ,-5.59                       ,24.3                           ,-40.11         ,-82.03         ,156.87                      ,-17.27                         ,-65.65              ,90.84                ,1.26           ,-26.88               ,11.6                    ,-0.1230803839040503
 2 ,2012 ,-0.21                    ,- -             ,0.25         ,5.09                       ,- -                    ,- -                     ,-10.61                      ,-10.61        ,-12.33                      ,-9.4                      ,5.56              ,-9.54                       ,5.72                ,104.55  ,104.99            ,- -   ,- -  ,- -              ,- -                  ,-4.16             ,-9.15              ,58.8               ,104.55               ,-26.47                         ,-9.26                   ,-23.19                  ,- -         ,- -             ,-8.2                 ,- -                            ,- -                       ,-27.76                       ,38.61           ,6.53                    ,0.55         ,24.32               ,-0.6    ,- -                  ,16.32                     ,-2.47   ,2.06                 ,1.77                         ,1.67              ,                4.26 ,- -          ,-10.12            ,87.15        ,-11.87                          ,-11.89       ,0.55                       ,-8.11              ,2.3      ,16.11              ,-12.38                       ,-21.07        ,- -                   ,9.84                ,-7.11      ,104.55                      ,10.9           ,-7.59                    ,-97.04                   ,-30.9                          ,-45.2                 ,61.82                       ,-485.43                        ,43.87          ,7.36           ,-7.63                       ,470.84                         ,431.65              ,-45.2                ,-29.05         ,65.2                 ,-27.74                  ,0.16100633550289767
 3 ,2013 ,9.61                     ,- -             ,9.61         ,4.2                        ,- -                    ,- -                     ,59.13                       ,59.13         ,63.68                       ,-7.09                     ,39.53             ,-7.05                       ,39.47               ,6.22    ,-3.09             ,- -   ,- -  ,- -              ,- -                  ,18.27             ,11.4               ,41.5               ,6.22                 ,-3.08                          ,3.42                    ,6.84                    ,- -         ,- -             ,-1.98                ,- -                            ,- -                       ,-3.69                        ,18.25           ,11.06                   ,7.31         ,7.93                ,-0.2    ,- -                  ,5.7                       ,14.52   ,7.9                  ,8.3                          ,8.26              ,                6.55 ,- -          ,13.53             ,-50.17       ,-9.9                            ,-4.94        ,7.31                       ,-5.8               ,19.66    ,25.88              ,-11.42                       ,-7.26         ,- -                   ,-1.6                ,63.71      ,6.22                        ,-144.1         ,6.72                     ,-939.13                  ,-9.37                          ,-23.36                ,-109.88                     ,-118.16                        ,31.48          ,1310.86        ,14.63                       ,-95.18                         ,-160.95             ,-23.36               ,-7.97          ,90.61                ,-30.09                  ,0.5872667150607729
 4 ,2014 ,9.55                     ,- -             ,9.55         ,5.85                       ,- -                    ,- -                     ,29.29                       ,29.29         ,35.45                       ,-5.71                     ,28.71             ,-5.84                       ,28.9                ,6.28    ,-2.98             ,- -   ,- -  ,- -              ,- -                  ,10.79             ,8.02               ,12.67              ,6.28                 ,-0.92                          ,-0.75                   ,9.05                    ,- -         ,- -             ,0.29                 ,- -                            ,- -                       ,-0.93                        ,5.77            ,3.87                    ,2.93         ,6.58                ,-60     ,- -                  ,-10.68                    ,17.42   ,2.32                 ,3.27                         ,3.07              ,                6    ,- -          ,14.12             ,11.26        ,-0.83                           ,0.79         ,2.93                       ,-4.69              ,20.25    ,19.31              ,-2.08                        ,12.28         ,- -                   ,1.41                ,35.59      ,6.28                        ,-65.61         ,-9.09                    ,-203.11                  ,75.88                          ,7.62                  ,-253.85                     ,-10.85                         ,6.23           ,9.44           ,-0.38                       ,441.5                          ,-89.45              ,7.62                 ,81.57          ,-34.71               ,44.92                   ,0.05833547786929061
 5 ,2015 ,-0.8                     ,- -             ,-0.8         ,0.43                       ,- -                    ,- -                     ,-15.9                       ,-15.9         ,-15.73                      ,-5.17                     ,1.74              ,-5.54                       ,2.14                ,-2.36   ,-1.58             ,- -   ,- -  ,- -              ,- -                  ,-2.74             ,-6.83              ,15.1               ,-2.36                ,-4.61                          ,-5.58                   ,4.91                    ,- -         ,- -             ,-3.35                ,- -                            ,- -                       ,-4.51                        ,-1.04           ,-1.98                   ,-2.39        ,5.45                ,- -     ,-284                 ,7.49                      ,3.19    ,-2.34                ,-1.94                        ,-1.9              ,                3.62 ,- -          ,11.32             ,-61.78       ,-11.16                          ,-9.67        ,-2.39                      ,-6.6               ,6        ,17.35              ,-7.46                        ,-10.08        ,- -                   ,6.48                ,-15.65     ,-2.36                       ,114.81         ,11.54                    ,278.39                   ,7.21                           ,17.7                  ,-62.22                      ,-28.11                         ,9.15           ,-38.93         ,10.4                        ,39.89                          ,-1062.96            ,17.7                 ,6.69           ,-30.73               ,11.12                   ,-0.171156565816715
 6 ,2016 ,-3.89                    ,- -             ,-3.04        ,-2.82                      ,- -                    ,- -                     ,-25.68                      ,-25.68        ,-22.11                      ,-8.48                     ,-8.09             ,-8.69                       ,-7.87               ,- -     ,4.05              ,- -   ,- -  ,- -              ,- -                  ,-12.47            ,-3.89              ,12.55              ,- -                  ,5.31                           ,-13.05                  ,0.68                    ,- -         ,- -             ,4.64                 ,- -                            ,- -                       ,7.14                         ,-11.61          ,-6.66                   ,-3.74        ,7.53                ,- -     ,- -                  ,4.05                      ,-48.9   ,1.2                  ,-2.59                        ,-2.43             ,                2.02 ,- -          ,6.84              ,-20.95       ,-12.82                          ,-25.14       ,-3.74                      ,-9.49              ,-61.46   ,-48.52             ,-22.23                       ,0.57          ,- -                   ,- -                 ,-22.11     ,- -                         ,-184.48        ,-7.59                    ,-58.7                    ,-23.37                         ,-30.83                ,-957.35                     ,56.42                          ,3.01           ,-69.94         ,-1.95                       ,-51.21                         ,-113.85             ,-30.83               ,-22.96         ,24.36                ,-8.9                    ,-0.017828708013940986
 7 ,2017 ,2.83                     ,- -             ,2.81         ,4.39                       ,- -                    ,- -                     ,39.07                       ,39.07         ,12.63                       ,-7.34                     ,21.55             ,-6.84                       ,20.9                ,-5.65   ,-8.24             ,- -   ,- -  ,- -              ,- -                  ,9.53              ,2.83               ,10.62              ,-5.65                ,1.03                           ,5.39                    ,8.95                    ,- -         ,-100.02         ,2.13                 ,- -                            ,- -                       ,0.68                         ,9.4             ,6.75                    ,5.47         ,13.49               ,- -     ,-67.39               ,12.87                     ,-2.62   ,6.21                 ,5.86                         ,5.95              ,                4.12 ,- -          ,9.45              ,14.5         ,-4.67                           ,-4.67        ,5.47                       ,-5.27              ,-8.96    ,-4.5               ,-9.62                        ,-9.52         ,- -                   ,- -                 ,12.63      ,-5.65                       ,248.98         ,-9.7                     ,-214.15                  ,-13.7                          ,76.09                 ,-87.08                      ,-75.25                         ,2.51           ,- -            ,-13.01                      ,57.82                          ,-886.11             ,76.09                ,-18.09         ,60.18                ,-23.38                  ,0.3697759159708771
 8 ,2018 ,6.72                     ,- -             ,5.79         ,5.55                       ,- -                    ,- -                     ,12.2                        ,12.2          ,41.76                       ,-5.52                     ,50.03             ,-5.74                       ,50.39               ,-15.38  ,-20.71            ,- -   ,- -  ,- -              ,- -                  ,32.83             ,-0.9               ,9.07               ,-15.38               ,1.81                           ,18.21                   ,6.91                    ,- -         ,- -             ,2.56                 ,- -                            ,- -                       ,0.42                         ,-14.76          ,-10.42                  ,-6.95        ,-5                  ,0.5     ,- -                  ,-5.15                     ,-9.59   ,-6.9                 ,-7                           ,-6.96             ,                2.16 ,- -          ,13.95             ,-227.07      ,-6.84                           ,-6.84        ,-6.95                      ,-7.03              ,-36.05   ,-31.35             ,0.13                         ,8.13          ,- -                   ,7.69                ,41.76      ,-15.38                      ,-52.05         ,19.01                    ,-138.59                  ,52.67                          ,- -                   ,388.5                       ,194.97                         ,3.05           ,88.71          ,9.76                        ,-29.24                         ,-363.96             ,- -                  ,58.22          ,-61.6                ,7.7                     ,-0.30589308031453544
 9 ,2019 ,-0.63                    ,- -             ,-0.63        ,4.25                       ,- -                    ,- -                     ,-10.14                      ,-10.14        ,-9.77                       ,-7.9                      ,-2.03             ,-7.92                       ,-2.01               ,-7.58   ,-6.99             ,- -   ,- -  ,- -              ,- -                  ,-9.2              ,11.29              ,8.15               ,-7.58                ,8.2                            ,23.57                   ,16.57                   ,- -         ,- -             ,9.48                 ,- -                            ,- -                       ,6.67                         ,13.24           ,11.13                   ,10.65        ,1.18                ,- -     ,- -                  ,1.07                      ,2.49    ,11.47                ,11.15                        ,10.99             ,                2.43 ,- -          ,10.61             ,-190.03      ,2.52                            ,2.52         ,10.65                      ,-9.09              ,-38.31   ,-39.83             ,-7.34                        ,8.33          ,- -                   ,-10.71              ,-9.77      ,-7.58                       ,-335.37        ,-6.25                    ,375.18                   ,-9.86                          ,-11.73                ,227.63                      ,450.94                         ,-0.4           ,-46.9          ,19.2                        ,-196.12                        ,-57.03              ,-11.73               ,-9.73          ,63.74                ,-0.1                    ,0.3508468844431236
