   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA  ,EBIT   ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,                   15.15 ,13.98           ,       15.52 ,13.92                      ,- -                    ,16.68                   ,-8.94                       ,31.92         ,56.34                       ,0.7                       ,50.19             ,-0.71                       ,52.31               , 14.56 ,-0.52             ,16.68  ,16.68  ,0.32             ,1.33                 ,31.34             ,-5.43              ,- -                ,11.12                ,261.92                         ,257.46                  ,19.15                   ,- -         ,19.55           ,115.16               ,14.12                          ,12.25                     ,- -                          ,13.96           ,14.02                   ,21.76        ,59.66               ,6.2     ,19.71                ,38.58                     ,33.12   ,21.72                ,31.55                        ,32.08             ,2.19                 ,1.31         ,-17.68            ,-400.84      ,5.62                            ,5.62         ,21.76                      ,-0.73              ,18.64    ,12.33              ,48.74                        ,55.26         ,25.8                  ,21.76               ,51.18      ,11.12                       ,13.3           ,-13.38                   ,41.26                    ,21.24                          ,38.52                 ,-1188.78                    ,139.55                         ,- -            ,144.33         ,101.9                       ,-566.97                        ,505.47              ,38.52                ,13.93          ,-5.82                ,-19.83                  ,0.06726642453597598
 1 ,2011 ,                   23.08 ,30.84           ,       20.64 ,25.7                       ,- -                    ,17.31                   ,80.96                       ,-8.84         ,2.21                        ,-1.36                     ,6.74              ,-0.96                       ,6.32                , 18.52 ,-3.71             ,17.31  ,17.31  ,-1.98            ,-4.69                ,-14.45            ,0.28               ,- -                ,20.57                ,-62.12                         ,-62.65                  ,24.72                   ,- -         ,-0.2            ,-39.87               ,34.76                          ,23.35                     ,- -                          ,21.84           ,27.06                   ,18.01        ,75.49               ,35.94   ,-30.59               ,43.78                     ,29.42   ,12.67                ,27.29                        ,28.59             ,-42.81               ,-19.01       ,-14.68            ,-474.79      ,-6.23                           ,-2.69        ,18.01                      ,-1.26              ,46.83    ,50.9               ,49.76                        ,-58.18        ,-20.29                ,22.73               ,2.2        ,20.57                       ,5.39           ,-9.74                    ,-30.21                   ,14.2                           ,50.87                 ,-189.85                     ,114.53                         ,- -            ,-16.09         ,1.58                        ,19.31                          ,-185.46             ,50.87                ,-4.65          ,-5.19                ,8.46                    ,0.16901507810649208
 2 ,2012 ,                   17.7  ,16.07           ,       18.25 ,13.93                      ,- -                    ,21.69                   ,1.26                        ,38.35         ,55.57                       ,-0.24                     ,62.67             ,-0.23                       ,62.66               , 19.54 ,1.57              ,21.69  ,21.69  ,0.47             ,3.39                 ,37.89             ,17.7               ,158.72             ,15.98                ,6.29                           ,11.64                   ,35.65                   ,- -         ,-18.34          ,-1.57                ,-48.63                         ,-25.68                    ,- -                          ,65.24           ,16.42                   ,15.18        ,-23.38              ,-41.04  ,33.35                ,-18.91                    ,21.85   ,18.85                ,21.51                        ,17.94             ,2.21                 ,0.58         ,-19.22            ,28.56        ,8.82                            ,8.04         ,15.18                      ,0.37               ,21.41    ,12.38              ,17.69                        ,21.38         ,-54.27                ,- -                 ,55.57      ,15.98                       ,-37.3          ,9.58                     ,-89.74                   ,21.31                          ,8.61                  ,-18.28                      ,-8.33                          ,158.1          ,128.05         ,-85.66                      ,7.76                           ,-104.89             ,8.61                 ,31.64          ,5.99                 ,-25.25                  ,0.17027219095441182
 3 ,2013 ,                   16.88 ,19.09           ,       16.14 ,26.75                      ,- -                    ,8.45                    ,60.74                       ,-22.75        ,-18.82                      ,0.07                      ,-13.55            ,-0.04                       ,-13.46              , 14.2  ,-2.29             ,8.45   ,8.45   ,-0.63            ,-7.21                ,-25.98            ,-8.68              ,22.17              ,24.19                ,-16.67                         ,-20.36                  ,10.3                    ,- -         ,53.93           ,14.84                ,43.32                          ,25.43                     ,- -                          ,46.26           ,45.71                   ,43.89        ,54.62               ,16.83   ,30.43                ,46.28                     ,65.74   ,25.03                ,61.24                        ,60.33             ,2.36                 ,0.43         ,-9.64             ,69.74        ,-1.09                           ,-2.56        ,43.89                      ,-0.06              ,69.17    ,73.61              ,139.21                       ,-21.49        ,-35.8                 ,27.99               ,-18.82     ,24.19                       ,83.67          ,31.08                    ,188.55                   ,13.06                          ,27.55                 ,-124.82                     ,102.21                         ,22.25          ,81.36          ,131.18                      ,201.24                         ,-284.76             ,27.55                ,3.33           ,-10.16               ,30.68                   ,-0.2480180546532731
 4 ,2014 ,                   21.97 ,27.27           ,       20.16 ,7.5                        ,- -                    ,22.45                   ,-7.63                       ,59.8          ,66.57                       ,0.23                      ,44.95             ,0.24                        ,44.95               , 23.64 ,1.37              ,22.45  ,22.45  ,-1.49            ,0.39                 ,22.67             ,11.39              ,-3.45              ,25.45                ,2.44                           ,6.78                    ,31.53                   ,- -         ,-12.24          ,-0.49                ,-1.05                          ,5.02                      ,- -                          ,7               ,5.51                    ,5.22         ,15.24               ,1179.91 ,44.4                 ,108.67                    ,-4.84   ,21.32                ,-2.6                         ,3.57              ,12.82                ,0.48         ,-22.58            ,155.2        ,11.87                           ,12.91        ,5.22                       ,0.46               ,0.78     ,-10.74             ,-5.44                        ,-52.31        ,-29.35                ,9.5                 ,66.57      ,25.45                       ,-49.19         ,17.63                    ,-950.27                  ,33.49                          ,34.49                 ,-811.6                      ,-62.32                         ,-3.23          ,-51.45         ,- -                         ,-103.82                        ,-203.54             ,34.49                ,32.67          ,-5.76                ,-10.78                  ,0.14373186108245783
 5 ,2015 ,                   16.38 ,19.62           ,       15.2  ,11.49                      ,- -                    ,8.46                    ,26.01                       ,-4.13         ,-16.33                      ,5.8                       ,-29.8             ,5.73                        ,-29.76              , 16.36 ,-0.02             ,8.46   ,8.46   ,-1.01            ,-6.8                 ,-28.64            ,2.67               ,78.75              ,28.05                ,0.28                           ,2.29                    ,14.41                   ,- -         ,4.42            ,5.12                 ,49.97                          ,29.36                     ,- -                          ,22.27           ,27.1                    ,26.12        ,17.61               ,-94.41  ,-9.76                ,-37.81                    ,24.49   ,17.42                ,23.73                        ,16.86             ,67.36                ,6.81         ,19.25             ,131.3        ,68.25                           ,65.61        ,26.12                      ,6.85               ,17.51    ,-29.04             ,-15.38                       ,69.03         ,-65.02                ,13.35               ,-16.33     ,28.05                       ,111.95         ,12.96                    ,-186.02                  ,2.27                           ,-25.21                ,-75.95                      ,297.1                          ,89.11          ,120.61         ,-1782.84                    ,-4252.66                       ,-39.71              ,-25.21               ,25.35          ,9.97                 ,23.15                   ,0.007275842712616276
 6 ,2016 ,                   21.25 ,36.82           ,       15.38 ,9.19                       ,- -                    ,14.9                    ,-7.11                       ,35.65         ,44.4                        ,1.49                      ,40.67             ,1.48                        ,40.68               , 16.58 ,-3.85             ,14.9   ,14.9   ,-4.84            ,-5.24                ,15.14             ,-9.31              ,23.03              ,18.7                 ,146.72                         ,145.46                  ,35.63                   ,- -         ,31.64           ,69.59                ,0.88                           ,6.6                       ,- -                          ,15.72           ,12.67                   ,14.77        ,22.18               ,375.69  ,16.3                 ,35.94                     ,7.18    ,50.1                 ,11.53                        ,12.98             ,3.64                 ,0.75         ,7.85              ,8.84         ,1.69                            ,20.18        ,14.77                      ,0.78               ,5.64     ,-12.1              ,2.4                          ,24.75         ,-48.26                ,33.7                ,44.4       ,18.7                        ,-13.74         ,-0.71                    ,-23.27                   ,23.85                          ,-6.35                 ,29.48                       ,-72.78                         ,24.86          ,-30.47         ,- -                         ,-101.78                        ,1533.45             ,-6.35                ,38.97          ,-5.16                ,-11.29                  ,0.016894232368729112
 7 ,2017 ,                   15.18 ,14.86           ,       15.32 ,17.23                      ,- -                    ,7.85                    ,2.08                        ,11.57         ,26.28                       ,0.71                      ,34.62             ,0.56                        ,34.83               ,  9.93 ,-4.55             ,7.85   ,7.85   ,0.12             ,-6.37                ,12.46             ,9.24               ,16.4               ,12.47                ,1.51                           ,1.9                     ,66.55                   ,- -         ,22.21           ,20.61                ,-2.43                          ,5.55                      ,- -                          ,8.89            ,6.81                    ,7.56         ,28.02               ,224.45  ,9.54                 ,54                        ,6.21    ,14.96                ,7.4                          ,10.73             ,2.03                 ,2.35         ,-1.75             ,-1.05        ,-7.72                           ,-1.4         ,7.56                       ,0.38               ,9.34     ,10.89              ,5.25                         ,-21.68        ,-85.59                ,5.44                ,26.28      ,12.47                       ,8.05           ,20.69                    ,239.28                   ,8.21                           ,17.74                 ,19.45                       ,32.9                           ,17.23          ,41.35          ,-131.4                      ,13.8                           ,-97.65              ,17.74                ,4.99           ,22.79                ,-16.46                  ,0.18294862399952705
 8 ,2018 ,                   11.65 ,6.04            ,       14.14 ,14.58                      ,- -                    ,-4.67                   ,1.09                        ,-8.08         ,3.21                        ,2.67                      ,3.79              ,2.61                        ,3.85                ,  8.12 ,-3.16             ,-4.67  ,-4.67  ,2.24             ,-14.62               ,-10.61            ,5.56               ,12.29              ,23.01                ,50.5                           ,50.69                   ,-10.63                  ,- -         ,-0.55           ,17.03                ,-9.05                          ,1.32                      ,- -                          ,-0.29           ,-1.77                   ,-0.61        ,11.07               ,255.55  ,13.13                ,86.69                     ,-5.28   ,-9.24                ,-5.85                        ,3.35              ,1.3                  ,2.27         ,13.36             ,33.59        ,-14.51                          ,-13.2        ,-0.61                      ,2.85               ,2.83     ,18.46              ,-0.21                        ,-37.32        ,-225.64               ,5.77                ,3.21       ,23.01                       ,14.95          ,26.73                    ,-96.02                   ,28.12                          ,13.64                 ,565.99                      ,-1.84                          ,15.29          ,-33.43         ,-69.62                      ,437.79                         ,3242.74             ,13.64                ,33.61          ,-8.44                ,28.38                   ,0.19560549393329263
 9 ,2019 ,                    1.88 ,1.79            ,        1.92 ,-0.38                      ,- -                    ,41.12                   ,2.88                        ,65.98         ,51.55                       ,0.62                      ,52.91             ,0.58                        ,52.97               , 11.66 ,9.6               ,41.12  ,41.12  ,0.04             ,38.51                ,49.86             ,-6.11              ,18.68              ,-14.92               ,24.2                           ,24.2                    ,0.7                     ,- -         ,-17.7           ,7.07                 ,155.4                          ,72.86                     ,- -                          ,8.51            ,31.42                   ,29.66        ,8.57                ,24.24   ,-3.22                ,17.01                     ,50.16   ,2.6                  ,43.48                        ,38.72             ,-2.53                ,- -          ,-15.23            ,6.84         ,-5.26                           ,-4.6         ,29.66                      ,0.41               ,13.05    ,18.5               ,-18.09                       ,-8.49         ,-184.93               ,8.52                ,51.55      ,-14.92                      ,-24.87         ,-18.98                   ,1688.57                  ,0.11                           ,8.55                  ,-71.81                      ,45.03                          ,19.41          ,123            ,-91.58                      ,-185.85                        ,-26.67              ,8.55                 ,-2.6           ,41.73                ,-34.43                  ,0.18988064311909403
