   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA  ,EBIT   ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,9.32                     ,7.63            ,13.95        ,-24.52                     ,-1.38                  ,75.47                   ,838.14                      ,66.63         ,64.79                       ,1.1                       ,61.25             ,1.69                        ,60.31               ,39.24  ,27.36             ,75.47  ,75.47  ,4.23             ,60.5                 ,49.11             ,12.91              ,              5.65 ,2.75                 ,-23.33                         ,-23.33                  ,2.08                    ,14.53       ,-33.31          ,-0.77                ,2.79                           ,3.55                      ,5.15                         ,8.37            ,4.28                    ,3.11         ,7.22                ,-40.39  ,- -                  ,-8.67                     ,-1.5    ,-4.69                ,-2.61                        ,-4.43             ,-1.93                ,- -          ,8.54              ,-0.21        ,15.76                           ,15.58        ,3.11                       ,1.2                ,-6.46    ,-19.07             ,16.14                        ,8.65          ,-55.75                ,-3.17               ,63.56      ,2.75                        ,-158.16        ,-19.54                   ,636.61                   ,15.08                          ,-12.57                ,-236.47                     ,1.55                           ,          6.8  ,-62.95         ,- -                         ,-671.13                        ,-129.64             ,-12.57               ,241.79         ,6.19                 ,-29.4                   ,0.022709135284346926
 1 ,2011 ,11.7                     ,12.49           ,9.66         ,5.45                       ,3.57                   ,9.24                    ,-142.64                     ,19.15         ,18.79                       ,0.38                      ,18.51             ,0.23                        ,18.68               ,6.29   ,-4.84             ,9.24   ,9.24   ,-1.83            ,-2.2                 ,6.5               ,8.15               ,             14.12 ,1.22                 ,12.88                          ,12.88                   ,2.1                     ,-7.32       ,180.4           ,5.88                 ,5.12                           ,5.62                      ,10.82                        ,6.7             ,5.99                    ,5.97         ,-3.56               ,35.47   ,- -                  ,4.61                      ,7.31    ,10.21                ,8.3                          ,7.24              ,0.32                 ,- -          ,9.52              ,8.11         ,4.48                            ,4.23         ,5.97                       ,-1.69              ,10.27    ,5.8                ,-0.5                         ,1.21          ,-68.17                ,3.28                ,22.58      ,1.22                        ,-547.97        ,-7.82                    ,-55.2                    ,15.16                          ,31.12                 ,-236.06                     ,14.74                          ,         14.55 ,184.75         ,- -                         ,-16.42                         ,-149.65             ,31.12                ,-18.31         ,-22.73               ,-3.19                   ,-0.03786058842851481
 2 ,2012 ,-4.66                    ,-3.6            ,-7.48        ,-6.66                      ,6.4                    ,-5.46                   ,-670.1                      ,-20.98        ,-18.15                      ,-0.85                     ,-3.84             ,-1.33                       ,-3.36               ,-4.87  ,-0.22             ,-5.46  ,-5.46  ,-2.95            ,-0.83                ,0.02              ,-15.41             ,             13.7  ,-3.79                ,7.55                           ,7.55                    ,11.65                   ,15.44       ,-56.68          ,7.11                 ,11.18                          ,4.75                      ,16.22                        ,53.5            ,21.85                   ,18.56        ,15.89               ,11.5    ,-58.33               ,14.96                     ,16.72   ,46.61                ,27.08                        ,23.68             ,0.46                 ,- -          ,7.38              ,7.61         ,11.58                           ,11.35        ,18.56                      ,1.09               ,16.86    ,4.94               ,-19.94                       ,-6.83         ,-7.41                 ,12.7                ,-20.79     ,-3.79                       ,-20.6          ,-2.23                    ,-148.92                  ,2.6                            ,12.52                 ,- -                         ,37.75                          ,         12.74 ,39.79          ,-91.82                      ,-83.82                         ,-10.62              ,12.52                ,-30.83         ,-2.45                ,7.6                     ,-0.11707119325270332
 3 ,2013 ,5.92                     ,5.96            ,5.8          ,15                         ,5.78                   ,1.45                    ,-7.05                       ,2.89          ,1.69                        ,-0.71                     ,-14.22            ,-1.12                       ,-13.87              ,3.73   ,-2.07             ,1.45   ,1.45   ,-0.11            ,-4.21                ,-19.59            ,4.45               ,             10.63 ,7.87                 ,-0.88                          ,-0.88                   ,3.89                    ,-10.23      ,27.03           ,0.66                 ,8.9                            ,8.22                      ,1.68                         ,3.21            ,6.54                    ,5.36         ,1.48                ,72.01   ,-60                  ,19.88                     ,10.3    ,-22.46               ,-2.8                         ,3.11              ,-1.07                ,- -          ,4.46              ,-24.33       ,8.9                             ,8.86         ,5.36                       ,-0.61              ,20.38    ,10.58              ,6.95                         ,-16.03        ,-162.51               ,1.41                ,0.5        ,7.87                        ,-14.11         ,-0.68                    ,-307.59                  ,-12.86                         ,0.21                  ,- -                         ,1.7                            ,          9.85 ,2.98           ,769.3                       ,-247.19                        ,-130.5              ,0.21                 ,-84.44         ,36.8                 ,2.31                    ,0.07255822096489428
 4 ,2014 ,2.54                     ,2.17            ,3.55         ,-2.2                       ,5.76                   ,6.11                    ,44.21                       ,0.3           ,-5.18                       ,1.43                      ,-1.66             ,1.37                        ,-1.6                ,5.88   ,3.26              ,6.11   ,6.11   ,0.98             ,3.48                 ,-2.72             ,4.47               ,              9.41 ,5.5                  ,-25.27                         ,-25.27                  ,0.25                    ,-0.01       ,-28.96          ,-4.2                 ,6.22                           ,3.55                      ,5.22                         ,-12.9           ,0.51                    ,-0.4         ,-16.88              ,6.3     ,- -                  ,-8.2                      ,-4.58   ,4.35                 ,-1.74                        ,-3.69             ,4.08                 ,- -          ,3.6               ,21.68        ,4.6                             ,4.48         ,-0.4                       ,1.12               ,-0.71    ,-4.97              ,14.11                        ,4.36          ,-157.49               ,-1.85               ,-1.7       ,5.5                         ,-425.28        ,1.15                     ,18.62                    ,39.54                          ,10.5                  ,- -                         ,-4.12                          ,         10.98 ,-50.28         ,- -                         ,-673.14                        ,565.58              ,10.5                 ,1064.12        ,1.5                  ,39.89                   ,0.20701296199390762
 5 ,2015 ,-5.21                    ,-9.04           ,5.22         ,-9.57                      ,-1.84                  ,14.86                   ,-45.06                      ,27.98         ,33.29                       ,1.03                      ,27.54             ,0.98                        ,27.61               ,8.62   ,14.6              ,14.86  ,14.86  ,11.01            ,21.18                ,35.95             ,2.01               ,              6.83 ,-2.14                ,-38.68                         ,-38.68                  ,-8.55                   ,-6.83       ,-23.35          ,-11.65               ,1.1                            ,0.65                      ,0.62                         ,-1.88           ,0.3                     ,-1.92        ,2.95                ,49.14   ,- -                  ,23.12                     ,-18.14  ,-0.42                ,-12.14                       ,-1.96             ,5.74                 ,- -          ,5.88              ,71.18        ,-1.59                           ,-1.87        ,-1.92                      ,0.85               ,-1.89    ,-0.03              ,2.11                         ,-28.25        ,39.69                 ,-7.08               ,29.46      ,-2.14                       ,-185.5         ,3.86                     ,-188.76                  ,11.46                          ,-4.12                 ,- -                         ,-1.75                          ,          7.93 ,-26.51         ,- -                         ,42.94                          ,4.68                ,-4.12                ,63.65          ,-7.77                ,-13.5                   ,-0.06907011851751121
 6 ,2016 ,-24.17                   ,-25.45          ,-21.14       ,-28.33                     ,-48.41                 ,-15.26                  ,-67.77                      ,-10.32        ,-14.85                      ,0.7                       ,-50.96            ,0.46                        ,-50.84              ,-13.1  ,14.59             ,-15.26 ,-15.26 ,3.99             ,11.75                ,-34.88            ,-19.68             ,              5.71 ,-8.74                ,526.55                         ,526.55                  ,-25.19                  ,-61.23      ,1814.41         ,48.32                ,-14.29                         ,-8.32                     ,1.41                         ,14.99           ,-5.62                   ,3.39         ,-24.93              ,-32.58  ,28733.33             ,-10.01                    ,-1      ,47.26                ,17.53                        ,7.54              ,5.66                 ,- -          ,-0.99             ,12.34        ,-2.34                           ,-2.27        ,3.39                       ,0.92               ,-30.94   ,-29.33             ,-2.02                        ,64.81         ,178.11                ,-5.58               ,-13.96     ,-8.74                       ,-167.82        ,-32.17                   ,-90.31                   ,9.14                           ,-43.79                ,- -                         ,-33.17                         ,          6.45 ,14.2           ,- -                         ,-67.81                         ,-1299.81            ,-43.79               ,113            ,35.67                ,121                     ,0.1291931734590548
 7 ,2017 ,9.11                     ,11.14           ,4.6          ,5.22                       ,-19.27                 ,10.22                   ,576.57                      ,-8.91         ,2.96                        ,0.74                      ,371.93            ,0.69                        ,372.18              ,7.13   ,-1.82             ,10.22  ,10.22  ,-4.14            ,1.01                 ,335.71            ,32.65              ,              8.45 ,1.31                 ,184.38                         ,153.14                  ,12.25                   ,31.53       ,-84.35          ,36.12                ,2.19                           ,4.76                      ,0.26                         ,-31.3           ,-8.17                   ,2.43         ,48.3                ,-56.93  ,-97.73               ,-24.19                    ,-12.98  ,-34.01               ,-23.09                       ,-23.43            ,2.55                 ,- -          ,22.63             ,-22.65       ,42.47                           ,41.2         ,2.43                       ,0.46               ,-82.41   ,-87.54             ,47                           ,79.55         ,-151.52               ,-17.74              ,3.17       ,1.31                        ,71.39          ,28.71                    ,126.42                   ,-41.07                         ,14.54                 ,-524.39                     ,-318.23                        ,          9.25 ,-99.38         ,- -                         ,547.85                         ,49.87               ,14.54                ,-69.87         ,49.13                ,-87.61                  ,-0.023800277435999773
 8 ,2018 ,9.07                     ,7.58            ,12.59        ,4.78                       ,11.59                  ,10.97                   ,-113.91                     ,42.29         ,29.04                       ,0.6                       ,-50.38            ,0.45                        ,-50.31              ,11.35  ,2.09              ,10.97  ,10.97  ,3.23             ,1.74                 ,-54.23            ,2.38               ,             13.27 ,12.12                ,-19.08                         ,-14.73                  ,-4.91                   ,18.1        ,-35.71          ,-13.52               ,17.58                          ,9.94                      ,-0.75                        ,1.11            ,11.96                   ,3.85         ,-1.86               ,-17.76  ,- -                  ,-6.05                     ,-1.49   ,-3.28                ,-2.23                        ,-3.38             ,2.26                 ,- -          ,4.38              ,-5.71        ,7.65                            ,9.73         ,3.85                       ,0.54               ,48.19    ,35.05              ,5.89                         ,-7.95         ,710.58                ,6.54                ,28.31      ,12.12                       ,-18.95         ,-2.76                    ,-652.92                  ,62.12                          ,50.85                 ,-154.22                     ,-169.89                        ,         13.95 ,-79.17         ,- -                         ,-31.02                         ,-123.24             ,50.85                ,84.31          ,-29.73               ,224.76                  ,0.06497906774424267
 9 ,2019 ,-0.13                    ,-3.46           ,7.4          ,-1.42                      ,13.02                  ,10.39                   ,142.31                      ,13.62         ,21.38                       ,0.46                      ,16.97             ,0.36                        ,17.08               ,10.77  ,10.91             ,10.39  ,10.39  ,7.53             ,10.53                ,17.65             ,-8.03              ,             10.21 ,11.55                ,-18.86                         ,-19.44                  ,9.96                    ,-1.97       ,-40.28          ,-9.13                ,4.17                           ,3.93                      ,-0.08                        ,-6.37           ,1.62                    ,-1.23        ,-8.26               ,-78.61  ,- -                  ,-22.13                    ,-3.71   ,8.4                  ,1.23                         ,-5.59             ,3.25                 ,- -          ,5.43              ,36.38        ,1.81                            ,1.9          ,-1.23                      ,0.41               ,5.48     ,3.52               ,3.54                         ,16.69         ,-12.99                ,8.59                ,20.91      ,11.55                       ,-61.3          ,6.19                     ,-90.47                   ,16.84                          ,26.86                 ,-91.56                      ,29.62                          ,         10.72 ,- -            ,- -                         ,0.79                           ,14.63               ,26.86                ,0.69           ,9.18                 ,-0.57                   ,0.2113940285794742
