   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA  ,EBIT   ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,                   41.04 ,21.97           ,72.5         ,15.98                      ,14.29                  ,560.56                  ,-41.12                      ,-1227.78      ,-1043.18                    ,8.68                      ,-967.89           ,12.33                       ,-939.66             ,171.86 ,92.76             ,560.56 ,560.56 ,22.31            ,368.36               ,-768.74           ,28.95              ,- -                ,-0.62                ,18.86                          ,18.86                   ,53.23                   ,16.67       ,18.18           ,25.81                ,6.44                           ,                    14.7  ,- -                          ,-6.29           ,-3.25                   ,9.49         ,63.13               ,-36.61  ,-53.41               ,-10.74                    ,-98.28  ,29.69                ,-70.71                       ,-29.89            ,4.09                 ,- -          ,-116.57           ,-233.33      ,44.71                           ,44.71        ,9.49                       ,1.91               ,-371.31  ,-287.48            ,179.3                        ,40.95         ,-11.95                ,9.38                ,-1043.18   ,-0.62                       ,20.69          ,108.33                   ,1550                     ,266.91                         ,36.21                 ,28.57                       ,36.51                          ,- -            ,- -            ,-90.6                       ,-283.06                        ,-65.64              ,36.21                ,432.1          ,-41.55               ,-138.9                  ,0.42961006809953983
 1 ,2011 ,                   11.61 ,5.5             ,18.74        ,12.24                      ,13.21                  ,25.37                   ,-57.14                      ,38.18         ,33.01                       ,2.94                      ,29.21             ,2.44                        ,29.85               ,18.63  ,6.29              ,25.37  ,25.37  ,6.39             ,12.33                ,19.18             ,11.61              ,- -                ,-1.26                ,47.77                          ,47.77                   ,15.09                   ,2.65        ,-19.23          ,28.15                ,12.46                          ,                    15.16 ,- -                          ,-6.59           ,-1.59                   ,13.4         ,-24.32              ,-99.14  ,209.76               ,-38.05                    ,- -     ,3.61                 ,3.45                         ,-32.52            ,2                    ,- -          ,789.83            ,-150         ,33.29                           ,33.29        ,13.4                       ,2.53               ,150.45   ,87.9               ,39.6                         ,106.87        ,0.93                  ,- -                 ,33.01      ,-1.26                       ,48.57          ,52                       ,-64.65                   ,42.35                          ,41.77                 ,- -                         ,41.86                          ,- -            ,- -            ,-182.14                     ,0.3                            ,201.12              ,41.77                ,42.46          ,1.21                 ,7.02                    ,0.02856019560070866
 2 ,2012 ,                    1.2  ,2.78            ,-0.44        ,-9.55                      ,5.68                   ,-0.17                   ,-92.59                      ,4.28          ,1.99                        ,- -                       ,1.99              ,-0.79                       ,2.81                ,-0.4   ,-1.58             ,-0.17  ,-0.17  ,-1.62            ,-1.35                ,0.78              ,-1.61              ,59.3               ,-1.27                ,30.76                          ,30.76                   ,3.96                    ,- -         ,71.43           ,21.39                ,59.18                          ,                    34.06 ,- -                          ,-9.36           ,11.21                   ,17.01        ,12.22               ,-50     ,-23.62               ,-1.14                     ,-50     ,10.47                ,7.78                         ,0.68              ,100                  ,- -          ,81.14             ,-650         ,20.59                           ,20.59        ,17.01                      ,-0.2               ,30.76    ,8.44               ,7                            ,22.8          ,-7.24                 ,2.86                ,1.99       ,-1.27                       ,19.23          ,39.47                    ,148.57                   ,-4.55                          ,115.18                ,-55.56                      ,100                            ,59.3           ,- -            ,186.96                      ,-42.26                         ,-4.85               ,115.18               ,-26.38         ,-9.37                ,-6.41                   ,-0.018133651074649926
 3 ,2013 ,                    6.6  ,8.27            ,4.82         ,11.56                      ,18.51                  ,-5.62                   ,-800                        ,-2.91         ,-1.95                       ,0.82                      ,-2.75             ,0.8                         ,-2.73               ,-0.13  ,-6.32             ,-5.62  ,-5.62  ,-1.67            ,-11.46               ,-8.02             ,-20.05             ,43.36              ,20.65                ,-7.84                          ,-9.13                   ,22.58                   ,46.91       ,61.11           ,7.51                 ,31.41                          ,                    24.7  ,- -                          ,40.12           ,36.38                   ,19.32        ,12.1                ,- -     ,48.45                ,22.25                     ,-50     ,10.53                ,9.28                         ,19.41             ,7.3                  ,7.3          ,37.22             ,-45.45       ,19.31                           ,19.31        ,19.32                      ,1.48               ,-9.13    ,-23.84             ,-1.61                        ,-12.06        ,34.4                  ,33.33               ,-1.95      ,20.65                       ,19.35          ,45.28                    ,4.6                      ,4.18                           ,-2.07                 ,-50                         ,167.21                         ,44.53          ,- -            ,-109.09                     ,-12.89                         ,-138.82             ,-2.07                ,7.52           ,31.54                ,6.26                    ,0.4114253086693309
 4 ,2014 ,                   69.4  ,80.8            ,56.81        ,83.33                      ,75.06                  ,4.33                    ,-1785.71                    ,-39.79        ,-44.02                      ,1.62                      ,-53.11            ,5.95                        ,-55.03              ,62.35  ,-4.17             ,4.33   ,4.33   ,-7.44            ,-38.41               ,-71.88            ,-3.2               ,41.15              ,234.22               ,60.56                          ,62.84                   ,87.08                   ,82.11       ,692.24          ,110.34               ,75.19                          ,                    50.24 ,- -                          ,488.57          ,317.47                  ,207.2        ,85.25               ,4500    ,225                  ,143.26                    ,546200  ,620                  ,5766.98                      ,1270.13           ,26.59                ,26.59        ,-1.61             ,733.33       ,12.37                           ,12.37        ,207.2                      ,2.1                ,-496.45  ,-452.8             ,-147.18                      ,-13.53        ,8.23                  ,75                  ,-55.62     ,234.22                      ,154.05         ,111.69                   ,-228.57                  ,62.74                          ,73.31                 ,-1850                       ,802.61                         ,43.43          ,- -            ,1766.67                     ,-3253.25                       ,-725.25             ,73.31                ,57.61          ,21.2                 ,241.57                  ,0.8182633285623595
 5 ,2015 ,                   59.85 ,36.75           ,89.29        ,19.41                      ,50.94                  ,206.06                  ,27.97                       ,328.95        ,350.16                      ,5.18                      ,393.09            ,5.24                        ,392.79              ,127.02 ,42.02             ,206.06 ,206.06 ,18.42            ,91.46                ,224.45            ,63.75              ,36.59              ,53.92                ,13.59                          ,13.59                   ,30.31                   ,0.96        ,-55.39          ,-1.28                ,26.08                          ,                    20.8  ,- -                          ,-2.76           ,2.25                    ,0.96         ,19.81               ,- -     ,-2.56                ,8.75                      ,-28.56  ,13.23                ,-23.48                       ,-18.9             ,26.78                ,26.78        ,74.45             ,46           ,45.36                           ,45.36        ,0.96                       ,8.62               ,-45.53   ,-62.53             ,-88.74                       ,-9.22         ,-24.74                ,-2.38               ,456.73     ,53.92                       ,-15.96         ,42.33                    ,-241.88                  ,97.28                          ,44.99                 ,-140                        ,-95.9                          ,43.66          ,- -            ,115.18                      ,-134.88                        ,-64.78              ,44.99                ,125.2          ,-18.68               ,-61.96                  ,0.46763552732514246
 6 ,2016 ,                   94.02 ,123.17          ,67.18        ,65.84                      ,154.91                 ,-66.82                  ,460.93                      ,-175.46       ,-225.74                     ,38.64                     ,-191.96           ,36.3                        ,-193.54             ,32.88  ,-31.51            ,-66.82 ,-66.82 ,-13.83           ,-82.9                ,-165.71           ,1.34               ,32.59              ,216.22               ,69.98                          ,69.98                   ,114.03                  ,167.18      ,9.02            ,88.74                ,71.85                          ,                    62.7  ,- -                          ,652.88          ,528.44                  ,371.73       ,104.38              ,886.96  ,198.9                ,175.07                    ,237.89  ,1281.31              ,425.57                       ,377.88            ,655.44               ,655.44       ,-109.6            ,83.56        ,300.76                          ,364.06       ,371.73                     ,44.17              ,395.77   ,6.83               ,4096.55                      ,-31.38        ,16.15                 ,91.46               ,-236.44    ,216.22                      ,1005.7         ,192.67                   ,-390.96                  ,47.15                          ,21.92                 ,-428.57                     ,3982.99                        ,83.82          ,248.39         ,22.41                       ,-514.42                        ,484.86              ,21.92                ,55.83          ,35.01                ,-215.42                 ,0.1411066524597664
 7 ,2017 ,                   33.2  ,25.03           ,43.25        ,-0.87                      ,23.11                  ,352.13                  ,-57.56                      ,-274.8        ,-208.63                     ,10.66                     ,-188.55           ,9.92                        ,-189.14             ,103.66 ,52.9              ,352.13 ,352.13 ,7.54             ,239.43               ,-177.53           ,49.38              ,110.26             ,55.72                ,261.77                         ,261.77                  ,12.24                   ,3.36        ,61.97           ,122.08               ,3.59                           ,                    12.48 ,- -                          ,-10.75          ,-9.91                   ,8.91         ,-12.37              ,-74.23  ,-7.85                ,-19.49                    ,32.17   ,-5.17                ,14.52                        ,10.79             ,6.57                 ,6.57         ,-88.37            ,-32.09       ,7.92                            ,6.49         ,8.91                       ,2.62               ,-39.84   ,-43.51             ,-63.22                       ,175.85        ,14.86                 ,-10.83              ,-201.77    ,55.72                       ,-62.51         ,35.64                    ,-252.17                  ,92.06                          ,47.86                 ,-115.22                     ,-93.15                         ,132.67         ,-10.68         ,-12.88                      ,-71.05                         ,535.84              ,47.86                ,103.94         ,-7.92                ,-285.96                 ,0.2876609683790061
 8 ,2018 ,                   18.21 ,10.83           ,26.14        ,32.17                      ,14.46                  ,102.26                  ,14.46                       ,134.88        ,564.68                      ,3.47                      ,595.31            ,2.63                        ,600.98              ,27.84  ,8.15              ,102.26 ,102.26 ,6.7              ,71.1                 ,477.41            ,10.33              ,66.05              ,-13.85               ,-61.69                         ,-61.69                  ,35.83                   ,-22.32      ,-49.45          ,-42.44               ,1.39                           ,                    10.68 ,- -                          ,6.63            ,6.28                    ,-7.89        ,-26.61              ,- -     ,21.58                ,-5.65                     ,0.36    ,-67.57               ,-26.24                       ,-24.6             ,13.56                ,13.56        ,-14048            ,26.37        ,30.74                           ,14.43        ,-7.89                      ,-0.18              ,108.09   ,81.85              ,36.5                         ,-39           ,5.98                  ,7.14                ,565.79     ,-13.85                      ,-1166.41       ,33.22                    ,12.38                    ,35.55                          ,-40.6                 ,2685.71                     ,593.47                         ,71.81          ,- -            ,-2863.42                    ,-598.57                        ,-185.26             ,-40.6                ,50.4           ,-29.55               ,-80.14                  ,0.09859222037614057
 9 ,2019 ,                    8.39 ,-0.01           ,16.3         ,61.84                      ,24.63                  ,-22.13                  ,137.42                      ,-51.02        ,-78.34                      ,-4.78                     ,-76.91            ,-2.78                       ,-77.39              ,5.7    ,-2.48             ,-22.13 ,-22.13 ,7.3              ,-28.16               ,-79.5             ,-14.43             ,48.36              ,42.32                ,17.78                          ,17.78                   ,-1.98                   ,-22.24      ,99.18           ,8.89                 ,-2.66                          ,                     8.1  ,- -                          ,43.32           ,40.37                   ,34.65        ,71.76               ,2282.05 ,78.06                ,195.08                    ,71.56   ,54.37                ,68.6                         ,81.2              ,-46.14               ,- -          ,- -               ,21.74        ,-6.33                           ,-6.33        ,34.65                      ,-2.45              ,110.16   ,124.36             ,150.56                       ,-63.1         ,-4.59                 ,26.67               ,-78.4      ,42.32                       ,-119.31        ,78.08                    ,-77.72                   ,9.2                            ,-31.97                ,- -                         ,229.95                         ,41.26          ,72.35          ,-13.35                      ,-158.36                        ,-111.04             ,-31.97               ,12.37          ,17.62                ,391.44                  ,0.0017353884448589874
