   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA  ,EBIT   ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,                    8.01 ,           7.37 ,        8.64 ,6.78                       ,- -                    ,12.19                   ,11.66                       ,12.26         ,                      12.37 ,-12.29                    ,            28.11 ,-11.94                      ,              27.61 ,11.43  ,3.17              ,12.19  ,12.19  ,0.59             ,3.87                 ,4.04              ,2.86               ,- -                ,                6.46 ,6.01                           ,6.01                    ,-0.56                   ,       4.4  ,-38.41          ,1.96                 ,                          7.03 ,                     6.77 ,- -                          ,9.32            ,                   7.37 ,        4.76 ,13.38               ,187.62  ,2.67                 ,13.2                      ,5.7     ,14.56                ,6.62                         ,             9.72 ,1.55                 ,-13.47       ,-279.17           ,15.68        ,70.59                           ,70.59        ,                      4.76 ,-11.21             ,6.68     ,-37.46             ,34.75                        ,-9.93         ,-47.88                ,5                   ,     12.37 ,                       6.46 ,-109.32        ,-0.08                    ,959.12                   ,29.49                          ,15.85                 ,65.39                       ,16.58                          ,- -            ,-76.65         ,-15.03                      ,9.49                           ,-103.62             ,15.85                ,35.19          ,0.08                 ,15.24                   ,0.5966619087664762
 1 ,2011 ,                    9.65 ,           8.29 ,       10.98 ,9.71                       ,- -                    ,13.29                   ,7.33                        ,14.11         ,                      14.99 ,-12.08                    ,            30.78 ,-11.56                      ,              30.02 ,11.88  ,2.03              ,13.29  ,13.29  ,1.22             ,3.32                 ,4.87              ,6.27               ,- -                ,                2.15 ,-0.69                          ,-0.69                   ,11.83                   ,       7.01 ,5.85            ,6.91                 ,                          5.91 ,                     7.49 ,- -                          ,-7.17           ,                   3.97 ,        5.35 ,11.7                ,23.36   ,12.61                ,11.98                     ,15.1    ,3.09                 ,13.75                        ,            12.89 ,5.98                 ,-11.98       ,162.49            ,12.42        ,69.77                           ,69.77        ,                      5.35 ,-11.08             ,15.79    ,-31.79             ,41.49                        ,-4.52         ,-138.17               ,3.17                ,     14.99 ,                       2.15 ,-900.65        ,39.25                    ,-25.95                   ,7.97                           ,1.97                  ,-80.46                      ,3.76                           ,- -            ,253.28         ,31.77                       ,10.22                          ,-123.1              ,1.97                 ,10.11          ,22.09                ,-6.11                   ,0.1921885760399651
 2 ,2012 ,                    6.58 ,           5.52 ,        7.59 ,6.8                        ,- -                    ,8.97                    ,3.14                        ,9.72          ,                       9.59 ,-9.23                     ,            20.73 ,-9.12                       ,              20.59 ,8.85   ,2.14              ,8.97   ,8.97   ,0.95             ,2.25                 ,2.83              ,-1.04              ,- -                ,                7.96 ,5.62                           ,5.62                    ,14.7                    ,       6.56 ,-1.73           ,6.68                 ,                          7.01 ,                     6.59 ,- -                          ,5.5             ,                   6.81 ,        6.75 ,6.2                 ,34.26   ,4.92                 ,6.55                      ,12.08   ,17.17                ,12.6                         ,             9.68 ,16.64                ,-9.52        ,60.43             ,27           ,23.42                           ,23.42        ,                      6.75 ,-7.68              ,12.63    ,-8.74              ,10.98                        ,0.12          ,159.14                ,7.69                ,      9.59 ,                       7.96 ,-91.29         ,25.31                    ,-61.29                   ,-5.23                          ,17.55                 ,374.67                      ,17.48                          ,- -            ,-22.06         ,-8.75                       ,-13.38                         ,-571.64             ,17.55                ,-12.79         ,7.08                 ,-13.52                  ,-0.04340241394536282
 3 ,2013 ,                    6.32 ,           5.63 ,        6.97 ,5.88                       ,- -                    ,8.85                    ,5.41                        ,9.27          ,                       9.26 ,-7.11                     ,            17.62 ,-7.68                       ,              18.35 ,8.67   ,2.21              ,8.85   ,8.85   ,0.61             ,2.38                 ,2.76              ,4.82               ,- -                ,                7.28 ,37.92                          ,37.92                   ,6.36                    ,       8.87 ,19.28           ,10.04                ,                          7.54 ,                     8.56 ,- -                          ,25.99           ,                   9.96 ,       10    ,11.85               ,158.37  ,2.38                 ,14.05                     ,7.93    ,-9.73                ,6.06                         ,             9.8  ,18.04                ,-7.77        ,33.46             ,-20.54       ,9                               ,9            ,                     10    ,-7.39              ,10.36    ,1.25               ,1.5                          ,-3.52         ,11.96                 ,1.43                ,      9.26 ,                       7.28 ,-138.07        ,11.82                    ,121.99                   ,15.61                          ,9.63                  ,98.93                       ,40.7                           ,- -            ,84.72          ,0.2                         ,0.43                           ,603.2               ,9.63                 ,18.28          ,-6.59                ,5.81                    ,0.05246255524419219
 4 ,2014 ,                    3.58 ,           3.04 ,        4.09 ,4.61                       ,- -                    ,3.22                    ,-9.66                       ,4.73          ,                       5.24 ,-7.45                     ,            13.71 ,-7.38                       ,              13.62 ,4.06   ,0.46              ,3.22   ,3.22   ,0.49             ,-0.35                ,1.6               ,-3.23              ,- -                ,               10.57 ,-12.45                         ,-12.45                  ,17.05                   ,       9.75 ,11.59           ,9.23                 ,                          7.79 ,                     8.74 ,- -                          ,11.67           ,                   8.37 ,        8.78 ,8.81                ,5.55    ,11.7                 ,8.92                      ,3.21    ,9.76                 ,3.8                          ,             6.29 ,3.56                 ,-7.88        ,10.89             ,6.72         ,-3.88                           ,-3.88        ,                      8.78 ,-5.8               ,3.8      ,7.99               ,-11.4                        ,0.28          ,20.21                 ,7.04                ,      5.24 ,                      10.57 ,508.06         ,5.58                     ,-83.01                   ,-5.21                          ,11.07                 ,-54.94                      ,-15.04                         ,- -            ,-28.89         ,-18.06                      ,7.62                           ,-144.95             ,11.07                ,-11.96         ,21.18                ,-9.93                   ,0.18146542885853845
 5 ,2015 ,                    7.51 ,           7.05 ,        7.95 ,8.67                       ,- -                    ,6.71                    ,-10.19                      ,8.41          ,                       8.46 ,-5.13                     ,            14.33 ,-4.95                       ,              14.1  ,6.8    ,-0.67             ,6.71   ,6.71   ,0.4              ,-0.75                ,0.88              ,0.88               ,- -                ,                7.42 ,40.83                          ,40.83                   ,23.38                   ,       8.97 ,8.99            ,10.88                ,                          5.9  ,                     7.11 ,- -                          ,3.36            ,                   5.5  ,        8.07 ,7.24                ,-81.36  ,15.32                ,3.78                      ,11.65   ,6.94                 ,11.2                         ,             7.51 ,11.24                ,-5.31        ,-7.22             ,93.57        ,4.9                             ,4.9          ,                      8.07 ,-5.09              ,5.98     ,1.02               ,-2.72                        ,6.84          ,-19.97                ,6.58                ,      8.46 ,                       7.42 ,-1010.94       ,4.07                     ,103.24                   ,17.28                          ,8.74                  ,13.23                       ,26.77                          ,- -            ,22.38          ,13.95                       ,3.62                           ,-430.82             ,8.74                 ,21.74          ,10.65                ,8.13                    ,0.20561522545036004
 6 ,2016 ,                    4.4  ,           3.43 ,        5.29 ,5.17                       ,- -                    ,5.5                     ,-1.83                       ,6.11          ,                       6.96 ,-5.29                     ,            12.94 ,-5.33                       ,              12.99 ,6.06   ,1.59              ,5.5    ,5.5    ,0.85             ,1.05                 ,2.45              ,0.67               ,- -                ,               10.18 ,8.23                           ,8.23                    ,16.06                   ,       6.15 ,3.8             ,6.78                 ,                          6.49 ,                     7.44 ,- -                          ,0.09            ,                   5.52 ,        6.14 ,5.44                ,10.62   ,-49.8                ,-0.48                     ,6.47    ,65.86                ,11.91                        ,             5.95 ,12.39                ,-5.61        ,12.93             ,23.25        ,5.06                            ,5.06         ,                      6.14 ,-5.03              ,6.4      ,1.27               ,1.29                         ,7.3           ,11.91                 ,3.7                 ,      6.96 ,                      10.18 ,-51.8          ,-2.85                    ,4.85                     ,4.33                           ,1.64                  ,191.32                      ,-10.93                         ,- -            ,-0.49          ,13.9                        ,18.2                           ,-69.1               ,1.64                 ,5.58           ,-6.5                 ,-2.46                   ,-0.030814088036127618
 7 ,2017 ,                    2.38 ,           2.43 ,        2.33 ,3.13                       ,- -                    ,0.95                    ,4.67                        ,0.67          ,                       3.21 ,-4.88                     ,             8.51 ,-4.67                       ,               8.27 ,1.92   ,-0.45             ,0.95   ,0.95   ,-0.04            ,-1.39                ,0.81              ,-1.15              ,- -                ,                8.63 ,54.57                          ,54.57                   ,-2.41                   ,       6.89 ,19.14           ,8.77                 ,                          7.98 ,                     8.58 ,- -                          ,-1.51           ,                   6.61 ,        7.67 ,1.85                ,7.36    ,-3.27                ,1.62                      ,3.19    ,8.76                 ,3.95                         ,             2.9  ,3.03                 ,-5.28        ,2.51              ,-17.23       ,-20.09                          ,-20.09       ,                      7.67 ,-4.41              ,1.13     ,26.56              ,-22.75                       ,7.03          ,-71.02                ,3.57                ,      3.21 ,                       8.63 ,158.72         ,-3.97                    ,-319.11                  ,-4.29                          ,8.85                  ,-71.97                      ,9.44                           ,- -            ,-24.99         ,-25.89                      ,-18.11                         ,449.2               ,8.85                 ,-10.2          ,-31.09               ,-7.27                   ,-0.29349185327523175
 8 ,2018 ,                    3.05 ,           1.91 ,        4.08 ,13.75                      ,- -                    ,-12.94                  ,12.9                        ,-15.02        ,                       4.42 ,-5.14                     ,            10.08 ,-5.65                       ,              10.67 ,-10.29 ,-12.94            ,-12.94 ,-12.94 ,1                ,-15.52               ,1.33              ,-0.38              ,- -                ,                6.82 ,-25.73                         ,-25.73                  ,-8.05                   ,       1.59 ,39.36           ,0.53                 ,                          4.65 ,                     6.09 ,- -                          ,-20.21          ,                   1.35 ,        0.94 ,5.14                ,8.63    ,11.58                ,5.5                       ,-1.48   ,-0.94                ,-1.41                        ,             1.68 ,6.32                 ,-4.18        ,-26.4             ,-7.37        ,6.44                            ,6.44         ,                      0.94 ,-7.51              ,- -      ,-6.05              ,-4.51                        ,-4.71         ,297.3                 ,3.45                ,      4.42 ,                       6.82 ,130.96         ,14.2                     ,-215.3                   ,32.45                          ,-5.7                  ,1183.74                     ,-5.73                          ,- -            ,-71.63         ,47.72                       ,78.51                          ,-171.8              ,-5.7                 ,53.23          ,10.15                ,26.84                   ,0.24085922656570358
 9 ,2019 ,                    5.73 ,           4.79 ,        6.55 ,-0.34                      ,- -                    ,22.38                   ,5.89                        ,24.14         ,                      20.91 ,-7.43                     ,            30.62 ,-7.02                       ,              30.04 ,19.95  ,13.45             ,22.38  ,22.38  ,0.78             ,15.75                ,14.36             ,-0.88              ,- -                ,                7.21 ,-19.06                         ,-19.06                  ,19.7                    ,       9.52 ,3.72            ,8.47                 ,                          4.28 ,                     5.78 ,- -                          ,-4.92           ,                   3.31 ,        5.87 ,11.1                ,7.57    ,-15.43               ,9.61                      ,4       ,7.03                 ,4.44                         ,             6.83 ,9.43                 ,-7.64        ,7.98              ,14.21        ,12.73                           ,12.73        ,                      5.87 ,-6.62              ,5.05     ,-6.81              ,3.96                         ,-1.04         ,-62.91                ,6.67                ,     20.91 ,                       7.21 ,-63.92         ,-0.96                    ,-65.28                   ,2.32                           ,-5.02                 ,-93.13                      ,-5.75                          ,- -            ,340.66         ,20.89                       ,2.57                           ,-49.24              ,-5.02                ,4.78           ,36.78                ,-15.38                  ,0.1322537472929961
