   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA  ,EBITDA Margin (%) ,EBITA   ,EBIT    ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,-5.82                    ,-8.31           ,6.15         ,8.32                       ,-36.66                 ,137.17                  ,27.12                       ,160.37        ,148.01                      ,3.58                      ,143.35            ,3.9                         ,142.6               ,78.04   ,89.05             ,137.17  ,137.17  ,12.71            ,151.83               ,167.64            ,-7.82              ,-0.84              ,3.66                 ,-6.29                          ,-41.84                  ,-6.27                   ,43.61       ,-76.31          ,15.02                ,1.67                           ,3.12                      ,7.86                         ,5.82            ,4.54                    ,10.49        ,7.05                ,34.09   ,7.07                 ,7.64                      ,-6.09   ,27.89                ,12.48                        ,9.82              ,1.62                 ,- -          ,8.96              ,15.84        ,29.98                           ,28.63        ,10.49                      ,-2.87              ,90.4     ,48.02              ,-8.04                        ,6.85          ,127.96                ,2.16                ,145.33     ,3.66                        ,40.21          ,-9.66                    ,-258.85                  ,-47.31                         ,-4.97                 ,83.69                       ,27.33                          ,2.7            ,-99.31         ,- -                         ,-147.92                        ,-165.07             ,-4.97                ,-58.68         ,104.05               ,-79.1                   ,0.10792058026989726
 1 ,2011 ,6.89                     ,7.76            ,3.25         ,-6.48                      ,-4.93                  ,17.08                   ,-7.97                       ,19.66         ,21.14                       ,1.24                      ,20.01             ,1.27                        ,19.98               ,11.68   ,4.48              ,17.08   ,17.08   ,-3.4             ,9.53                 ,13.67             ,-0.08              ,-1.93              ,-3.88                ,7.18                           ,87.52                   ,6.84                    ,32.58       ,59.81           ,22.77                ,4.28                           ,4.73                      ,-6.12                        ,10.41           ,7.8                     ,16.66        ,8.87                ,148.21  ,19.85                ,16.61                     ,-12.68  ,33.19                ,15.82                        ,16.25             ,1.87                 ,- -          ,11.06             ,19.93        ,27.08                           ,26.07        ,16.66                      ,1.28               ,-67.12   ,-73.92             ,-26.98                       ,5.28          ,28.19                 ,6.98                ,21.5       ,-3.88                       ,-49.58         ,-13.49                   ,-29.63                   ,36.28                          ,52                    ,-235.79                     ,-149.04                        ,-0.72          ,1848.78        ,- -                         ,-13.35                         ,-222.16             ,52                   ,26.58          ,-18.04               ,12.17                   ,0.1515014293670931
 2 ,2012 ,18.86                    ,22.87           ,1.45         ,9.07                       ,-15.82                 ,3.76                    ,-69.79                      ,9.59          ,-2.69                       ,1.56                      ,-4.43             ,1.45                        ,-4.33               ,4.95    ,-11.71            ,3.76    ,3.76    ,-14.65           ,-12.7                ,-18.34            ,17.02              ,4.64               ,9.1                  ,20.28                          ,2.91                    ,3.09                    ,17.09       ,-94.46          ,15.06                ,3.73                           ,4.29                      ,13.14                        ,4.68            ,4.68                    ,11.14        ,-4.42               ,-38.97  ,36.53                ,8.98                      ,-10.43  ,15.5                 ,8.1                          ,8.58              ,0.98                 ,- -          ,9.13              ,5.55         ,66.91                           ,65.38        ,11.14                      ,1.47               ,-97.07   ,-98.23             ,-55.65                       ,5.57          ,-0.4                  ,1.57                ,-2.81      ,9.1                         ,90             ,3.76                     ,-141.22                  ,86.63                          ,-0.18                 ,-151                        ,-258.59                        ,6.27           ,-92.49         ,- -                         ,104.53                         ,-94.16              ,-0.18                ,151            ,-36.23               ,92.27                   ,-0.08187855213921114
 3 ,2013 ,6.03                     ,6.74            ,2.31         ,6.43                       ,-6.88                  ,4.79                    ,-25.58                      ,5.45          ,17.5                        ,0.42                      ,17.07             ,0.8                         ,16.63               ,4.1     ,-1.82             ,4.79    ,4.79    ,-3.51            ,-1.17                ,10.88             ,9.81               ,10.5               ,1.82                 ,12.54                          ,-12.12                  ,15.37                   ,13.67       ,-50             ,13.55                ,5.84                           ,4.07                      ,2.03                         ,-22.1           ,-12.66                  ,4.24         ,5.54                ,8.84    ,24.28                ,14.46                     ,-10.04  ,-37.5                ,-31.01                       ,-6.35             ,3.19                 ,- -          ,9.74              ,-43.19       ,153.54                          ,151.33       ,4.24                       ,-1.09              ,704.41   ,220.06             ,-402.45                      ,-0.79         ,8.84                  ,-3.44               ,17.44      ,1.82                        ,-26.43         ,6.74                     ,22.5                     ,8.94                           ,30.88                 ,45.59                       ,37.18                          ,10.97          ,851.67         ,5502                        ,22.2                           ,-546.72             ,30.88                ,2.47           ,62.78                ,-7.34                   ,0.5512158258247306
 4 ,2014 ,4.78                     ,4.76            ,4.9          ,-4.78                      ,-0.78                  ,13.72                   ,-38.54                      ,14.52         ,18.75                       ,-4.12                     ,23.89             ,-4.03                       ,23.76               ,11.38   ,6.3               ,13.72   ,13.72   ,0.12             ,8.53                 ,13.36             ,6.61               ,50.37              ,3.36                 ,-14.2                          ,29.1                    ,14.93                   ,8.96        ,28.57           ,4.17                 ,7.66                           ,5.54                      ,-4.15                        ,19.13           ,13.86                   ,7.05         ,1.61                ,-40.56  ,20.86                ,10.16                     ,0.85    ,41.1                 ,28.69                        ,16.41             ,2.22                 ,- -          ,9.76              ,40.52        ,-41.75                          ,-41.39       ,7.05                       ,-5.44              ,-586.84  ,-930.61            ,-89.23                       ,-5.44         ,7.5                   ,-1.72               ,18.75      ,3.36                        ,-9.24          ,-5.34                    ,-16.79                   ,8.3                            ,-0.09                 ,-263.18                     ,-147.87                        ,44.17          ,68.48          ,114.24                      ,102.24                         ,-323.2              ,-0.09                ,11.46          ,-12.47               ,-8.82                   ,-0.13937192220326688
 5 ,2015 ,5.9                      ,6.95            ,0.11         ,-6.42                      ,9.32                   ,-0.36                   ,-74.58                      ,0.25          ,-4.96                       ,-5.59                     ,0.67              ,-5.66                       ,0.74                ,-1.09   ,-6.6              ,-0.36   ,-0.36   ,-5.46            ,-5.91                ,-10.25            ,8.59               ,24.71              ,-3.83                ,-7.94                          ,-3.67                   ,12.7                    ,1.07        ,- -             ,0.66                 ,9.71                           ,6.24                      ,11.27                        ,-33.44          ,-16.68                  ,-4.83        ,3.35                ,32.83   ,-23.33               ,-11.12                    ,7.23    ,12.99                ,11.6                         ,-2.65             ,2.16                 ,- -          ,7.12              ,-8.31        ,-26.89                          ,-27.22       ,-4.83                      ,-5.67              ,-49.76   ,-30.96             ,-281.97                      ,13.25         ,-1.76                 ,-2.48               ,-4.96      ,-3.83                       ,-8.21          ,-3.08                    ,100.11                   ,5.7                            ,9.57                  ,-88.46                      ,-174.83                        ,17.73          ,81.5           ,12.5                        ,-7.83                          ,-114.75             ,9.57                 ,4.39           ,-2.22                ,11.21                   ,0.14791735919406634
 6 ,2016 ,-1.61                    ,-1.58           ,-1.75        ,2.58                       ,38.91                  ,-22.76                  ,-300                        ,-22.18        ,-5.43                       ,-7.48                     ,2.22              ,-7.51                       ,2.25                ,-17.27  ,-15.92            ,-22.76  ,-22.76  ,-0.14            ,-21.5                ,-3.89             ,5.52               ,19.63              ,4.2                  ,-16.79                         ,-22.13                  ,3.75                    ,-8.59       ,- -             ,-8.42                ,6.05                           ,4.68                      ,2.57                         ,4.46            ,5.1                     ,-4.67        ,4.3                 ,-68.88  ,-2.03                ,-0.55                     ,9.6     ,1.9                  ,3.69                         ,1.26              ,-0.73                ,- -          ,5.05              ,6.86         ,-87.1                           ,-86.29       ,-4.67                      ,-7.42              ,-186.02  ,-727.47            ,431.68                       ,-7.91         ,-3.58                 ,-6.75               ,-5.43      ,4.2                         ,16.1           ,0.53                     ,69.64                    ,12.13                          ,6.65                  ,-192.06                     ,83.1                           ,10.68          ,-24.11         ,3.7                         ,21.05                          ,512.41              ,6.65                 ,14.07          ,-10.66               ,18.57                   ,0.01773785099387659
 7 ,2017 ,-1.25                    ,-5.85           ,25.72        ,13.22                      ,-31.29                 ,81.53                   ,-120                        ,80.44         ,67.46                       ,-5.19                     ,76.63             ,-5.1                        ,76.46               ,62.76   ,64.81             ,81.53   ,81.53   ,27.31            ,83.82                ,69.57             ,5.56               ,30.77              ,8.32                 ,-0.37                          ,0.14                    ,16.9                    ,2.65        ,- -             ,4.28                 ,-1.05                          ,2.1                       ,-4.33                        ,-1.08           ,-1.23                   ,2.6          ,6.23                ,247.66  ,14.96                ,12.24                     ,2.24    ,-12.06               ,-8.55                        ,3.14              ,20.79                ,- -          ,11.31             ,-1.81        ,-56.55                          ,-53.02       ,2.6                        ,-4.23              ,100.17   ,326.1              ,7.78                         ,-7.09         ,3.58                  ,-6.45               ,67.46      ,8.32                        ,-10.17         ,6.32                     ,-18.06                   ,27.1                           ,-28.43                ,-107.45                     ,-38.99                         ,23.98          ,56.75          ,31.92                       ,18.39                          ,-97.24              ,-28.43               ,45.5           ,55.19                ,-24.1                   ,0.7529508407915149
 8 ,2018 ,8.28                     ,7.13            ,13.34        ,11.55                      ,2.83                   ,17.39                   ,3183.33                     ,15.5          ,27.61                       ,-3.87                     ,32.74             ,-4.02                       ,32.95               ,14.79   ,6.01              ,17.39   ,17.39   ,4.67             ,8.41                 ,17.85             ,-0.35              ,20.13              ,2.17                 ,-14.29                         ,-13.34                  ,32.69                   ,41.09       ,12872.22        ,34.79                ,-0.21                          ,2.97                      ,-13.73                       ,19.31           ,8.67                    ,27.1         ,0.84                ,138.95  ,84.68                ,45                        ,8.95    ,-4.51                ,-0.82                        ,27.23             ,-0.3                 ,- -          ,23.44             ,12.76        ,-4.51                           ,-0.49        ,27.1                       ,-3.96              ,169.53   ,170.85             ,11.64                        ,-7.04         ,13.96                 ,8.66                ,27.61      ,2.17                        ,-20.41         ,- -                      ,-8.46                    ,14.82                          ,-4.22                 ,665.79                      ,124.1                          ,15.48          ,311.56         ,-2.56                       ,3.28                           ,1401.47             ,-4.22                ,17.93          ,-7.9                 ,-10.02                  ,0.17738914743292356
 9 ,2019 ,-24.29                   ,-11.53          ,-77.26       ,-14.41                     ,-1.53                  ,-122.56                 ,-304.57                     ,-119.47       ,-106.08                     ,-2.38                     ,-106.23           ,-3.43                       ,-106.3              ,-102.81 ,-103.71           ,-122.56 ,-122.56 ,-69.96           ,-129.8               ,-108.03           ,-28.1              ,20.2               ,7.43                 ,17.12                          ,24.2                    ,-13.18                  ,22.46       ,33.02           ,16.39                ,-1.13                          ,2.02                      ,0.46                         ,12.69           ,6.32                    ,13.86        ,38.58               ,130.09  ,1.73                 ,19.27                     ,87.31   ,-0.21                ,26.17                        ,21.36             ,-0.19                ,- -          ,-9.47             ,7.09         ,-2641.89                        ,-2124.39     ,13.86                      ,-0.83              ,186.91   ,-114.17            ,57.45                        ,-2.41         ,40.85                 ,5.29                ,-106.08    ,7.43                        ,18.1           ,4.95                     ,-302.67                  ,-115.96                        ,9.49                  ,-65.29                      ,-66.89                         ,17.33          ,197.02         ,-70.54                      ,-148.96                        ,-272.67             ,9.49                 ,-132.57        ,-3559.52             ,162.55                  ,-0.25539838779158264
