   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA  ,EBIT ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,-4.26                    ,- -             ,-4.26        ,9.4                        ,- -                    ,- -                     ,-130.34                     ,-130.34       ,-135.66                     ,26.68                     ,28.76             ,26.68                       ,28.76               ,-9.32  ,-5.28             ,-6.64  ,- -  ,- -              ,- -                  ,-137.25           ,-5.59              ,-71.4              ,-12.49               ,5.67                           ,-7.34                   ,3.48                    ,- -         ,- -             ,5.26                 ,-7.7                           ,-7.7                      ,7.92                         ,-2.75           ,0.34                    ,1.87         ,13.08               ,-13.75  ,- -                  ,3.63                      ,2.26    ,1.53                 ,1.7                          ,2.25              ,17.22                ,17.22        ,-14.58            ,-98.83       ,-1.38                           ,-1.38        ,1.87                       ,16.59              ,3.04     ,4.49               ,43.93                        ,1.57          ,- -                   ,1.41                ,-135.66    ,-9.32                       ,-13.73         ,- -                      ,-44.19                   ,-36.33                         ,-55.94                ,-174.92                     ,-119.22                        ,-63.77         ,-22.92         ,- -                         ,-67.24                         ,-114.92             ,-55.94               ,-35.99         ,75.37                ,-278.54                 ,-0.239400512810239
 1 ,2011 ,-17.97                   ,- -             ,-17.97       ,12.53                      ,- -                    ,- -                     ,-82.62                      ,-82.62        ,-164.61                     ,3.6                       ,-102.28           ,4.74                        ,-102.26             ,-10.92 ,8.61              ,-9.4   ,- -  ,- -              ,- -                  ,-178.77           ,-16.23             ,-4.79              ,-12.82               ,-10.63                         ,8.34                    ,-37.77                  ,- -         ,- -             ,-11.87               ,-4.68                          ,-4.68                     ,-9.76                        ,-1.26           ,-3.98                   ,-6           ,-14.89              ,-40.47  ,- -                  ,-22.39                    ,-16.98  ,-1.14                ,-5.02                        ,-6.76             ,3.79                 ,3.79         ,-0.54             ,8137.88      ,0.81                            ,0.81         ,-6                         ,4.47               ,-29.9    ,-30.46             ,18.67                        ,13.55         ,- -                   ,-2.08               ,-164.61    ,-10.92                      ,-82.32         ,- -                      ,30.65                    ,-21.92                         ,32.42                 ,-249.55                     ,-272.77                        ,-1.36          ,-50.2          ,- -                         ,60.12                          ,-193.02             ,32.42                ,-22.58         ,-45.79               ,-220.85                 ,-0.5811827899291976
 2 ,2012 ,-5.61                    ,- -             ,-5.61        ,-6.29                      ,- -                    ,- -                     ,-1435.65                    ,-1435.65      ,189.63                      ,5.95                      ,2964.73           ,5.71                        ,2971.53             ,-12.83 ,-7.65             ,-10.22 ,- -  ,- -              ,- -                  ,206.84            ,-0.31              ,3.67               ,-16.24               ,-1.4                           ,-11.4                   ,42.33                   ,- -         ,8.89            ,4.77                 ,-13.05                         ,-13.05                    ,19.32                        ,-3.07           ,3.5                     ,3.8          ,20.75               ,-13.91  ,- -                  ,12.95                     ,-25.97  ,10.98                ,3.07                         ,3.9               ,0.97                 ,0.97         ,3.84              ,-48.56       ,2.98                            ,2.98         ,3.8                        ,2.3                ,-32.46   ,-34.41             ,3.26                         ,-7.25         ,- -                   ,-5.32               ,189.63     ,-12.83                      ,127.19         ,- -                      ,-171.64                  ,-121.49                        ,- -                   ,-178.94                     ,-170.91                        ,9.84           ,-14.62         ,- -                         ,-140.51                        ,-170.51             ,- -                  ,-121.93        ,-1158.8              ,-107.42                 ,0.9641988518333906
 3 ,2013 ,5.88                     ,- -             ,5.88         ,-2.97                      ,- -                    ,- -                     ,426.43                      ,426.43        ,172.95                      ,-0.14                     ,265.8             ,6                           ,244.61              ,-11.69 ,-16.59            ,-9.98  ,- -  ,- -              ,- -                  ,157.79            ,16.82              ,-12.03             ,-14.08               ,-1.13                          ,10.36                   ,-11.24                  ,- -         ,-237.17         ,-13.48               ,-11.66                         ,-11.66                    ,-8.49                        ,1.34            ,-2.12                   ,-4.87        ,-8.69               ,49.68   ,- -                  ,1.31                      ,-9.4    ,-5.26                ,-5.9                         ,-5.24             ,-1.8                 ,-1.8         ,15.36             ,202.36       ,-1.8                            ,-1.8         ,-4.87                      ,-1.73              ,-13.6    ,-12.02             ,7.7                          ,-14.6         ,- -                   ,-9.36               ,172.95     ,-11.69                      ,37.71          ,- -                      ,-249.64                  ,-769.77                        ,-60.14                ,-182.18                     ,-167.4                         ,-12.15         ,105.67         ,-123.91                     ,-325.01                        ,-360.27             ,-60.14               ,-766.01        ,-121.59              ,-345.39                 ,0.04909344704655627
 4 ,2014 ,-3.4                     ,- -             ,-0.17        ,11.43                      ,- -                    ,- -                     ,-57.61                      ,-57.61        ,-57.72                      ,-1.89                     ,-61.69            ,-7.89                       ,-59.2               ,-6     ,-2.69             ,-0.69  ,- -  ,- -              ,- -                  ,-56.23            ,4.36               ,40.16              ,-13.81               ,13.39                          ,2.27                    ,2.4                     ,- -         ,10.89           ,11.57                ,-4.07                          ,-4.07                     ,9.01                         ,-8.9            ,-3.13                   ,0.11         ,7.21                ,-32.23  ,- -                  ,-2.78                     ,-2.62   ,0.21                 ,-0.21                        ,-0.46             ,-1.18                ,-1.18        ,3.49              ,-48.92       ,4.64                            ,4.64         ,0.11                       ,-0.71              ,-16.1    ,-19.81             ,5.06                         ,14.76         ,- -                   ,-7.44               ,-57.72     ,-6                          ,-96.99         ,- -                      ,-66.66                   ,-71.19                         ,122.65                ,-265.92                     ,-116.78                        ,37.51          ,12.96          ,-47.98                      ,-87.22                         ,-53.93              ,122.65               ,-72.29         ,259.32               ,-31.86                  ,0.0434454250808749
 5 ,2015 ,-1.05                    ,- -             ,-3.41        ,-26.58                     ,- -                    ,- -                     ,223.18                      ,223.18        ,228.74                      ,-0.62                     ,282.56            ,6.16                        ,258.13              ,-5.27  ,-4.27             ,-1.95  ,- -  ,- -              ,- -                  ,232.22            ,4.06               ,55.96              ,-10.9                ,4.86                           ,14.37                   ,-1.2                    ,- -         ,-36.26          ,6.74                 ,-5.61                          ,-5.61                     ,1.97                         ,-0.58           ,0.31                    ,1.89         ,0.58                ,-9.86   ,- -                  ,-1.26                     ,-2.62   ,2.47                 ,1.74                         ,1.45              ,-1.57                ,-1.57        ,18.05             ,31.34        ,5.23                            ,5.23         ,1.89                       ,-1.3               ,-23.75   ,-27.54             ,5.43                         ,8.1           ,- -                   ,-4.91               ,228.74     ,-5.27                       ,336.56         ,-214.1                   ,-65.35                   ,3.71                           ,- -                   ,-72.12                      ,1207.18                        ,54.99          ,-15.32         ,41.73                       ,-498.21                        ,106.71              ,- -                  ,8.41           ,-0.12                ,-68.45                  ,-0.04049197870765797
 6 ,2016 ,1.77                     ,- -             ,0.89         ,-3.24                      ,- -                    ,- -                     ,13.54                       ,13.54         ,12.7                        ,-1.7                      ,14.58             ,-1.69                       ,14.56               ,-6.2   ,-7.83             ,-2.83  ,- -  ,- -              ,- -                  ,10.74             ,4.22               ,19.38              ,-12.47               ,-3.72                          ,-5.68                   ,-5.29                   ,- -         ,-15.05          ,-3.49                ,-3.65                          ,-3.65                     ,4.7                          ,3.6             ,3.96                    ,2.02         ,0.05                ,-14.78  ,- -                  ,-1.76                     ,-8.42   ,3.84                 ,2.15                         ,1.73              ,-2.65                ,-2.65        ,15.02             ,28.45        ,4.15                            ,4.15         ,2.02                       ,-3.16              ,-14.93   ,-18.32             ,3.87                         ,-1.76         ,- -                   ,-2.35               ,12.7       ,-6.2                        ,332.63         ,-1487.64                 ,-326.9                   ,-33.98                         ,- -                   ,134.72                      ,14.9                           ,17.35          ,-18.62         ,115.33                      ,-32.11                         ,-155.5              ,- -                  ,-33.98         ,92.79                ,-41.42                  ,0.23833468836029925
 7 ,2017 ,4.36                     ,- -             ,4.09         ,1.61                       ,- -                    ,- -                     ,16.14                       ,16.14         ,1.82                        ,-0.86                     ,3.32              ,-2.43                       ,4.98                ,-6.16  ,-10.08            ,- -    ,- -  ,- -              ,- -                  ,-2.44             ,3.86               ,37.09              ,188.08               ,2.64                           ,6.97                    ,3.19                    ,- -         ,-36.68          ,4.18                 ,1.18                           ,1.18                      ,6.31                         ,3.11            ,4.28                    ,4.28         ,3.94                ,36.43   ,- -                  ,7.87                      ,4.88    ,4.44                 ,4.5                          ,4.85              ,-6.09                ,-6.09        ,11.73             ,-2.83        ,0.11                            ,0.11         ,4.28                       ,2.33               ,10       ,9.87               ,-0.61                        ,-3.42         ,- -                   ,0.48                ,1.82       ,-6.16                       ,49.22          ,33.52                    ,98.09                    ,-43.17                         ,- -                   ,-72.58                      ,-17.64                         ,35.91          ,50.51          ,150.67                      ,49.16                          ,-164.03             ,- -                  ,-43.17         ,132.74               ,-44.19                  ,0.16265179415019926
 8 ,2018 ,4.2                      ,- -             ,4.47         ,-14.07                     ,- -                    ,- -                     ,18.39                       ,18.39         ,54.38                       ,-0.97                     ,62.22             ,-5.02                       ,69.14               ,-1.9   ,-5.86             ,- -    ,- -  ,- -              ,- -                  ,48.16             ,6.75               ,22.15              ,-1.9                 ,-14.36                         ,9.68                    ,5.52                    ,- -         ,- -             ,-9.43                ,7.13                           ,7.13                      ,-17.36                       ,22.26           ,7.28                    ,3.21         ,8.52                ,-38.2   ,-105.15              ,0.23                      ,0.85    ,4.54                 ,4.08                         ,3.73              ,-13.9                ,-13.9        ,19.77             ,72.42        ,-0.68                           ,-0.68        ,3.21                       ,-6.01              ,-29.35   ,-28.87             ,-3.04                        ,-9.64         ,- -                   ,-2.39               ,54.38      ,-1.9                        ,-58.04         ,4.85                     ,-104.32                  ,279.89                         ,- -                   ,24.66                       ,37.42                          ,20.96          ,20.18          ,56.81                       ,7.97                           ,178.88              ,- -                  ,279.89         ,-79.42               ,146.07                  ,-0.08759300684526561
 9 ,2019 ,0.25                     ,- -             ,0.25         ,3.82                       ,- -                    ,- -                     ,-5.29                       ,-5.29         ,-2.55                       ,-6.99                     ,4.71              ,-7.76                       ,5.57                ,-16.19 ,-16.4             ,- -    ,- -  ,- -              ,- -                  ,-2.79             ,-1.68              ,-7.47              ,-16.19               ,0.01                           ,-8.78                   ,-14.21                  ,- -         ,- -             ,-2.49                ,6.61                           ,6.61                      ,30.79                        ,-5.66           ,4.97                    ,3.38         ,10.73               ,19.89   ,- -                  ,11.76                     ,5.02    ,2.79                 ,3.06                         ,3.83              ,-22.85               ,-22.85       ,14.68             ,-45.68       ,-0.19                           ,-0.19        ,3.38                       ,-8.62              ,49.14    ,49.43              ,-4.25                        ,-12.75        ,- -                   ,1.96                ,-2.55      ,-16.19                      ,141.5          ,14.17                    ,947.73                   ,56.32                          ,- -                   ,135.34                      ,12.82                          ,-13.94         ,-18.45         ,40.06                       ,-93.64                         ,-173.1              ,- -                  ,56.32          ,-15.87               ,60.4                    ,0.1731212787095262
