   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA  ,EBIT   ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,1.97                     ,3.52            ,0.57         ,0.6                        ,4.5                    ,-0.46                   ,40.99                       ,-0.75         ,-4.5                        ,-2.56                     ,9.79              ,-2.7                        ,9.95                ,0.95   ,-1                ,-0.46  ,-0.46  ,-1.37            ,-2.38                ,4.92              ,3.08               ,11.96              ,5.77                 ,-10.36                         ,-12.79                  ,3.14                    ,-0.99       ,9.21            ,-3.05                ,4.51                           ,                     4.66 ,- -                          ,20.93           ,10.47                   ,3.72         ,6.9                 ,-49.68  ,- -                  ,-5.93                     ,0.46    ,17.04                ,6.69                         ,1.3               ,                7.65 ,- -          ,12.53             ,22.88        ,5.68                            ,5.68         ,3.72                       ,-3.06              ,-3.03    ,-8.24              ,-1.19                        ,3.06          ,-1.2                  ,-1.08               ,-4.5       ,5.77                        ,-49.69         ,-8.32                    ,-3.86                    ,1.6                            ,-10.33                ,-110.53                     ,-34.24                         ,          9.1  ,- -            ,35.22                       ,1434.19                        ,-132.62             ,-10.33               ,12.11          ,5.94                 ,-5.03                   ,-0.03405754047771681
 1 ,2011 ,6.45                     ,5.74            ,7.11         ,7.87                       ,11.17                  ,5.22                    ,200.57                      ,3.27          ,7.73                        ,-5.61                     ,2.2               ,-5.77                       ,2.37                ,4.11   ,-2.2              ,5.22   ,5.22   ,0.62             ,-1.16                ,-9.38             ,4.4                ,10.63              ,0.53                 ,-10.37                         ,-3.35                   ,1.93                    ,8.7         ,53.87           ,3.62                 ,3.57                           ,                     5.33 ,- -                          ,24.74           ,11.98                   ,8.08         ,8.13                ,15.87   ,- -                  ,9.07                      ,66.16   ,23.38                ,48.52                        ,32.88             ,                8.6  ,- -          ,10.42             ,46.32        ,-11.16                          ,-11.16       ,8.08                       ,-6.53              ,220.31   ,260.54             ,-31.74                       ,-4.99         ,-2.53                 ,1.97                ,7.73       ,0.53                        ,299.48         ,-8.03                    ,269.64                   ,-1.62                          ,-4.49                 ,242.38                      ,47.39                          ,          4.42 ,33.84          ,102.29                      ,-41.52                         ,-78.81              ,-4.49                ,0.41           ,-4.21                ,1.99                    ,-0.09685664012817852
 2 ,2012 ,1.64                     ,3.59            ,-0.15        ,5.43                       ,0.43                   ,-6.43                   ,82.98                       ,-9.02         ,-7.58                       ,-7.11                     ,-0.91             ,-7.56                       ,-0.42               ,-4.17  ,-5.71             ,-6.43  ,-6.43  ,-1.76            ,-7.93                ,-9.43             ,1                  ,9.74               ,3.44                 ,39.51                          ,42.18                   ,1.74                    ,-0.32       ,2.94            ,14                   ,2.89                           ,                     2.41 ,- -                          ,7.22            ,4.81                    ,8.92         ,-0.96               ,72.39   ,- -                  ,8.49                      ,51.37   ,14.81                ,38.85                        ,28.97             ,                5.98 ,0.1          ,8.32              ,19.7         ,-14.34                          ,-14.34       ,8.92                       ,-8.34              ,61.56    ,88.6               ,-36.3                        ,5.08          ,-0.26                 ,0.63                ,-7.58      ,3.44                        ,-60.91         ,21.92                    ,-98.82                   ,2.68                           ,-19.72                ,-213.38                     ,-13.46                         ,          1.94 ,50.15          ,3.47                        ,-48.25                         ,-1361.54            ,-19.72               ,17.71          ,2.38                 ,11.54                   ,-0.061650275106139185
 3 ,2013 ,4.49                     ,3.41            ,5.51         ,25.95                      ,4.66                   ,-19.45                  ,4.65                        ,-20.86        ,-16.31                      ,-5.01                     ,16.35             ,-4.77                       ,16.05               ,-12.95 ,-16.69            ,-19.45 ,-19.45 ,0.98             ,-22.91               ,5.77              ,3.01               ,10.43              ,6.85                 ,19.58                          ,13.11                   ,-0.8                    ,12.97       ,-4.15           ,10.35                ,5.21                           ,                     5.55 ,- -                          ,2.45            ,3.96                    ,6.94         ,22.25               ,-48.89  ,- -                  ,7.68                      ,0.05    ,-18.3                ,-5.15                        ,-1.63             ,                6.57 ,- -          ,8.69              ,-35.66       ,21.91                           ,21.91        ,6.94                       ,-1.48              ,-16.63   ,-31.61             ,33.12                        ,2.48          ,1.47                  ,1.43                ,-16.31     ,6.85                        ,284.42         ,12.36                    ,-5433.33                 ,-2.44                          ,6.33                  ,63.21                       ,-65.44                         ,          4.89 ,- -            ,-72.29                      ,161.62                         ,-10.57              ,6.33                 ,-6.45          ,20.84                ,-11.72                  ,0.14670198459135397
 4 ,2014 ,4.87                     ,6.75            ,3.12         ,-11.44                     ,11.34                  ,27.97                   ,-6.67                       ,30.64         ,27.56                       ,-0.95                     ,-7.47             ,-0.75                       ,-7.66               ,20.38  ,14.79             ,27.97  ,27.97  ,-1.67            ,22.03                ,-12.61            ,2.68               ,10.12              ,2.93                 ,5.44                           ,-1.53                   ,-4.27                   ,6.63        ,12.2            ,4.39                 ,3.71                           ,                     4.41 ,- -                          ,-3.46           ,0.65                    ,2.45         ,5.62                ,-1.93   ,- -                  ,4.93                      ,0.13    ,14.58                ,3.66                         ,4.04              ,                5.41 ,- -          ,6.73              ,93.99        ,0.22                            ,0.22         ,2.45                       ,-1.09              ,1.44     ,1.22               ,-0.03                        ,-0.51         ,-0.96                 ,2.13                ,27.56      ,2.93                        ,-61.49         ,13                       ,-173.12                  ,1.45                           ,11.05                 ,-24                         ,204.82                         ,          9.07 ,- -            ,0.74                        ,-16.63                         ,-102.5              ,11.05                ,-3.54          ,9.88                 ,10.7                    ,0.16882624787239964
 5 ,2015 ,21.74                    ,34.79           ,9.16         ,19.49                      ,14.91                  ,-6.6                    ,805.95                      ,-51.45        ,-41.35                      ,4.78                      ,-44.03            ,4.96                        ,-44.12              ,10.29  ,-9.41             ,-6.6   ,-6.6   ,-10.33           ,-23.28               ,-51.82            ,-24.72             ,9.95               ,58.54                ,-44.76                         ,-23.48                  ,36.31                   ,31.04       ,-19.46          ,-7.7                 ,12.62                          ,                     6.59 ,12322.22                     ,478.23          ,229.47                  ,112.73       ,44.26               ,615.27  ,-200                 ,96.02                     ,201.75  ,156.07               ,189.44                       ,161.2             ,               89.96 ,- -          ,1.73              ,73.63        ,41.8                            ,41.8         ,112.73                     ,9.8                ,440.19   ,280.96             ,-342.24                      ,-52.91        ,-11.39                ,61.72               ,-41.35     ,58.54                       ,-214.91        ,46.9                     ,-334.19                  ,-0.86                          ,-8.73                 ,-591.23                     ,777.43                         ,         15.2  ,314.25         ,- -                         ,-867.16                        ,3518.18             ,-8.73                ,3.85           ,25.18                ,69.04                   ,0.13356065799497885
 6 ,2016 ,21.41                    ,16.2            ,27.6         ,17.25                      ,31.01                  ,43.87                   ,42.44                       ,45.33         ,40.43                       ,5.02                      ,33.72             ,4.83                        ,33.96               ,36.85  ,12.72             ,43.87  ,43.87  ,5.1              ,18.5                 ,15.67             ,18.04              ,10.34              ,25.03                ,25.54                          ,8.22                    ,- -                     ,-12.25      ,99.47           ,12.51                ,-3.92                          ,                     1.72 ,-28.8                        ,-7.14           ,-7.68                   ,-3.37        ,9.56                ,-31.06  ,-19000               ,0.43                      ,-7.21   ,-15.72               ,-9.24                        ,-7.05             ,                4.53 ,- -          ,3.35              ,10.99        ,6.55                            ,6.55         ,-3.37                      ,1.23               ,-12.18   ,-17.57             ,-24                          ,12.03         ,-14.16                ,2.85                ,40.43      ,25.03                       ,-153.44        ,18.07                    ,45.62                    ,48                             ,16.28                 ,-100.12                     ,-91.96                         ,         15.88 ,- -            ,- -                         ,-128.43                        ,-132.66             ,16.28                ,64.7           ,0.29                 ,5.39                    ,-0.0031067105945741247
 7 ,2017 ,-3.12                    ,-5.61           ,-0.43        ,-3.19                      ,-7                     ,-13.07                  ,-16.97                      ,-9.12         ,12.7                        ,2.93                      ,2.52              ,2.78                        ,2.68                ,-9.41  ,-6.49             ,-13.07 ,-13.07 ,2.78             ,-10.26               ,16.34             ,17.66              ,17.03              ,-2.33                ,644.63                         ,820.12                  ,7.79                    ,5.76        ,-22.44          ,192.65               ,18.89                          ,                    11.53 ,-95.23                       ,-0.68           ,-0.62                   ,47.48        ,-2.21               ,-79.72  ,- -                  ,-24.05                    ,76.94   ,-7.5                 ,58.23                        ,38.07             ,               98.29 ,4.2          ,3.02              ,-10.68       ,69.61                           ,69.61        ,47.48                      ,6.87               ,-53.14   ,-72.37             ,-95.88                       ,285.3         ,0.31                  ,-17.66              ,12.7       ,-2.33                       ,947.14         ,-11.22                   ,-192.98                  ,-0.35                          ,4.91                  ,-1400                       ,31.99                          ,         20.46 ,85.95          ,-1226.41                    ,-723.75                        ,9626.92             ,4.91                 ,-2.3           ,11.2                 ,-11.58                  ,0.11822102125168477
 8 ,2018 ,32.17                    ,42.2            ,21.86        ,38.05                      ,30.39                  ,19.88                   ,19.56                       ,20.18         ,-71.73                      ,18                        ,-86.92            ,18.35                       ,-86.96              ,42.61  ,7.9               ,19.88  ,19.88  ,-7.8             ,-9.29                ,-78.61            ,-27.11             ,16.04              ,81.8                 ,-91.85                         ,-91.96                  ,32.97                   ,34.82       ,70.38           ,-60.23               ,15.89                          ,                    11.67 ,- -                          ,185.05          ,143.41                  ,42.85        ,46.99               ,1181.28 ,-99.47               ,115.92                    ,1.22    ,144.87               ,19.82                        ,32.78             ,               65.82 ,- -          ,-3.93             ,10.8         ,62.14                           ,62.14        ,42.85                      ,17.67              ,333.92   ,167.62             ,6441.2                       ,-81.58        ,-12.88                ,81.32               ,-71.73     ,81.8                        ,-143.79        ,85.06                    ,-341.78                  ,12.35                          ,23.11                 ,-15.38                      ,1681.77                        ,         36.93 ,-55.63         ,- -                         ,-100.52                        ,-202.21             ,23.11                ,8.06           ,38.78                ,297.39                  ,0.12851944857281217
 9 ,2019 ,8.18                     ,3.31            ,14.02        ,7.87                       ,5.78                   ,-0.4                    ,-1.12                       ,0.26          ,296.46                      ,4.49                      ,550.69            ,3.84                        ,554.75              ,6.29   ,-1.74             ,-0.4   ,-0.4   ,5.4              ,-7.93                ,266.49            ,17.34              ,1.59               ,13.9                 ,-51.08                         ,-52.98                  ,1.12                    ,5.22        ,-20.89          ,-10.08               ,5.28                           ,                     6.12 ,- -                          ,-4.08           ,-3                      ,-3.97        ,-5.81               ,-49.67  ,- -                  ,-21.63                    ,-4.3    ,2.16                 ,-2.59                        ,-6.77             ,                0.55 ,- -          ,2.52              ,19.59        ,0.42                            ,0.42         ,-3.97                      ,0.82               ,-7.37    ,-7.76              ,-6.27                        ,14.74         ,8.74                  ,-7.81               ,296.46     ,13.9                        ,-166.98        ,-18.94                   ,-141.36                  ,16.23                          ,6.93                  ,- -                         ,-95.29                         ,          6.15 ,-56.27         ,- -                         ,5556.14                        ,-95.09              ,6.93                 ,20.46          ,-12.65               ,-70.68                  ,-0.06675132517486015
