   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA  ,EBIT   ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt  ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,7.75                     ,4.75            ,8.03         ,-8.47                      ,-2.69                  ,21.12                   ,-1010.32                    ,-7.71         ,-8.03                       ,-12.2                     ,18.02             ,-11.96                      ,17.69               ,11.68  ,3.66              ,21.12  ,21.12  ,0.27             ,12.41                ,-3.83             ,5.52               ,- -                ,-16.87               ,-4.43                          ,30.54                   ,10.39                   ,-1.66       ,25.67           ,2.41                 ,0.28                           ,5.67                      ,-30.41                       ,-3.01           ,-8.55                   ,-5.37        ,34.49               ,594.02   ,21.23                ,46.88                     ,-1.28   ,6.41                 ,1.14                         ,15.42             ,-32.63               ,-13.89       ,75.18             ,-142.8       ,-13.26                          ,-12.97       ,-5.37                      ,-12.49             ,-14.31   ,-1.54              ,-16.65                       ,-30.28        ,-13.02                ,2.11                ,-8.03      ,-16.87                      ,1617.46        ,4.3                      ,-101.01                  ,51.15                          ,4.47                  ,-362.28                     ,-187.42                        ,- -            ,- -            ,169.29                      ,146.48                         ,-517.94             ,4.47                 ,59.65          ,-24.53               ,45.86                   ,0.12544394654198343
 1 ,2011 ,7.04                     ,16.62           ,6.16         ,2.38                       ,-2.32                  ,13.43                   ,-79.78                      ,39.13         ,40.97                       ,-3.93                     ,27.82             ,-3.86                       ,27.72               ,11.12  ,3.8               ,13.43  ,13.43  ,-0.83            ,5.97                 ,14.72             ,3.83               ,- -                ,0.9                  ,39.98                          ,-32.26                  ,-3.17                   ,13.07       ,-28.99          ,17.12                ,-4.28                          ,-2.3                      ,42.92                        ,5.72            ,9.4                     ,11.83        ,-6.78               ,-97.59   ,22.34                ,-13.07                    ,-0.52   ,23.24                ,7.33                         ,-0.77             ,7.44                 ,3.23         ,65.92             ,22.79        ,19.07                           ,17.94        ,11.83                      ,0.66               ,23.79    ,4.96               ,19.28                        ,34.73         ,-12.86                ,3.09                ,40.97      ,0.9                         ,-21.83         ,-32.67                   ,-5287.19                 ,6.34                           ,20.2                  ,-308.77                     ,-577.9                         ,- -            ,- -            ,-90.32                      ,-82.08                         ,-230.98             ,20.2                 ,4.69           ,47.5                 ,-13.4                   ,0.6413442608678117
 2 ,2012 ,9.27                     ,16.86           ,8.49         ,20.96                      ,9.46                   ,3.3                     ,-124.24                     ,8.41          ,8.95                        ,-1.84                     ,13.89             ,-2.16                       ,14.26               ,3.06   ,-5.68             ,3.3    ,3.3    ,-0.71            ,-5.46                ,2.31              ,-8.18              ,- -                ,1.87                 ,0.89                           ,10.92                   ,17.45                   ,36.88       ,-5.94           ,9.04                 ,10.87                          ,14.01                     ,43.76                        ,0.67            ,13.36                   ,11.94        ,21.66               ,13639.39 ,61.24                ,81.55                     ,-35.2   ,26.6                 ,-11.74                       ,20.73             ,-7.9                 ,-0.78        ,44.42             ,108.42       ,8.34                            ,8.35         ,11.94                      ,-2.29              ,3.73     ,-4.26              ,-2.96                        ,-39.94        ,23.16                 ,19                  ,8.95       ,1.87                        ,-89.37         ,4.92                     ,-156.19                  ,8.81                           ,22.37                 ,-58.82                      ,-42.41                         ,- -            ,- -            ,437.14                      ,174.33                         ,-121.48             ,22.37                ,6.95           ,17.2                 ,-2.67                   ,0.1959748132076904
 3 ,2013 ,25.66                    ,57.23           ,22.2         ,34.02                      ,8.18                   ,35.44                   ,-156.55                     ,33.72         ,34.95                       ,-0.44                     ,35.54             ,-0.6                        ,35.76               ,37.09  ,9.09              ,35.44  ,35.44  ,-2.76            ,7.78                 ,7.39              ,9.15               ,- -                ,45.41                ,-28.32                         ,5.58                    ,12.75                   ,47.31       ,66.26           ,-1.83                ,0.49                           ,6.92                      ,-69.27                       ,102.84          ,26.04                   ,17.11        ,53.41               ,-99.23   ,30.16                ,6.09                      ,-13.82  ,8.55                 ,-1.64                        ,2.41              ,4.39                 ,0.79         ,41.51             ,-49.83       ,23.83                           ,23.8         ,17.11                      ,-0.11              ,-101.17  ,-100.94            ,-16.4                        ,-7.47         ,4.51                  ,15.13               ,34.95      ,45.41                       ,-547.39        ,14.96                    ,-15.64                   ,24.75                          ,1278.52               ,-426.91                     ,68.86                          ,- -            ,- -            ,-59.35                      ,-18.35                         ,-54.11              ,1278.52              ,-171.61        ,-30.44               ,-7.56                   ,0.6140101636266067
 4 ,2014 ,39.97                    ,36.53           ,40.46        ,30.38                      ,31.11                  ,57.3                    ,-417.02                     ,59.1          ,57.95                       ,-0.21                     ,57.92             ,-0.46                       ,58.32               ,52.39  ,8.87              ,57.3   ,57.3   ,0.35             ,12.38                ,12.58             ,27                 ,- -                ,29.42                ,50.92                          ,99.96                   ,46.3                    ,22          ,37              ,42.39                ,0.86                           ,2.9                       ,135.02                       ,3.83            ,12.69                   ,20.66        ,37.27               ,-11.28   ,-0.27                ,26.15                     ,-2.04   ,-21.25               ,-13.58                       ,7.96              ,4.29                 ,-21.88       ,46.22             ,114.45       ,25.39                           ,25.44        ,20.66                      ,-0.75              ,9220.64  ,7330.34            ,24.54                        ,12.87         ,1.33                  ,10.22               ,57.96      ,29.42                       ,48.97          ,13.94                    ,-653.6                   ,25.46                          ,-90.99                ,-145.2                      ,-3.84                          ,- -            ,- -            ,121.53                      ,5.5                            ,2591.21             ,-90.99               ,-325.63        ,119.77               ,-20.39                  ,0.10027974545357177
 5 ,2015 ,10.93                    ,5.93            ,11.62        ,-5.34                      ,6.31                   ,28.04                   ,-930.87                     ,20.8          ,22.15                       ,-2.41                     ,23.85             ,-2.53                       ,24                  ,21.94  ,9.93              ,28.04  ,28.04  ,0.62             ,15.42                ,8.95              ,13.95              ,- -                ,-12.75               ,85.79                          ,8.56                    ,-2.18                   ,11.12       ,170.14          ,47.75                ,23.89                          ,19.16                     ,87.69                        ,20.07           ,30.93                   ,36.26        ,35.39               ,54.84    ,-47.39               ,16.21                     ,1023.82 ,46.76                ,488.82                       ,189.37            ,-100                 ,- -          ,31.5              ,276.47       ,-13.29                          ,-13.31       ,36.26                      ,-6.81              ,-939.63  ,-1068.52           ,-65.07                       ,27.14         ,11.72                 ,-2.65               ,22.15      ,-12.75                      ,-186.71        ,3.93                     ,-7.02                    ,33.22                          ,108.35                ,224.22                      ,195.11                         ,- -            ,- -            ,463.82                      ,-203.6                         ,-76.85              ,108.35               ,24.18          ,-38.27               ,10.22                   ,-0.09024469630780008
 6 ,2016 ,6.36                     ,19.21           ,4.69         ,-7.88                      ,-1.96                  ,12.75                   ,191.36                      ,3.48          ,2.85                        ,-5.33                     ,10.27             ,-5.36                       ,10.31               ,12.85  ,6.1               ,12.75  ,12.75  ,-1.57            ,6.01                 ,-1.85             ,5.65               ,- -                ,13.71                ,42.78                          ,77.87                   ,13.02                   ,12.11       ,30.64           ,30.33                ,14.36                          ,12.04                     ,2.5                          ,12.18           ,10.47                   ,17.29        ,36.06               ,-2.08    ,4.47                 ,32.67                     ,-0.13   ,-20.87               ,-2.96                        ,6.1               ,- -                  ,- -          ,23.45             ,42.81        ,29.52                           ,29.37        ,17.29                      ,-1.19              ,-19.69   ,-37.92             ,46.71                        ,-1.77         ,-2.76                 ,0.68                ,2.85       ,13.71                       ,-52.55         ,-4.09                    ,-127.8                   ,17.04                          ,10.53                 ,-80.93                      ,-45.43                         ,- -            ,- -            ,-80                         ,-234.41                        ,605.04              ,10.53                ,18.35          ,-23.37               ,12.11                   ,-0.16967703939552348
 7 ,2017 ,7.21                     ,10.23           ,6.76         ,-0.65                      ,14.2                   ,-2.21                   ,-44.47                      ,3.97          ,-27.75                      ,-2.66                     ,-29.56            ,-2.65                       ,-29.56              ,4.31   ,-2.7              ,-2.21  ,-2.21  ,-0.42            ,-8.78                ,-36.04            ,8.68               ,- -                ,58.34                ,-24.64                         ,-32.35                  ,33.14                   ,-9.87       ,-12.01          ,-9.84                ,27.2                           ,20.31                     ,8.05                         ,8.24            ,11.56                   ,3.39         ,-2.08               ,-31.91   ,5.23                 ,-1.51                     ,-8.87   ,114.73               ,4.89                         ,2.85              ,97800                ,- -          ,4.9               ,-0.47        ,3.89                            ,3.87         ,3.39                       ,-2.08              ,4.14     ,0.26               ,-10.65                       ,-8.45         ,-13.52                ,-1.35               ,-27.75     ,58.34                       ,575.24         ,-17.31                   ,88.02                    ,-0.79                          ,169.73                ,-139.43                     ,19.25                          ,- -            ,- -            ,36.54                       ,126.11                         ,-175.45             ,169.73               ,-32.94         ,-3.95                ,44.68                   ,-0.07081287757310784
 8 ,2018 ,9.61                     ,11.43           ,9.33         ,8.91                       ,15.25                  ,8.53                    ,-74.74                      ,15.03         ,67.56                       ,-3.62                     ,81.06             ,-3.62                       ,81.04               ,0.62   ,-8.2              ,8.53   ,8.53   ,-0.25            ,-0.99                ,59.21             ,2.58               ,- -                ,-39.82               ,-4.09                          ,-22.19                  ,7.15                    ,3.01        ,-28.52          ,-2.95                ,13.16                          ,13.86                     ,-55                          ,32.82           ,11.84                   ,6.92         ,-3.03               ,- -      ,7.79                 ,-2.17                     ,0.03    ,72.76                ,16.6                         ,10.88             ,-99.9                ,- -          ,2.82              ,-24.5        ,3.38                            ,3.44         ,6.92                       ,-6.76              ,7.96     ,4.37               ,-5.35                        ,-0.8          ,-10.16                ,6.85                ,67.56      ,-39.82                      ,17.45          ,23.05                    ,70.01                    ,35.96                          ,-54.86                ,382.2                       ,-30.94                         ,- -            ,- -            ,218.78                      ,87.9                           ,-58.26              ,-54.86               ,104.84         ,-18.44               ,-22.08                  ,0.006968783037454518
 9 ,2019 ,6.88                     ,7.66            ,6.75         ,12.74                      ,-12.19                 ,17.25                   ,-189.13                     ,20.79         ,31.62                       ,-8.69                     ,45.55             ,-8.72                       ,45.6                ,12.77  ,5.51              ,17.25  ,17.25  ,-0.11            ,9.7                  ,24.35             ,12.65              ,- -                ,-28.56               ,26.51                          ,137.93                  ,-0.59                   ,-13.52      ,-8.23           ,9.7                  ,2.03                           ,-2.47                     ,2.34                         ,8.67            ,6.83                    ,7.69         ,2.62                ,46643.75 ,-1.59                ,47.6                      ,-17.94  ,37.48                ,0.77                         ,13.36             ,- -                  ,- -          ,1.22              ,-43.76       ,2.33                            ,2.36         ,7.69                       ,-11.66             ,-35.46   ,-36.95             ,-11.58                       ,-25.68        ,-22.27                ,-5.13               ,31.62      ,-28.56                      ,-20.65         ,15.75                    ,-50.2                    ,14.4                           ,-24.44                ,21.43                       ,-122.99                        ,- -            ,- -            ,34.82                       ,31.05                          ,-610.8              ,-24.44               ,20.89          ,-16.46               ,-13.92                  ,-0.3027046762461306
