   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA ,EBIT ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,86.18                    ,- -             ,86.18        ,10.96                      ,- -                    ,- -                     ,-267.3                      ,-267.3        ,-425.58                     ,2.86                      ,-279.08           ,3.16                        ,-278.55             ,-11.53 ,-52.48            ,- -   ,- -  ,- -              ,- -                  ,-224.76           ,63.69              ,-36.34             ,-11.53               ,13.48                          ,7.46                    ,3.63                    ,- -         ,- -             ,12.75                ,5.68                           ,5.68                      ,42.7                         ,-33.14          ,22.29                   ,16.51        ,6.06                ,-16.67  ,- -                  ,6.04                      ,9.4     ,18.83                ,17.83                        ,16.85             ,                4.41 ,- -          ,            22.28 ,-26.16       ,11.65                           ,14.32        ,16.51                      ,2.79               ,6.78     ,-6.6               ,10.58                        ,6.33          ,- -                   ,13.74               ,-332.29    ,-11.53                      ,-67.64         ,- -                      ,-148.56                  ,7.11                           ,-27.67                ,-57.48                      ,-164.7                         ,-34.52         ,-71.92         ,-51.15                      ,-138.57                        ,-91.21              ,-27.67               ,10.31          ,6.36                 ,-146.11                 ,-0.03397278230404188
 1 ,2011 ,5.61                     ,- -             ,5.61         ,9.8                        ,- -                    ,- -                     ,-2.08                       ,-2.08         ,-2.95                       ,0.67                      ,-0.75             ,0.56                        ,-0.64               ,23.37  ,16.82             ,- -   ,- -  ,- -              ,- -                  ,-5.39             ,4.09               ,33.87              ,23.37                ,54.88                          ,80.52                   ,1.52                    ,- -         ,- -             ,51.24                ,-0.71                          ,-0.71                     ,14.13                        ,-57.93          ,3.64                    ,31.55        ,17.24               ,- -     ,- -                  ,17.23                     ,14.1    ,40.01                ,37.47                        ,35.95             ,                1.31 ,- -          ,            17.56 ,20.07        ,3.29                            ,3.15         ,31.55                      ,-2.57              ,104.8    ,98.54              ,-11.91                       ,29.01         ,- -                   ,1.46                ,-0.08      ,23.37                       ,-110.49        ,- -                      ,254.81                   ,-45.41                         ,179.13                ,124.89                      ,436.77                         ,34.77          ,475.43         ,-229.27                     ,629.98                         ,-922.68             ,179.13               ,-58.93         ,0.64                 ,-45.36                  ,-0.32827027938780096
 2 ,2012 ,-0.19                    ,- -             ,-0.19        ,0.61                       ,- -                    ,- -                     ,-7.19                       ,-7.19         ,-2.1                        ,-3.63                     ,-0.23             ,-3.65                       ,-0.22               ,60.57  ,60.87             ,- -   ,- -  ,- -              ,- -                  ,-2.96             ,-1.8               ,12.17              ,60.57                ,10.59                          ,6.13                    ,2.5                     ,- -         ,- -             ,10.22                ,-1.31                          ,-1.31                     ,22.23                        ,-171.66         ,10.67                   ,10.37        ,23.83               ,3280    ,- -                  ,25.55                     ,-9.94   ,11.14                ,9.42                         ,10.47             ,                1.3  ,8.33         ,            14.13 ,-60.48       ,9.02                            ,9.48         ,10.37                      ,-3.82              ,9.09     ,-0.35              ,9.52                         ,-12.21        ,- -                   ,1.64                ,-3.14      ,60.57                       ,263.41         ,- -                      ,67.75                    ,-26.32                         ,1.56                  ,14.68                       ,-63.35                         ,8.09           ,-64.38         ,32.43                       ,-64.09                         ,-33.58              ,1.56                 ,-37.73         ,51.69                ,-23.93                  ,0.18741391428582088
 3 ,2013 ,2.8                      ,- -             ,2.8          ,4.48                       ,- -                    ,- -                     ,12.51                       ,12.51         ,-13.12                      ,-2.19                     ,-13.78            ,-2.04                       ,-13.92              ,11.48  ,8.44              ,- -   ,- -  ,- -              ,- -                  ,-16.01            ,-0.42              ,18.67              ,11.48                ,-2.57                          ,5.31                    ,-13.93                  ,- -         ,- -             ,-3.05                ,-0.24                          ,-0.24                     ,2.11                         ,-464.94         ,19.52                   ,4.32         ,-3.02               ,-71.6   ,- -                  ,-4                        ,3.1     ,5.32                 ,5.17                         ,4.5               ,                2.2  ,- -          ,             9.1  ,38.72        ,2.93                            ,2.85         ,4.32                       ,-1.83              ,5.9      ,2.97               ,1.68                         ,0.99          ,- -                   ,3.23                ,-13.66     ,11.48                       ,-161.74        ,- -                      ,174.49                   ,-139.41                        ,-6.6                  ,-94.37                      ,-55.08                         ,16.07          ,40.96          ,-10.86                      ,-44.78                         ,235.66              ,-6.6                 ,-228.05        ,-9371.22             ,-145.65                 ,0.09058428670996843
 4 ,2014 ,-1.08                    ,- -             ,-1.08        ,-2.89                      ,- -                    ,- -                     ,-5.67                       ,-5.67         ,21.33                       ,-1.81                     ,24.5              ,-1.47                       ,24.08               ,-6.98  ,-5.96             ,- -   ,- -  ,- -              ,- -                  ,23.34             ,0.49               ,14.02              ,-6.98                ,-1.75                          ,-15.72                  ,2.12                    ,- -         ,- -             ,-1.61                ,-15.77                         ,-15.77                    ,11.16                        ,7.11            ,10.38                   ,2.88         ,23.7                ,718.75  ,- -                  ,23.18                     ,2.55    ,1.64                 ,1.7                          ,3.15              ,                2.6  ,- -          ,            10.85 ,83.18        ,-0.15                           ,0.5          ,2.88                       ,-2.1               ,-19.27   ,-19.67             ,1.61                         ,-20.12        ,- -                   ,-1.57               ,22.01      ,-6.98                       ,-485.51        ,- -                      ,-138.29                  ,-798.44                        ,29.89                 ,2128.18                     ,-11.55                         ,11.96          ,20.4           ,64.14                       ,-49.88                         ,-64.14              ,29.89                ,-395.2         ,-100.73              ,-672.47                 ,0.06910997042775668
 5 ,2015 ,2.67                     ,- -             ,2.67         ,-0.14                      ,- -                    ,- -                     ,18.86                       ,18.86         ,21.54                       ,-2.23                     ,25.2              ,-2.2                        ,25.16               ,12.77  ,9.84              ,- -   ,- -  ,- -              ,- -                  ,19.83             ,0.86               ,6.21               ,12.77                ,-4.84                          ,9.53                    ,-17.24                  ,- -         ,- -             ,-5.33                ,-1.08                          ,-1.08                     ,-7.08                        ,177.64          ,13.41                   ,2.2          ,-0.71               ,-33.46  ,-33.46               ,-0.71                     ,4.85    ,2.48                 ,2.64                         ,2.37              ,                2.58 ,- -          ,            12.96 ,59.12        ,1.59                            ,0.7          ,2.2                        ,-2.94              ,10.84    ,10.07              ,-3.87                        ,-4.66         ,- -                   ,1.79                ,23.02      ,12.77                       ,-69.27         ,- -                      ,-109.53                  ,-7.96                          ,-24.02                ,-89.9                       ,69.48                          ,3.84           ,6.4            ,41.75                       ,93.96                          ,-174.45             ,-24.02               ,-4.52          ,8.25                 ,-25.19                  ,0.04018726456782984
 6 ,2016 ,0.13                     ,- -             ,0.13         ,-0.48                      ,- -                    ,- -                     ,11.57                       ,11.57         ,10.12                       ,-3.48                     ,16.23             ,-3.64                       ,16.42               ,3.09   ,2.96              ,- -   ,- -  ,- -              ,- -                  ,12.17             ,-1.41              ,7.8                ,3.09                 ,-27.99                         ,-42.21                  ,0.25                    ,- -         ,- -             ,-27.02               ,-5.51                          ,-5.51                     ,-4.06                        ,8.14            ,-0.77                   ,-15.32       ,-3.7                ,44.17   ,44.17                ,-3.7                      ,14.26   ,-20.68               ,-18.32                       ,-17.17            ,                2.77 ,- -          ,            13.25 ,44.81        ,2.03                            ,1.55         ,-15.32                     ,-3.49              ,-53.71   ,-54.42             ,19.81                        ,-24.21        ,- -                   ,1.56                ,12.32      ,3.09                        ,-149.24        ,- -                      ,-756.52                  ,51.85                          ,37.27                 ,-199.26                     ,-354.13                        ,4.05           ,24.93          ,1.8                         ,-488.87                        ,426.11              ,37.27                ,54.34          ,-25.63               ,35.2                    ,0.07514306830707485
 7 ,2017 ,1.97                     ,- -             ,1.97         ,3.86                       ,- -                    ,- -                     ,-2.43                       ,-2.43         ,15.95                       ,-3                        ,17.84             ,-2.96                       ,17.79               ,-1.86  ,-3.76             ,- -   ,- -  ,- -              ,- -                  ,13.08             ,1                  ,23.26              ,-1.86                ,24.14                          ,39.67                   ,6.92                    ,- -         ,- -             ,23.33                ,25.4                           ,25.4                      ,5.23                         ,-10.8           ,0.65                    ,11.48        ,-1.66               ,307.82  ,- -                  ,9.79                      ,22.96   ,11.46                ,12.54                        ,12.29             ,                2.71 ,7.69         ,            13.32 ,-37.4        ,6.29                            ,5.47         ,11.48                      ,-3.25              ,43.89    ,36.42              ,2.47                         ,12.33         ,- -                   ,0.96                ,15.31      ,-1.86                       ,-104.97        ,- -                      ,-184.11                  ,-25.53                         ,45.09                 ,-320.22                     ,-165.04                        ,19.56          ,-23.94         ,11.85                       ,-145.35                        ,-49.58              ,45.09                ,-36.24         ,34.58                ,-35.42                  ,-0.03744553734209366
 8 ,2018 ,5.7                      ,- -             ,5.7          ,1.86                       ,- -                    ,- -                     ,12.62                       ,12.62         ,3.4                         ,-3.03                     ,7.92              ,-3.19                       ,8.09                ,-9.16  ,-14.06            ,- -   ,- -  ,- -              ,- -                  ,-1.32             ,8.17               ,17.02              ,-9.16                ,-7.75                          ,-19.17                  ,-16.07                  ,- -         ,- -             ,-8.09                ,12.12                          ,12.12                     ,0.21                         ,14.27           ,4                       ,-2.39        ,-3.82               ,-36.94  ,- -                  ,-7.28                     ,4.46    ,-2.69                ,-1.95                        ,-2.43             ,                1.7  ,- -          ,            11.77 ,34.54        ,-1.49                           ,-2.1         ,-2.39                      ,-5.23              ,-28.24   ,-26.7              ,-1.55                        ,-0.88         ,- -                   ,-2.29               ,4.3        ,-9.16                       ,6687.5         ,- -                      ,-205.06                  ,28.48                          ,-7.44                 ,-63.71                      ,-110.09                        ,13.48          ,8.55           ,21.76                       ,-130.24                        ,-195                ,-7.44                ,40.86          ,-31.1                ,23.18                   ,-0.04609062205789016
 9 ,2019 ,0.64                     ,- -             ,0.64         ,-1.33                      ,- -                    ,- -                     ,7.61                        ,7.61          ,5.01                        ,-6.31                     ,11.3              ,-6.36                       ,11.35               ,-1.79  ,-2.42             ,- -   ,- -  ,- -              ,- -                  ,3.44              ,6.67               ,12.68              ,-1.79                ,16.93                          ,30.32                   ,-12.12                  ,- -         ,- -             ,15.84                ,97.87                          ,97.87                     ,6.88                         ,-39.26          ,-5.47                   ,5.14         ,-3.94               ,104.18  ,- -                  ,3.73                      ,-13.24  ,8.02                 ,5.69                         ,5.52              ,                1.46 ,- -          ,            11.32 ,-16.81       ,2.08                            ,2.1          ,5.14                       ,-6.22              ,53.95    ,50.77              ,1.05                         ,11.68         ,- -                   ,-5.65               ,4.1        ,-1.79                       ,-77.72         ,- -                      ,-693.04                  ,-98.4                          ,9.21                  ,-69.08                      ,-419.73                        ,5.57           ,-41.8          ,2.38                        ,-216.81                        ,-182.96             ,9.21                 ,-122.79        ,444.67               ,-98.46                  ,-0.19321174136331898
10 ,2020 ,-3.83                    ,- -             ,-3.83        ,-1.6                       ,- -                    ,- -                     ,-20.03                      ,-20.03        ,-18.83                      ,-5.19                     ,-15.49            ,-5.36                       ,-15.33              ,23.95  ,28.89             ,- -   ,- -  ,- -              ,- -                  ,-15.31            ,-4.03              ,6.05               ,23.95                ,33.17                          ,41.4                    ,-3.51                   ,- -         ,- -             ,32.14                ,-0.63                          ,-0.63                     ,25.86                        ,-45.46          ,12.13                   ,23.1         ,26.15               ,- -     ,- -                  ,8.54                      ,-6.28   ,29.32                ,26.11                        ,24.64             ,                1.12 ,- -          ,             7.36 ,-62.66       ,10.41                           ,10.53        ,23.1                       ,-1.55              ,64.39    ,48.74              ,-4.24                        ,21.74         ,- -                   ,0.21                ,-18.55     ,23.95                       ,-170.25        ,- -                      ,-94.69                   ,5147.92                        ,0.99                  ,5626.09                     ,643.79                         ,0.54           ,- -            ,-70.45                      ,698.27                         ,-310.57             ,0.99                 ,-442.55        ,-83.58               ,6343.46                 ,-0.2916585821365758
