   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA  ,EBIT   ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt   ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,31.93                    ,9.14            ,51.41        ,44.26                      ,9.71                   ,67.11                   ,41.99                       ,68.73         ,7.9                         ,13.09                     ,-4.69             ,2.96                        ,4.68                ,64.16  ,24.43             ,67.11  ,67.11  ,14.76            ,26.66                ,-18.31            ,-22                ,- -                ,28.76                ,107.74                         ,77.58                   ,36.88                   ,- -         ,27.56           ,91.36                ,30.34                          ,24.21                     ,- -                          ,16.44           ,16.91                   ,58.43        ,77.58               ,-99.89    ,125.34               ,15.27                     ,1223.52 ,46.55                ,454.46                       ,104.23            ,5.56                 ,8.15         ,-115.2            ,996.3        ,37.2                            ,40.67        ,58.43                      ,7.82               ,-1971.23 ,-1430.26           ,-15.29                       ,66.01         ,315.87                ,69.15               ,7.9        ,28.76                       ,-270.55        ,68.17                    ,-24.82                   ,52.51                          ,49.56                 ,46.38                       ,67.73                          ,- -            ,- -            ,643.3                       ,-226.04                        ,-192.78             ,49.56                ,52.6           ,21.36                ,41.51                   ,0.7015304199066226
 1 ,2011 ,41.19                    ,8.49            ,61.34        ,50.97                      ,61.03                  ,77.8                    ,-23.17                      ,83.28         ,100.54                      ,3.54                      ,93.39             ,0.44                        ,99.37               ,73.51  ,22.89             ,77.8   ,77.8   ,14.27            ,25.93                ,41.83             ,-3.99              ,- -                ,6.66                 ,59.89                          ,76.29                   ,62.81                   ,- -         ,8.97            ,56.67                ,61.86                          ,31.91                     ,- -                          ,-7.62           ,-4.71                   ,36.64        ,10.45               ,284265.71 ,74.68                ,134.69                    ,-83.76  ,-13.33               ,-71.59                       ,21.25             ,0.59                 ,1.83         ,1395.79           ,166.3        ,41.96                           ,45.3         ,36.64                      ,1.33               ,-149.23  ,-133.88            ,18.47                        ,-33.24        ,136.38                ,47.06               ,100.54     ,6.66                        ,-2.53          ,-3.22                    ,66.64                    ,72.63                          ,107.29                ,15.79                       ,7.57                           ,- -            ,- -            ,26.05                       ,-170.92                        ,91.76               ,107.29               ,71.59          ,-31.86               ,-13.79                  ,0.170623784929673
 2 ,2012 ,20.79                    ,-7.72           ,32.59        ,37.37                      ,29.2                   ,30.8                    ,118.21                      ,28.81         ,34.45                       ,0.37                      ,33.88             ,0.22                        ,34.08               ,30.44  ,7.99              ,30.8   ,30.8   ,9.77             ,8.29                 ,11.26             ,-13.72             ,- -                ,21.03                ,95.03                          ,142.77                  ,38.97                   ,- -         ,-9.02           ,85.28                ,38.78                          ,31.38                     ,- -                          ,-4.93           ,-1.82                   ,65.46        ,55.16               ,4.56      ,54.22                ,32.19                     ,1040.12 ,218.42               ,607.13                       ,106.26            ,7.44                 ,0.9          ,129.13            ,-72.97       ,53.5                            ,46.28        ,65.46                      ,0.14               ,131.71   ,58.39              ,-9.77                        ,40.17         ,83.68                 ,40                  ,34.45      ,21.03                       ,6.02           ,8.82                     ,69.64                    ,33.08                          ,17.78                 ,79.85                       ,72.72                          ,- -            ,73.91          ,57.52                       ,-542.87                        ,211.83              ,17.78                ,33.64          ,-3.3                 ,-0.96                   ,0.19238473059359795
 3 ,2013 ,29.13                    ,-8.48           ,39.97        ,45.54                      ,64.56                  ,31.84                   ,70.6                        ,30.35         ,32.92                       ,2.17                      ,30.49             ,2.12                        ,30.56               ,33.53  ,3.41              ,31.84  ,31.84  ,8.4              ,2.1                  ,3.25              ,-4.85              ,- -                ,81.11                ,30.28                          ,-16.04                  ,45.84                   ,- -         ,46.02           ,31.65                ,51.29                          ,34.54                     ,- -                          ,254.4           ,233.97                  ,58.98        ,38.45               ,-70.8     ,18.52                ,-5.47                     ,97.51   ,46.65                ,85.44                        ,34.68             ,75.82                ,5.78         ,78.11             ,-457.87      ,75.07                           ,75.07        ,58.98                      ,4.29               ,-550.7   ,-357.44            ,-2.2                         ,39.27         ,65.95                 ,35.71               ,32.92      ,81.11                       ,55.62          ,97.26                    ,-63.19                   ,28.88                          ,53.1                  ,18.5                        ,38.37                          ,- -            ,-2             ,243.75                      ,-160.33                        ,-129.64             ,53.1                 ,28.11          ,50.01                ,-3.34                   ,0.5776476572972182
 4 ,2014 ,24.27                    ,-20.38          ,32.69        ,35.08                      ,35.62                  ,27.4                    ,-27.63                      ,30.17         ,27.95                       ,2.7                       ,24.59             ,1.16                        ,26.48               ,29.67  ,4.35              ,27.4   ,27.4   ,6.77             ,2.52                 ,2.97              ,-7.04              ,- -                ,76.16                ,-36.46                         ,144.08                  ,20.14                   ,- -         ,73.01           ,-29.59               ,47.31                          ,41.61                     ,1046042.9                    ,102.18          ,226.41                  ,43.05        ,11.3                ,-75.52    ,5.36                 ,-0.13                     ,120.99  ,184.24               ,132.86                       ,80.75             ,7.19                 ,0.84         ,57.4              ,-406.75      ,23.83                           ,23.83        ,43.05                      ,-0.14              ,22.24    ,-1.29              ,-41.95                       ,-29.5         ,77.9                  ,33.68               ,27.95      ,76.16                       ,30.5           ,33.21                    ,-147.97                  ,26.63                          ,55.73                 ,-115.49                     ,8.61                           ,- -            ,234.41         ,-15.07                      ,-454.14                        ,-854.65             ,55.73                ,25.53          ,-21.08               ,-1.03                   ,-0.13299624905820173
 5 ,2015 ,9.26                     ,-26.31          ,13.29        ,17.6                       ,16.53                  ,6.04                    ,55.71                       ,4.65          ,5.35                        ,-2.6                      ,8.17              ,-2.7                        ,8.27                ,7.63   ,-1.5              ,6.04   ,6.04   ,3.68             ,-2.95                ,-3.58             ,-10.47             ,- -                ,31.12                ,-38.28                         ,-53.08                  ,0.2                     ,- -         ,-21.97          ,-32.54               ,38.12                          ,20.81                     ,111.18                       ,-1              ,43.36                   ,16.6         ,13.85               ,- -       ,-5.58                ,4.3                       ,59.97   ,-10.18               ,43.9                         ,35.33             ,5.32                 ,0.42         ,38.42             ,-194.21      ,2.67                            ,2.67         ,16.6                       ,-4.47              ,534.05   ,517.58             ,-12.55                       ,-35.32        ,71.22                 ,22.05               ,5.35       ,31.12                       ,-7.68          ,31.61                    ,-68.45                   ,6.45                           ,32.25                 ,-1426.13                    ,65.83                          ,- -            ,-19.93         ,311.67                      ,-151.08                        ,-176.31             ,32.25                ,5.23           ,1.02                 ,1.04                    ,0.12543730868043967
 6 ,2016 ,16.47                    ,-32.25          ,20.05        ,21.7                       ,25.33                  ,18.05                   ,768.21                      ,-13.27        ,-16.32                      ,-2.84                     ,-13.87            ,-2.97                       ,-13.76              ,17.69  ,1.05              ,18.05  ,18.05  ,3.08             ,1.35                 ,-28.15            ,-2.42              ,- -                ,13.45                ,62.35                          ,40.87                   ,33.32                   ,- -         ,-6.98           ,52.02                ,26.29                          ,31.93                     ,20.93                        ,-20.52          ,4.11                    ,13.88        ,27.09               ,2501.79   ,41.27                ,98.61                     ,0.2     ,-6.45                ,-0.75                        ,15.83             ,5.74                 ,0.62         ,23.23             ,-155.01      ,11.97                           ,11.97        ,13.88                      ,-0.85              ,8.03     ,-3.52              ,29.01                        ,-23.46        ,95.07                 ,19.35               ,-16.32     ,13.45                       ,341.6          ,0.24                     ,-2794.03                 ,26.51                          ,54.32                 ,-14.61                      ,-14.41                         ,- -            ,-62.09         ,-67.19                      ,-107.91                        ,-142.64             ,54.32                ,24.86          ,-12.51               ,51.18                   ,0.05454587490920182
 7 ,2017 ,18.04                    ,-41.51          ,20.51        ,22.27                      ,32.97                  ,17.96                   ,-87.68                      ,62.11         ,9.64                        ,-1                        ,10.75             ,-0.22                       ,9.88                ,17.92  ,-0.11             ,17.96  ,17.96  ,2.09             ,-0.07                ,-7.12             ,-4.64              ,- -                ,17.35                ,72.13                          ,22.13                   ,41.59                   ,- -         ,72.1            ,67.26                ,38.35                          ,44.97                     ,8.66                         ,22.57           ,13.71                   ,28.29        ,41.51               ,-26.54    ,59.59                ,22.36                     ,42.77   ,95.61                ,49.89                        ,42.01             ,5.48                 ,0.41         ,23.06             ,-275.95      ,14.37                           ,14.37        ,28.29                      ,-1.46              ,38       ,20.67              ,-12.5                        ,36.7          ,162.12                ,23.78               ,9.64       ,17.35                       ,-69.94         ,4.62                     ,631.16                   ,18.79                          ,7.24                  ,-4.77                       ,26.06                          ,- -            ,105.58         ,80.35                       ,-236.24                        ,-41.25              ,7.24                 ,19.63          ,0.59                 ,8.34                    ,-0.008886601472009703
 8 ,2018 ,14.56                    ,- -             ,16.87        ,16.34                      ,23.06                  ,17.7                    ,262.28                      ,9.93          ,70.8                        ,-3.16                     ,76.37             ,-3.88                       ,77.69               ,17.68  ,2.72              ,17.7   ,17.7   ,2.02             ,2.74                 ,49.1              ,7.08               ,- -                ,17.43                ,-15.1                          ,3.24                    ,25.06                   ,- -         ,44.39           ,-6.95                ,36.64                          ,31.8                      ,-19.32                       ,-5.42           ,-13.01                  ,-10.86       ,40.22               ,- -       ,4.24                 ,1.63                      ,-1.83   ,-9.68                ,-3.21                        ,-2.01             ,-5.85                ,- -          ,31.77             ,-233.34      ,-22.01                          ,-22.01       ,-10.86                     ,-5.86              ,-13.67   ,10.69              ,-31.28                       ,-8.44         ,- -                   ,6.99                ,70.8       ,17.43                       ,107.56         ,26.69                    ,-92.08                   ,14.5                           ,53.58                 ,-200.65                     ,-152.71                        ,- -            ,-98.78         ,226.66                      ,9346.63                        ,-68.01              ,53.58                ,11.93          ,-19.31               ,-32.96                  ,0.053556523018504665
 9 ,2019 ,3.71                     ,- -             ,3.71         ,5.62                       ,22.32                  ,0.07                    ,-221.15                     ,23.23         ,21.69                       ,-9.2                      ,34.01             ,-9.39                       ,34.29               ,3.8    ,0.08              ,0.07   ,0.07   ,- -              ,-3.51                ,17.33             ,-3.75              ,- -                ,50.47                ,16.33                          ,140.55                  ,10.31                   ,- -         ,40.5            ,16.96                ,-34.3                          ,0.67                      ,-46.75                       ,27.7            ,-18.98                  ,-5.66        ,11.21               ,38.98     ,52.74                ,50.94                     ,-6.32   ,17.84                ,-2.36                        ,11.27             ,5.71                 ,- -          ,26.49             ,-39.56       ,-32.46                          ,-32.46       ,-5.66                      ,-9.24              ,-61.56   ,-43.08             ,-69.65                       ,-22.51        ,- -                   ,7.76                ,21.69      ,50.47                       ,-112.93        ,-1.81                    ,-531.2                   ,-8.86                          ,-16.74                ,153.48                      ,218.28                         ,- -            ,1500           ,37.11                       ,10.62                          ,2928.69             ,-16.74               ,-8.15          ,18.36                ,-25.1                   ,-0.09642929134607403
