   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA  ,EBIT   ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,83.23                    ,53.8            ,110.95       ,137.1                      ,- -                    ,130.62                  ,-182.14                     ,137.5         ,128.54                      ,39.43                     ,69.1              ,38.15                       ,70.67               ,114.94 ,17.31             ,126.15 ,130.62 ,15.12            ,25.86                ,28.67             ,73.24              ,             40.19 ,8.84                 ,-26.51                         ,-26.51                  ,16.99                   ,- -         ,- -             ,-13.91               ,-3.82                          ,9.77                      ,171.88                       ,-0.23           ,0.81                    ,0.26         ,106                 ,-95.52  ,- -                  ,-45.1                     ,32.12   ,-0.08                ,0.67                         ,-0.83             ,1.69                 ,- -          ,            55.91 ,- -          ,7.25                            ,7.04         ,0.26                       ,1.26               ,22.6     ,14.54              ,-29.25                       ,56.81         ,102.76                ,5.77                ,128.54     ,29.71                       ,-22.28         ,40.38                    ,5                        ,77.84                          ,97.01                 ,-321.5                      ,-88.64                         ,         95.47 ,- -            ,-109.35                     ,-146.97                        ,-149.79             ,97.01                ,76.88          ,-38.84               ,-24.57                  ,-0.2871844046447025
 1 ,2011 ,5.45                     ,2.28            ,7.62         ,7.09                       ,- -                    ,9.44                    ,-734.78                     ,3.77          ,14.1                        ,-3.3                      ,17.15             ,-2.89                       ,16.66               ,8.22   ,2.63              ,8.77   ,9.44   ,2.06             ,3.79                 ,7.43              ,-4.71              ,             35.13 ,-2.5                 ,2.89                           ,2.89                    ,-6.37                   ,- -         ,- -             ,-0.75                ,25.47                          ,19.44                     ,14.66                        ,0.56            ,0.86                    ,0.81         ,-11.98              ,- -     ,- -                  ,-11.55                    ,38.06   ,0.69                 ,1.82                         ,1.58              ,-9.9                 ,- -          ,            34.76 ,32.29        ,-4.01                           ,-3.69        ,0.81                       ,-6.74              ,138.23   ,147.36             ,18.84                        ,12.2          ,7.07                  ,10.66               ,14.1       ,-3.55                       ,35.31          ,11.69                    ,30.27                    ,13.59                          ,87.12                 ,-109.07                     ,-67.46                         ,         30.67 ,-54.42         ,1016.28                     ,-21.61                         ,-110.47             ,87.12                ,9.47           ,-21.12               ,0.27                    ,-0.03609621733815027
 2 ,2012 ,2.82                     ,19.86           ,-8.3         ,-31.29                     ,- -                    ,7.41                    ,-63.01                      ,10.69         ,4.32                        ,-5.05                     ,10.77             ,-4.86                       ,10.55               ,6.68   ,3.75              ,6.95   ,7.41   ,-10.81           ,4.46                 ,2.29              ,-1.1               ,             10.1  ,0.64                 ,37.72                          ,37.72                   ,118.41                  ,- -         ,- -             ,474.27               ,3.72                           ,10.69                     ,-46.48                       ,-2.82           ,-3.61                   ,11.43        ,-54.08              ,- -     ,- -                  ,-51.85                    ,29.13   ,13.53                ,14.17                        ,13.14             ,-4.22                ,100          ,            26.48 ,-53.54       ,1.42                            ,1.01         ,11.43                      ,-3.98              ,17.19    ,16.02              ,-13.66                       ,1092.75       ,-91.34                ,3.96                ,4.32       ,-1.34                       ,-88.79         ,-9.26                    ,45.95                    ,-20.74                         ,-39.27                ,81.4                        ,30.39                          ,          4.54 ,-12.88         ,-43.12                      ,-62.01                         ,651.82              ,-39.27               ,-18.96         ,39.21                ,-24.64                  ,0.0644102594440259
 3 ,2013 ,9.03                     ,7.56            ,10.28        ,13.32                      ,- -                    ,9.45                    ,-314.81                     ,14.5          ,20.94                       ,-2.73                     ,22.63             ,-2.35                       ,22.16               ,8.61   ,-0.38             ,8.87   ,9.45   ,1.15             ,0.39                 ,9.41              ,0.42               ,             13.28 ,2.55                 ,-7.18                          ,-7.18                   ,-0.41                   ,- -         ,-5.36           ,-4.93                ,-5.75                          ,0.62                      ,22.91                        ,12.47           ,12.52                   ,9.69         ,1.4                 ,- -     ,- -                  ,-7.27                     ,-9.66   ,11.62                ,10.63                        ,10.51             ,0.28                 ,- -          ,            27.14 ,-40.68       ,4.16                            ,4.11         ,9.69                       ,-1.45              ,-16.1    ,-19.41             ,-27.08                       ,2.52          ,123.17                ,8.57                ,20.94      ,-1.36                       ,534.38         ,-0.67                    ,-98.93                   ,62.59                          ,-37.33                ,-323.08                     ,81.58                          ,         10.19 ,- -            ,-24.54                      ,259.32                         ,-122.62             ,-37.33               ,69.76          ,-2.88                ,36.3                    ,0.2741598952410371
 4 ,2014 ,8.85                     ,8.11            ,9.46         ,-5.65                      ,- -                    ,16                      ,-168.1                      ,10.62         ,10.61                       ,-1.15                     ,13.66             ,-1.56                       ,14.13               ,14.56  ,5.25              ,15.25  ,16     ,0.56             ,6.57                 ,3.21              ,1.71               ,             15.89 ,-2.48                ,31.86                          ,31.86                   ,19.69                   ,- -         ,54.46           ,45.99                ,-11.05                         ,-7.22                     ,-10.69                       ,3.22            ,3.03                    ,9.07         ,-4.52               ,- -     ,- -                  ,-4.52                     ,13.94   ,9.8                  ,9.96                         ,9.88              ,-0.45                ,- -          ,            23.27 ,680          ,3.42                            ,3.19         ,9.07                       ,-1.07              ,-15.63   ,-18.24             ,-33.94                       ,52.9          ,42.39                 ,7.02                ,10.61      ,-4.47                       ,-134.73        ,1.12                     ,5233.33                  ,-15.4                          ,-29.79                ,-193.1                      ,-149.48                        ,         14.55 ,-45.4          ,8.74                        ,-45.31                         ,-728.76             ,-29.79               ,-15.02         ,33.4                 ,-24.7                   ,0.04305722788267219
 5 ,2015 ,2.89                     ,4.64            ,1.45         ,-5.02                      ,- -                    ,4.25                    ,-21.52                      ,4.71          ,2.7                         ,-1.09                     ,2.67              ,-1.21                       ,2.79                ,3.35   ,0.45              ,4.09   ,4.25   ,-1.4             ,1.32                 ,-1.3              ,-3.44              ,             11.53 ,-18.47               ,3.83                           ,3.83                    ,-40.3                   ,- -         ,-6.89           ,-9.51                ,24.41                          ,9.2                       ,-17.86                       ,-5.21           ,-5.27                   ,-6.07        ,3.19                ,- -     ,- -                  ,3.19                      ,-40.8   ,-6.26                ,-7.62                        ,-7.57             ,0.1                  ,- -          ,            18.61 ,64.1         ,4.15                            ,5.54         ,-6.07                      ,-0.79              ,-155.93  ,-153               ,-43.96                       ,-12.31        ,-33.17                ,6.56                ,2.7        ,-11.15                      ,-62.41         ,13.47                    ,69.38                    ,-2.5                           ,234.85                ,-122.84                     ,-294.56                        ,         10.31 ,-21.06         ,-0.97                       ,11.27                          ,-67.58              ,234.85               ,-7.69          ,-9.56                ,-3.99                   ,-0.016278892422065372
 6 ,2016 ,-2.16                    ,-2.29           ,-2.04        ,-5.72                      ,- -                    ,-0.39                   ,200                         ,-3.09         ,-5.43                       ,-1.18                     ,-4.04             ,-1.45                       ,-3.77               ,-0.73  ,1.46              ,-0.15  ,-0.39  ,0.12             ,1.81                 ,-3.08             ,-2.16              ,              5.93 ,-22.66               ,-0.9                           ,-0.9                    ,2.79                    ,- -         ,-11.31          ,-8.59                ,-3.79                          ,0.78                      ,1.08                         ,-0.86           ,-0.85                   ,-2.26        ,2.43                ,- -     ,- -                  ,2.43                      ,-0.3    ,-2.84                ,-2.77                        ,-2.74             ,-0.35                ,- -          ,            13.52 ,59.82        ,2.09                            ,1.03         ,-2.26                      ,-1.49              ,-3.15    ,-4.14              ,-19.55                       ,-10.77        ,-40.22                ,- -                 ,-5.43      ,-7.29                       ,828.3          ,1.36                     ,38.93                    ,-28.3                          ,-46.15                ,97.3                        ,-59.57                         ,          4.67 ,- -            ,5.11                        ,-18.36                         ,-40.84              ,-46.15               ,-26.88         ,56.94                ,-24.38                  ,0.0510289967659554
 7 ,2017 ,21.92                    ,33.31           ,12.29        ,11.15                      ,- -                    ,13.09                   ,-102.69                     ,17.91         ,57.38                       ,-1.38                     ,58.3              ,-1.3                        ,58.17               ,12.7   ,-7.56             ,13.17  ,13.09  ,-7.9             ,-7.24                ,28.05             ,14.02              ,              9.08 ,-10.1                ,13.98                          ,13.98                   ,24.84                   ,- -         ,-12.96          ,-5.1                 ,5.9                            ,7.76                      ,24.2                         ,0.84            ,1.06                    ,0.02         ,6.12                ,- -     ,- -                  ,6.12                      ,2.01    ,-1.66                ,-1.57                        ,-1.52             ,-0.42                ,- -          ,            24.2  ,-39.66       ,9.37                            ,10.04        ,0.02                       ,-1.27              ,60.63    ,45.97              ,-248                         ,-10.58        ,-435.6                ,6.92                ,57.95      ,4.8                         ,157.52         ,4.03                     ,-79.81                   ,77.72                          ,30.25                 ,395.89                      ,212.23                         ,          7.57 ,-11.44         ,1.57                        ,56.08                          ,117.44              ,30.25                ,80.49          ,-23.24               ,13.84                   ,0.18779097132343536
 8 ,2018 ,4.4                      ,2.67            ,6.13         ,7.68                       ,- -                    ,6.55                    ,-4500                       ,2.26          ,-13.77                      ,-1.15                     ,-12.06            ,-1.5                        ,-11.74              ,5.9    ,1.44              ,6.72   ,6.55   ,1.66             ,2.06                 ,-16.73            ,-2.61              ,             19.79 ,-43.82               ,-7.81                          ,-7.81                   ,27.31                   ,- -         ,-14.61          ,-8.3                 ,8.61                           ,11.44                     ,-9.34                        ,-31.59          ,-31.23                  ,-27.54       ,11.28               ,- -     ,- -                  ,11.28                     ,0.98    ,-34.15               ,-33.21                       ,-32.93            ,-0.46                ,- -          ,            13.65 ,59.95        ,1.73                            ,3.87         ,-27.54                     ,-1.57              ,-29.59   ,-32.22             ,91.24                        ,-17.6         ,-34.13                ,7.19                ,-14.08     ,-8.33                       ,1.74           ,4.06                     ,3.95                     ,-19.67                         ,31.61                 ,-119.61                     ,37.65                          ,         18.41 ,-94.26         ,46.87                       ,5.13                           ,-181.51             ,31.61                ,-21.84         ,-10.46               ,-7.6                    ,-0.15363360346336707
 9 ,2019 ,2.4                      ,2.0             ,2.79         ,7.51                       ,- -                    ,0.66                    ,-169.09                     ,7.61          ,5.21                        ,-2.67                     ,6.83              ,-2.77                       ,6.94                ,3.82   ,1.38              ,3.03   ,0.66   ,0.38             ,-1.7                 ,1.53              ,-5.82              ,              9.43 ,94                   ,-25.57                         ,-25.57                  ,-40.43                  ,- -         ,-25.12          ,-27.73               ,11.2                           ,14.5                      ,205.62                       ,11.46           ,14.21                   ,5.67         ,-9.67               ,- -     ,- -                  ,-9.67                     ,-2.13   ,6.6                  ,6.24                         ,6.08              ,0.09                 ,- -          ,            12.34 ,-17.37       ,3.62                            ,4.14         ,5.67                       ,-2.1               ,-108.84  ,-108.49            ,-13.2                        ,-19.99        ,114.19                ,8.72                ,5.21       ,84.09                       ,11.64          ,0.53                     ,284.81                   ,-6.21                          ,24.51                 ,-643.66                     ,149.26                         ,          6.5  ,2657.5         ,-8.43                       ,-6.58                          ,243.98              ,24.51                ,-8.39          ,30.74                ,-9.79                   ,0.029872730226012667
