   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA  ,EBIT   ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,3.59                     ,2.67            ,3.94         ,-13                        ,-2.22                  ,35.22                   ,-153.96                     ,8.37          ,2.1                         ,-13.22                    ,-66.32            ,-12.51                      ,-66.59              ,31.37  ,26.82             ,35.22  ,35.22  ,0.34             ,30.53                ,-71.78            ,7.43               ,2.2                ,5.23                 ,-14.25                         ,-34.49                  ,9.99                    ,-14.79      ,48.56           ,-4.91                ,-7.73                          ,-7.14                     ,95.84                        ,-1.58           ,4.42                    ,0.22         ,6.42                ,-49.35  ,69.62                ,6.75                      ,-13.08  ,-10.82               ,-12.22                       ,-4.84             ,-2.16                ,- -          ,2.85              ,-6.69        ,5.86                            ,5.77         ,0.22                       ,-0.59              ,-131.16  ,-129.46            ,7.08                         ,-10.92        ,290.5                 ,-3.57               ,-61.95     ,5.23                        ,-92.98         ,5.46                     ,-495.24                  ,10.48                          ,-41.92                ,85.71                       ,-12.97                         ,-11.32         ,-99.64         ,-139.18                     ,19564.71                       ,702.41              ,-41.92               ,21.95          ,-11.33               ,277.95                  ,-0.04047721737549548
 1 ,2011 ,9.03                     ,6.08            ,10.13        ,13.76                      ,7.66                   ,8.23                    ,-87.41                      ,14.99         ,16.55                       ,-0.76                     ,20.48             ,-0.58                       ,20.26               ,8.17   ,-0.79             ,8.23   ,8.23   ,1                ,-0.74                ,9.66              ,9.03               ,3.14               ,7.66                 ,19.61                          ,14.76                   ,7.56                    ,14.95       ,13.2            ,15.41                ,-3.07                          ,1.46                      ,8.5                          ,-2.26           ,-0.85                   ,6.09         ,-10.13              ,-1.71   ,416.17               ,15.45                     ,0.9     ,17.09                ,7.17                         ,10.79             ,-14.56               ,- -          ,4.53              ,28.43        ,1.55                            ,1.46         ,6.09                       ,-0.82              ,-169.17  ,-168.18            ,-5.76                        ,-0.03         ,-3.21                 ,- -                 ,16.55      ,7.66                        ,82.33          ,-16.58                   ,-23.49                   ,7.77                           ,-13.44                ,-67.29                      ,-62.3                          ,2.36           ,- -            ,91.36                       ,-20.52                         ,-128                ,-13.44               ,9.98           ,25.1                 ,-9.87                   ,0.39438885067266205
 2 ,2012 ,-17.05                   ,-17.65          ,-16.84       ,0.29                       ,1.69                   ,-44.11                  ,2848.15                     ,-66.48        ,-52.45                      ,-1.76                     ,-46.21            ,-1.69                       ,-46.25              ,-41.13 ,-29.03            ,-44.11 ,-44.11 ,0.26             ,-32.62               ,-36.29            ,-20.02             ,3.24               ,-14.98               ,-67.61                         ,-71.33                  ,-17.63                  ,19.73       ,33.88           ,-37.84               ,17.96                          ,11.96                     ,21.11                        ,71.4            ,49.42                   ,8.88         ,2.59                ,618.26  ,-17.2                ,6.41                      ,22.17   ,87.79                ,49.95                        ,30.15             ,-12.57               ,0.45         ,-1.02             ,5.16         ,-14.62                          ,-14.05       ,8.88                       ,-3.26              ,-2113.33 ,-2442.39           ,-148.28                      ,-41.59        ,-55.76                ,3.7                 ,-52.45     ,-14.98                      ,-474.59        ,-4.35                    ,166.93                   ,43.41                          ,49.32                 ,-249.36                     ,368.13                         ,1.42           ,32400          ,212.9                       ,63.08                          ,-652.14             ,49.32                ,42.92          ,-37.38               ,171.38                  ,-0.17210688961604947
 3 ,2013 ,-7.01                    ,0.2             ,-9.57        ,-1.37                      ,-4.43                  ,-25.46                  ,-97.49                      ,23.55         ,3.16                        ,-1.56                     ,32.83             ,-1.54                       ,32.81               ,-19.92 ,-13.88            ,-25.46 ,-25.46 ,-2.75            ,-19.83               ,40.63             ,-7.01              ,2.6                ,12.04                ,59.95                          ,116.55                  ,8.98                    ,-9.6        ,388.37          ,98.68                ,-14.14                         ,-5.76                     ,6.36                         ,-35.22          ,-25.4                   ,7.51         ,-2.14               ,-56.54  ,276.54               ,50.26                     ,21.51   ,-60.4                ,-21.92                       ,4.93              ,-26.48               ,- -          ,0.67              ,-33.14       ,11.24                           ,11.72        ,7.51                       ,0.67               ,-17.15   ,-25.84             ,-240.1                       ,32.22         ,77.49                 ,- -                 ,3.16       ,12.04                       ,-106.98        ,24.03                    ,-243.95                  ,-48.93                         ,-2.01                 ,-103.43                     ,-91.5                          ,1.01           ,-23.64         ,-106.75                     ,-75.35                         ,-146.25             ,-2.01                ,-52.95         ,196.32               ,-60.94                  ,0.40356791147136106
 4 ,2014 ,-3.09                    ,-14.87          ,1.54         ,11.66                      ,21.52                  ,-41.52                  ,-1767.5                     ,-17.64        ,-21.36                      ,0.79                      ,-22.42            ,0.48                        ,-22.18              ,-40.96 ,-39.08            ,-41.52 ,-41.52 ,4.77             ,-39.66               ,-19.32            ,8.54               ,3.04               ,-38.79               ,64.31                          ,55.35                   ,0.89                    ,4.14        ,-76.68          ,-22.77               ,-3.54                          ,2.52                      ,17.64                        ,-9.11           ,-2.72                   ,-12.55       ,2.73                ,64.35   ,-67.44               ,-31.99                    ,-9.26   ,4.36                 ,-5.6                         ,-19.65            ,-19.37               ,- -          ,-1.25             ,13.26        ,-1.99                           ,-1.66        ,-12.55                     ,0.73               ,-52.44   ,-51.64             ,24.5                         ,13.54         ,39.5                  ,-10.71              ,-21.36     ,-38.79                      ,-257.69        ,11.52                    ,-58.81                   ,-11.2                          ,-2.05                 ,3590.91                     ,-312.59                        ,3.85           ,- -            ,119.85                      ,128.18                         ,1.15                ,-2.05                ,-12.83         ,24.79                ,13.57                   ,0.027892405633406447
 5 ,2015 ,4.29                     ,-0.58           ,5.89         ,-12.25                     ,30.57                  ,0.93                    ,-34.48                      ,-8.99         ,-16.71                      ,0.6                       ,-19.45            ,0.54                        ,-19.4               ,-3.44  ,-7.41             ,0.93   ,0.93   ,1.54             ,-3.22                ,-22.29            ,4.29               ,2.67               ,-19.49               ,-42.57                         ,-57.19                  ,26.81                   ,-21.73      ,-71.88          ,-28.7                ,-0.11                          ,-4.8                      ,5.72                         ,18.85           ,11.45                   ,-5.93        ,2.76                ,-76.44  ,-7.22                ,-5.25                     ,-9.56   ,-9.99                ,-9.68                        ,-7.68             ,-2.78                ,- -          ,-2.85             ,1.77         ,-3.95                           ,-3.73        ,-5.93                      ,0.48               ,90.36    ,97.74              ,5.13                         ,-24.75        ,-51.92                ,- -                 ,-19.62     ,-19.49                      ,89.14          ,10.33                    ,-611.44                  ,-41.8                          ,55.89                 ,-78.51                      ,-229.28                        ,3.29           ,-14.84         ,-7.64                       ,37.51                          ,-260.4              ,55.89                ,-61.4          ,62.35                ,-28.19                  ,0.19982561974760382
 6 ,2016 ,17.31                    ,26.53           ,14.47        ,0.02                       ,-16.55                 ,162.37                  ,214.87                      ,172.96        ,166.69                      ,0.24                      ,173.79            ,0.06                        ,174.28              ,133.67 ,99.18             ,162.37 ,162.37 ,-2.43            ,123.65               ,133.94            ,17.31              ,2.58               ,1.6                  ,48.71                          ,77.65                   ,28.94                   ,1.64        ,-8.8            ,31.58                ,12.87                          ,6.28                      ,-41.65                       ,0.35            ,-6.23                   ,6.17         ,5.08                ,613.67  ,-16.89               ,10.28                     ,-12.73  ,1.67                 ,-8.47                        ,0.21              ,15.83                ,- -          ,6.01              ,1.42         ,13.4                            ,13.33        ,6.17                       ,0.18               ,-42.59   ,-49.34             ,21.68                        ,19.32         ,-263.01               ,- -                 ,176.33     ,1.6                         ,-179.6         ,-12.77                   ,32.3                     ,55.57                          ,48.17                 ,-592.84                     ,-194.15                        ,2.83           ,- -            ,-118.8                      ,-27.04                         ,-160.98             ,48.17                ,61.56          ,-44.41               ,-43.32                  ,-0.23026120777955672
 7 ,2017 ,6.94                     ,22.64           ,1.58         ,-3.06                      ,29.78                  ,-23.99                  ,22.17                       ,-13.25        ,-78.37                      ,-1.56                     ,-77.05            ,-1.67                       ,-77.02              ,-13.86 ,-19.45            ,-23.99 ,-23.99 ,-5.01            ,-28.93               ,-78.87            ,12.81              ,2.78               ,106.54               ,7.28                           ,27.94                   ,13.66                   ,-6.04       ,1.05            ,8.39                 ,0.42                           ,-2.03                     ,-8.79                        ,-8.84           ,-6.53                   ,-0.46        ,21.83               ,-0.5    ,-38.92               ,8.17                      ,22.03   ,84.3                 ,42.52                        ,25.02             ,8.89                 ,- -          ,-7.02             ,-8.55        ,-27.42                          ,-27.53       ,-0.46                      ,-2.34              ,2.83     ,41.89              ,-53.39                       ,0.21          ,-30.41                ,-5.2                ,-78.37     ,106.54                      ,-383.21        ,-2.93                    ,-216.76                  ,85.09                          ,-13.17                ,-43.31                      ,-104.46                        ,1.18           ,17.35          ,4838                        ,66.75                          ,-39.95              ,-13.17               ,158.1          ,-33.52               ,719.2                   ,-0.11711098986744783
 8 ,2018 ,8.59                     ,7.93            ,8.86         ,-6.15                      ,-1.03                  ,48.35                   ,-46.94                      ,17.13         ,410.67                      ,-0.73                     ,395.37            ,-0.91                       ,396.26              ,35.76  ,25.02             ,48.35  ,48.35  ,0.25             ,36.61                ,352.85            ,10.46              ,2.14               ,-19.26               ,30.42                          ,27.49                   ,-5.32                   ,2.49        ,-1343.06        ,-40.19               ,0.52                           ,-1.58                     ,-28.43                       ,-144.82         ,-90.51                  ,-68.23       ,2.11                ,72.54   ,-880.65              ,-82.19                    ,-19.05  ,- -                  ,-53.5                        ,-66.14            ,8.64                 ,- -          ,9.32              ,20.66        ,19.5                            ,19.25        ,-35.99                     ,-0.06              ,-82.76   ,-85.54             ,1347.77                      ,235.85        ,-4.07                 ,-1.69               ,407.38     ,-19.26                      ,-90.64         ,11.06                    ,-88.92                   ,12.61                          ,-9.86                 ,-92.41                      ,1224.24                        ,1.4            ,- -            ,-87.04                      ,-13.29                         ,35.25               ,-9.86                ,18.22          ,-24.99               ,-77.1                   ,-0.06658441355337841
 9 ,2019 ,15.89                    ,23.38           ,12.82        ,7.03                       ,-3.1                   ,15.53                   ,-205.16                     ,-17.22        ,-30.51                      ,4.41                      ,-33.49            ,4.58                        ,-33.6               ,33.08  ,14.84             ,27.47  ,15.53  ,-2.65            ,-0.3                 ,-40.07            ,-10                ,-1.8               ,78.18                ,73.27                          ,78.64                   ,28.83                   ,259.25      ,-127.7          ,230.41               ,24.37                          ,15.4                      ,-56.79                       ,-1961.37        ,5567.04                 ,1119.1       ,-29.24              ,104.29  ,-220.67              ,974.81                    ,680.36  ,207.45               ,961.67                       ,964.72            ,1811.42              ,32.13        ,1.2               ,-44.97       ,267.74                          ,265.95       ,505.07                     ,37.19              ,7750.91  ,2045.34            ,-137.27                      ,-69.26        ,454.32                ,28.76               ,-30.06     ,174.1                       ,-213.33        ,99.55                    ,1641.48                  ,35.81                          ,-12.09                ,-305.41                     ,1017.85                        ,2.53           ,1699.6         ,2181.25                     ,-315.59                        ,286.54              ,-12.09               ,44.94          ,0.79                 ,95.56                   ,-0.011399358439396545
