   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA ,EBIT ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,21.06                    ,- -             ,21.06        ,-5.09                      ,- -                    ,- -                     ,64.92                       ,64.92         ,59.86                       ,5.45                      ,52.67             ,5.45                        ,52.67               , 36.84 ,13.03             ,- -   ,- -  ,- -              ,- -                  ,32.98             ,19.66              ,- -                ,               36.84 ,8.66                           ,25.1                    ,41.41                   ,- -         ,- -             ,-27.05               ,                         99.6  ,                    99.6  ,1.08                         ,65.48           ,44.92                   ,25.28        ,23.43               ,4.67    ,- -                  ,29.51                     ,50.08   ,               22.02 ,                       29.77 ,            29.73 ,38.62                ,- -          ,15.04             ,15.68        ,20                              ,19.99        ,25.28                      ,6.21               ,127.14   ,89.29              ,-12.55                       ,-43.68        ,- -                   ,1.17                ,59.86      ,                      36.84 ,-168.08        ,- -                      ,22.77                    ,12.93                          ,21.13                 ,-151.87                     ,63.76                          ,- -            ,268.46         ,- -                         ,3387.12                        ,57.44               ,21.13                ,9.22           ,10.58                ,-29.85                  ,0.09113206904554261
 1 ,2011 ,5.51                     ,- -             ,5.51         ,12.54                      ,- -                    ,- -                     ,-19.62                      ,-19.62        ,-20.36                      ,0.87                      ,-21.6             ,0.87                        ,-21.6               , 28.35 ,21.65             ,- -   ,- -  ,- -              ,- -                  ,-25.05            ,1.23               ,- -                ,                9.44 ,-4.87                          ,-2.43                   ,-9.11                   ,- -         ,- -             ,48                   ,                          7.8  ,                     7.8  ,14.31                        ,-22.98          ,-2.55                   ,5.49         ,11.39               ,-11.41  ,- -                  ,10.16                     ,3.52    ,                7.61 ,                        6.3  ,             6.88 ,0.73                 ,- -          ,10.34             ,-14.23       ,4.79                            ,3.7          ,5.49                       ,0.16               ,13.46    ,9.41               ,0.79                         ,34.35         ,- -                   ,4.23                ,-20.36     ,                      28.35 ,-30.49         ,- -                      ,182.27                   ,14.42                          ,36.97                 ,-196.8                      ,4.99                           ,- -            ,-48.2          ,- -                         ,-127.29                        ,-112.01             ,36.97                ,3.11           ,-18.56               ,44.7                    ,-0.04752773804041577
 2 ,2012 ,13.07                    ,- -             ,13.07        ,21.14                      ,- -                    ,- -                     ,45.2                        ,45.2          ,42.49                       ,0.09                      ,44.45             ,0.09                        ,44.45               , 12.05 ,-0.9              ,24.6  ,- -  ,- -              ,- -                  ,27.86             ,6.21               ,- -                ,                9.89 ,14.48                          ,25.99                   ,14.42                   ,- -         ,-115.56         ,20.47                ,                          6.46 ,                     6.46 ,9.71                         ,-0.11           ,5.53                    ,8.86         ,8.12                ,-4.97   ,- -                  ,7.55                      ,4.12    ,                5.49 ,                        5.06 ,             5.44 ,-1.53                ,- -          ,13.54             ,55.77        ,13.83                           ,13.39        ,8.86                       ,-0.48              ,-31.8    ,-39.85             ,7.78                         ,12.02         ,- -                   ,6.46                ,42.49      ,                      12.05 ,31.68          ,- -                      ,-78.97                   ,2.31                           ,19.34                 ,-141.5                      ,-44.9                          ,- -            ,49.4           ,- -                         ,-63.64                         ,-1129.03            ,19.34                ,-9.04          ,7.53                 ,-29.23                  ,0.04156554631081666
 3 ,2013 ,12.12                    ,- -             ,12.12        ,13.46                      ,- -                    ,- -                     ,29.5                        ,29.5          ,29.6                        ,-0.47                     ,32                ,-0.47                       ,32                  ,  5.75 ,-5.68             ,- -   ,- -  ,- -              ,- -                  ,17.18             ,7.11               ,- -                ,               26.47 ,-1.87                          ,2.54                    ,-5.77                   ,- -         ,-104.13         ,-7.78                ,                         15.84 ,                    15.84 ,32.93                        ,10              ,20.4                    ,13.45        ,7                   ,-32.98  ,- -                  ,5.46                      ,16.23   ,                9.16 ,                       11.34 ,            10.42 ,-4.72                ,- -          ,15.67             ,60.09        ,18.25                           ,17.17        ,13.45                      ,0.06               ,52.68    ,30.31              ,2.85                         ,-12.55        ,- -                   ,4.68                ,29.6       ,                       5.75 ,120.42         ,- -                      ,335.12                   ,32.24                          ,13.42                 ,-694.89                     ,160.4                          ,- -            ,52.89          ,- -                         ,-219.23                        ,-88.19              ,13.42                ,48.7           ,5.17                 ,0.65                    ,0.02572665245205763
 4 ,2014 ,6.88                     ,- -             ,6.89         ,15.14                      ,- -                    ,- -                     ,-2.4                        ,-2.4          ,1.64                        ,-0.01                     ,2.04              ,-0.01                       ,2.04                , 13.25 ,5.96              ,- -   ,- -  ,- -              ,- -                  ,-4.53             ,2.14               ,- -                ,               13.25 ,17.79                          ,31.3                    ,6.61                    ,- -         ,- -             ,15.7                 ,                         10.85 ,                    10.85 ,-1.25                        ,13.41           ,6.62                    ,8.51         ,6.31                ,-11.59  ,577.91               ,-19.05                    ,11.36   ,               14.42 ,                       13.44 ,             8.72 ,0.28                 ,- -          ,13.82             ,-2.94        ,8.24                            ,8.26         ,8.51                       ,-0.06              ,-29.53   ,-34.9              ,0.1                          ,42.93         ,- -                   ,4.64                ,1.64       ,                      13.25 ,6.07           ,- -                      ,66.29                    ,15.54                          ,36.96                 ,-95.54                      ,-29.66                         ,- -            ,-42.85         ,- -                         ,184.18                         ,1260.35             ,36.96                ,1.25           ,5.96                 ,13.24                   ,0.15254100515206037
 5 ,2015 ,8.29                     ,- -             ,8.34         ,11.57                      ,- -                    ,- -                     ,24.34                       ,24.34         ,21.04                       ,-0.02                     ,21.21             ,-0.02                       ,21.21               ,  5.55 ,-2.54             ,- -   ,- -  ,- -              ,- -                  ,11.91             ,3.39               ,- -                ,                5.55 ,7.78                           ,13.37                   ,6.64                    ,- -         ,- -             ,7.56                 ,                          5.77 ,                     5.77 ,2.66                         ,4.84            ,4.33                    ,4.95         ,-22.26              ,137.07  ,- -                  ,5.94                      ,3.69    ,                3.48 ,                        3.55 ,             3.7  ,0.13                 ,- -          ,14.72             ,-20.48       ,6.4                             ,6.42         ,4.95                       ,0.03               ,-25.86   ,-30.33             ,2.53                         ,1.53          ,- -                   ,4.75                ,21.04      ,                       5.55 ,120.17         ,- -                      ,-5.56                    ,-1.62                          ,5.91                  ,1440.5                      ,37.68                          ,- -            ,27.38          ,- -                         ,39.25                          ,-43.88              ,5.91                 ,-8.42          ,-13.32               ,-18.82                  ,-0.11334673237468418
 6 ,2016 ,6.06                     ,- -             ,5.91         ,19                         ,- -                    ,- -                     ,-3.66                       ,-3.66         ,0.05                        ,0.04                      ,-0.08             ,0.04                        ,-0.08               , 14.42 ,7.88              ,- -   ,- -  ,- -              ,- -                  ,-5.75             ,-4.52              ,- -                ,               14.42 ,12.37                          ,20.41                   ,16.28                   ,- -         ,10698.16        ,-6.24                ,                          5.24 ,                     5.24 ,-0.24                        ,54.69           ,17.66                   ,12.42        ,12.06               ,5.28    ,-119.33              ,17.27                     ,20.96   ,               10.56 ,                       13.85 ,            13.92 ,0.17                 ,- -          ,12.83             ,9.76         ,10.74                           ,10.72        ,12.42                      ,0.06               ,21.62    ,9.84               ,-12.2                        ,-20.05        ,- -                   ,11.09               ,0.05       ,                      14.42 ,-10.53         ,- -                      ,-12.61                   ,3.32                           ,-19.45                ,543.91                      ,215.99                         ,- -            ,74.55          ,- -                         ,236.34                         ,-551.44             ,-19.45               ,27.08          ,28.35                ,3.35                    ,0.13897273617644768
 7 ,2017 ,8.29                     ,- -             ,8.34         ,-0.2                       ,- -                    ,- -                     ,-29.19                      ,-29.19        ,85.67                       ,0.05                      ,86.58             ,0.05                        ,86.58               ,  3.22 ,-4.68             ,- -   ,- -  ,- -              ,- -                  ,72.39             ,5.62               ,- -                ,                3.22 ,5.6                            ,-63.43                  ,5.47                    ,- -         ,-118.54         ,31.21                ,                          3.56 ,                     3.56 ,80                           ,-44.8           ,9.03                    ,13.09        ,2.46                ,201.81  ,- -                  ,8.25                      ,-3.3    ,                7.51 ,                        3.88 ,             4.68 ,0.04                 ,- -          ,20.78             ,57.04        ,23.07                           ,22.91        ,13.09                      ,0.03               ,364.87   ,278.23             ,18.66                        ,21.21         ,- -                   ,2.53                ,85.67      ,                       3.22 ,-87.66         ,- -                      ,-212.89                  ,40.7                           ,-9.62                 ,-41.4                       ,-51.24                         ,- -            ,-67.2          ,- -                         ,-110.93                        ,-108.44             ,-9.62                ,73.98          ,-2.95                ,-24.63                  ,0.02202323356923075
 8 ,2018 ,-6.92                    ,- -             ,-6.89        ,22.65                      ,- -                    ,- -                     ,-83.22                      ,-83.22        ,-90.47                      ,-0.05                     ,-91.05            ,-0.05                       ,-91.05              ,  6.43 ,14.34             ,- -   ,- -  ,- -              ,- -                  ,-90.39            ,-9.79              ,- -                ,                6.43 ,-3.52                          ,-3.87                   ,23.28                   ,- -         ,- -             ,-1.2                 ,                          5.36 ,                     5.36 ,1.43                         ,-4.75           ,1.35                    ,0.81         ,3.57                ,-30.81  ,- -                  ,-1.57                     ,-3.27   ,                4.24 ,                        1.89 ,             1.47 ,0.04                 ,- -          ,25.54             ,-108.56      ,0.12                            ,0.16         ,0.81                       ,-0.24              ,-5.46    ,-5.6               ,-0.42                        ,0.38          ,- -                   ,3.18                ,-90.47     ,                       6.43 ,-2737.82       ,- -                      ,-76.8                    ,-18.3                          ,24.16                 ,-41.8                       ,-20.06                         ,- -            ,66.63          ,3.86                        ,315.74                         ,-138.36             ,24.16                ,-32.89         ,12.96                ,813.13                  ,0.09244015685749518
 9 ,2019 ,45.19                    ,- -             ,45.19        ,4.6                        ,- -                    ,- -                     ,2466.76                     ,2466.76       ,1792.46                     ,-0.6                      ,1937              ,-0.6                        ,1937                ,  2.91 ,-29.12            ,- -   ,- -  ,- -              ,- -                  ,1294.62           ,44.26              ,- -                ,                2.91 ,14.42                          ,111.37                  ,1.72                    ,- -         ,- -             ,11.38                ,                          4.58 ,                     4.58 ,19.4                         ,28.3            ,16.62                   ,15.53        ,13.8                ,7.16    ,- -                  ,13.1                      ,5.98    ,               10.36 ,                        9.06 ,             9.53 ,-0.14                ,- -          ,25.34             ,4.55         ,21.82                           ,21.58        ,15.53                      ,-0.97              ,-41.62   ,-51.98             ,11.15                        ,-1.53         ,- -                   ,0.64                ,1792.46    ,                       2.91 ,-388.22        ,- -                      ,-1159.46                 ,3.44                           ,9.92                  ,-198.03                     ,-82.89                         ,- -            ,43.66          ,260.33                      ,-112.56                        ,-2780.1             ,9.92                 ,-0.68          ,4.58                 ,-94.89                  ,-0.17946535243833983
