   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA  ,EBITDA Margin (%) ,EBITA   ,EBIT    ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt  ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,-4.67                    ,0.89            ,-7.22        ,-42.97                     ,-9.28                  ,-224.06                 ,302.55                      ,-18.73        ,3.9                         ,0.66                      ,3.22              ,0.66                        ,3.22                ,4916.67 ,5162.17           ,-372.21 ,-224.06 ,-2.68            ,-230.13              ,8.99              ,-0.85              ,- -                ,0.39                 ,-75.35                         ,-75.35                  ,-4                      ,-2.83       ,31.71           ,-10.98               ,-1.79                          ,-3                        ,- -                          ,-13.27          ,-12.33                  ,-12.11       ,-35.84              ,16700    ,48.99                ,-13.67                    ,-16.58  ,-16.5                ,-16.55                       ,-15.87            ,                0.91 ,- -          ,28.35             ,200          ,-8.17                           ,-8.17        ,-12.11                     ,0.66               ,3.38     ,12.58              ,-17.37                       ,3.11          ,3.79                  ,-3.85               ,3.9        ,-2.16                       ,1772.12        ,4.17                     ,-248.92                  ,-61.08                         ,-23.2                 ,-102.2                      ,-39.47                         ,- -            ,-40.52         ,-6.06                       ,-39.51                         ,-16.32              ,-23.2                ,-90.06         ,69.41                ,-62.54                  ,-0.28671600835300426
 1 ,2011 ,-2.36                    ,2.31            ,-4.69        ,-3.83                      ,-4.69                  ,72.83                   ,-47.93                      ,-160.4        ,-141.41                     ,-0.56                     ,-141.64           ,0.08                        ,-141.38             ,34.44   ,37.69             ,55.22   ,72.83   ,-2.39            ,77                   ,-142.41           ,1.71               ,- -                ,-17.93               ,25.35                          ,25.35                   ,-5.61                   ,4.14        ,-44.36          ,-14.11               ,-1.59                          ,0.47                      ,- -                          ,-1.79           ,-1.77                   ,-3.79        ,-15.47              ,-99.21   ,-7.46                ,-30.74                    ,-13.72  ,17.76                ,-1.13                        ,-8.26             ,                0.72 ,- -          ,-9.15             ,6.98         ,0.5                             ,0.5          ,-3.79                      ,-4.72              ,-23.56   ,-23.94             ,3.29                         ,24.01         ,-1.11                 ,-4                  ,-141.41    ,-12.13                      ,-95.53         ,-14.67                   ,-82.74                   ,210.15                         ,9.35                  ,200                         ,-260.21                        ,- -            ,-51.83         ,-1619.35                    ,246.98                         ,-108.6              ,9.35                 ,1397.87        ,-68.36               ,-849.01                 ,-0.2945520429271875
 2 ,2012 ,-4.89                    ,-5.9            ,-4.35        ,-4.66                      ,-1.01                  ,-45.59                  ,371.28                      ,-739.72       ,-1022.45                    ,-6.8                      ,-1089.73          ,-7.39                       ,-1096.09            ,-33.53  ,-30.11            ,-39.26  ,-45.59  ,0.57             ,-42.79               ,-1069.91          ,-4.89              ,- -                ,-6.18                ,-22.47                         ,-22.47                  ,-2.33                   ,-5.05       ,8.02            ,-2.67                ,-6.35                          ,10.59                     ,- -                          ,-23.9           ,-22.29                  ,-19.43       ,-0.92               ,- -      ,-7.69                ,-1.94                     ,-0.12   ,9.99                 ,4.7                          ,3.49              ,                0.49 ,- -          ,93.61             ,-76.09       ,-39.49                          ,-39.49       ,-19.43                     ,-6.44              ,1.38     ,67.53              ,14.17                        ,-0.75         ,0.97                  ,- -                 ,-1022.45   ,-4.74                       ,4912.64        ,-15.62                   ,-219.83                  ,25                             ,-25.66                ,116.67                      ,-175.29                        ,- -            ,31.33          ,22.93                       ,-56.77                         ,-212.5              ,-25.66               ,46.88          ,-13.91               ,-113.55                 ,-0.061023228490641124
 3 ,2013 ,-1.46                    ,-7.51           ,1.73         ,5.48                       ,-2.82                  ,-5.05                   ,-78.03                      ,-94.57        ,-97.03                      ,-4.66                     ,-96.88            ,-4.66                       ,-96.88              ,-2.54   ,-1.09             ,-4.59   ,-5.05   ,3.24             ,-3.64                ,-96.98            ,2.82               ,- -                ,3.8                  ,4.83                           ,4.83                    ,7.4                     ,1.47        ,5.32            ,5                    ,-1.15                          ,4.26                      ,- -                          ,-4.4            ,-4.04                   ,-2.45        ,5.15                ,-25      ,-9.92                ,2.93                      ,-0.35   ,-2.96                ,-1.66                        ,-0.87             ,                0.92 ,6.67         ,1.04              ,-421.21      ,-4.82                           ,-4.82        ,-2.45                      ,-2.46              ,-0.64    ,4.39               ,-9.04                        ,2             ,3.33                  ,-4.17               ,-97.03     ,0.88                        ,-91.77         ,-2.78                    ,-45.42                   ,-14.13                         ,8.41                  ,200                         ,-17.96                         ,- -            ,139.89         ,-26.42                      ,-19.89                         ,-117.46             ,8.41                 ,-19.05         ,129.83               ,2787.04                 ,0.8017188162654691
 4 ,2014 ,3.32                     ,0.3             ,4.76         ,8.53                       ,-5.11                  ,2.04                    ,-26.74                      ,-140.81       ,-320.66                     ,-1.26                     ,-323.48           ,-1.26                       ,-323.48             ,3.43    ,0.11              ,2.24    ,2.04    ,1.4              ,-1.24                ,-313.57           ,-0.99              ,- -                ,6.83                 ,170.51                         ,170.51                  ,-9.49                   ,5.46        ,-9.84           ,6.97                 ,-2.52                          ,4.8                       ,- -                          ,-0.72           ,-0.92                   ,0.57         ,1.13                ,13333.33 ,1.76                 ,23.14                     ,-8.92   ,-6.1                 ,-7.53                        ,-2.04             ,                0.75 ,- -          ,-3.12             ,35.85        ,4.65                            ,4.65         ,0.57                       ,0.39               ,-8.65    ,-12.71             ,-12.71                       ,-13.13        ,-0.05                 ,4.35                ,-1.65      ,5.22                        ,-183.29        ,-1.9                     ,520.65                   ,17.28                          ,5.71                  ,-69.23                      ,56.84                          ,- -            ,-54.49         ,-84.74                      ,-74.83                         ,3300                ,5.71                 ,20.67          ,-4.38                ,-153.15                 ,-0.011576928932901964
 5 ,2015 ,1.31                     ,-3.36           ,3.46         ,-1                         ,7.22                   ,9.76                    ,102.22                      ,-814.29       ,-189.51                     ,1.28                      ,-188.39           ,1.28                        ,-188.39             ,8.11    ,6.71              ,6.31    ,9.76    ,2.12             ,8.33                 ,-188.35           ,-2.74              ,- -                ,13.01                ,-45.66                         ,-45.66                  ,7.78                    ,7.4         ,26.99           ,2.27                 ,-1.13                          ,5.62                      ,- -                          ,10.42           ,9.12                    ,7.74         ,35.17               ,-99.26   ,7.36                 ,8.19                      ,47.03   ,-4.46                ,21.21                        ,18.28             ,                0.94 ,- -          ,7.52              ,-38.89       ,-7.64                           ,-7.64        ,7.74                       ,1.45               ,45.8     ,57.86              ,32.68                        ,-5.48         ,9.02                  ,4.17                ,100.84     ,6.07                        ,-29.77         ,3.88                     ,-70.89                   ,-52.72                         ,-4.63                 ,1608.33                     ,193.42                         ,- -            ,288.27         ,-275.38                     ,-981.33                        ,-170.59             ,-4.63                ,-65.05         ,152.53               ,-152.82                 ,0.398964150719606
 6 ,2016 ,12.16                    ,11.59           ,12.4         ,7.87                       ,5.02                   ,33.23                   ,-30.37                      ,-127.23       ,-245.19                     ,1.22                      ,-243.43           ,2.68                        ,-241.39             ,21.32   ,8.17              ,25.71   ,33.23   ,0.22             ,18.79                ,-229.45           ,3.85               ,- -                ,10.1                 ,-38.56                         ,-38.56                  ,15.45                   ,-6          ,-28.46          ,-6.68                ,9.4                            ,7.46                      ,- -                          ,0.42            ,1.33                    ,-0.2         ,26.62               ,2033.33  ,208.06               ,47.61                     ,-4.48   ,-36.48               ,-17.13                       ,-3.81             ,                0.92 ,18.75        ,-3.85             ,-98.86       ,6.53                            ,6.53         ,-0.2                       ,1.15               ,-1.31    ,-7.36              ,-9.32                        ,-36.78        ,-15.35                ,8                   ,-245.19    ,5.98                        ,-11.43         ,8.41                     ,-101.43                  ,62                             ,52.23                 ,-35.61                      ,-59.42                         ,- -            ,-79.97         ,-2.63                       ,-115.58                        ,-54.17              ,52.23                ,68.84          ,-23.99               ,-211.58                 ,0.07764318625127054
 7 ,2017 ,7.89                     ,6.31            ,8.57         ,6.29                       ,8.37                   ,16.07                   ,-47.64                      ,427.12        ,-70.03                      ,0.92                      ,-70.3             ,1.13                        ,-70.36              ,11.29   ,3.15              ,13.91   ,16.07   ,0.62             ,7.58                 ,-72.22            ,0.45               ,- -                ,3.67                 ,-4.08                          ,-4.08                   ,5.16                    ,12.88       ,63.64           ,18                   ,4.05                           ,5.93                      ,- -                          ,2.24            ,2.44                    ,5.23         ,-34.4               ,2714.06  ,167.41               ,57.62                     ,-30.31  ,10.31                ,-18                          ,5.87              ,                0.85 ,-15.79       ,-2.25             ,-6000        ,4.14                            ,4.14         ,5.23                       ,0.84               ,1.91     ,-2.14              ,-10.9                        ,-25.14        ,-11.76                ,7.41                ,-70.03     ,3.56                        ,-321.51        ,9.48                     ,-1750                    ,46.71                          ,-15.16                ,-0.76                       ,13.87                          ,- -            ,430            ,-23.42                      ,-153.4                         ,-534.71             ,-15.16               ,85.74          ,-9.36                ,389.5                   ,-0.048106179626440815
 8 ,2018 ,8.57                     ,8.34            ,8.66         ,8.35                       ,11.63                  ,8.36                    ,-60.37                      ,52.41         ,1506.73                     ,0.8                       ,1494.05           ,0.62                        ,1496.76             ,7.49    ,-0.99             ,7.96    ,8.36    ,0.09             ,-0.19                ,1379.97           ,-1.61              ,- -                ,6.02                 ,-22.34                         ,-22.34                  ,3.88                    ,8.16        ,7.44            ,4.74                 ,5.07                           ,2.51                      ,- -                          ,9.38            ,11.68                   ,10.28        ,4.09                ,25.1     ,-45.03               ,-6.97                     ,26.48   ,-13.97               ,9.99                         ,2.02              ,                1.08 ,- -          ,-17.13            ,-155.93      ,24.44                           ,24.44        ,10.28                      ,0.81               ,27.63    ,2.56               ,-11.8                        ,12.58         ,7.62                  ,10.34               ,1506.73    ,5.92                        ,-123.06        ,10.24                    ,-3372.73                 ,-78.26                         ,-0.94                 ,31.3                        ,90.2                           ,- -            ,-22.85         ,18.82                       ,1201.82                        ,-134.03             ,-0.94                ,-100.54        ,287.76               ,-98.65                  ,0.4879473805629756
 9 ,2019 ,9.28                     ,10.34           ,8.85         ,10.42                      ,5.48                   ,4.88                    ,344.3                       ,-51.69        ,181.27                      ,0.76                      ,179.15            ,0.66                        ,179.43              ,7.76    ,-1.4              ,5.02    ,4.88    ,-0.4             ,-4.03                ,157.37            ,-2.86              ,- -                ,16.69                ,48.63                          ,48.63                   ,20.21                   ,35.42       ,-10.43          ,17.39                ,35.52                          ,16.12                     ,8.02                         ,55.45           ,52.18                   ,45.55        ,29.78               ,-37.15   ,-10.51               ,-7.49                     ,85.49   ,32.42                ,68.57                        ,35.97             ,                1.24 ,- -          ,-67.6             ,718.18       ,59.03                           ,59.03        ,45.55                      ,0.75               ,42.16    ,-10.61             ,-59.55                       ,26.89         ,16.34                 ,12.5                ,181.27     ,13.09                       ,3682.11        ,12.14                    ,-86.94                   ,492.26                         ,45.89                 ,102.33                      ,162.42                         ,- -            ,185.48         ,21.78                       ,107.61                         ,29.61               ,45.89                ,-23016.67      ,-64.69               ,110.57                  ,-0.009210780761594428
