   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA ,EBIT ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,7.87                     ,- -             ,7.87         ,-2.24                      ,- -                    ,- -                     ,-269.05                     ,-269.05       ,-1127.3                     ,148.76                    ,-192.69           ,145.29                      ,-194                ,-6.62  ,-13.43            ,- -   ,- -  ,- -              ,- -                  ,-712              ,11.6               ,-99.89             ,-6.62                ,10.86                          ,-1.28                   ,-14.64                  ,- -         ,- -             ,6.24                 ,- -                            ,- -                       ,7.8                          ,-2.26           ,2.02                    ,3.12         ,-14.95              ,14.39   ,- -                  ,0.63                      ,4.52    ,2.42                 ,2.9                          ,2.76              ,2.93                 ,2.1          ,2.74              ,-14.05       ,7.05                            ,6.98         ,3.12                       ,2.02               ,12.02    ,4.71               ,8.03                         ,5.58          ,- -                   ,-3.35               ,-1019.04   ,-6.62                       ,-73.57         ,- -                      ,-114.91                  ,-164.05                        ,4.37                  ,-47.6                       ,13.19                          ,-99.72         ,-69.41         ,-81.55                      ,-695.33                        ,-136.03             ,4.37                 ,-157.47        ,-591.05              ,-90.3                   ,0.30117611301120517
 1 ,2011 ,-9.52                    ,- -             ,-10.7        ,7.27                       ,- -                    ,- -                     ,10.92                       ,10.92         ,1.39                        ,1.12                      ,3.08              ,1.04                        ,3.15                ,7.81   ,19.16             ,- -   ,- -  ,- -              ,- -                  ,15.37             ,-11.56             ,1075.73            ,7.81                 ,-6.21                          ,-3.11                   ,-2.84                   ,- -         ,- -             ,-3.67                ,- -                            ,- -                       ,-17.8                        ,11.74           ,-1.53                   ,-2.12        ,9.56                ,-30.9   ,- -                  ,-14.86                    ,-14.97  ,1.82                 ,-2.13                        ,-3.11             ,4.46                 ,-90.07       ,13.78             ,9.28         ,8.77                            ,8.31         ,-2.12                      ,0.62               ,-28.04   ,-33.57             ,15.97                        ,13.15         ,- -                   ,2.31                ,2.67       ,7.81                        ,118.38         ,- -                      ,-13.89                   ,25.37                          ,45.92                 ,-125.43                     ,-74                            ,1088.89        ,-10.2          ,0.13                        ,-26.84                         ,-140.06             ,45.92                ,23.92          ,-55.41               ,20.11                   ,-0.44326209834310104
 2 ,2012 ,-10.44                   ,- -             ,-10.53       ,-2.38                      ,- -                    ,- -                     ,-45.73                      ,-45.73        ,-28.77                      ,0.71                      ,-32.42            ,0.56                        ,-32.31              ,-12.71 ,-2.53             ,- -   ,- -  ,- -              ,- -                  ,-23.92            ,-8.02              ,32.7               ,-12.71               ,-1.98                          ,-24.88                  ,-25.84                  ,- -         ,-13.44          ,-5.72                ,- -                            ,- -                       ,21.12                        ,-10.59          ,1.31                    ,-0.49        ,0.56                ,-4.43   ,- -                  ,-1.89                     ,-25.98  ,5.2                  ,-1.17                        ,-1.22             ,0.56                 ,3.45         ,8.05              ,-5.01        ,6.32                            ,6.36         ,-0.49                      ,3.59               ,-20.96   ,-25.69             ,7.68                         ,-3.9          ,- -                   ,-2.63               ,-29.8      ,-12.71                      ,-3.73          ,- -                      ,-224.17                  ,-68.1                          ,4.52                  ,-233.34                     ,64.84                          ,33.64          ,-7.93          ,-100.13                     ,-55.22                         ,-1270.27            ,4.52                 ,-74.17         ,298.05               ,-53.19                  ,0.3714550487583099
 3 ,2013 ,8.83                     ,- -             ,10.89        ,-5.62                      ,- -                    ,- -                     ,150.21                      ,150.21        ,75.31                       ,3.59                      ,76.16             ,0.87                        ,80.92               ,31.75  ,21.07             ,- -   ,- -  ,- -              ,- -                  ,69.48             ,12.29              ,111.97             ,31.75                ,12.39                          ,43.51                   ,14.16                   ,- -         ,173.81          ,8.66                 ,- -                            ,- -                       ,-6.35                        ,2.15            ,-1.66                   ,0.86         ,-5.8                ,13.3    ,- -                  ,3.31                      ,-7.66   ,1.16                 ,-0.19                        ,0.04              ,0.75                 ,3.33         ,13.9              ,13.24        ,8.21                            ,8.05         ,0.86                       ,0.01               ,-46.91   ,-50.87             ,6.6                          ,5.18          ,- -                   ,-3.09               ,74.29      ,31.75                       ,-31.74         ,- -                      ,-293.84                  ,302.28                         ,-3.16                 ,-55.66                      ,-602.43                        ,119.58         ,96.11          ,16640                       ,-221.81                        ,-166.86             ,-3.16                ,405.48         ,-60.5                ,118.12                  ,0.02234529288565379
 4 ,2014 ,0.68                     ,- -             ,0.65         ,-0.45                      ,- -                    ,- -                     ,-27.66                      ,-27.66        ,-45.91                      ,-0.14                     ,-50.33            ,-0.15                       ,-50.33              ,8.66   ,7.93              ,- -   ,- -  ,- -              ,- -                  ,-47.77            ,4.85               ,101.87             ,8.66                 ,-5.18                          ,-19.45                  ,10.69                   ,- -         ,-30.18          ,-2.86                ,- -                            ,- -                       ,6.27                         ,-7.71           ,-1.74                   ,-2.03        ,-2.84               ,-1.03   ,- -                  ,-1.9                      ,0.89    ,-3.25                ,-2.67                        ,-2.61             ,0.73                 ,- -          ,6.1               ,21.34        ,2.91                            ,2.75         ,-2.03                      ,-0.18              ,49.34    ,45.34              ,4.84                         ,-0.99         ,- -                   ,-3.98               ,-45.42     ,8.66                        ,20.7           ,- -                      ,-31.35                   ,-20.86                         ,-2.98                 ,493.85                      ,-131.61                        ,101.59         ,22.4           ,47.19                       ,-327.44                        ,-193.1              ,-2.98                ,-22.02         ,31.72                ,50.51                   ,-0.07468799842680807
 5 ,2015 ,-0.69                    ,- -             ,-1.12        ,-9.61                      ,- -                    ,- -                     ,72.83                       ,72.83         ,131.81                      ,-0.91                     ,144.4             ,-0.96                       ,144.54              ,-2.31  ,-1.64             ,- -   ,- -  ,- -              ,- -                  ,137.4             ,3.61               ,99.76              ,-2.31                ,-6.36                          ,-16.92                  ,-2.59                   ,- -         ,-22.51          ,-5.45                ,- -                            ,- -                       ,-5.92                        ,-6.49           ,-6.23                   ,-6.04        ,2.96                ,-63.87  ,- -                  ,-32.32                    ,-9.77   ,-5                   ,-5.7                         ,-7.5              ,0.29                 ,- -          ,13.23             ,26.4         ,5.38                            ,5.21         ,-6.04                      ,-2.34              ,-26.37   ,-30.01             ,10.72                        ,39.7          ,- -                   ,-4.15               ,136.45     ,-2.31                       ,-101.8         ,- -                      ,-0.22                    ,-12.54                         ,-5.55                 ,-35.13                      ,-49.53                         ,97.95          ,-33.24         ,342.53                      ,-7.82                          ,-318.11             ,-5.55                ,-13.1          ,6.71                 ,-62.9                   ,-0.0335497591241084
 6 ,2016 ,-8.49                    ,- -             ,-7.28        ,-5.16                      ,- -                    ,- -                     ,-13.49                      ,-13.49        ,-13.53                      ,-3.86                     ,-12.64            ,-3.97                       ,-12.54              ,6.1    ,15.94             ,- -   ,- -  ,- -              ,- -                  ,-5.49             ,-3.47              ,89.85              ,6.1                  ,6.43                           ,20.58                   ,4.35                    ,- -         ,-7.91           ,6.81                 ,- -                            ,- -                       ,0.73                         ,3.76            ,2.35                    ,3.52         ,6.38                ,45.65   ,- -                  ,17.45                     ,2.44    ,3.24                 ,3.12                         ,3.83              ,-0.23                ,- -          ,9.44              ,10.35        ,1.47                            ,1.37         ,3.52                       ,-6.12              ,-14.42   ,-15.58             ,-3.41                        ,-9.06         ,- -                   ,-5.19               ,-13.45     ,6.1                         ,-5364.36       ,- -                      ,8.09                     ,35.72                          ,-13.82                ,-27.33                      ,-634.76                        ,82.52          ,64.57          ,70.4                        ,-143.68                        ,-125.96             ,-13.82               ,40.06          ,-16.89               ,56.93                   ,0.06368272915573114
 7 ,2017 ,2.25                     ,- -             ,2.33         ,0.4                        ,- -                    ,- -                     ,5.98                        ,5.98          ,-140.13                     ,-6.56                     ,-157.38           ,-6.57                       ,-157.38             ,-1.64  ,-3.81             ,- -   ,- -  ,- -              ,- -                  ,-140.69           ,7.15               ,77.69              ,-1.64                ,2.43                           ,12.48                   ,32.88                   ,- -         ,8.29            ,4.07                 ,- -                            ,- -                       ,1.08                         ,3.41            ,2.35                    ,2.84         ,7.33                ,44.79   ,- -                  ,20.42                     ,14.81   ,2.07                 ,3.85                         ,4.78              ,-0.03                ,- -          ,-7.35             ,-3.14        ,-10.57                          ,-10.56       ,2.84                       ,-7.3               ,31.76    ,47.31              ,-15.34                       ,-13.58        ,- -                   ,-4.57               ,-144.67    ,-1.64                       ,94.34          ,- -                      ,-262.26                  ,-115.92                        ,21.95                 ,-143.79                     ,-26.84                         ,66.03          ,11.28          ,56.52                       ,136.3                          ,-98.52              ,21.95                ,-123.35        ,-1380.35             ,-61.73                  ,0.07606669126319177
 8 ,2018 ,1.97                     ,- -             ,0.57         ,-0.43                      ,- -                    ,- -                     ,3.01                        ,3.01          ,-399.82                     ,-7.6                      ,-346.2            ,-7.55                       ,-346.05             ,2.6    ,0.62              ,- -   ,- -  ,- -              ,- -                  ,-385.25           ,4.47               ,43.09              ,2.6                  ,0.79                           ,4.15                    ,-7.64                   ,- -         ,-5.94           ,0.35                 ,- -                            ,- -                       ,1.83                         ,8.43            ,5.46                    ,4.03         ,5.26                ,-27.45  ,- -                  ,-8.39                     ,-1.99   ,7.17                 ,5.76                         ,4.84              ,-0.08                ,- -          ,11.52             ,18.51        ,-2.54                           ,-2.57        ,4.03                       ,-7.84              ,-24.25   ,-22.25             ,-6.57                        ,9.55          ,- -                   ,-2.39               ,-369.97    ,2.6                         ,-102.81        ,- -                      ,-147.3                   ,-530.32                        ,12.29                 ,-223.26                     ,25.57                          ,32.21          ,-25.77         ,-0.74                       ,-33.4                          ,21341.03            ,12.29                ,-377.69        ,-108.2               ,47.95                   ,-0.2224901825380915
 9 ,2019 ,1.97                     ,- -             ,3.04         ,0.97                       ,- -                    ,- -                     ,1.94                        ,1.94          ,7.65                        ,-9.79                     ,20.18             ,-9.2                        ,19.4                ,4.02   ,2.02              ,- -   ,- -  ,- -              ,- -                  ,5.44              ,4                  ,20.28              ,4.02                 ,-1.88                          ,3.14                    ,12.43                   ,- -         ,-50.68          ,0.57                 ,- -                            ,- -                       ,4.88                         ,0.12            ,2.19                    ,1.77         ,-24.73              ,39.68   ,- -                  ,-3.37                     ,7.22    ,1.68                 ,2.47                         ,2.15              ,-0.08                ,- -          ,9.26              ,-2.29        ,-1.52                           ,-1.59        ,1.77                       ,-10.74             ,31.02    ,33.13              ,-3.29                        ,4.08          ,- -                   ,-1.96               ,7.49       ,4.02                        ,-3019.32       ,- -                      ,-471.89                  ,-134.74                        ,41.39                 ,147.12                      ,-68.03                         ,8.51           ,-2.51          ,21.74                       ,-3.58                          ,-19.61              ,41.39                ,-154.77        ,-852.3               ,-132.31                 ,0.28942340998309657
