   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA  ,EBIT   ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,31.46                    ,27.13           ,43.61        ,16.54                      ,34.06                  ,41.61                   ,-60.8                       ,559.05        ,233.49                      ,2.65                      ,193.89            ,3.9                         ,190.36              ,24.1   ,-5.6              ,41.61  ,41.61  ,9.24             ,7.72                 ,129.48            ,13.77              ,2.63               ,-1.71                ,-26.2                          ,-26.2                   ,20.7                    ,50.74       ,11.45           ,18.74                ,1.24                           ,2.83                      ,56.19                        ,-6.03           ,-3.12                   ,6.63         ,61.78               ,-18.43  ,15.51                ,14.14                     ,-6.45   ,11.46                ,-0.99                        ,4.77              ,13.06                ,13.06        ,8.49              ,7.62         ,23.84                           ,16.82        ,6.63                       ,2.26               ,-7.24    ,-20.59             ,7.22                         ,4.03          ,-17.59                ,15.55               ,233.49     ,-1.71                       ,242.34         ,- -                      ,-116.89                  ,-21.03                         ,4.44                  ,-989.66                     ,-259.18                        ,5.34           ,-29.91         ,84.27                       ,-11.54                         ,-156.29             ,4.44                 ,-25.62         ,105.54               ,-73.82                  ,0.557473739996885
 1 ,2011 ,41.21                    ,43.5            ,35.5         ,22.48                      ,20.58                  ,63.6                    ,11.27                       ,79.33         ,80.6                        ,2.14                      ,78.7              ,2.41                        ,78.22               ,46.47  ,3.72              ,63.6   ,63.6   ,-4.04            ,15.86                ,29.25             ,14.09              ,4.68               ,10.06                ,-14.89                         ,-14.89                  ,6.91                    ,51.71       ,39.97           ,19.86                ,14.8                           ,9.72                      ,-18.9                        ,47.59           ,34.49                   ,27.22        ,10.84               ,20.89   ,110.86               ,29.7                      ,22.05   ,35.89                ,26.81                        ,28.01             ,9.9                  ,9.9          ,17.93             ,56.21        ,19.02                           ,23.36        ,27.22                      ,1.36               ,27.02    ,2.97               ,-77.28                       ,-7.59         ,25.16                 ,23.77               ,80.6       ,10.06                       ,-2.56          ,- -                      ,85.8                     ,39.95                          ,39.37                 ,-295.54                     ,616.43                         ,6.92           ,79.45          ,-29.88                      ,-185.97                        ,-62.39              ,39.37                ,40.1           ,-29.2                ,-23.32                  ,-0.014496281288522206
 2 ,2012 ,9.54                     ,9.81            ,8.83         ,13.76                      ,7.36                   ,14.71                   ,-26.87                      ,22.47         ,14.88                       ,1.18                      ,13.94             ,0.53                        ,14.68               ,13.9   ,3.98              ,14.71  ,14.71  ,-0.64            ,4.72                 ,5.24              ,11.85              ,37.89              ,11.32                ,- -                            ,- -                     ,5.56                    ,6.9         ,211.77          ,11.53                ,14.35                          ,9.54                      ,104.51                       ,4.55            ,8.11                    ,9.71         ,4.1                 ,28.43   ,-28.79               ,4.18                      ,11.26   ,-1.87                ,6.42                         ,5.48              ,4.87                 ,4.87         ,17.21             ,1.66         ,36.09                           ,31.19        ,9.71                       ,1.16               ,27.3     ,-2.97              ,202.67                       ,7.05          ,32.95                 ,-2.07               ,14.88      ,11.32                       ,-14.88         ,- -                      ,285.65                   ,-25.24                         ,22.5                  ,-29.24                      ,-45.83                         ,39.52          ,3.59           ,-54.78                      ,-10.51                         ,-676.5              ,22.5                 ,-37.24         ,16.24                ,-35.15                  ,-0.11810438823757763
 3 ,2013 ,-15.51                   ,-13.37          ,-21.2        ,-6.28                      ,-17.03                 ,-38.51                  ,-45.47                      ,-37.74        ,-33.54                      ,-1.13                     ,-32.54            ,-1.64                       ,-32.19              ,-27.17 ,-13.8             ,-38.51 ,-38.51 ,-6.73            ,-27.22               ,-21.06            ,-8.42              ,-30.5              ,9.74                 ,- -                            ,- -                     ,-9.07                   ,-18.79      ,5.22            ,-9.93                ,3.73                           ,4.62                      ,- -                          ,-2.83           ,-0.51                   ,-4.99        ,-2.22               ,-10.98  ,-16.37               ,-8.26                     ,-3.72   ,-29.89               ,-12.61                       ,-10.81            ,5.09                 ,5.09         ,7.77              ,-39.41       ,18.7                            ,18.75        ,-4.99                      ,-2.63              ,-5.96    ,-20.81             ,64.39                        ,-1.82         ,28.26                 ,-7.75               ,-33.54     ,9.74                        ,23.91          ,- -                      ,-176.54                  ,94.45                          ,11.47                 ,-79.27                      ,-18.48                         ,-31.29         ,-41.75         ,-3700                       ,-227.11                        ,-75.62              ,11.47                ,135.19         ,-40.71               ,191.54                  ,-0.26180895137888105
 4 ,2014 ,-0.85                    ,-2.56           ,4.16         ,2.7                        ,4.35                   ,-5.33                   ,-51                         ,-0.88         ,-2.42                       ,-4.34                     ,1.94              ,-4.51                       ,2.12                ,-2.57  ,-1.74             ,-5.33  ,-5.33  ,5.05             ,-4.52                ,-1.65             ,4.64               ,52.43              ,2.46                 ,- -                            ,- -                     ,-2.73                   ,-3.33       ,17.22           ,1.47                 ,-2.92                          ,0.82                      ,-5.51                        ,-0.91           ,-1.67                   ,-0.25        ,7.2                 ,4.26    ,-18.01               ,2.12                      ,3.99    ,21.92                ,8.87                         ,5.99              ,6.52                 ,6.52         ,6.38              ,64.98        ,-19.53                          ,-19.41       ,-0.25                      ,-4.96              ,4.07     ,29.13              ,-32.18                       ,-0.64         ,-8.18                 ,-5.25               ,-2.42      ,2.46                        ,14.73          ,- -                      ,-77.65                   ,-20.94                         ,-4.37                 ,-69.59                      ,-28.12                         ,45.81          ,14.16          ,113.62                      ,-33.58                         ,126.18              ,-4.37                ,-24.8          ,19.32                ,-18.93                  ,-0.07914100476005737
 5 ,2015 ,-14.81                   ,-15.49          ,-12.95       ,-13.09                     ,-0.75                  ,-28.96                  ,41.22                       ,-32.34        ,-32.01                      ,-3.71                     ,-29.4             ,-4.39                       ,-28.9               ,-19.55 ,-5.56             ,-28.96 ,-28.96 ,2.19             ,-16.61               ,-20.2             ,-5.01              ,12.64              ,-3.7                 ,- -                            ,- -                     ,-6.43                   ,-20.52      ,-17.94          ,-13.79               ,-2.94                          ,1.28                      ,-4.28                        ,-1.66           ,-2.14                   ,-7.49        ,-18.14              ,11.68   ,-18.37               ,-5.87                     ,-9.41   ,-1.21                ,-6.91                        ,-6.48             ,4.43                 ,4.43         ,-13.7             ,-68.36       ,-11.57                          ,-11.54       ,-7.49                      ,-3.93              ,-3.43    ,9.16               ,-16.04                       ,-8.42         ,7.03                  ,-10.32              ,-32.01     ,-3.7                        ,-41.23         ,- -                      ,23.97                    ,-17.15                         ,1.79                  ,1086.67                     ,-3.03                          ,8.46           ,-51.81         ,-50.19                      ,29.17                          ,-149.65             ,1.79                 ,-22.76         ,-18.43               ,21.86                   ,-0.22247056766069295
 6 ,2016 ,-18.03                   ,-15.32          ,-25.21       ,-5.35                      ,-7.93                  ,-71.12                  ,175.72                      ,-95.96        ,-102.34                     ,-1.68                     ,-102.71           ,-2.83                       ,-102.74             ,-39.58 ,-26.3             ,-71.12 ,-71.12 ,-8.76            ,-64.77               ,-103.25           ,-12.33             ,4.14               ,-0.39                ,- -                            ,- -                     ,-7.54                   ,-11.2       ,8.96            ,-4.6                 ,-4.77                          ,-0.12                     ,- -                          ,-3.8            ,-4.68                   ,-4.64        ,-11.49              ,8.73    ,-0.53                ,-0.42                     ,-9.34   ,4.11                 ,-4.99                        ,-3.1              ,0.74                 ,0.74         ,-6.39             ,0.2          ,-11.29                          ,-11.23       ,-4.64                      ,0.72               ,-3.04    ,9.23               ,-7.66                        ,-4.2          ,10.68                 ,-6.5                ,-102.34    ,-0.39                       ,516.92         ,- -                      ,-19.59                   ,-15.99                         ,-2.88                 ,-120.97                     ,-49.96                         ,2.39           ,-0.33          ,-98.85                      ,-19.59                         ,-203.37             ,-2.88                ,-21.1          ,52.02                ,-3249.93                ,0.32570922042285133
 7 ,2017 ,17.97                    ,9.65            ,42.93        ,10.48                      ,-2.36                  ,303.11                  ,-66.04                      ,2836.69       ,-1386.44                    ,1.28                      ,-1211.11          ,2.57                        ,-1197.21            ,76.47  ,49.59             ,303.11 ,303.11 ,21.16            ,241.71               ,-1053.95          ,12.45              ,0.49               ,-5.17                ,- -                            ,- -                     ,11.65                   ,16.3        ,13.37           ,13.38                ,-7.62                          ,-1.26                     ,- -                          ,-3.11           ,-4.72                   ,3.02         ,35.95               ,-21.01  ,13.06                ,3.06                      ,4.51    ,-0.98                ,2.56                         ,2.77              ,5.99                 ,5.99         ,-3.93             ,-41.54       ,4.26                            ,4.19         ,3.02                       ,1.9                ,-5.18    ,-8.99              ,8.81                         ,10.02         ,-13.35                ,4.91                ,-1386.44   ,-5.17                       ,12.72          ,- -                      ,-130.89                  ,1.68                           ,-20.95                ,-256.25                     ,-43.52                         ,1.78           ,77.18          ,-2560.87                    ,17.38                          ,43.34               ,-20.95               ,12.54          ,81.24                ,-109.03                 ,0.5561368728394134
 8 ,2018 ,20.37                    ,19.01           ,23.51        ,5.81                       ,-2.89                  ,88.22                   ,45.37                       ,91.62         ,710.01                      ,-0.07                     ,715.8             ,0.02                        ,715.12              ,51.85  ,26.15             ,88.22  ,88.22  ,2.61             ,56.37                ,577.3             ,-31.17             ,6.63               ,-3.86                ,- -                            ,- -                     ,7.77                    ,15.08       ,-4.1            ,6.51                 ,-4.1                           ,-5.57                     ,- -                          ,-0.87           ,-1.99                   ,2.01         ,6.06                ,4.73    ,-0.19                ,4.78                      ,4.83    ,-9.72                ,-0.15                        ,1.95              ,4.18                 ,4.18         ,15.69             ,41.28        ,2.5                             ,2.28         ,2.01                       ,-3.7               ,4.8      ,2.47               ,6.66                         ,1.65          ,-9.34                 ,74.87               ,710.01     ,-3.86                       ,-23.85         ,- -                      ,2001.55                  ,15.01                          ,14.05                 ,160.57                      ,223.14                         ,6.55           ,-1.72          ,-715.72                     ,-0.08                          ,-128.82             ,14.05                ,15.34          ,-30.22               ,-85.89                  ,-0.11320869734531536
 9 ,2019 ,-1.68                    ,-0.89           ,-3.45        ,-5.77                      ,-8.49                  ,-0.04                   ,1.49                        ,-0.13         ,-0.88                       ,-5.04                     ,4.38              ,-5.32                       ,4.69                ,-1.74  ,-0.05             ,-0.04  ,-0.04  ,-1.8             ,1.68                 ,0.82              ,9.14               ,15.08              ,-6.83                ,- -                            ,- -                     ,2.59                    ,-2.28       ,4.17            ,1.53                 ,-4.94                          ,-1.89                     ,- -                          ,0.09            ,-1.62                   ,-0.07        ,-11.85              ,-1.53   ,5.69                 ,-5.66                     ,5.12    ,-2.58                ,2.74                         ,-0.94             ,1.85                 ,1.85         ,13.18             ,-6.95        ,3.91                            ,3.9          ,-0.07                      ,-4.42              ,3.02     ,-0.85              ,14.64                        ,7.62          ,8.98                  ,-9.92               ,-0.88      ,-6.83                       ,-31.96         ,- -                      ,-28.13                   ,5.4                            ,-1.65                 ,-84.65                      ,-39.98                         ,9.28           ,10.49          ,9.3                         ,24.33                          ,-246.71             ,-1.65                ,7.75           ,6.03                 ,6.33                    ,-0.0936448163697543
