   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA ,EBIT  ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,11.47                    ,5.83            ,       14.19 ,                      8.02 ,- -                    ,30.43                   ,44.35                       ,77.46         ,172.74                      ,0.05                      ,145.37            ,0.05                        ,145.37              , 15.15 ,3.31              ,30.43 ,30.43 ,2.45             ,17.01                ,143.99            ,11.47              ,-0.04              ,                2.08 ,-85.31                         ,-85.31                  ,34.84                   ,- -         ,-3.31           ,-54.42               ,-0.05                          ,5.15                      ,- -                          ,3.42            ,1.68                    ,-4.45        ,-41.2               ,-86.79  ,12.51                ,-41.54                    ,6.1     ,-7.85                ,4.37                         ,0.05              ,-1.83                ,-0.65        ,12.62             ,44.08        ,-16.72                          ,-16.73       ,-4.45                      ,-0.65              ,14.68    ,37.71              ,39.92                        ,-22.04        ,-4.81                 ,- -                 ,172.74     ,                       2.08 ,145.28         ,25.03                    ,157.83                   ,5.63                           ,31.42                 ,- -                         ,127.1                          ,0.01           ,29.92          ,-435.13                     ,-504.22                        ,-206.62             ,31.42                ,-5.62          ,-1.23                ,-61.16                  ,-0.005132781325184688
 1 ,2011 ,8.2                      ,1.21            ,       11.34 ,                      4.92 ,- -                    ,21.44                   ,-42.09                      ,-153.18       ,-155.09                     ,-1.03                     ,-145.12           ,-0.28                       ,-144.78             , 12.27 ,3.76              ,21.44 ,21.44 ,2.9              ,12.24                ,-150.85           ,-0.12              ,-0.96              ,                2.25 ,-28.8                          ,-28.8                   ,28.95                   ,- -         ,18.53           ,9.91                 ,-0.66                          ,4.08                      ,- -                          ,1.07            ,0.22                    ,0.72         ,-3.68               ,13.35   ,-17.26               ,-8.8                      ,1.53    ,8.34                 ,2.27                         ,1.67              ,-4.82                ,-2.2         ,-5                ,-34.63       ,-2.42                           ,-2.38        ,0.72                       ,-2.19              ,2.09     ,4.57               ,8.66                         ,20.51         ,-21.76                ,8.33                ,-155.09    ,                       2.25 ,-68.87         ,-10.76                   ,53.54                    ,6.63                           ,52.57                 ,- -                         ,2.28                           ,-1.97          ,-92.15         ,114.22                      ,-68.19                         ,-95.09              ,52.57                ,-21.27         ,-14.54               ,-293.81                 ,0.022163233025773943
 2 ,2012 ,19.68                    ,23.9            ,       17.96 ,                     22.52 ,- -                    ,2.6                     ,18.14                       ,-43.92        ,17.16                       ,1.93                      ,23.16             ,1.86                        ,23.24               ,  6.95 ,-10.64            ,2.6   ,2.6   ,-1.44            ,-14.27               ,-7.89             ,-2.76              ,-87.51             ,               12.59 ,450.88                         ,450.88                  ,149.6                   ,- -         ,114.39          ,163.93               ,42.3                           ,28.57                     ,- -                          ,48.6            ,45.52                   ,52.25        ,52.54               ,2015.99 ,44.18                ,207.84                    ,59.39   ,4.38                 ,52.98                        ,96.79             ,5.86                 ,3.09         ,-6.61             ,-47.19       ,23.15                           ,23.65        ,80.24                      ,3.06               ,64.13    ,32.74              ,-7.55                        ,-14.27        ,555.28                ,23.08               ,17.16      ,                      12.59 ,13.49          ,28.62                    ,-3.06                    ,20.06                          ,26.86                 ,- -                         ,950.25                         ,-87.27         ,2640.64        ,-88.15                      ,-1473.46                       ,-1219.96            ,26.86                ,12.07          ,32.34                ,8.92                    ,0.47665693147361665
 3 ,2013 ,24.24                    ,43.6            ,       15.96 ,                     12.29 ,- -                    ,25.66                   ,-0.43                       ,190.13        ,-53.26                      ,3.04                      ,-58.9             ,2.75                        ,-58.79              , 25.06 ,0.66              ,25.66 ,25.66 ,-6.67            ,1.14                 ,-61.54            ,4.62               ,- -                ,               24.35 ,-49.39                         ,-49.39                  ,29.61                   ,- -         ,-55.72          ,-43.55               ,29.35                          ,22.51                     ,- -                          ,42.33           ,36.13                   ,28.28        ,27.22               ,-84.95  ,7.87                 ,-38.9                     ,5.2     ,49.23                ,8.69                         ,-14.96            ,68.6                 ,13.95        ,-3.43             ,-61.79       ,135.7                           ,135.19       ,8.36                       ,13.95              ,1.8      ,-56.72             ,-43.79                       ,-7.61         ,46.9                  ,18.75               ,-53.26     ,                      24.35 ,62.34          ,-6.95                    ,-98.34                   ,60.2                           ,21.17                 ,- -                         ,31.46                          ,- -            ,-53.96         ,-8151.22                    ,7.3                            ,-161.2              ,21.17                ,112.23         ,-26.91               ,235.27                  ,-0.2784127348000305
 4 ,2014 ,22.09                    ,29.01           ,       18.42 ,                     18.43 ,- -                    ,7.94                    ,-3.49                       ,32.68         ,324.67                      ,11.48                     ,294.73            ,11.35                       ,295.19              , 18.38 ,-3.04             ,7.94  ,7.94  ,-3.01            ,-11.59               ,254.97            ,-3.35              ,23362.06           ,               30.85 ,-21.39                         ,-21.39                  ,40.37                   ,- -         ,1.74            ,6.77                 ,2.24                           ,6.63                      ,- -                          ,2.67            ,2.48                    ,2.66         ,11.35               ,9.41    ,33.92                ,18.85                     ,2.76    ,20.84                ,4.73                         ,5.51              ,0.31                 ,-0.06        ,11.02             ,-167         ,-3.04                           ,-2.94        ,2.66                       ,-0.06              ,3.29     ,6.42               ,1.2                          ,-10.16        ,-51.84                ,26.32               ,324.67     ,                      30.85 ,-75.66         ,31.94                    ,-2959.81                 ,34.62                          ,41.83                 ,- -                         ,-77.49                         ,26850.87       ,-19.23         ,-100.76                     ,-111.39                        ,-81.94              ,41.83                ,29.13          ,-12.22               ,-68.94                  ,-0.015195943187394922
 5 ,2015 ,-0.71                    ,-2.15           ,        0.13 ,                      9.98 ,- -                    ,-0.79                   ,-15.31                      ,22.08         ,31.73                       ,0.21                      ,325.34            ,0.24                        ,325.22              ,  0.76 ,1.47              ,-0.79 ,-0.79 ,0.84             ,-0.08                ,292.25            ,-11.74             ,73.18              ,                2.28 ,1.82                           ,1.82                    ,-10.7                   ,- -         ,14.65           ,2.95                 ,4.72                           ,5.43                      ,- -                          ,3.92            ,4.28                    ,4.22         ,-2.46               ,-6.28   ,-7.38                ,-4.85                     ,2.84    ,14.65                ,4.33                         ,3.76              ,0.38                 ,-0.03        ,-12.68            ,-127.8       ,5.55                            ,5.22         ,4.22                       ,-0.03              ,2.77     ,-2.33              ,-2.3                         ,8.2           ,-73.66                ,12.5                ,31.73      ,                       2.28 ,-84.59         ,18.01                    ,94.5                     ,7.84                           ,19.82                 ,-303.08                     ,-31.12                         ,73.55          ,58.82          ,35.59                       ,102.05                         ,-112.81             ,19.82                ,-2.18          ,-1.45                ,-72.31                  ,0.15109483194638562
 6 ,2016 ,7.02                     ,9.01            ,        5.9  ,                     19.33 ,- -                    ,-4.27                   ,11.14                       ,-21.1         ,-32.04                      ,2.1                       ,-78.52            ,2.08                        ,-78.51              ,  1.48 ,-5.18             ,-4.27 ,-4.27 ,-1.05            ,-10.55               ,-78.07            ,-9.7               ,8.3                ,                6.98 ,217.43                         ,217.43                  ,19.23                   ,- -         ,-21.57          ,35.01                ,2.35                           ,6.76                      ,- -                          ,0.61            ,1.4                     ,2.9          ,18.77               ,-4.21   ,9.42                 ,12.39                     ,-0.61   ,7.11                 ,0.46                         ,1.14              ,14.55                ,8            ,37.44             ,33.88        ,6.6                             ,6.6          ,2.9                        ,8.02               ,-3.87    ,-9.82              ,-19.37                       ,20.12         ,0.16                  ,18.52               ,-32.04     ,                       6.98 ,1585.28        ,30.55                    ,-44.51                   ,-0.8                           ,-3.84                 ,-85.06                      ,51.5                           ,10.57          ,163.78         ,-4486.58                    ,-89.71                         ,7537.27             ,-3.84                ,2.3            ,4.27                 ,322.65                  ,-0.05020356125209524
 7 ,2017 ,11.08                    ,8.55            ,       12.54 ,                     15    ,- -                    ,17.96                   ,12.82                       ,25.88         ,24.53                       ,12.35                     ,6.11              ,12.32                       ,6.15                , 14.79 ,3.34              ,17.96 ,17.96 ,1.32             ,6.2                  ,12.11             ,-21.01             ,6.73               ,               12.07 ,-44.66                         ,-44.66                  ,6.44                    ,- -         ,10.03           ,-14.42               ,31.9                           ,24.45                     ,- -                          ,57.32           ,45.65                   ,42.14        ,42.07               ,13.27   ,29.49                ,34.4                      ,32.93   ,22.36                ,31.38                        ,31.57             ,53.97                ,12.7         ,33.32             ,-32.25       ,63.28                           ,63.28        ,42.14                      ,12.69              ,36.56    ,-16.36             ,60.81                        ,-36.32        ,36.47                 ,40.62               ,24.53      ,                      12.07 ,-30.22         ,15.51                    ,80.82                    ,14.7                           ,39.24                 ,- -                         ,709.05                         ,19.91          ,-27.72         ,222.69                      ,-8610.73                       ,-165.49             ,39.24                ,-8.93          ,15.5                 ,-7.9                    ,0.1354611816512794
 8 ,2018 ,24.51                    ,18.12           ,       28.08 ,                     31.94 ,- -                    ,23.2                    ,6.22                        ,46.62         ,50.94                       ,8.12                      ,33.62             ,8.36                        ,33.32               , 23.09 ,-1.14             ,23.2  ,23.2  ,2.87             ,-1.05                ,21.23             ,12.06              ,13.92              ,               22.99 ,-11.81                         ,-11.81                  ,26.01                   ,- -         ,6.85            ,8.4                  ,5.75                           ,8.85                      ,- -                          ,-1.56           ,1.48                    ,1.72         ,12.82               ,-7.16   ,8.94                 ,9.67                      ,3.31    ,8.03                 ,3.96                         ,4.33              ,5.48                 ,-1.55        ,27.25             ,25.34        ,-2.47                           ,-2.47        ,1.72                       ,2.15               ,3.53     ,6.16               ,-7.68                        ,-1.16         ,41.48                 ,11.11               ,50.94      ,                      22.99 ,81.64          ,12.39                    ,-74.3                    ,22.4                           ,42.89                 ,- -                         ,-82.9                          ,23.16          ,-26.92         ,-80.78                      ,-108.94                        ,-89.79              ,42.89                ,-7.76          ,-17.81               ,-18.91                  ,0.0798977564129818
 9 ,2019 ,6.45                     ,7.8             ,        5.76 ,                      9.06 ,- -                    ,15.45                   ,2.76                        ,28.12         ,28.61                       ,0.73                      ,33.44             ,0.72                        ,33.44               ,  8.91 ,2.31              ,15.45 ,15.45 ,-0.65            ,8.45                 ,20.82             ,4.37               ,6.09               ,                3.01 ,-29.24                         ,-29.24                  ,18.96                   ,- -         ,-8.65           ,-2.03                ,-18.44                         ,-6.38                     ,- -                          ,46.1            ,18.13                   ,17.37        ,6.4                 ,272.9   ,32.73                ,35.78                     ,41.97   ,-8.45                ,34.78                        ,34.85             ,0.5                  ,- -          ,28.33             ,- -          ,-12.76                          ,-12.76       ,17.37                      ,0.24               ,9.27     ,25.25              ,-9.51                        ,-27.85        ,5.06                  ,2                   ,28.61      ,                       3.01 ,-43.5          ,13.59                    ,117.54                   ,7.91                           ,18.29                 ,- -                         ,16.04                          ,6.86           ,-34.83         ,-105.45                     ,-5.59                          ,188.46              ,18.29                ,-15.73         ,17.07                ,-16.09                  ,0.06572833004224332
10 ,2020 ,1.16                     ,-1.1            ,        2.35 ,                     10.42 ,- -                    ,16.33                   ,9.6                         ,21.72         ,22.36                       ,1.68                      ,31                ,1.67                        ,31.01               ,  9.29 ,8.03              ,16.33 ,16.33 ,1.18             ,15                   ,20.96             ,5.29               ,6.36               ,                2.16 ,18.37                          ,18.37                   ,-27.68                  ,- -         ,7.04            ,-8.31                ,-2.97                          ,3.86                      ,- -                          ,2.75            ,1.04                    ,0.75         ,-6.6                ,14.79   ,6.51                 ,2.34                      ,6.06    ,-5.82                ,4.91                         ,4.74              ,0.44                 ,- -          ,15.17             ,-20          ,-9.88                           ,-9.88        ,0.75                       ,3.61               ,6.26     ,17.91              ,11.1                         ,-10.4         ,-18.05                ,-3.92               ,22.36      ,                       2.16 ,130.94         ,17.95                    ,-43.55                   ,13.15                          ,-21.05                ,- -                         ,-16.42                         ,8.15           ,106.61         ,72.73                       ,83.67                          ,-157.33             ,-21.05               ,122.55         ,13.86                ,-7.53                   ,-0.007671562431948997
11 ,2021 ,8.56                     ,1.22            ,       12.3  ,                      0.29 ,- -                    ,1.4                     ,-9.92                       ,9.57          ,9.66                        ,2.13                      ,7.42              ,2.12                        ,7.43                ,  1.79 ,-6.24             ,1.4   ,1.4   ,3.44             ,-6.59                ,-4.4              ,6.39               ,6.1                ,                2.24 ,25.86                          ,25.86                   ,25.99                   ,- -         ,-4.99           ,13.59                ,-7.47                          ,1.5                       ,- -                          ,3.47            ,0.32                    ,0.7          ,2.73                ,-8.08   ,10.23                ,2.89                      ,6.53    ,-8.87                ,5.19                         ,5.03              ,0.43                 ,- -          ,15.12             ,- -          ,-12.72                          ,-12.72       ,0.7                        ,0.23               ,6.77     ,22.32              ,13.09                        ,10.39         ,-22.95                ,2.04                ,9.66       ,                       2.24 ,3.74           ,-6.52                    ,-594.29                  ,-10.74                         ,-24.32                ,- -                         ,-23.49                         ,8.36           ,-24.65         ,-7.89                       ,3.07                           ,97.67               ,-24.32               ,4.68           ,61.48                ,-13.99                  ,0.081864246928947
12 ,2022 ,10.19                    ,3.76            ,       13.14 ,                     10.29 ,- -                    ,29.55                   ,6.15                        ,43.43         ,44.65                       ,0.23                      ,52.48             ,- -                         ,52.83               , 17.55 ,6.68              ,29.55 ,29.55 ,2.67             ,17.57                ,38.7              ,10.19              ,9.4                ,                3.83 ,-46.58                         ,-46.58                  ,32.6                    ,- -         ,-18.62          ,-2.95                ,-11.5                          ,-0.08                     ,- -                          ,3.85            ,-0.22                   ,-0.3         ,-0.36               ,177.67  ,-5.15                ,34.8                      ,0.76    ,-10.06               ,-0.05                        ,2.24              ,0.58                 ,- -          ,9.36              ,25           ,-9.8                            ,-9.8         ,-0.3                       ,0.23               ,6.08     ,17.6               ,4.88                         ,-28           ,-38.64                ,- -                 ,44.65      ,                       3.83 ,-27.03         ,20.93                    ,115.9                    ,5.54                           ,6.59                  ,- -                         ,1.5                            ,9.65           ,-19.4          ,-7.14                       ,27.1                           ,-263.53             ,6.59                 ,4.67           ,-37.58               ,-30.94                  ,-0.1312894191784495
