   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA  ,EBITDA Margin (%) ,EBITA    ,EBIT     ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,                    9.77 ,-7.56           ,       14.07 ,-4.28                      ,                  6.12 ,-96.73                  ,-28.29                      ,-69.4         ,-194.97                     ,1.17                      ,-193.88           ,3.14                        ,-192.08             ,9133.87 ,8311.84           ,-96.73   ,-96.73   ,3.91             ,-97.02               ,-186.52           ,5                  ,- -                ,-5.16                ,-0.21                          ,-2.06                   ,-4.35                   ,61.53       ,-0.91           ,0.52                 ,-8.47                          ,-1.56                     ,-39.37                       ,139.58          ,52.31                   ,21.08        ,17.75               ,- -     ,36.23                ,65.26                     ,-6.79   ,-24.94               ,-16.19                       ,8.7               ,2.46                 ,2.46         ,-3.32             ,22.62        ,169.86                          ,169.86       ,21.08                      ,-0.57              ,-94.18   ,-97.84             ,-157.88                      ,-39.17        ,142.41                ,               4.55 ,-194.97    ,-5.16                       ,-106.55        ,-20.56                   ,-8.29                    ,676.78                         ,-10.92                ,313.79                      ,464.48                         ,- -            ,- -            ,-260.06                     ,185.87                         ,566.61              ,-10.92               ,-1083          ,-59.5                ,-917.89                 ,0.2511378939334974
 1 ,2011 ,                   22.85 ,24.75           ,       22.47 ,6.3                        ,                  6.46 ,-4105.87                ,-42.41                      ,-303.17       ,-49.26                      ,1.19                      ,-49.85            ,1.86                        ,-50.18              ,148.92  ,102.62            ,-4105.87 ,-4105.87 ,-0.31            ,-3360.74             ,-58.69            ,20.24              ,- -                ,3.75                 ,6.05                           ,7.93                    ,83.38                   ,10.78       ,18.58           ,24.41                ,-7.93                          ,-1.32                     ,12.79                        ,-24             ,-18.23                  ,3.12         ,-6.26               ,105.27  ,64.63                ,54.42                     ,-67.54  ,-42.29               ,-55.83                       ,-4.61             ,1.07                 ,1.07         ,-4.88             ,-3.96        ,40.58                           ,40.58        ,3.12                       ,2.08               ,2166.95  ,1512.58            ,-198.42                      ,-19.43        ,-13.23                ,               2.17 ,-49.26     ,3.75                        ,-865.15        ,0.29                     ,-189.52                  ,20.69                          ,-16.18                ,149.91                      ,-80.18                         ,- -            ,- -            ,-115.55                     ,-341.59                        ,-249.98             ,-16.18               ,29.24          ,11.35                ,137.83                  ,0.2591116587401805
 2 ,2012 ,                   15.36 ,-2.07           ,       18.92 ,9.05                       ,                 13.31 ,75.41                   ,-7.1                        ,97.3          ,509.1                       ,2.5                       ,494.27            ,3.64                        ,487.72              ,41.72   ,22.86             ,75.41    ,75.41    ,3.09             ,52.06                ,428.01            ,4.27               ,- -                ,-2.65                ,36.79                          ,20.74                   ,-72.2                   ,-16.37      ,569.91          ,30.76                ,-6.89                          ,-4.52                     ,-30.33                       ,51.79           ,28.46                   ,29.85        ,3.33                ,52.01   ,7.82                 ,19.88                     ,- -     ,-23.81               ,-53.83                       ,1.61              ,-0.71                ,-0.71        ,-40.04            ,-13.74       ,122.6                           ,122.6        ,29.85                      ,2.92               ,59.06    ,-28.54             ,711.02                       ,9.07          ,-19.24                ,              10.64 ,509.1      ,-2.65                       ,-415.09        ,9.11                     ,-287.93                  ,31.48                          ,14.46                 ,-620.88                     ,256.2                          ,- -            ,- -            ,208.96                      ,-110.93                        ,234.49              ,14.46                ,34.04          ,3.25                 ,-78.41                  ,0.16498162192856913
 3 ,2013 ,                   10.08 ,4.75            ,       10.98 ,9.93                       ,                 17.6  ,-2.26                   ,104.18                      ,-15.55        ,-62.67                      ,2.71                      ,-63.65            ,4.95                        ,-64.43              ,1.43    ,-7.85             ,-2.26    ,-2.26    ,0.82             ,-11.21               ,-66.09            ,0.42               ,- -                ,10.19                ,-23.46                         ,-26.17                  ,10.02                   ,38.87       ,- -             ,-12.23               ,-2.34                          ,-8.26                     ,227.51                       ,46.72           ,34.8                    ,6.19         ,26.43               ,-27.33  ,1.31                 ,-5.67                     ,- -     ,-19.59               ,-19.59                       ,-7.24             ,2.07                 ,2.07         ,-25.29            ,-44.68       ,26.33                           ,26.33        ,6.19                       ,2.67               ,-24.31   ,-40.08             ,-12.22                       ,-6.95         ,-21.15                ,               9.62 ,-62.67     ,10.19                       ,-151.08        ,39.37                    ,-141.75                  ,16.33                          ,24.92                 ,-110.99                     ,112.13                         ,- -            ,-71.45         ,32.77                       ,-834.48                        ,-234.46             ,24.92                ,15.23          ,-6.11                ,211.61                  ,-0.25826266447924007
 4 ,2014 ,                    8.27 ,11.74           ,        7.72 ,2.77                       ,                 12.92 ,4.78                    ,-25.24                      ,13.84         ,-3.25                       ,2                         ,-5.15             ,4.15                        ,-7.11               ,8.91    ,0.59              ,4.78     ,4.78     ,-0.51            ,-3.23                ,-10.65            ,1.17               ,- -                ,17.62                ,61.54                          ,73.83                   ,13.81                   ,12.29       ,51.15           ,51.65                ,-3.6                           ,-3.04                     ,13.27                        ,16.48           ,12.45                   ,32.16        ,4.05                ,5.44    ,36                   ,21.33                     ,164.31  ,7.99                 ,288.53                       ,47.43             ,5.36                 ,5.36         ,-32.74            ,-49.21       ,15.35                           ,15.35        ,32.16                      ,1.2                ,13.98    ,-1.19              ,-21.81                       ,24.99         ,8.24                  ,               7.02 ,-3.25      ,17.62                       ,35.28          ,26.41                    ,-548.08                  ,-13.84                         ,-11.39                ,-17.89                      ,-53.62                         ,- -            ,348.65         ,-361.72                     ,-348.48                        ,-332.18             ,-11.39               ,-14.18         ,64.39                ,-10.94                  ,0.2391606160533173
 5 ,2015 ,                    7.66 ,6.59            ,        7.84 ,-0.17                      ,                  5.73 ,33.68                   ,-37.75                      ,47.84         ,58.85                       ,1.65                      ,56.28             ,1.8                         ,56.04               ,22.73   ,13.99             ,33.68    ,33.68    ,0.16             ,24.16                ,47.55             ,-1.98              ,- -                ,2.19                 ,-30.45                         ,-33.84                  ,34.58                   ,0.65        ,-95.08          ,-47.9                ,-0.66                          ,3.49                      ,- -                          ,5.18            ,2.09                    ,-26.75       ,5.61                ,- -     ,-63.85               ,-61.5                     ,0.03    ,-33.09               ,-9.17                        ,-48.03            ,0.63                 ,0.63         ,-77.33            ,-200.63      ,3.19                            ,3.19         ,-26.75                     ,6.11               ,11.17    ,7.73               ,92.44                        ,35.33         ,5.74                  ,               9.84 ,58.85      ,2.19                        ,-26.76         ,10.2                     ,3.57                     ,19.41                          ,12.55                 ,-96.59                      ,-77.52                         ,- -            ,- -            ,395.33                      ,-316.74                        ,-171.78             ,12.55                ,20.4           ,-5.32                ,-24.83                  ,0.10426126442718653
 6 ,2016 ,                    6.7  ,7.57            ,        6.56 ,1.54                       ,                 15.34 ,-1.41                   ,117.96                      ,-11.38        ,-19.54                      ,-1.22                     ,-18.55            ,-6.74                       ,-13.73              ,-0.65   ,-6.89             ,-1.41    ,-1.41    ,-0.13            ,-7.6                 ,-24.59            ,0.69               ,- -                ,1.2                  ,-34.15                         ,-24.56                  ,-4.66                   ,-30.46      ,16.05           ,-27.23               ,4.38                           ,5.14                      ,- -                          ,-0.12           ,0.62                    ,-10.81       ,0.62                ,-85.4   ,-0.74                ,9.18                      ,84.49   ,40.4                 ,75.46                        ,39                ,-2.31                ,-2.31        ,-285.03           ,102.49       ,-46.1                           ,-46.1        ,-10.81                     ,-10.34             ,-185.2   ,-258.07            ,-120.21                      ,-33.35        ,-11.95                ,               5.97 ,-19.54     ,1.2                         ,19.15          ,18.28                    ,-123.16                  ,17.63                          ,19.87                 ,31404.28                    ,-103.05                        ,- -            ,-7.5           ,209.98                      ,-5.37                          ,-49.95              ,19.87                ,17.33          ,-4.36                ,46.2                    ,0.11656711886239557
 7 ,2017 ,                    6.99 ,-7.45           ,        9.36 ,6.35                       ,                  9.37 ,16.62                   ,-62.39                      ,32.85         ,0.5                         ,-4.36                     ,5.08              ,-3.79                       ,4.46                ,10.71   ,3.48              ,16.62    ,16.62    ,2.22             ,9                    ,-6.07             ,5.5                ,- -                ,-3.4                 ,47.89                          ,47.9                    ,21.16                   ,-15.87      ,72              ,39.59                ,5.34                           ,6.83                      ,-88.93                       ,2.43            ,3.14                    ,15.35        ,-7.68               ,70      ,13.59                ,9.71                      ,0.14    ,13.22                ,2.28                         ,5.49              ,0.54                 ,0.54         ,149.09            ,-85.57       ,33.36                           ,33.36        ,15.35                      ,1.68               ,-81.91   ,-86.44             ,-142.4                       ,27.24         ,3.77                  ,               1.41 ,0.5        ,-3.4                        ,94.97          ,19.05                    ,-378.41                  ,5.81                           ,7.8                   ,-89.62                      ,-14190.57                      ,- -            ,-66.54         ,-88.04                      ,-88.16                         ,-242.96             ,7.8                  ,5.54           ,50.38                ,5.29                    ,0.46400814942315405
 8 ,2018 ,                   10.04 ,9.0             ,       10.18 ,3.57                       ,                 10.02 ,22.18                   ,68.76                       ,19.47         ,69.41                       ,0.6                       ,68.4              ,0.33                        ,68.86               ,17.18   ,6.5               ,22.18    ,22.18    ,0.13             ,11.04                ,53.96             ,5.63               ,- -                ,2.77                 ,-22.99                         ,-22.5                   ,56.01                   ,-15.2       ,45.04           ,-2.95                ,0.51                           ,4.55                      ,3868.38                      ,-3.22           ,5.48                    ,2.06         ,16.02               ,17.65   ,4.8                  ,10.36                     ,-46.41  ,-11.74               ,-40.13                       ,-17.44            ,5.8                  ,5.8          ,126.6             ,582.64       ,30.25                           ,30.25        ,2.06                       ,-0.73              ,-313.18  ,-263.68            ,742.1                        ,-12.06        ,-4.24                 ,               4.17 ,69.41      ,2.77                        ,-19.84         ,28.99                    ,-57.15                   ,28.47                          ,6.22                  ,-1230.09                    ,-9.08                          ,- -            ,-27.99         ,157.87                      ,709.64                         ,-165.45             ,6.22                 ,31.59          ,-17.97               ,-24.17                  ,0.10206652148821382
 9 ,2019 ,                    9.27 ,2.94            ,       10.15 ,8.45                       ,                  5.78 ,22.86                   ,-30.6                       ,27.25         ,186.02                      ,-0.18                     ,186.53            ,-0.22                       ,186.66              ,18.58   ,8.52              ,22.86    ,22.86    ,0.8              ,12.43                ,161.74            ,1.18               ,- -                ,3.9                  ,32.24                          ,32.24                   ,2.51                    ,98.15       ,12.14           ,22.95                ,48.91                          ,6.33                      ,16.4                         ,46              ,44.17                   ,35.99        ,23.54               ,- -     ,0.86                 ,-5.16                     ,0.21    ,87.27                ,23.48                        ,6.28              ,5.69                 ,5.69         ,127.99            ,49.02        ,63.22                           ,63.22        ,35.99                      ,-0.06              ,308.14   ,150.06             ,98.4                         ,29.64         ,30.34                 ,               8    ,186.02     ,3.9                         ,-339.83        ,8.25                     ,-128.74                  ,20.64                          ,21.3                  ,-72.61                      ,-39.19                         ,- -            ,50             ,23.22                       ,-21.84                         ,-231.36             ,21.3                 ,20.57          ,32.35                ,-57.82                  ,0.30643551993295093
