   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA  ,EBIT ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,                   15.42 ,- -             ,       14.74 ,5.39                       ,- -                    ,- -                     ,-1.48                       ,-1.48         ,3.45                        ,-0.43                     ,3.75              ,-0.03                       ,3.33                ,8.96   ,-5.6              ,- -    ,- -  ,- -              ,- -                  ,-10.5             ,10.51              ,0.44               ,8.96                 ,25.55                          ,73.7                    ,-3.16                   ,- -         ,- -             ,11.48                ,5.8                            ,5.8                       ,6.84                         ,5.29            ,5.84                    ,6.21         ,2.4                 ,430.77  ,- -                  ,9.95                      ,-6.08   ,3.41                 ,2.68                         ,3.82              ,0.77                 ,- -          ,14.54             ,-0.65        ,22.67                           ,22.73        ,6.21                       ,-22.54             ,-23.58   ,-37.73             ,-12.27                       ,1.4           ,- -                   ,4.44                ,3.45       ,8.96                        ,129.41         ,- -                      ,-107.46                  ,133.96                         ,-2.28                 ,-54.94                      ,-9.63                          ,- -            ,56.94          ,-556.67                     ,-10.75                         ,-255.89             ,-2.28                ,229.45         ,-47.99               ,126.48                  ,-0.08722057821616658
 1 ,2011 ,                    3.51 ,- -             ,        3.49 ,2.73                       ,- -                    ,- -                     ,5.24                        ,5.24          ,-1.56                       ,-0.8                      ,-0.55             ,-0.38                       ,-0.96               ,18.15  ,14.15             ,- -    ,- -  ,- -              ,- -                  ,-4.68             ,0.87               ,0.8                ,18.15                ,176.28                         ,192.21                  ,3.03                    ,- -         ,- -             ,304.55               ,12.28                          ,12.28                     ,10.21                        ,-22.73          ,-10.37                  ,11.74        ,11.64               ,-81.16  ,- -                  ,23.86                     ,118.09  ,-1.87                ,6.57                         ,9.44              ,25.1                 ,4.55         ,12.79             ,29.15        ,25.57                           ,25.23        ,11.74                      ,5.02               ,-67.29   ,-73.88             ,32.3                         ,226.62        ,- -                   ,2.61                ,-1.56      ,18.15                       ,297.44         ,- -                      ,-634.92                  ,-14.46                         ,40.67                 ,125.94                      ,-5.37                          ,- -            ,392.82         ,-471.53                     ,946.35                         ,357.48              ,40.67                ,-25.92         ,24.36                ,-13.3                   ,0.14674978097336022
 2 ,2012 ,                   32.37 ,- -             ,       33.18 ,- -                        ,- -                    ,- -                     ,25.86                       ,25.86         ,22.29                       ,5.22                      ,16.24             ,5.57                        ,15.85               ,62.32  ,22.62             ,- -    ,- -  ,- -              ,- -                  ,-7.6              ,16.1               ,-4.96              ,62.32                ,-36.28                         ,-36.5                   ,491.53                  ,- -         ,- -             ,-10.89               ,9.38                           ,9.38                      ,8.63                         ,13.96           ,11.53                   ,5.26         ,28.61               ,93.27   ,- -                  ,8.56                      ,-0.08   ,1.56                 ,1.33                         ,2.69              ,3.26                 ,- -          ,10.65             ,-15.38       ,17.08                           ,18.44        ,5.26                       ,0.1                ,446.78   ,361.64             ,-18.1                        ,-17.91        ,- -                   ,14.01               ,22.29      ,62.32                       ,-35.48         ,- -                      ,-119.58                  ,57.61                          ,-3.32                 ,-74.8                       ,203.7                          ,- -            ,-95.4          ,-117.09                     ,-107.95                        ,-156.19             ,-3.32                ,81.67          ,-8.66                ,28.87                   ,0.13996935482718897
 3 ,2013 ,                   11.2  ,- -             ,       11.2  ,- -                        ,- -                    ,- -                     ,- -                         ,-12.15        ,-8.99                       ,-1.94                     ,-7.26             ,-1.67                       ,-7.51               ,395.18 ,345.31            ,- -    ,- -  ,- -              ,- -                  ,-18.22            ,9.07               ,1.98               ,6.61                 ,9.39                           ,-6.15                   ,15.65                   ,- -         ,- -             ,13.89                ,30.71                          ,30.71                     ,-3.96                        ,-2.47           ,-2.23                   ,1.12         ,-11.93              ,15.92   ,- -                  ,-11.29                    ,0.56    ,2.54                 ,2.26                         ,-0.44             ,1.8                  ,- -          ,10.92             ,-22.5        ,8.17                            ,8.03         ,1.12                       ,-3.6               ,11       ,2.75               ,30.69                        ,28.39         ,- -                   ,1.96                ,-8.99      ,6.61                        ,-2394          ,- -                      ,1321.21                  ,-69.4                          ,29.17                 ,-128.76                     ,-100.39                        ,- -            ,-86.99         ,880.46                      ,307.89                         ,-88.7               ,29.17                ,-90.11         ,257.07               ,-66.36                  ,0.3414626424445866
 4 ,2014 ,                    7.83 ,- -             ,        7.83 ,- -                        ,- -                    ,- -                     ,33.39                       ,51.84         ,41.68                       ,-5.52                     ,50.73             ,-5.65                       ,50.94               ,-78.8  ,-80.33            ,- -    ,- -  ,- -              ,- -                  ,32.08             ,5.8                ,5.84               ,-1.51                ,-53.79                         ,-49.19                  ,5.89                    ,- -         ,- -             ,-10.19               ,2.6                            ,2.6                       ,12.03                        ,3.12            ,6.8                     ,2.87         ,12.5                ,-36.91  ,- -                  ,11.01                     ,-0.18   ,1.58                 ,1.34                         ,3.11              ,-17.55               ,-19.57       ,-24.77            ,80           ,1.96                            ,1.89         ,2.87                       ,-5.9               ,52.2     ,49.38              ,7.54                         ,-19.1         ,- -                   ,1.92                ,41.68      ,-1.51                       ,-88.71         ,- -                      ,-145.74                  ,177.33                         ,-10.25                ,-2290.77                    ,-11800                         ,- -            ,- -            ,76.08                       ,70.11                          ,585.2               ,-10.25               ,692.19         ,-42.57               ,94.74                   ,0.06307229517066482
 5 ,2015 ,                    8.48 ,- -             ,        8.48 ,- -                        ,- -                    ,- -                     ,0.7                         ,0.7           ,-0.81                       ,-2.93                     ,2.63              ,-2.98                       ,2.68                ,-0.51  ,-8.29             ,- -    ,- -  ,- -              ,- -                  ,-8.17             ,2.69               ,- -                ,-0.51                ,48.39                          ,38.59                   ,6.81                    ,- -         ,- -             ,12.57                ,2.13                           ,2.13                      ,3.57                         ,-3.99           ,-0.49                   ,2.13         ,4.78                ,1.36    ,- -                  ,4.73                      ,0.3     ,-1.39                ,-1.16                        ,-0.09             ,3.17                 ,- -          ,17.81             ,33.55        ,11.7                            ,11.34        ,2.13                       ,-1.05              ,-14.23   ,-22.97             ,28.76                        ,7.49          ,- -                   ,5.65                ,-0.81      ,-0.51                       ,-121.62        ,- -                      ,-99.77                   ,36.26                          ,7.82                  ,-20.65                      ,-8.89                          ,- -            ,5487.5         ,-65.58                      ,-66.5                          ,-143.78             ,7.82                 ,45.1           ,3.95                 ,36.78                   ,0.42965405961558467
 6 ,2016 ,                    4.73 ,- -             ,        5.63 ,65.9                       ,- -                    ,- -                     ,-10.46                      ,-10.46        ,-11.27                      ,-0.31                     ,-10.57            ,-0.36                       ,-10.52              ,4.27   ,-0.44             ,- -    ,- -  ,- -              ,- -                  ,-14.87            ,0.39               ,- -                ,4.27                 ,65.01                          ,61.84                   ,-9.06                   ,- -         ,- -             ,4.47                 ,0.13                           ,0.13                      ,11.03                        ,-2.27           ,3.84                    ,3.98         ,1.11                ,85.23   ,- -                  ,2.5                       ,-5.26   ,2.06                 ,1.04                         ,1.33              ,1.13                 ,- -          ,14.31             ,10.56        ,14.03                           ,13.8         ,3.98                       ,0.13               ,-42.3    ,-49.3              ,27.38                        ,1.92          ,- -                   ,4.33                ,-11.27     ,4.27                        ,-30.36         ,- -                      ,-153500                  ,48.18                          ,-9.61                 ,91.06                       ,60.98                          ,- -            ,- -            ,-80.08                      ,-57.55                         ,108.67              ,-9.61                ,61.53          ,-33.66               ,66.19                   ,-0.1835198206265083
 7 ,2017 ,                    5.99 ,- -             ,        5.09 ,0.42                       ,- -                    ,- -                     ,21.05                       ,21.05         ,21.11                       ,-1.75                     ,21.95             ,-1.76                       ,21.97               ,-7.21  ,-12.45            ,-79.27 ,- -  ,- -              ,- -                  ,13.05             ,-5.53              ,- -                ,-81.15               ,-18.19                         ,-6.69                   ,-1.35                   ,- -         ,-77.16          ,4.43                 ,1.76                           ,1.76                      ,7.6                          ,0.39            ,3.93                    ,4.03         ,11.55               ,-13.04  ,-523.52              ,-49.12                    ,9.31    ,20.61                ,19.13                        ,5.25              ,1.62                 ,- -          ,14.21             ,-21.71       ,0.09                            ,-0.01        ,4.03                       ,-5.02              ,33.57    ,33.58              ,-5.52                        ,105.25        ,- -                   ,12.2                ,21.11      ,-7.21                       ,1241.03        ,- -                      ,-50.13                   ,1.49                           ,2.17                  ,-57.02                      ,-33.84                         ,- -            ,85.79          ,2418.45                     ,1078.22                        ,-121.84             ,2.17                 ,1.4            ,46.98                ,-15.3                   ,0.3287301042442494
 8 ,2018 ,                   15.52 ,- -             ,       15.52 ,21.39                      ,- -                    ,- -                     ,-0.69                       ,-0.69         ,18.55                       ,-1.69                     ,19.91             ,-3.3                        ,21.91               ,22.79  ,6.29              ,- -    ,- -  ,- -              ,- -                  ,2.04              ,-27.99             ,- -                ,504.35               ,86.06                          ,29.71                   ,69.53                   ,- -         ,- -             ,56                   ,191.87                         ,191.87                    ,-91.45                       ,460.75          ,175.17                  ,148.13       ,121.86              ,1131.25 ,- -                  ,434.83                    ,660.2   ,24.74                ,101.03                       ,133.81            ,820.87               ,-94.59       ,-4.65             ,58.13        ,198.71                          ,197.97       ,148.13                     ,56.14              ,1465.59  ,425.42             ,-562.21                      ,-70.83        ,- -                   ,60.43               ,18.55      ,22.79                       ,-103.82        ,- -                      ,-41.31                   ,-7.73                          ,12.1                  ,38.58                       ,1448.91                        ,- -            ,1365.56        ,-89.44                      ,-987.02                        ,-438.43             ,12.1                 ,-10.32         ,-4.9                 ,-21.73                  ,-0.0022580421320859134
 9 ,2019 ,                  216.55 ,- -             ,      216.55 ,17.76                      ,- -                    ,- -                     ,83.47                       ,83.47         ,93.5                        ,52.41                     ,27                ,53.99                       ,25.69               ,425.32 ,65.96             ,- -    ,- -  ,- -              ,- -                  ,-38.85            ,216.98             ,-4.27              ,425.32               ,-5.83                          ,19.82                   ,-1.03                   ,- -         ,-63.54          ,0.06                 ,-1.1                           ,-1.1                      ,-54.18                       ,2.96            ,1.93                    ,1.66         ,3.4                 ,86.6    ,- -                  ,13.19                     ,-19.31  ,5.39                 ,-5.82                        ,-1.57             ,2                    ,- -          ,33.63             ,-45          ,10.51                           ,10.49        ,1.66                       ,-2.2               ,-15.11   ,-23.16             ,-21.2                        ,-11.6         ,- -                   ,-0.14               ,93.5       ,425.32                      ,-455           ,- -                      ,43.21                    ,151.59                         ,98.86                 ,-145.72                     ,-97.22                         ,36.36          ,- -            ,543.43                      ,-130.56                        ,72.44               ,98.86                ,160.18         ,-33.29               ,29.99                   ,-0.21180110163053323
