   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA ,EBIT  ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,1.55                     ,0.65            ,2.18         ,2.5                        ,- -                    ,4.65                    ,358.44                      ,-3.05         ,-3.5                        ,-2.34                     ,-1.53             ,-2.61                       ,-1.26               ,4.87   ,3.27              ,4.65  ,4.65  ,0.62             ,3.05                 ,-5.31             ,-1.3               ,             19.2  ,7.12                 ,-18.33                         ,-18.33                  ,-0.98                   ,1.08        ,8.8             ,-2.1                 ,5.03                           ,6.87                      ,- -                          ,-1.55           ,1.61                    ,0.34         ,-3.68               ,68.7    ,- -                  ,3.58                      ,-0.21   ,24.37                ,8.16                         ,6.07              ,-25.31               ,- -          ,             8.91 ,0.91         ,-14.15                          ,-13.51       ,0.34                       ,0.15               ,13.63    ,31.38              ,978.59                       ,-5.49         ,66.58                 ,2.89                ,-3.5       ,7.12                        ,494.37         ,3.42                     ,-78.17                   ,-2.01                          ,-4.35                 ,-51.21                      ,-21.76                         ,         16.41 ,46.47          ,90.03                       ,15.59                          ,-142.77             ,-4.35                ,-1.52          ,-3.6                 ,1.9                     ,-0.12458577729678644
 1 ,2011 ,7.52                     ,12.33           ,4.19         ,6.35                       ,- -                    ,0.71                    ,-94.05                      ,10.47         ,10.42                       ,0.11                      ,10.23             ,-3.69                       ,14.58               ,1.73   ,-5.38             ,0.71  ,0.71  ,-3.09            ,-6.33                ,2.63              ,9.19               ,              5.22 ,11.97                ,79.18                          ,79.18                   ,4.04                    ,8.59        ,27.94           ,18.02                ,-0.68                          ,2.29                      ,- -                          ,24.14           ,11.82                   ,13.89        ,4.07                ,-37.6   ,- -                  ,-0.32                     ,57.37   ,12.42                ,39.77                        ,21.88             ,10.94                ,- -          ,             9.21 ,17.02        ,-11.21                          ,-9.8         ,13.89                      ,-3.01              ,34.01    ,48.57              ,254.33                       ,18.4          ,-1.19                 ,-1.53               ,10.42      ,11.97                       ,-117.06        ,0.83                     ,-107                     ,-9.81                          ,-2.36                 ,-147.52                     ,84.35                          ,          5.34 ,16.51          ,-10.59                      ,-52.67                         ,-721.13             ,-2.36                ,-11.35         ,22.15                ,-18.27                  ,0.1807953068610726
 2 ,2012 ,2.1                      ,0.13            ,3.57         ,2.99                       ,- -                    ,4.07                    ,333.33                      ,2.24          ,3.01                        ,-2.52                     ,4.31              ,-2.43                       ,4.22                ,3.76   ,1.63              ,4.07  ,4.07  ,1.44             ,1.93                 ,-0.4              ,4.53               ,              8.89 ,0.95                 ,0.68                           ,0.68                    ,-0.42                   ,2.86        ,22.41           ,3.5                  ,4.74                           ,6.79                      ,- -                          ,7.35            ,6.2                     ,5.27         ,2.77                ,-20     ,6.67                 ,0.54                      ,11.2    ,14.97                ,12.39                        ,8.06              ,10.39                ,100          ,             8.33 ,5.9          ,-7.83                           ,-5.94        ,5.27                       ,-2.53              ,10.53    ,17.51              ,2.57                         ,2.94          ,-0.52                 ,-2.33               ,3.01       ,0.95                        ,-262.5         ,-1.64                    ,-428.57                  ,10.36                          ,5.21                  ,-694.03                     ,-28.69                         ,          6.15 ,-6.69          ,7.59                        ,85.27                          ,-93.2               ,5.21                 ,11.53          ,-0.4                 ,8.53                    ,0.025294819625820253
 3 ,2013 ,1.96                     ,0.92            ,2.71         ,4.94                       ,- -                    ,-0.35                   ,324.18                      ,-7.98         ,-8.4                        ,-2.24                     ,-7.27             ,-2.11                       ,-7.39               ,- -    ,-1.92             ,-0.35 ,-0.35 ,0.73             ,-2.27                ,-11.09            ,2.78               ,             10.7  ,3.29                 ,8.82                           ,8.82                    ,-1.92                   ,4.4         ,42.1            ,8.23                 ,6.27                           ,6.51                      ,- -                          ,-0.5            ,2.44                    ,4.41         ,6.89                ,198.68  ,9.38                 ,22.56                     ,-3.59   ,-9.44                ,-5.48                        ,4.04              ,8.14                 ,- -          ,             5.89 ,-6.49        ,5.3                             ,6.11         ,4.41                       ,-1.69              ,8.03     ,1.81               ,-16.39                       ,-11.69        ,-2.37                 ,-0.8                ,-8.4       ,3.29                        ,286.32         ,6.67                     ,-521.74                  ,0.25                           ,18.58                 ,-40.2                       ,2.89                           ,          8.22 ,46.29          ,-21.72                      ,-6.91                          ,473.33              ,18.58                ,-3.69          ,19.81                ,10.58                   ,-0.019896532026971725
 4 ,2014 ,-0.82                    ,-0.71           ,-0.9         ,-3.87                      ,- -                    ,4.1                     ,50.26                       ,-0.9          ,-2.95                       ,-1.69                     ,-1.05             ,-1.66                       ,-1.08               ,3.76   ,4.62              ,4.1   ,4.1   ,-0.08            ,4.96                 ,-1.92             ,-1.61              ,              6.43 ,0.68                 ,13.2                           ,13.2                    ,-5.13                   ,-3.02       ,-7.49           ,-1.38                ,-0.07                          ,0.66                      ,- -                          ,-9.15           ,-5.06                   ,-3.76        ,-6.11               ,-44.49  ,-10.48               ,-13.82                    ,18.85   ,17.11                ,18.31                        ,5.46              ,9.39                 ,- -          ,             4.9  ,43.08        ,-50.33                          ,-45.39       ,-3.76                      ,-1.44              ,7.75     ,97.3               ,67.45                        ,14.44         ,0.2                   ,0.8                 ,-2.95      ,0.68                        ,33.63          ,2.34                     ,-10.31                   ,2.93                           ,12.99                 ,-76.05                      ,-3.48                          ,          4.63 ,12.34          ,0.59                        ,1.31                           ,56.4                ,12.99                ,0.28           ,0.66                 ,5.81                    ,-0.029894814380073242
 5 ,2015 ,-7.19                    ,-7.44           ,-7.02        ,-8.66                      ,- -                    ,-5.28                   ,95.34                       ,-21.79        ,-33.82                      ,-1.41                     ,-35.61            ,-1.58                       ,-35.49              ,-4.61  ,2.78              ,-5.28 ,-5.28 ,0.18             ,2.07                 ,-31.59            ,-7.68              ,              4.73 ,1.58                 ,-10.93                         ,-10.93                  ,-8.05                   ,-14.62      ,-3.93           ,-9.85                ,-6.96                          ,-3.89                     ,- -                          ,-16.85          ,-12.16                  ,-11.32       ,-5.82               ,-40.08  ,-15.96               ,-10.44                    ,10.67   ,-11.47               ,3.9                          ,-0.79             ,7.48                 ,- -          ,             0.15 ,12.63        ,-126.11                         ,-103.18      ,-11.32                     ,-1.54              ,10.26    ,-3570.65           ,71.68                        ,0.66          ,-3.18                 ,0.53                ,-33.82     ,1.58                        ,77.81          ,-4.58                    ,40.23                    ,-10.58                         ,-8.72                 ,150.88                      ,-20.26                         ,          3.25 ,7.17           ,1.37                        ,4.88                           ,-104.46             ,-8.72                ,-11.14         ,5.14                 ,40.85                   ,-0.00835879607873602
 6 ,2016 ,-5.23                    ,-8.49           ,-2.94        ,-5.87                      ,- -                    ,1.59                    ,-80.58                      ,35.29         ,67.05                       ,-1.15                     ,78.43             ,-1.24                       ,78.59               ,1.29   ,6.88              ,1.59  ,1.59  ,2.42             ,7.2                  ,86.11             ,-2.13              ,              2.18 ,-1.34                ,35.57                          ,35.57                   ,-1.12                   ,-0.76       ,-45.35          ,-1.05                ,1.16                           ,-1.45                     ,- -                          ,5.06            ,3.1                     ,1.58         ,1.74                ,-95.7   ,6.33                 ,-6.48                     ,4.39    ,3.73                 ,4.22                         ,1.06              ,8.71                 ,- -          ,             5.63 ,5.82         ,-18.73                          ,-138.64      ,1.58                       ,-1.08              ,-6.45    ,-342.12            ,-5.01                        ,5.81          ,-1.21                 ,-3.17               ,67.05      ,-1.34                       ,-98.14         ,-1.6                     ,-175.41                  ,6.51                           ,-14.18                ,-129.37                     ,-27.15                         ,          1    ,-22.54         ,-13.93                      ,-1.89                          ,-3508.33            ,-14.18               ,12.84          ,-5.69                ,-39.61                  ,-0.09095226800772616
 7 ,2017 ,1.7                      ,1.68            ,1.72         ,5                          ,- -                    ,-6.27                   ,1.36                        ,-6.71         ,-15.93                      ,-1.12                     ,-16.14            ,-1.18                       ,-16.09              ,-4.91  ,-6.5              ,-6.27 ,-6.27 ,0.02             ,-7.84                ,-18.47            ,3.97               ,              2.54 ,7.22                 ,16.73                          ,16.73                   ,4.89                    ,4.27        ,-8.62           ,6.94                 ,6.04                           ,6.52                      ,- -                          ,0.51            ,3.24                    ,4.56         ,2.74                ,-15.38  ,20.24                ,3.12                      ,0.71    ,7.8                  ,2.55                         ,2.7               ,9.28                 ,- -          ,             3.06 ,-7.78        ,-75.31                          ,1329.41      ,4.56                       ,-0.95              ,-3.37    ,-93.24             ,-6.98                        ,3.71          ,-3.07                 ,-2.18               ,-15.93     ,7.22                        ,2500           ,3.25                     ,-225                     ,-2.77                          ,-6.75                 ,4.76                        ,-5.61                          ,          1.39 ,-35.75         ,4.79                        ,9.72                           ,-67.48              ,-6.75                ,-1.84          ,17.04                ,17.26                   ,-0.015360764804950744
 8 ,2018 ,0.58                     ,2.25            ,-0.53        ,-0.2                       ,- -                    ,-0.67                   ,-0.9                        ,-0.66         ,17.66                       ,-1.27                     ,20.1              ,-1.67                       ,20.59               ,0.26   ,-0.32             ,-0.67 ,-0.67 ,-1.1             ,-1.25                ,17.89             ,4.66               ,              5.39 ,7.58                 ,-52.7                          ,-52.7                   ,-5.41                   ,2.38        ,3.47            ,-18.24               ,-4.69                          ,-1.47                     ,- -                          ,13.17           ,4.12                    ,-4.06        ,-1.82               ,9.09    ,-7.92                ,-1.97                     ,-3.23   ,-7.73                ,-4.45                        ,-3.77             ,6.38                 ,- -          ,             5.28 ,8.64         ,70                              ,-18.93       ,-4.06                      ,-1.35              ,11.86    ,37.98              ,36.54                        ,-16.6         ,-3.15                 ,-3.9                ,17.66      ,7.58                        ,-72.69         ,-14.17                   ,34.78                    ,0.07                           ,-21.16                ,-129.55                     ,148.41                         ,          4.05 ,- -            ,-11.51                      ,9.35                           ,-696.24             ,-21.16               ,4.76           ,-19.99               ,-15.61                  ,-0.12954152168686972
 9 ,2019 ,0.96                     ,0.87            ,1.02         ,3.45                       ,- -                    ,-1.85                   ,42.99                       ,-4.71         ,-1.21                       ,-1.32                     ,-0.05             ,-1.36                       ,-0.01               ,-1.43  ,-2.37             ,-1.85 ,-1.85 ,0.06             ,-2.78                ,-2.31             ,1.55               ,              2.8  ,1.57                 ,21.63                          ,21.63                   ,2.86                    ,12          ,9.35            ,10.18                ,-3.38                          ,2.93                      ,- -                          ,58.35           ,29.72                   ,23.62        ,2.26                ,5391.67 ,-24.73               ,20.86                     ,23.14   ,15.2                 ,21.05                        ,21                ,7.74                 ,- -          ,             4.1  ,2.03         ,-214.71                         ,183.25       ,23.62                      ,-0.95              ,23.48    ,-56.41             ,27.67                        ,-8.84         ,13.97                 ,-0.58               ,-1.21      ,1.57                        ,-84.51         ,-8.26                    ,-141.94                  ,2.52                           ,-23.17                ,307.69                      ,79.4                           ,          1.45 ,-46.06         ,-2.91                       ,-67.53                         ,-120.68             ,-23.17               ,6.79           ,15.1                 ,3.95                    ,-0.10282011949773251
