   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA  ,EBIT   ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,6.1                      ,-30.81          ,65.43        ,5.82                       ,- -                    ,10.62                   ,-11.01                      ,19.55         ,1.1                         ,-2.33                     ,2.3               ,-2.25                       ,2.22                ,6.43   ,0.31              ,10.62  ,10.62  ,55.92            ,4.26                 ,-5.83             ,11.3               ,             43.15 ,1.78                 ,741.19                         ,791.8                   ,8.42                    ,- -         ,22.12           ,175.71               ,-1.43                          ,                     8.43 ,12.16                        ,-0.31           ,0.13                    ,5.15         ,5.6                 ,55.71   ,- -                  ,13.59                     ,5.99    ,4.37                 ,5.09                         ,5.98              ,-1.16                ,- -          ,21.52             ,115.22       ,3.82                            ,3.79         ,5.15                       ,-1.07              ,-10.53   ,-13.8              ,-20.51                       ,142.72        ,-255.1                ,-4.67               ,1.1        ,1.78                        ,-22.3          ,16.73                    ,-103.23                  ,8.73                           ,-2.08                 ,-34.02                      ,-3.15                          ,         39.82 ,118.67         ,52.62                       ,-96.84                         ,-1113.93            ,-2.08                ,24.9           ,20.49                ,8.82                    ,0.20346405931823197
 1 ,2011 ,47.2                     ,145.8           ,-19.09       ,106.74                     ,- -                    ,34.35                   ,34.01                       ,34.45         ,40.59                       ,-2.21                     ,17.03             ,-1.49                       ,16.17               ,25.77  ,-14.56            ,34.35  ,34.35  ,-45.03           ,-8.73                ,-22.25            ,19.16              ,             14.08 ,15.42                ,-72.4                          ,-72.93                  ,134.56                  ,- -         ,163.77          ,-3.52                ,17.2                           ,                    14.4  ,47.74                        ,40.73           ,36.11                   ,33.14        ,84.55               ,-24.06  ,- -                  ,60.81                     ,28.12   ,18.52                ,22.84                        ,27.06             ,2.91                 ,- -          ,14.91             ,53.54        ,6.58                            ,43.29        ,33.14                      ,-0.97              ,48.2     ,3.43               ,-7.87                        ,-40           ,-143.68               ,23.53               ,40.59      ,15.42                       ,907.41         ,14.67                    ,-23170.97                ,28.32                          ,19.59                 ,-16.15                      ,119.02                         ,         11.56 ,-84.09         ,59.35                       ,3900.65                        ,-182.14             ,19.59                ,38.55          ,-15.29               ,12.13                   ,0.10485287558587864
 2 ,2012 ,12.05                    ,-46.83          ,132.29       ,35.49                      ,- -                    ,13.6                    ,-77.33                      ,41.45         ,52.51                       ,-2.48                     ,52.9              ,-2.2                        ,52.46               ,60.33  ,43.09             ,13.6   ,13.6   ,107.31           ,1.38                 ,33.08             ,9.44               ,             38.91 ,125.93               ,641.64                         ,575.99                  ,26.89                   ,- -         ,-19.35          ,133.19               ,-1.19                          ,                     4.01 ,-35.81                       ,-0.37           ,-2.86                   ,4.53         ,13.58               ,73.81   ,- -                  ,26.23                     ,0.37    ,0.97                 ,0.69                         ,4.28              ,-0.96                ,-3.12        ,16.53             ,-109.87      ,4.4                             ,4.91         ,4.53                       ,-0.83              ,-21.71   ,-25.37             ,-0.17                        ,84.73         ,971.37                ,2.38                ,52.51      ,125.93                      ,-112.9         ,7.85                     ,27.8                     ,3.55                           ,4.78                  ,120                         ,-88.12                         ,         35.47 ,735.29         ,48.92                       ,-34.9                          ,-313.82             ,4.78                 ,2.3            ,44.25                ,-30.56                  ,0.47299725890149524
 3 ,2013 ,3.34                     ,-1.3            ,5.5          ,3.92                       ,- -                    ,11.36                   ,329.47                      ,-4.26         ,-9.28                       ,-1.98                     ,12.1              ,-1.91                       ,12.03               ,0.86   ,-2.4              ,11.36  ,11.36  ,2.1              ,7.77                 ,6.34              ,-1.98              ,             24.61 ,-6.56                ,-57.38                         ,-84.31                  ,15.49                   ,- -         ,17.18           ,-29.59               ,9.58                           ,                     8.64 ,-40.4                        ,-0.26           ,-0.17                   ,-3.73        ,9.25                ,38.05   ,5.52                 ,13.15                     ,17.03   ,-0.14                ,7.88                         ,8.78              ,-4.09                ,-3.23        ,18.15             ,273.33       ,2.71                            ,-22.13       ,-3.73                      ,-0.36              ,56.33    ,100.75             ,48.97                        ,-37.78        ,-6.22                 ,5.43                ,-9.28      ,-6.56                       ,-156.9         ,12.94                    ,6.5                      ,-4.67                          ,13.94                 ,311.78                      ,540.24                         ,         22.14 ,-35.45         ,-29.17                      ,243.79                         ,-198.95             ,13.94                ,-23.96         ,37.59                ,-13.25                  ,0.11957344440251383
 4 ,2014 ,6.37                     ,6.31            ,6.39         ,5.89                       ,- -                    ,9.89                    ,-0.37                       ,12.15         ,20.42                       ,-1.6                      ,24.95             ,-1.69                       ,25.06               ,-22.77 ,-27.4             ,9.89   ,9.89   ,0.02             ,3.31                 ,15.58             ,4.07               ,             16.63 ,-50.25               ,-14.72                         ,127.59                  ,-0.86                   ,- -         ,12.04           ,-3.87                ,3.73                           ,                     5.45 ,-16.84                       ,0.53            ,0.74                    ,0.33         ,-16.67              ,28.57   ,1.89                 ,-7.94                     ,-1.23   ,1.06                 ,-0.1                         ,-1.49             ,-0.22                ,- -          ,11.98             ,-360.71      ,3.98                            ,4.07         ,0.33                       ,-1.53              ,-3.91    ,-7.67              ,-2.52                        ,4.43          ,-15.32                ,2.21                ,20.42      ,-50.25                      ,192.49         ,22.43                    ,-84.23                   ,19.67                          ,12.19                 ,-84.38                      ,-8.21                          ,         14.77 ,42.58          ,115.1                       ,-56.63                         ,-123.74             ,12.19                ,31.28          ,-4.6                 ,-2.67                   ,0.01677661165494504
 5 ,2015 ,8.34                     ,7.83            ,8.56         ,9.39                       ,- -                    ,7.34                    ,7.67                        ,7.28          ,-2.08                       ,-3.76                     ,1.21              ,-3.91                       ,1.38                ,7.66   ,-0.63             ,7.34   ,7.34   ,0.2              ,-0.92                ,-10.09            ,-1.57              ,             12.34 ,8.24                 ,-46.79                         ,-41.3                   ,9.1                     ,- -         ,11.42           ,-9.08                ,8.76                           ,                     7.07 ,2.84                         ,5.07            ,5.8                     ,4.54         ,7.91                ,-13.99  ,42.3                 ,4.41                      ,11.31   ,0.97                 ,6.15                         ,5.86              ,-0.74                ,-3.33        ,-0.58             ,19.18        ,-0.84                           ,1.97         ,4.54                       ,4.35               ,13.54    ,11.35              ,5.24                         ,-12.92        ,-0.31                 ,10.07               ,-2.08      ,8.24                        ,1.93           ,10.53                    ,-85.67                   ,10.82                          ,16.3                  ,310.47                      ,37                             ,          8.12 ,31.18          ,59.25                       ,40.02                          ,-173.68             ,16.3                 ,3.54           ,-18.12               ,13.76                   ,-0.0035247940628746477
 6 ,2016 ,7.91                     ,8.48            ,7.66         ,8.21                       ,- -                    ,5.38                    ,-4.57                       ,7.34          ,7.51                        ,-3.08                     ,9.9               ,-3.18                       ,10.01               ,7.05   ,-0.8              ,5.38   ,5.38   ,-0.23            ,-2.34                ,-1.29             ,3.84               ,             10.12 ,10.12                ,37.48                          ,43.83                   ,15.36                   ,- -         ,69.83           ,32.98                ,7.69                           ,                     5.11 ,62.75                        ,4.48            ,6.4                     ,8.36         ,12.63               ,51.09   ,-13.06               ,18.47                     ,13.41   ,3.57                 ,8.74                         ,10.33             ,-0.68                ,-3.45        ,7.77              ,-156.32      ,3.2                             ,4.39         ,8.36                       ,4.38               ,14.74    ,9.92               ,-11.8                        ,12.25         ,1.08                  ,3.92                ,7.51       ,10.12                       ,22.52          ,12.87                    ,671.36                   ,2.46                           ,10.09                 ,116.45                      ,53.67                          ,          6.73 ,68.26          ,-25.87                      ,-101.79                        ,-162.29             ,10.09                ,-8.91          ,13.76                ,-3.81                   ,0.15451708862404412
 7 ,2017 ,5.13                     ,3.76            ,5.72         ,6.12                       ,- -                    ,6.69                    ,6.34                        ,6.75          ,153.18                      ,-2.3                      ,167.39            ,-1.83                       ,166.09              ,5.28   ,0.15              ,6.69   ,6.69   ,0.57             ,1.49                 ,148.49            ,1.92               ,             13.46 ,2.79                 ,3.85                           ,3.85                    ,7.43                    ,- -         ,-19.96          ,-1.84                ,6.12                           ,                     2.84 ,32.09                        ,2.32            ,4.11                    ,3.57         ,-0.32               ,-6.31   ,37.1                 ,0.12                      ,6.94    ,-23.2                ,-6.67                        ,-5.48             ,-1.92                ,96.43        ,65.51             ,286.73       ,27.18                           ,22.88        ,3.57                       ,-8.73              ,5.86     ,-13.86             ,-23.23                       ,-1.96         ,-0.56                 ,3.14                ,153.18     ,2.79                        ,-520.99        ,17.34                    ,-11.84                   ,11.24                          ,4.28                  ,26.22                       ,-25.46                         ,         10.84 ,24.21          ,9.2                         ,-5114.57                       ,-87.38              ,4.28                 ,23.79          ,3.71                 ,-57.42                  ,-0.01963234267117797
 8 ,2018 ,11.81                    ,16.97           ,9.59         ,12.13                      ,- -                    ,5.68                    ,41.35                       ,-0.52         ,-48.2                       ,-2.63                     ,-46.96            ,-3.05                       ,-46.73              ,6.73   ,-4.54             ,5.68   ,5.68   ,-1.98            ,-5.48                ,-53.81            ,-0.34              ,             19.41 ,8.66                 ,11.26                          ,11.26                   ,29.93                   ,- -         ,69.6            ,36.04                ,15.51                          ,                     8.32 ,13.74                        ,41.46           ,34.49                   ,34.63        ,41.33               ,-14.34  ,40.59                ,28.02                     ,80.65   ,22.06                ,58.87                        ,53.14             ,-0.1                 ,-1.82        ,9.93              ,-197.1       ,4.38                            ,4.25         ,34.63                      ,-2.55              ,76.56    ,69.36              ,55.31                        ,6.26          ,-11.04                ,12.2                ,-48.2      ,8.66                        ,-120.92        ,9.99                     ,-80.15                   ,13.52                          ,5.75                  ,-47.9                       ,271.09                         ,         16.27 ,290.55         ,-2.12                       ,-458.43                        ,359.06              ,5.75                 ,25.31          ,-25.04               ,119.8                   ,-0.06473541053506959
 9 ,2019 ,15.27                    ,15.99           ,14.95        ,15.07                      ,- -                    ,11.13                   ,9.61                        ,11.51         ,12.32                       ,-0.79                     ,12.18             ,-0.65                       ,12.03               ,14.8   ,-0.41             ,11.13  ,11.13  ,-0.28            ,-3.59                ,-3.44             ,11.63              ,             12.31 ,21.33                ,44.21                          ,44.21                   ,1.69                    ,- -         ,24.1            ,16.22                ,8.74                           ,                     6.08 ,-2.54                        ,2.54            ,3.56                    ,4.66         ,9.75                ,1.23    ,26.86                ,9.74                      ,-8.92   ,16.76                ,-1.59                        ,0.17              ,2.63                 ,- -          ,20.75             ,-384.51      ,15.52                           ,15.48        ,4.66                       ,0.6                ,-10.39   ,-22.4              ,-20.45                       ,5.9           ,14.13                 ,3.26                ,12.32      ,21.33                       ,-3.65          ,23.61                    ,761.95                   ,5.76                           ,9.23                  ,70.16                       ,-70.82                         ,         11.43 ,-76.21         ,-90.53                      ,-133.83                        ,187.31              ,9.23                 ,1.32           ,22.17                ,-4.98                   ,0.051645131854988646
10 ,2020 ,-4.94                    ,-3.83           ,-5.45        ,-1.42                      ,- -                    ,-17.19                  ,-16.98                      ,-17.25        ,-19.68                      ,0.57                      ,-19.78            ,0.3                         ,-19.57              ,-10.23 ,-5.56             ,-17.19 ,-17.19 ,-0.54            ,-12.89               ,-15.13            ,7.51               ,             10.21 ,1.13                 ,113.45                         ,113.45                  ,1.54                    ,- -         ,-58.9           ,5.31                 ,7.6                            ,                     4.75 ,7.6                          ,2.66            ,3.83                    ,3.97         ,-1.67               ,-29.34  ,7.04                 ,-4.94                     ,2.91    ,2.65                 ,2.83                         ,1.51              ,2.64                 ,- -          ,11.33             ,79.94        ,9.18                            ,9.12         ,3.97                       ,0.61               ,-4.86    ,-12.81             ,-7.42                        ,10.78         ,26.68                 ,-11.58              ,-19.68     ,1.13                        ,-81.32         ,16.85                    ,-122.11                  ,-3.74                          ,-5.46                 ,-57.24                      ,-18.83                         ,         10.84 ,75             ,5.95                        ,-29.06                         ,268.78              ,-5.46                ,-1.35          ,19.39                ,19.32                   ,0.028755192450671485
11 ,2021 ,12.38                    ,16.09           ,10.64        ,8.69                       ,- -                    ,19                      ,-49.71                      ,35.75         ,29.28                       ,0.22                      ,34.12             ,0.65                        ,33.55               ,13.17  ,0.7               ,19     ,19     ,-1.55            ,5.89                 ,19.61             ,-0.11              ,              9.23 ,5.37                 ,-25.8                          ,-25.8                   ,4.73                    ,- -         ,15.64           ,-7.23                ,3.95                           ,                     3.08 ,5.08                         ,0.8             ,1.61                    ,0.74         ,6.56                ,-32.23  ,2.6                  ,1.92                      ,-7.85   ,8.53                 ,-2.31                        ,-1.63             ,1.79                 ,- -          ,9.68              ,-21.44       ,6.39                            ,5.37         ,0.74                       ,-1.04              ,-6.39    ,-11.16             ,-13.53                       ,-8.98         ,-7.2                  ,12.5                ,29.27      ,5.37                        ,542.43         ,10.23                    ,-253.36                  ,17.82                          ,6.04                  ,-78.57                      ,11.61                          ,          9.47 ,-85.9          ,774.91                      ,185.86                         ,-147.24             ,6.04                 ,33.41          ,-12.34               ,-12.34                  ,-0.2911445988663335
12 ,2022 ,4.33                     ,-0.62           ,6.77         ,7.98                       ,- -                    ,8.68                    ,673.78                      ,-51.37        ,-64.4                       ,-3.88                     ,-60.54            ,-4.81                       ,-60.16              ,5.27   ,0.9               ,8.68   ,8.68   ,2.34             ,4.17                 ,-63.65            ,6.01               ,              8.84 ,0.12                 ,-45.48                         ,-45.48                  ,5.53                    ,- -         ,7.75            ,-12.02               ,2.66                           ,                     2.49 ,-10.9                        ,-8.57           ,-6.23                   ,-6.75        ,-40.79              ,-18.25  ,289.14               ,-4.98                     ,0.38    ,-2.77                ,-0.81                        ,-1.49             ,-1.9                 ,-5.56        ,-16.63            ,-276.42      ,-15.77                          ,-16.3        ,-6.75                      ,-6.91              ,4.55     ,24.91              ,2.16                         ,-7.41         ,7.94                  ,-1.59               ,-64.4      ,0.12                        ,344.72         ,1.6                      ,234.56                   ,-9.38                          ,13.17                 ,1206.9                      ,5.16                           ,          4.61 ,4.45           ,185.27                      ,-13.07                         ,34.03               ,13.17                ,-33.09         ,-33.61               ,138.94                  ,-0.0923519693305529
13 ,2023 ,0.12                     ,-3.8            ,1.92         ,0.84                       ,- -                    ,3.05                    ,-78.75                      ,120.57        ,206.74                      ,-6.45                     ,206.3             ,-6.37                       ,206.04              ,3.3    ,3.18              ,3.05   ,3.05   ,1.8              ,2.92                 ,186.21            ,0.12               ,              7.45 ,3.73                 ,30.87                          ,30.87                   ,9                       ,- -         ,-10.12          ,9.9                  ,7.57                           ,                     5.34 ,21.25                        ,-0.29           ,2.27                    ,2.93         ,79.69               ,18.7    ,4.89                 ,44.15                     ,2.1     ,-15.03               ,-4.21                        ,3.48              ,-2.24                ,-5.88        ,2.49              ,-52.01       ,2.17                            ,1.74         ,2.93                       ,-5.72              ,0.9      ,-0.82              ,-9.58                        ,-23.76        ,2.38                  ,- -                 ,206.74     ,3.73                        ,-118.45        ,-7.11                    ,-134.71                  ,7.91                           ,11.41                 ,-420.89                     ,-49.36                         ,          0.53 ,120.47         ,-15.28                      ,22.65                          ,-138.1              ,11.41                ,1.66           ,8.53                 ,-62.34                  ,0.04846317166796532
