   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA  ,EBIT   ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,22.46                    ,16.53           ,46.06        ,20.02                      ,14.36                  ,162.54                  ,140.35                      ,152.66        ,135.54                      ,-0.38                     ,143.91            ,-0.28                       ,143.66              ,83.85  ,50.12             ,162.54 ,162.54 ,19.27            ,114.38               ,98.42             ,9.03               ,             42.38 ,-1.84                ,21.61                          ,10                      ,11.93                   ,47.43       ,31.41           ,25.7                 ,                          8.22 ,                     3.4  ,27.87                        ,-1.11           ,                   7.87 ,17.99        ,30.67               ,121.62  ,- -                  ,34.05                     ,11.3    ,-16.79               ,-9.22                        ,12.72             ,5.97                 ,5.97         ,24.34             ,-19.64       ,23.77                           ,24.28        ,17.99                      ,-1.74              ,-9.38    ,-27.08             ,7.74                         ,-6.22         ,-8.35                 ,12.32               ,135.54     ,-1.84                       ,-271           ,10                       ,-188.19                  ,-11.52                         ,18.42                 ,23.42                       ,27.9                           ,         41.84 ,181.58         ,-451.92                     ,89.36                          ,-81.93              ,18.42                ,-26.55         ,146.25               ,-63.59                  ,1.2991179494589828
 1 ,2011 ,36.46                    ,33.81           ,44.85        ,23.54                      ,51.93                  ,187.66                  ,-101.46                     ,65.18         ,70.7                        ,-1.89                     ,81.12             ,-1.8                        ,80.95               ,140.1  ,75.95             ,187.66 ,187.66 ,6.15             ,110.8                ,30.22             ,21.85              ,             29.96 ,1.56                 ,29.3                           ,45.06                   ,12.62                   ,8.3         ,-6.22           ,12.75                ,                         12.1  ,                     6.45 ,14.17                        ,8.45            ,                  11.28 ,12.17        ,14.19               ,-65.85  ,- -                  ,12.18                     ,-7.19   ,5.92                 ,1.58                         ,7.97              ,3.46                 ,3.46         ,35.84             ,30.28        ,17.6                            ,16.71        ,12.17                      ,-2.93              ,243.97   ,194.71             ,5.6                          ,0.51          ,-12.93                ,11.99               ,70.7       ,1.56                        ,-46.49         ,90.91                    ,-86.61                   ,106.06                         ,64.89                 ,-60                         ,-15.21                         ,         27.5  ,-40.65         ,243.72                      ,283.9                          ,463.64              ,64.89                ,139.39         ,-59.27               ,15.97                   ,-0.18917931038523028
 2 ,2012 ,-3.96                    ,-4.7            ,-1.77        ,3.43                       ,15.74                  ,-30.47                  ,-4170                       ,-14.98        ,-10.69                      ,-1.91                     ,-9.25             ,-2.03                       ,-9.14               ,-25.98 ,-22.93            ,-30.47 ,-30.47 ,2.28             ,-27.61               ,-7.32             ,-8.34              ,             35.93 ,11.08                ,-8.23                          ,-7.75                   ,-2.02                   ,3.74        ,28.96           ,1.07                 ,                         19.06 ,                    12.03 ,7.04                         ,21.3            ,                  17.57 ,7.54         ,-14.03              ,-42.86  ,- -                  ,-14.25                    ,6.08    ,14.32                ,11.83                        ,-4.51             ,2.85                 ,2.85         ,21.61             ,1.28         ,20.23                           ,19.6         ,7.54                       ,-1.15              ,-17.92   ,-31.37             ,10.7                         ,17.86         ,19.25                 ,4.78                ,-10.69     ,11.08                       ,-96.72         ,-14.29                   ,3640                     ,-26.1                          ,16.44                 ,-130.77                     ,77.9                           ,         33.33 ,-40.94         ,-59.3                       ,-32.29                         ,-129.03             ,16.44                ,-49.81         ,37.68                ,-16.98                  ,0.11811422182924303
 3 ,2013 ,-0.19                    ,0.72            ,-2.77        ,1.05                       ,-2.06                  ,-6.65                   ,-6.88                       ,-6.69         ,-8.63                       ,-1.21                     ,-8.74             ,-1.19                       ,-8.77               ,-3.51  ,-3.32             ,-6.65  ,-6.65  ,-2.59            ,-6.47                ,-9.68             ,-4.15              ,             25.04 ,12.74                ,76.3                           ,97.15                   ,7.03                    ,7.2         ,-11.11          ,20.54                ,                         15.86 ,                     9.09 ,3.79                         ,13.75           ,                  13.16 ,17.37        ,7.4                 ,6.25    ,- -                  ,7.4                       ,139.54  ,4.48                 ,43.15                        ,23.04             ,1.99                 ,1.99         ,14.48             ,-17.47       ,13.74                           ,12.85        ,17.37                      ,-1.63              ,54.2     ,36.64              ,-3.43                        ,12.24         ,6.4                   ,4.13                ,-8.63      ,12.74                       ,766.67         ,2.78                     ,-126.02                  ,36.36                          ,-6.94                 ,179.17                      ,-13.85                         ,         23.53 ,1238.67        ,48.83                       ,-107.49                        ,-999.31             ,-6.94                ,92.37          ,8.73                 ,51.25                   ,0.02896719467359099
 4 ,2014 ,11.1                     ,11.16           ,10.91        ,9.11                       ,5.75                   ,14.66                   ,15.83                       ,14.87         ,9.32                        ,-2.33                     ,13.98             ,-2.32                       ,13.97               ,14.11  ,2.71              ,14.66  ,14.66  ,-0.17            ,3.2                  ,0.21              ,-2.54              ,             24.81 ,11.79                ,-15.97                         ,-14.75                  ,11.21                   ,20.37       ,11.71           ,4.82                 ,                         16.79 ,                    11.12 ,5.37                         ,2.6             ,                  10.38 ,7.12         ,17.43               ,405.88  ,- -                  ,19.39                     ,-4.96   ,14.03                ,4.93                         ,12.03             ,1.91                 ,1.91         ,13.55             ,37.5         ,3.18                            ,2.83         ,7.12                       ,-2.41              ,-38.02   ,-39.73             ,-4.09                        ,-12.21        ,-1.41                 ,13.99               ,9.32       ,11.79                       ,428.85         ,-2.7                     ,139.73                   ,8.47                           ,6.09                  ,-8.96                       ,45.86                          ,         21.9  ,-94.52         ,75.85                       ,-2682.69                       ,-124.02             ,6.09                 ,9.96           ,-5.41                ,-2.56                   ,-0.07113040122531888
 5 ,2015 ,-0.58                    ,-1.37           ,1.77         ,-0.14                      ,-2.52                  ,2.41                    ,-104.1                      ,-16.8         ,-15.32                      ,-2.52                     ,-13.07            ,-2.55                       ,-13.04              ,4.37   ,4.97              ,2.41   ,2.41   ,2.36             ,3                    ,-14.77            ,-1.66              ,             24.62 ,12.97                ,-24.35                         ,-25.64                  ,-4.28                   ,-5.55       ,-28.27          ,-12.24               ,                          1.6  ,                     2.79 ,-0.61                        ,20.11           ,                   6.93 ,-4.07        ,-3.96               ,-72.09  ,- -                  ,-5.42                     ,-0.82   ,-3.28                ,-2.21                        ,-3.89             ,1.82                 ,1.82         ,8.14              ,25.05        ,-4.43                           ,-4.24        ,-4.07                      ,-3.84              ,-82.27   ,-81.48             ,-0.35                        ,-7.21         ,3.34                  ,1.1                 ,-15.32     ,12.97                       ,-115.64        ,-33.33                   ,-90.86                   ,-9.14                          ,0.12                  ,-119.67                     ,-25.61                         ,         21.48 ,-20            ,34.33                       ,22.41                          ,61.74               ,0.12                 ,-14.72         ,-36.57               ,7.23                    ,-0.3644123620036811
 6 ,2016 ,-8.38                    ,-7.81           ,-10.01       ,-2.2                       ,-13.47                 ,-13.61                  ,-1016.67                    ,-4.69         ,-0.95                       ,-5.06                     ,4.95              ,-5.08                       ,4.98                ,-10.25 ,-2.04             ,-13.61 ,-13.61 ,-1.78            ,-5.71                ,8.75              ,-8.71              ,             14.47 ,3.11                 ,-23.8                          ,-34.54                  ,7.27                    ,-1.18       ,2.96            ,-3.02                ,                          1.47 ,                     4.27 ,-2.97                        ,3.69            ,                   1.63 ,-0.81        ,7.75                ,954.17  ,- -                  ,13.73                     ,-0.51   ,-3.04                ,-1.93                        ,6.13              ,-1.15                ,-1.15        ,6.96              ,35.09        ,-7.17                           ,-7.43        ,-0.81                      ,-4                 ,-731.53  ,-782.24            ,-7.52                        ,-14.72        ,7.66                  ,0.36                ,-0.95      ,3.11                        ,-65.12         ,33.33                    ,-306.25                  ,-6.02                          ,-23.07                ,1333.33                     ,-0.11                          ,          8.68 ,677.27         ,-13.56                      ,-14.29                         ,-22.27              ,-23.07               ,6.06           ,64.01                ,-5.69                   ,0.511414015175448
 7 ,2017 ,16.67                    ,17.47           ,14.33        ,16.81                      ,18.24                  ,14.05                   ,113.33                      ,22.54         ,-31.73                      ,-1.38                     ,-27.33            ,-1.2                        ,-27.46              ,13.12  ,-3.05             ,14.05  ,14.05  ,-2.01            ,-2.25                ,-38.58            ,10.3               ,              5.15 ,10                   ,13.55                          ,22.23                   ,19.6                    ,18.36       ,-7.97           ,15.84                ,                          3.34 ,                     5.54 ,22.2                         ,58.87           ,                  25.23 ,20.41        ,-3.05               ,65.22   ,-3643.24             ,31.26                     ,1.28    ,36.11                ,20.56                        ,26.46             ,2.65                 ,2.65         ,3.84              ,-17.46       ,5.59                            ,13.8         ,20.41                      ,-1.49              ,-9.13    ,-20.15             ,-14.89                       ,-11.75        ,-9.89                 ,5.78                ,-31.73     ,10                          ,2360           ,28.12                    ,-601.52                  ,17.67                          ,1.67                  ,-141.86                     ,14.72                          ,          3.7  ,-69.59         ,-42.03                      ,-23.78                         ,-138.62             ,1.67                 ,25.9           ,13.13                ,64.2                    ,0.1331617181515592
 8 ,2018 ,16.36                    ,17.58           ,12.71        ,1.97                       ,19.95                  ,18.83                   ,2.56                        ,16.41         ,120.02                      ,-2.7                      ,120.26            ,-2.69                       ,120.24              ,15.68  ,-0.59             ,18.83  ,18.83  ,-3.14            ,2.12                 ,84.17             ,8.91               ,              5.27 ,4.8                  ,-2.68                          ,-4.82                   ,6.85                    ,18.73       ,15.77           ,9.97                 ,                          4.3  ,                     3.24 ,5.71                         ,-3.4            ,                   1.06 ,5.46         ,9.63                ,110.29  ,-10.22               ,12.45                     ,0.57    ,6.65                 ,4.37                         ,9                 ,2.76                 ,2.76         ,12.67             ,20.23        ,1.23                            ,1.16         ,5.46                       ,-4.65              ,84.14    ,82.03              ,-4.14                        ,-2.21         ,-4.01                 ,6.84                ,120.02     ,4.8                         ,-102.71        ,29.27                    ,-223.87                  ,4.44                           ,28.59                 ,-151.39                     ,-7.41                          ,          2.43 ,399.04         ,149.89                      ,30.35                          ,-97.35              ,28.59                ,-5.59          ,-34.05               ,-51.27                  ,-0.15827386736468352
 9 ,2019 ,-0.84                    ,-2.46           ,4.24         ,0.7                        ,10.98                  ,4.06                    ,-4.43                       ,2.94          ,3.7                         ,-4.19                     ,10.18             ,-4.12                       ,10.09               ,5.26   ,6.15              ,4.06   ,4.06   ,5.12             ,4.94                 ,6.45              ,0.76               ,             10.63 ,9.98                 ,-3.61                          ,-13.35                  ,-5.07                   ,-7.26       ,13.92           ,-4.39                ,                          3.64 ,                     4.57 ,1.23                         ,23.99           ,                  11.96 ,3.54         ,1.11                ,-10.01  ,-7.14                ,-1.94                     ,-1.31   ,21.76                ,13.42                        ,4.34              ,3.3                  ,3.3          ,11.6              ,12.23        ,2.16                            ,2.49         ,3.54                       ,-4.62              ,5.54     ,2.97               ,-3.17                        ,-2.5          ,3.28                  ,-1.59               ,3.7        ,9.98                        ,-420           ,-7.55                    ,-150.98                  ,33.77                          ,-1.05                 ,186.49                      ,18.07                          ,          5.99 ,-89.79         ,6.03                        ,49.64                          ,-1700               ,-1.05                ,53.46          ,4.26                 ,26.72                   ,0.09159428062702157
