   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA  ,EBIT   ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,                    8.42 ,          18.27 ,-27.74       ,-7.15                      ,- -                    ,13.71                   ,344.5                       ,12.2          ,6.45                        ,13.29                     ,0.05              ,13.84                       ,-0.43               ,14.79  ,5.87              ,13.71  ,13.71  ,-33.35           ,4.88                 ,4.54              ,0.68               ,- -                ,18.17                ,2.75                           ,7.53                    ,                  31.69 ,- -         ,-6.21           ,                6.6  ,41.63                          ,39.09                     ,13.39                        ,10.45           ,18.49                   ,14.19        ,              42.67 ,336.07  ,-1.57                ,                     6.89 ,6.75    ,-10.32               ,3.96                         ,             5.9  ,               36.33 ,13.04        ,            26.42 ,-12.57       ,32.14                           ,28.68        ,14.19                      ,8.82               ,7.81     ,-16.21             ,16.98                        ,-0.27         ,113.7                 ,7.69                ,13.94      ,18.17                       ,-16.52         ,-5.19                    ,-96.51                   ,-31.94                         ,40.16                 ,-69.62                      ,-22.02                         ,- -            ,-66.84         ,-1707.07                    ,54.88                          ,23.37               ,40.16                ,-69.21         ,57.2                 ,-39.95                  ,0.06914971839512396
 1 ,2011 ,                   17.16 ,          16.16 ,23.13        ,20.96                      ,- -                    ,29.75                   ,454.47                      ,22.08         ,24.67                       ,2.96                      ,13.9              ,4.02                        ,12.75               ,25.38  ,7.02              ,29.75  ,29.75  ,5.1              ,10.75                ,0.1               ,-7.16              ,- -                ,12.17                ,54.59                          ,32.14                   ,                  15.57 ,- -         ,20.44           ,               43.12 ,7.13                           ,13.32                     ,-15.06                       ,8.15            ,-2.85                   ,12.68        ,              14.97 ,14.8    ,7.62                 ,                     9.46 ,6.26    ,26.42                ,9.1                          ,             9.34 ,                9.83 ,3.85         ,            24.51 ,-10.32       ,17.85                           ,17.48        ,12.68                      ,2.51               ,114.56   ,82.63              ,11.37                        ,30.75         ,-86.12                ,26.19               ,10.27      ,12.17                       ,88.95          ,30.97                    ,1807.28                  ,54.91                          ,-37.83                ,13.11                       ,-38.71                         ,- -            ,91.81          ,-107.71                     ,-90.41                         ,358.78              ,-37.83               ,273.17         ,39.35                ,32.09                   ,0.5623838459059216
 2 ,2012 ,                   55.62 ,          64.73 ,4.0          ,17.15                      ,- -                    ,-33.27                  ,-15.87                      ,-34.7         ,-35.41                      ,2.61                      ,-98.25            ,2.36                        ,-98.24              ,-22.94 ,-50.48            ,-33.27 ,-33.27 ,-33.17           ,-57.12               ,-98.84            ,21.29              ,- -                ,13.16                ,39.46                          ,47.11                   ,                  59.72 ,- -         ,119.87          ,               49.55 ,7.51                           ,9.8                       ,9.61                         ,10.86           ,9.42                    ,26.64        ,               1.18 ,4.3     ,62.96                ,                    46.76 ,53.72   ,-18.56               ,41.92                        ,            45.16 ,                6.84 ,1.85         ,             0.33 ,-9.93        ,1.86                            ,1.85         ,26.64                      ,2.88               ,37.36    ,34.86              ,-18.65                       ,1.9           ,-223.92               ,28.3                ,-110.15    ,13.16                       ,-26.8          ,37.58                    ,206.11                   ,6.61                           ,11.25                 ,107.87                      ,45.65                          ,- -            ,-4.58          ,66.47                       ,2489.7                         ,93.5                ,11.25                ,4.79           ,-6.79                ,5828.6                  ,-0.09844185895103785
 3 ,2013 ,                   33.95 ,          32.31 ,48.59        ,37.52                      ,- -                    ,103.68                  ,-38.46                      ,118.7         ,113.16                      ,5.08                      ,7751.08           ,4.72                        ,7778.51             ,70.3   ,27.14             ,103.68 ,103.68 ,10.93            ,52.06                ,6059.21           ,3.5                ,- -                ,1.52                 ,16.08                          ,22.99                   ,                  70.59 ,- -         ,34.07           ,               28.04 ,5.08                           ,10.45                     ,42.76                        ,23.91           ,26.38                   ,27.22        ,              71.64 ,-11.06  ,17.19                ,                    26.82 ,24.37   ,10.22                ,23.05                        ,            25.59 ,               31.73 ,- -          ,            29.14 ,-157.81      ,29.48                           ,30.33        ,27.22                      ,5.71               ,20.94    ,-7.2               ,-0.39                        ,0.96          ,-153.34               ,29.41               ,-1609.09   ,1.52                        ,66.67          ,48                       ,-43.84                   ,36.92                          ,-17.07                ,99.06                       ,81.91                          ,- -            ,-55            ,-69.23                      ,-13.97                         ,-28.15              ,-17.07               ,59.39          ,24.34                ,-98.34                  ,0.1417924009238163
 4 ,2014 ,                   52.44 ,          51.8  ,57.62        ,52.95                      ,- -                    ,67.51                   ,-12.5                       ,69.89         ,61.11                       ,7.48                      ,52.82             ,6.99                        ,53.51               ,60.76  ,5.45              ,67.51  ,67.51  ,3.39             ,9.88                 ,7.74              ,0.11               ,- -                ,32.84                ,56.75                          ,55.11                   ,                 112.59 ,- -         ,9.09            ,               63.94 ,12.66                          ,14.71                     ,61.62                        ,111.81          ,66.17                   ,65.03        ,             167.02 ,66.67   ,60.25                ,                    86.02 ,31.23   ,160.66               ,42.09                        ,            72.05 ,               41.41 ,- -          ,            37.02 ,-66.67       ,41.33                           ,52.13        ,65.03                      ,7.05               ,98.1     ,30.22              ,-23.94                       ,-11.87        ,11.53                 ,52.27               ,59.04      ,32.84                       ,-82.86         ,29.73                    ,657.89                   ,220.16                         ,51.47                 ,188.63                      ,147.95                         ,- -            ,941.67         ,625                         ,28.57                          ,195.36              ,51.47                ,256.69         ,-34.3                ,94.93                   ,0.6477560392331017
 5 ,2015 ,                   37.44 ,          36.56 ,44.22        ,41.64                      ,- -                    ,51.94                   ,14.29                       ,52.52         ,37.16                       ,2.37                      ,27.97             ,2.25                        ,28.12               ,47.56  ,7.36              ,51.94  ,51.94  ,4.94             ,10.55                ,-4.69             ,1.19               ,- -                ,24.72                ,8.34                           ,9.32                    ,                  40.24 ,- -         ,54.76           ,               22.16 ,16.4                           ,18.55                     ,50.55                        ,12.28           ,29.97                   ,26.01        ,              17.83 ,- -     ,29.09                ,                    25.14 ,39.13   ,6.92                 ,34.17                        ,            27.51 ,               13.81 ,- -          ,            35.39 ,900          ,23.68                           ,22.9         ,26.01                      ,1.61               ,-26.27   ,-40                ,1.84                         ,-2.38         ,65.5                  ,35.82               ,35.23      ,24.72                       ,700            ,47.92                    ,-83.56                   ,-46.2                          ,45.63                 ,7.06                        ,-4.13                          ,- -            ,2.67           ,82.76                       ,54.04                          ,-73.82              ,45.63                ,-54.64         ,109.84               ,-58.93                  ,0.2746708797392263
 6 ,2016 ,                   78.41 ,          75.19 ,101.89       ,104.96                     ,- -                    ,79.15                   ,1187.5                      ,66.43         ,56.7                        ,33.98                     ,18.16             ,33.24                       ,18.81               ,88.85  ,5.85              ,79.15  ,79.15  ,13.16            ,0.41                 ,-11.27            ,6.46               ,- -                ,150.45               ,129.08                         ,123.3                   ,                 151.37 ,- -         ,83.33           ,              132.04 ,53.86                          ,42.58                     ,135.86                       ,403.49          ,216.87                  ,175.2        ,             269.99 ,-20     ,73.78                ,                   137.61 ,282.48  ,411.18               ,298.27                       ,           182.01 ,              338.28 ,- -          ,            41.38 ,260          ,173.3                           ,160.5        ,175.2                      ,42.86              ,-234.51  ,-151.63            ,-106.96                      ,-2.35         ,-368.3                ,67.58               ,57.14      ,150.45                      ,385.42         ,108.45                   ,448.59                   ,181.31                         ,104                   ,32.82                       ,203.69                         ,- -            ,364.73         ,18.87                       ,790.82                         ,1299.33             ,104                  ,204.13         ,-57                  ,77.69                   ,-0.23666612975853896
 7 ,2017 ,                   19.15 ,          21.44 ,4.64         ,7.55                       ,- -                    ,-5.07                   ,-36.89                      ,-2.24         ,44.03                       ,8.06                      ,36.34             ,7.76                        ,36.72               ,1.23   ,-15.04            ,-5.07  ,-5.07  ,-12.18           ,-20.32               ,23.65             ,7.83               ,- -                ,29.86                ,3.79                           ,3.61                    ,                   6.16 ,- -         ,-3.92           ,                4.04 ,38.52                          ,36.72                     ,16.88                        ,3.79            ,11.16                   ,8.21         ,               7.7  ,- -     ,8.77                 ,                     8.22 ,0.95    ,9.55                 ,2.3                          ,             5.91 ,                3.79 ,- -          ,            43.12 ,-91.67       ,16.2                            ,13.58        ,8.21                       ,0.88               ,-13.52   ,-23.86             ,-418.69                      ,-3.86         ,100.9                 ,10.49               ,44.03      ,29.86                       ,-88.41         ,-8.78                    ,-62.39                   ,-19.56                         ,37.91                 ,-8.31                       ,-49.21                         ,- -            ,-84.35         ,3.17                        ,-103.02                        ,-92.71              ,37.91                ,-30.94         ,121.48               ,-45.4                   ,0.5909711154230726
 8 ,2018 ,                   24.25 ,          21.4  ,45.16        ,51.87                      ,- -                    ,21.6                    ,38.46                       ,20.63         ,10.64                       ,13.16                     ,-3.95             ,12.76                       ,-3.61               ,25.19  ,0.76              ,21.6   ,21.6   ,16.83            ,-2.13                ,-12.52            ,-11.47             ,- -                ,37.12                ,31.74                          ,31.19                   ,                  50.89 ,- -         ,14.12           ,               37.86 ,54.53                          ,47.93                     ,29.16                        ,53.44           ,43.73                   ,41.39        ,               0.06 ,850     ,56.39                ,                    28.28 ,41.6    ,32.25                ,40.02                        ,            32.71 ,               71.28 ,- -          ,            33.3  ,1766.67      ,59.37                           ,60.31        ,41.39                      ,18.91              ,114.35   ,33.71              ,76.09                        ,7.47          ,-66.48                ,40.36               ,10.64      ,37.12                       ,-40.74         ,7.41                     ,-158.36                  ,-17.13                         ,59.95                 ,133.63                      ,265.63                         ,- -            ,334.07         ,-4266.15                    ,-5724.39                       ,724.18              ,59.95                ,-47.61         ,23.94                ,-23.76                  ,0.20531476930253356
 9 ,2019 ,                   24.16 ,          27.28 ,5.01         ,-3.24                      ,- -                    ,40.74                   ,200                         ,30.26         ,46.42                       ,5.95                      ,38.53             ,5.5                         ,39.13               ,37.99  ,11.14             ,40.74  ,40.74  ,-15.42           ,13.36                ,18.22             ,3.76               ,- -                ,29.9                 ,114.15                         ,126.94                  ,                  21.3  ,- -         ,39.03           ,               69.39 ,63.07                          ,54.99                     ,12.48                        ,-1.59           ,9.35                    ,32.66        ,               2.33 ,555.26  ,8.87                 ,                     8.03 ,114.5   ,-11.83               ,94.38                        ,            42.38 ,                2.66 ,- -          ,            36.06 ,-339.29      ,14.97                           ,15.14        ,32.66                      ,0.62               ,19.27    ,3.59               ,43.71                        ,56.8          ,-283.65               ,19.66               ,46.42      ,29.9                        ,3231.25        ,22.07                    ,485.96                   ,20.18                          ,8.15                  ,-58.71                      ,-66.59                         ,- -            ,306.8          ,-102.77                     ,48.14                          ,437.91              ,8.15                 ,34.7           ,0.9                  ,-18.12                  ,-0.198234348949883
