   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA ,EBIT ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,24.55                    ,- -             ,24.56        ,14.2                       ,- -                    ,- -                     ,224.08                      ,224.08        ,209.14                      ,5.61                      ,712               ,5.8                         ,710.51              ,-14.74 ,-31.55            ,- -   ,- -  ,- -              ,- -                  ,149.19            ,25.33              ,-72.97             ,-14.74               ,-1.26                          ,-40.53                  ,-86.13                  ,- -         ,-76.46          ,-13.79               ,0.49                           ,3.87                      ,6.75                         ,44.96           ,30.93                   ,16.59        ,-4.15               ,-4.37   ,-4.37                ,-4.13                     ,91.68   ,7.13                 ,19.59                        ,19.71             ,                0.68 ,-0.48        ,-1.44             ,200.05       ,-0.18                           ,-0.18        ,16.59                      ,0.4                ,101.16   ,101.52             ,-15.56                       ,-10.08        ,- -                   ,-0.62               ,210.37     ,-14.74                      ,-9.4           ,2.17                     ,-122.61                  ,191.1                          ,46.79                 ,-53.08                      ,-57.28                         ,-71.46         ,- -            ,-99.47                      ,33.12                          ,-387.95             ,46.79                ,204.13         ,-58.2                ,-6.21                   ,-0.012141891864890564
 1 ,2011 ,0.67                     ,- -             ,0.67         ,20.31                      ,- -                    ,- -                     ,5.94                        ,5.94          ,6.66                        ,0.77                      ,12.91             ,0.68                        ,13.01               ,3.09   ,2.41              ,- -   ,- -  ,- -              ,- -                  ,13.97             ,-11.19             ,-0.77              ,3.09                 ,-4.58                          ,13.48                   ,-5.47                   ,- -         ,-20.34          ,-4.56                ,-0.04                          ,4.46                      ,-6.69                        ,12.73           ,7.12                    ,4.31         ,-4.51               ,27.56   ,27.56                ,-4.51                     ,-5.42   ,5.83                 ,3.18                         ,3.15              ,                1    ,- -          ,27.94             ,-31.85       ,11.77                           ,11.77        ,4.31                       ,0.64               ,-1.02    ,-11.45             ,18.63                        ,-0.06         ,- -                   ,13.35               ,14.73      ,3.09                        ,-38.99         ,26.85                    ,94.59                    ,-8.44                          ,-7.35                 ,-223.21                     ,-332.2                         ,- -            ,94.8           ,-125                        ,-121.8                         ,-117.14             ,-7.35                ,-8.49          ,10.55                ,-20.19                  ,-0.0020425729342180565
 2 ,2012 ,27.78                    ,- -             ,27.78        ,6.96                       ,- -                    ,- -                     ,9.77                        ,9.77          ,14.79                       ,23.18                     ,-8.91             ,23.39                       ,-9.07               ,210.33 ,142.86            ,- -   ,- -  ,- -              ,- -                  ,-12.54            ,1.8                ,12.4               ,0.67                 ,69.55                          ,101.18                  ,50.85                   ,- -         ,- -             ,69.44                ,30.53                          ,24.22                     ,65.07                        ,41.43           ,46.94                   ,51.89        ,-3.43               ,- -     ,- -                  ,-3.43                     ,27.73   ,62.06                ,54.63                        ,54.47             ,               31.44 ,20           ,29.06             ,337.28       ,36.52                           ,36.52        ,51.89                      ,26.58              ,-13.82   ,-36.87             ,3.06                         ,75.47         ,- -                   ,25.52               ,11.76      ,210.33                      ,94.13          ,5.29                     ,-159.95                  ,21.53                          ,77.78                 ,92.12                       ,73.57                          ,38.46          ,83.29          ,-159600                     ,304.55                         ,786.25              ,77.78                ,19.05          ,32.5                 ,8.74                    ,0.2408987742055504
 3 ,2013 ,7.61                     ,- -             ,7.61         ,10.78                      ,- -                    ,- -                     ,27.45                       ,27.45         ,17.62                       ,3.31                      ,13.49             ,3.72                        ,13.04               ,10.9   ,3.06              ,10.81 ,- -  ,- -              ,- -                  ,9.9               ,1.56               ,367.06             ,11.09                ,-36.36                         ,-46.17                  ,-16.29                  ,- -         ,- -             ,-35.92               ,7.03                           ,10.63                     ,-4.76                        ,8.52            ,4.9                     ,-5.07        ,-31.78              ,- -     ,- -                  ,-31.78                    ,-18.34  ,-3.61                ,-6.24                        ,-6.28             ,                4.7  ,- -          ,15.98             ,-218         ,3.07                            ,3.07         ,-5.07                      ,-1.64              ,-10.15   ,-12.83             ,13.94                        ,-6.07         ,- -                   ,5.96                ,18.25      ,10.9                        ,-13.56         ,20.6                     ,-116.34                  ,10.2                           ,46.07                 ,-92.49                      ,-120.69                        ,382.54         ,-73.47         ,-129.84                     ,-230.57                        ,-191.32             ,46.07                ,7.84           ,23.67                ,-6.81                   ,0.045827297876848805
 4 ,2014 ,-0.42                    ,- -             ,-0.42        ,6.01                       ,- -                    ,- -                     ,2.37                        ,2.37          ,0.71                        ,-2.86                     ,9.34              ,-2.67                       ,9.13                ,-3.05  ,-2.64             ,5.45  ,- -  ,- -              ,- -                  ,6.92              ,-9.19              ,26.31              ,-20.72               ,-2.1                           ,21.67                   ,1.2                     ,- -         ,278.72          ,-2.73                ,-4.01                          ,-4.19                     ,1.77                         ,6.37            ,5.08                    ,3.97         ,3.26                ,- -     ,-99.43               ,-17.26                    ,19.72   ,0.01                 ,3.08                         ,3.33              ,                5.06 ,- -          ,17.49             ,-50.69       ,7.93                            ,7.93         ,3.97                       ,-3.37              ,19.38    ,10.61              ,7.44                         ,17.57         ,- -                   ,9.65                ,6.47       ,-3.05                       ,-11.34         ,-14.58                   ,-403.94                  ,-6.81                          ,-38.63                ,-252.58                     ,-529.75                        ,22.7           ,203.17         ,104.31                      ,-141.35                        ,-119.95             ,-38.63               ,-3.97          ,18.26                ,-12.47                  ,-0.019197238361274183
 5 ,2015 ,5.04                     ,- -             ,5.04         ,9.18                       ,- -                    ,- -                     ,-10.47                      ,-10.47        ,-9.29                       ,-3.78                     ,-7.25             ,-4.18                       ,-6.86               ,4.9    ,-0.14             ,13.61 ,- -  ,- -              ,- -                  ,-12.92            ,6.43               ,35.7               ,-19.17               ,0.63                           ,10.25                   ,-17.14                  ,- -         ,-110.96         ,0.93                 ,-2.74                          ,1.7                       ,2.7                          ,12.26           ,9.77                    ,8.16         ,-5.68               ,82.15   ,- -                  ,7930.31                   ,22.19   ,-3.27                ,1.33                         ,8.7               ,                6.41 ,- -          ,12.81             ,43.26        ,4.95                            ,4.95         ,8.16                       ,-4.72              ,74.16    ,65.94              ,-2.59                        ,-98.74        ,- -                   ,-1.3                ,-8.54      ,4.9                         ,30.72          ,-21.46                   ,16.58                    ,8.85                           ,5.98                  ,253.14                      ,85.89                          ,30.56          ,185.45         ,19.79                       ,166.82                         ,-17.88              ,5.98                 ,9.01           ,-23.54               ,19                      ,-0.10183155324153881
 6 ,2016 ,8.92                     ,- -             ,8.92         ,4.38                       ,- -                    ,- -                     ,-6.75                       ,-6.75         ,-6.03                       ,-6.81                     ,-2.48             ,-6.97                       ,-2.31               ,15.62  ,6.15              ,22.28 ,- -  ,- -              ,- -                  ,-14.97            ,4.54               ,13.04              ,-10.23               ,7.8                            ,24.95                   ,13.62                   ,- -         ,- -             ,7.85                 ,2.54                           ,6.97                      ,4.35                         ,7.48            ,6.72                    ,6.88         ,9.36                ,-14.52  ,- -                  ,-14.17                    ,2.29    ,11.68                ,9.63                         ,7.94              ,                5.07 ,16.67        ,10.06             ,54.06        ,0.49                            ,0.49         ,6.88                       ,-8.93              ,-5.09    ,-5.55              ,-6.16                        ,25.66         ,- -                   ,4.19                ,-7.38      ,15.62                       ,25.99          ,48.45                    ,-94.44                   ,17.07                          ,46.43                 ,48.06                       ,-13.78                         ,5.34           ,-20.73         ,51.5                        ,-22.83                         ,150.06              ,46.43                ,15.45          ,-6.01                ,26.41                   ,0.14226308853525338
 7 ,2017 ,6.81                     ,- -             ,6.81         ,7.93                       ,- -                    ,- -                     ,0.15                        ,0.15          ,-43.85                      ,-4.1                      ,-49.38            ,-4.16                       ,-49.35              ,0.49   ,-5.91             ,7.49  ,- -  ,- -              ,- -                  ,-50.53            ,2.47               ,6.21               ,-36.53               ,1.94                           ,40.74                   ,13.69                   ,- -         ,- -             ,2.24                 ,9.74                           ,10.38                     ,0.29                         ,2.96            ,2.46                    ,2.43         ,26.3                ,-49.89  ,- -                  ,-48.46                    ,0.4     ,6.75                 ,5.45                         ,2.41              ,                1.6  ,- -          ,3.14              ,-2.42        ,2.56                            ,2.56         ,2.43                       ,1.11               ,-18.59   ,-20.63             ,1.09                         ,98.39         ,- -                   ,4.23                ,-47.16     ,0.49                        ,71.75          ,2.09                     ,-1584                    ,19.62                          ,30.68                 ,-90.48                      ,-39.36                         ,1.85           ,41.6           ,-97.85                      ,-79.54                         ,-4.81               ,30.68                ,18.84          ,-7.94                ,126.38                  ,-0.031184700192255166
 8 ,2018 ,0.82                     ,- -             ,1.25         ,4.39                       ,- -                    ,- -                     ,33.25                       ,33.25         ,184.6                       ,-0.89                     ,237.89            ,-1.13                       ,238.7               ,-1.8   ,-2.6              ,1.23  ,- -  ,- -              ,- -                  ,201.01            ,4.42               ,0.22               ,-28.98               ,14.78                          ,-6.08                   ,5.08                    ,- -         ,- -             ,14.5                 ,3.92                           ,5.6                       ,24.43                        ,-7.16           ,-0.28                   ,1.87         ,10.9                ,5.12    ,- -                  ,5.39                      ,-1.93   ,1.84                 ,1.11                         ,1.23              ,                1.21 ,- -          ,16.86             ,36.39        ,6.03                            ,6.03         ,1.87                       ,-3.67              ,0.26     ,-5.44              ,6.49                         ,8.65          ,- -                   ,-3.45               ,203.48     ,-1.8                        ,-41.75         ,-30.33                   ,-398.11                  ,-8.49                          ,-14.15                ,5356.31                     ,0.5                            ,-0.67          ,-83.16         ,2675                        ,-44.78                         ,-146.42             ,-14.15               ,-8.05          ,-19.15               ,-69.85                  ,-0.1652883367931436
 9 ,2019 ,4.12                     ,- -             ,3.68         ,9.63                       ,- -                    ,- -                     ,-6.07                       ,-6.07         ,-8.17                       ,-2.56                     ,-6.04             ,-2.73                       ,-5.88               ,39.36  ,33.84             ,45.23 ,- -  ,- -              ,- -                  ,-11.45            ,-4.5               ,2.33               ,-35.63               ,56.09                          ,1.68                    ,8.92                    ,- -         ,- -             ,54.84                ,4.46                           ,5.28                      ,-4.47                        ,-5.38           ,-5.01                   ,4.79         ,-4.15               ,-22.65  ,- -                  ,-21.76                    ,-5.41   ,6.61                 ,4.35                         ,3.58              ,                2.93 ,- -          ,12.45             ,-191.53      ,12.28                           ,12.28        ,4.79                       ,-2.38              ,-10      ,-19.84             ,11.28                        ,97.91         ,- -                   ,9.03                ,-7.8       ,39.36                       ,22.79          ,40.59                    ,-169.98                  ,28.21                          ,1.49                  ,-134.89                     ,47.25                          ,-0.29          ,54.83          ,-39.21                      ,272.48                         ,-130.13             ,1.49                 ,30.14          ,5.04                 ,39.05                   ,0.0973871446557486
