   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA   ,EBIT    ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,29.98                    ,29.81           ,30.45        ,9.56                       ,- -                    ,88.66                   ,52                          ,96.87         ,131.3                       ,-0.56                     ,135.11            ,-0.44                       ,134.83              ,49.37  ,14.92             ,88.66   ,88.66   ,0.37             ,45.15                ,79.88             ,31.29              ,12.74              ,-2.53                ,2023.62                        ,1644.28                 ,19.65                   ,5.2         ,-13.32          ,63.75                ,-5.88                          ,1.4                       ,-12.74                       ,-0.03           ,-7.43                   ,2.44         ,15.64               ,-45.83  ,- -                  ,15.72                     ,-15.86  ,-4.58                ,-9.19                        ,-2.6              ,                1.03 ,- -          ,23.7              ,59.69        ,9.76                            ,9.6          ,2.44                       ,-3.76              ,-49.71   ,-54.11             ,7.65                         ,41.51         ,101.28                ,-1                  ,131.3      ,-2.53                       ,586.24         ,- -                      ,-447.03                  ,36.59                          ,-30.62                ,- -                         ,-146.96                        ,12.11          ,-90.4          ,-28815.38                   ,349                            ,-2958.84            ,-30.62               ,487.76         ,25.62                ,-41.58                  ,0.25950818224961525
 1 ,2011 ,24.41                    ,34.33           ,-3.36        ,3.64                       ,- -                    ,-8.79                   ,-154.89                     ,16.46         ,9.5                         ,-7.05                     ,17.8              ,-6.97                       ,17.7                ,-9.82  ,-27.51            ,-8.79   ,-8.79   ,-22.32           ,-26.69               ,-11.99            ,23.99              ,23.07              ,-12.43               ,-44.74                         ,-38.86                  ,4.52                    ,-10.89      ,26.11           ,-12.82               ,1.97                           ,4.18                      ,1.67                         ,-10.57          ,1.12                    ,-1.97        ,2.13                ,8.23    ,2.78                 ,2.37                      ,-4.62   ,1.85                 ,-0.6                         ,0.33              ,                1.34 ,- -          ,21.78             ,-35.58       ,-4.87                           ,-4.88        ,-1.97                      ,-12.4              ,19.13    ,25.25              ,-2.92                        ,-14.83        ,32.79                 ,0.34                ,9.5        ,-12.43                      ,-26.4          ,- -                      ,-118.8                   ,15.26                          ,48.83                 ,-245.72                     ,-250.38                        ,14.39          ,- -            ,195.39                      ,27.19                          ,-141.32             ,48.83                ,-11.34         ,-20.45               ,5.27                    ,0.10991160402306721
 2 ,2012 ,-76.55                   ,-80.37          ,-61.67       ,-46.78                     ,- -                    ,-37.47                  ,18.09                       ,-32.95        ,-40.16                      ,-9.54                     ,-25.08            ,-9.66                       ,-24.98              ,-31.9  ,190.34            ,-37.47  ,-37.47  ,63.43            ,166.59               ,188.95            ,-58.64             ,-0.22              ,-17.07               ,-43.12                         ,-37.4                   ,-44.44                  ,-79.16      ,278.67          ,-20.61               ,-20.1                          ,-15.43                    ,-26.84                       ,-64.26          ,-24.27                  ,-23.55       ,-39.31              ,-5.73   ,-33.21               ,-37.85                    ,-3.89   ,-19.34               ,-13.72                       ,-21.46            ,                1.34 ,5.88         ,-28.17            ,32.91        ,-26.43                          ,-26.33       ,-23.55                     ,-5.11              ,7.5      ,45.92              ,- -                          ,27.74         ,1305.64               ,-43.29              ,-32.03     ,-17.07                      ,-93.79         ,- -                      ,252.99                   ,-29.14                         ,26.38                 ,- -                         ,65.74                          ,-9.75          ,1591.53        ,-55.02                      ,-72.52                         ,-40.5               ,26.38                ,-102.96        ,1.71                 ,4.56                    ,-0.04206932883095793
 3 ,2013 ,-6.13                    ,-3.34           ,-11.69       ,-22.78                     ,- -                    ,-8.19                   ,4.74                        ,-6.33         ,7.43                        ,-1.03                     ,9.77              ,-1.06                       ,9.8                 ,-1.15  ,5.3               ,-8.19   ,-8.19   ,-5.93            ,-2.19                ,15.73             ,-13.78             ,2.77               ,12.98                ,80.15                          ,72.64                   ,-7.57                   ,23.73       ,-72.38          ,-20.7                ,8.27                           ,9.49                      ,-0.22                        ,15.27           ,6.31                    ,0.78         ,-13.01              ,-38.32  ,13.48                ,-13.27                    ,1.46    ,-3.74                ,-1.63                        ,-4.59             ,                0.81 ,- -          ,16.48             ,-51.02       ,8.55                            ,8.39         ,0.78                       ,0.49               ,-14.86   ,-21.45             ,7.56                         ,-8.57         ,-54.88                ,8.88                ,8.44       ,12.98                       ,135.17         ,- -                      ,-103.87                  ,15.55                          ,9.63                  ,- -                         ,-46.24                         ,1.71           ,- -            ,-100.4                      ,59.18                          ,-223.65             ,9.63                 ,-320           ,7.9                  ,6.36                    ,-0.025236767562103024
 4 ,2014 ,-3.47                    ,5.42            ,-22.87       ,-13.93                     ,- -                    ,-31.41                  ,-53.8                       ,-35           ,-27.75                      ,0.52                      ,-25.36            ,0.49                        ,-25.34              ,-14.9  ,-11.84            ,-31.41  ,-31.41  ,-20.1            ,-28.94               ,-22.28            ,-7.01              ,5.19               ,12.04                ,-22.34                         ,-18.96                  ,-19.79                  ,11.47       ,-33.85          ,-20.79               ,3.59                           ,5.85                      ,1.94                         ,-22.89          ,2.46                    ,-1.29        ,-23.51              ,-69.1   ,4.28                 ,-23.74                    ,6.22    ,3.35                 ,4.55                         ,-1.98             ,                0.83 ,- -          ,8.12              ,-195         ,-0.34                           ,-0.42        ,-1.29                      ,0.44               ,13.54    ,14.01              ,0.88                         ,3.87          ,-36.53                ,3.8                 ,-24.71     ,12.04                       ,-304.24        ,- -                      ,-1152.08                 ,4.03                           ,9.96                  ,- -                         ,142.06                         ,5.73           ,50             ,75                          ,-63.91                         ,-135.89             ,9.96                 ,-163.64        ,-6.86                ,38.66                   ,-0.09879624113191343
 5 ,2015 ,-43.71                   ,-27.41          ,-92.35       ,29.66                      ,- -                    ,-160.55                 ,-305.6                      ,-177.09       ,-175.27                     ,0.37                      ,-164.23           ,-0.32                       ,-164.67             ,-75.52 ,-56.5             ,-160.55 ,-160.55 ,-86.41           ,-207.57              ,-214.53           ,-32.39             ,3.56               ,9.41                 ,-53.22                         ,-53.22                  ,-33.69                  ,-15.55      ,-58.08          ,-41.67               ,-11.93                         ,-6.41                     ,-16.41                       ,6.65            ,-12.59                  ,-16.35       ,-33.74              ,684.07  ,1.03                 ,-19.77                    ,4.78    ,-18.63               ,-8.69                        ,-10.68            ,                0.62 ,- -          ,-18.18            ,228.44       ,-23.4                           ,-23.32       ,-16.35                     ,0.38               ,28.62    ,67.74              ,-8.33                        ,-27.3         ,-114.02               ,-16.75              ,-163       ,9.41                        ,55.85          ,- -                      ,-95.64                   ,-54.75                         ,-41.18                ,- -                         ,-42.8                          ,3.94           ,-16.57         ,-334.29                     ,-44.48                         ,158.97              ,-41.18               ,608            ,27.08                ,-170.19                 ,-0.2828002498115453
 6 ,2016 ,-19.86                   ,-13.42          ,-202.08      ,-24.13                     ,- -                    ,-12.51                  ,-49                         ,-23.61        ,-18.58                      ,0.28                      ,-18.59            ,0.28                        ,-18.59              ,14.21  ,42.5              ,-12.51  ,-12.51  ,-227.38          ,9.17                 ,1.87              ,-4.19              ,-65.9              ,-0.56                ,54.56                          ,52.45                   ,-24.37                  ,-9.43       ,-33.97          ,-2.05                ,-12.21                         ,-3.98                     ,2.45                         ,4.13            ,-8.49                   ,-7.91        ,-26.09              ,-23.69  ,-22.32               ,-25.36                    ,11.65   ,-13.13               ,-1.06                        ,-4.98             ,                0.32 ,- -          ,-13.36            ,-0.86        ,-12.04                          ,-12.12       ,-7.91                      ,0.1                ,5.12     ,19.61              ,-4.57                        ,31.23         ,515.9                 ,-16.35              ,-18.58     ,-0.56                       ,-121.7         ,- -                      ,2086.36                  ,-41.85                         ,-51.55                ,- -                         ,-55.41                         ,-65.8          ,83.91          ,130.49                      ,-153.46                        ,-152.07             ,-51.55               ,-81.19         ,108.6                ,-28.77                  ,0.005969903292819323
 7 ,2017 ,22.85                    ,-0.93           ,-547.86      ,-22.41                     ,- -                    ,-152.3                  ,338.11                      ,-52.71        ,-77.72                      ,-1.96                     ,-75.88            ,-1.96                       ,-75.88              ,96.56  ,60.01             ,-152.3  ,-152.3  ,-464.57          ,-142.58              ,-80.75            ,43.32              ,6.23               ,-24.46               ,175.87                         ,75.21                   ,26.54                   ,4.13        ,100.19          ,91.8                 ,-21.68                         ,-15.96                    ,-54.92                       ,-18.09          ,-29.96                  ,-18.28       ,18.83               ,136.46  ,5.22                 ,36.01                     ,-34.59  ,-25.24               ,-30.38                       ,-21.97            ,                0.25 ,- -          ,-6.84             ,-10.9        ,-12.49                          ,-12.56       ,-18.28                     ,-4.86              ,-43.47   ,-35.35             ,7                            ,41.02         ,-48.37                ,-14.29              ,-77.72     ,-24.46                      ,-263.17        ,- -                      ,-103.12                  ,60.73                          ,-5.71                 ,- -                         ,-301.14                        ,4.15           ,- -            ,1520.63                     ,-1717.28                       ,89.83               ,-5.71                ,-633.48        ,-14.32               ,579.58                  ,-0.0747350017345687
 8 ,2018 ,25.12                    ,3.96            ,137.46       ,-28.52                     ,- -                    ,296.36                  ,-117.01                     ,-481.38       ,-895.08                     ,-4.47                     ,-866.03           ,-3.73                       ,-860.14             ,64.94  ,31.83             ,296.36  ,296.36  ,89.79            ,216.78               ,-684.9            ,32.07              ,9.33               ,-12.99               ,-24.48                         ,-6.48                   ,-5.86                   ,-5          ,-44.44          ,-19.61               ,0.03                           ,0.15                      ,1.14                         ,-13.59          ,-0.25                   ,-4.61        ,6.18                ,-95.65  ,11.59                ,-21.3                     ,-13.26  ,-2.31                ,-7.97                        ,-10.91            ,                0.55 ,- -          ,15.72             ,9.88         ,4.35                            ,4.1          ,-4.61                      ,-3.29              ,-32.33   ,-34.99             ,9.13                         ,2.15          ,-101.08               ,-5.26               ,-895.08    ,-12.99                      ,-96.24         ,- -                      ,4133.33                  ,82.76                          ,47.03                 ,13.21                       ,-149.51                        ,4.44           ,- -            ,-6.04                       ,-24.26                         ,-110.79             ,47.03                ,148.75         ,-36.05               ,-124.97                 ,0.21866139763873116
 9 ,2019 ,-10.57                   ,-8.68           ,-14.98       ,38.65                      ,- -                    ,-22.71                  ,194.27                      ,-4.5          ,15.1                        ,-4.22                     ,19.96             ,-4.42                       ,20.21               ,-12.86 ,-2.56             ,-22.71  ,-22.71  ,-4.93            ,-13.58               ,28.48             ,-7.13              ,14.9               ,2.25                 ,34.12                          ,-13.98                  ,-16.38                  ,1.89        ,292.87          ,27.41                ,-7.5                           ,-11.62                    ,-6.88                        ,57.53           ,-5.48                   ,0.76         ,-3.07               ,-6.25   ,-18.05               ,-4.76                     ,-0.44   ,-12.98               ,-6.88                        ,-6.47             ,                0.22 ,- -          ,16.85             ,-11.64       ,9.52                            ,9.31         ,0.76                       ,-4.7               ,8.33     ,-0.9               ,8.48                         ,33.78         ,-3040.48              ,-3.7                ,15.1       ,2.25                        ,-4478.95       ,- -                      ,-191.18                  ,-14.15                         ,-1.69                 ,-279.63                     ,72.21                          ,10.05          ,- -            ,22.65                       ,-44.13                         ,177.24              ,-1.69                ,-27.75         ,9.5                  ,-25.28                  ,-0.22248824601580863
