   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA ,EBIT  ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,                    9.13 ,           9.08 ,        9.51 ,                      7.5  ,- -                    ,                  15.77 ,-71.25                      ,        19.84 ,21.82                       ,1.07                      ,18.72             ,1.25                        ,18.5                , 13.88 ,4.35              ,15.77 ,15.77 ,0.34             ,6.08                 ,9.94              ,5.42               ,12.99              ,                9.2  ,27.42                          ,1.81                    ,6                       ,4.31        ,17.79           ,13.26                ,-42.5                          ,-26.16                    ,10.87                        ,1205.24         ,                   3.99 ,8.35         ,-17.06              ,-73.2   ,103.08               ,8.43                      ,-2.95   ,43.67                ,5.3                          ,7.73              ,7.97                 ,- -          ,8.02              ,17.31        ,8.97                            ,9.1          ,8.35                       ,-0.57              ,22.6     ,12.37              ,0.73                         ,4.46          ,-13.74                ,               3.52 ,21.82      ,                       9.2  ,-46.55         ,                    4.97 ,17066.67                 ,32.89                          ,-15.6                 ,-733.11                     ,83.02                          ,14.19          ,-94.85         ,698.55                      ,63.78                          ,-91.67              ,-15.6                ,104.87         ,-4.01                ,10.76                   ,0.10896093704410958
 1 ,2011 ,                   14.07 ,          14.33 ,       12.31 ,                     10.74 ,- -                    ,                  17.43 ,143.48                      ,        16.02 ,16.55                       ,-0.57                     ,12.84             ,-0.64                       ,12.93               , 14.69 ,0.54              ,17.43 ,17.43 ,-1.54            ,2.94                 ,-1.64             ,2.25               ,15.75              ,                7.55 ,18.19                          ,24.74                   ,9.16                    ,17.74       ,12.13           ,17.07                ,3.64                           ,9.88                      ,- -                          ,19.65           ,                   7.83 ,12.37        ,10.04               ,3361.54 ,12.62                ,19.75                     ,-41.48  ,29.96                ,-24.24                       ,10.11             ,9.74                 ,- -          ,7.91              ,205.74       ,10.83                           ,15.03        ,12.37                      ,0.17               ,77.27    ,54.1               ,2.41                         ,-2.24         ,199.23                ,              11.56 ,16.55      ,                       7.55 ,82.99          ,                    8.95 ,3.3                      ,15.04                          ,22.27                 ,-93.72                      ,-41.44                         ,15.09          ,-8.14          ,13.25                       ,77.61                          ,1510.87             ,22.27                ,10.61          ,18.91                ,2.53                    ,0.1674601026636986
 2 ,2012 ,                   11.5  ,          11.69 ,       10.18 ,                      9.63 ,- -                    ,                  13.12 ,-114.29                     ,        16.11 ,14.59                       ,-0.57                     ,17.57             ,-0.84                       ,17.88               , 11.32 ,-0.15             ,13.12 ,13.12 ,-1.18            ,1.46                 ,4.84              ,5.09               ,15.31              ,                6.2  ,-13.52                         ,-12                     ,6.32                    ,6.9         ,12.24           ,-1.31                ,99.52                          ,57.22                     ,- -                          ,-90.04          ,                   4.28 ,1.42         ,57.56               ,-99.89  ,-57.71               ,1.74                      ,10.22   ,10.85                ,10.48                        ,3.06              ,-3.25                ,- -          ,10.17             ,-58.18       ,2.99                            ,-0.44        ,1.42                       ,-0.44              ,15.62    ,16.13              ,-1.8                         ,-3            ,-2.25                 ,               6.1  ,14.59      ,                       6.2  ,-24.91         ,                   16.43 ,-66.17                   ,-4.41                          ,14.73                 ,-525                        ,4.75                           ,14.65          ,787.34         ,1.28                        ,78.62                          ,-162.08             ,14.73                ,-17.35         ,24.47                ,-18.22                  ,0.14990638603701822
 3 ,2013 ,                    6.07 ,           5.9  ,        7.26 ,                      6.16 ,- -                    ,                  10.66 ,-125                        ,        10.26 ,16.64                       ,0.49                      ,18.73             ,0.26                        ,19                  ,  9.05 ,2.81              ,10.66 ,10.66 ,1.12             ,4.32                 ,12.48             ,0.31               ,694.32             ,                4.19 ,26.16                          ,31.63                   ,17.06                   ,11.25       ,12.91           ,17.11                ,-48                            ,-28.98                    ,- -                          ,1079.63         ,                   6.09 ,11.58        ,-3.9                ,- -     ,71.87                ,8.13                      ,261.91  ,3.57                 ,154.61                       ,31.79             ,6.89                 ,- -          ,-19.8             ,-178.21      ,-12.36                          ,-12.03       ,11.58                      ,1.04               ,-116.5   ,-118.75            ,-21.22                       ,8.3           ,4.93                  ,               5.75 ,16.64      ,                       4.19 ,10.89          ,                   18.26 ,14.44                    ,12.43                          ,40.74                 ,-173.33                     ,82.12                          ,698.21         ,476.75         ,-94.3                       ,-101.93                        ,-367.39             ,40.74                ,-14.14         ,-7.24                ,-5.77                   ,-0.07767550562316683
 4 ,2014 ,                    7.12 ,           7.08 ,        7.37 ,                      7.87 ,- -                    ,                   5.47 ,1050                        ,         4.79 ,1.31                        ,0.68                      ,0.25              ,0.45                        ,0.48                ,  6.25 ,-0.81             , 5.47 , 5.47 ,0.24             ,-1.54                ,-5.77             ,1.07               ,-83.71             ,                8.77 ,19.45                          ,23.56                   ,-4.41                   ,7.12        ,7.73            ,11.04                ,120.03                         ,63.35                     ,- -                          ,-92.13          ,                   6.88 ,9.05         ,21.84               ,- -     ,-30.14               ,8.71                      ,1.9     ,-1.18                ,1.38                         ,6.42              ,5.33                 ,- -          ,18.7              ,-37.7        ,13.57                           ,13.65        ,9.05                       ,0.19               ,-282.2   ,-260.32            ,4.6                          ,2.14          ,5.24                  ,               5.98 ,1.31       ,                       8.77 ,-9.82          ,                   14.74 ,222.82                   ,15.92                          ,-4.32                 ,-48.13                      ,-7.02                          ,-83.6          ,-93.05         ,827.78                      ,-1886.36                       ,-10.16              ,-4.32                ,47.05          ,1.01                 ,14.84                   ,0.09069745924922823
 5 ,2015 ,                    3.16 ,           2.65 ,        6.71 ,                      5.01 ,- -                    ,                  12.55 ,-13.04                      ,        12.73 ,15.37                       ,0.17                      ,15.3              ,0.05                        ,15.44               , 11.81 ,8.39              ,12.55 ,12.55 ,3.44             ,9.1                  ,11.96             ,-1.87              ,389.73             ,                9.52 ,-12.25                         ,-16.33                  ,6.62                    ,5.35        ,11.81           ,-1.64                ,3.85                           ,4.36                      ,- -                          ,22.11           ,                   4.57 ,1.26         ,1.81                ,128200  ,26.76                ,14.77                     ,-4.5    ,18.82                ,-0.66                        ,10.18             ,6.08                 ,- -          ,-12.6             ,1375         ,-13.7                           ,-13.36       ,1.26                       ,0.06               ,-308.68  ,-340.86            ,-14.44                       ,-14.3         ,-8.52                 ,               5.13 ,15.37      ,                       9.52 ,- -            ,                   20.49 ,-17.74                   ,7.56                           ,20.07                 ,-30.93                      ,18.49                          ,390.58         ,318.51         ,44.01                       ,195.67                         ,-146.97             ,20.07                ,-4.97          ,2.48                 ,-6.88                   ,0.1967156906820371
 6 ,2016 ,                    2.17 ,           1.82 ,        4.52 ,                      5.44 ,- -                    ,                   1.32 ,165                         ,         0.42 ,-1.37                       ,-0.2                      ,-0.94             ,-0.33                       ,-0.81               ,  3.7  ,1.5               , 1.32 , 1.32 ,2.3              ,-0.83                ,-3.23             ,-3.92              ,-73.91             ,               11.36 ,-26.33                         ,-29.62                  ,2.29                    ,0.68        ,-64.17          ,-12.03               ,10.66                          ,10.58                     ,- -                          ,21.89           ,                  11.18 ,-0.83        ,-9.62               ,-14.26  ,13.49                ,-5.83                     ,-16.51  ,0.17                 ,-13.22                       ,-7.82             ,5.21                 ,- -          ,17.92             ,-1.96        ,13.77                           ,13.73        ,-0.83                      ,-0.1               ,32.39    ,16.41              ,14.68                        ,-6.58         ,67.21                 ,               6.34 ,-1.37      ,                      11.36 ,232.18         ,                   16.5  ,-284.64                  ,-23.17                         ,10.7                  ,-513.43                     ,-5.44                          ,-73.96         ,-68.37         ,1.04                        ,4.09                           ,183.62              ,10.7                 ,-66.01         ,30.24                ,-22.29                  ,-0.0925725816412788
 7 ,2017 ,                    8.68 ,           8.73 ,        8.38 ,                      7.31 ,- -                    ,                  11.96 ,35.85                       ,        11.61 ,14.23                       ,-0.03                     ,14.04             ,-0.07                       ,14.08               , 11.24 ,2.36              ,11.96 ,11.96 ,-0.28            ,3.01                 ,4.89              ,2.56               ,423.5              ,                9.16 ,22.2                           ,34.54                   ,14.38                   ,9.64        ,1.49            ,13.79                ,6.56                           ,8.31                      ,- -                          ,-3.66           ,                   6.05 ,9.6          ,19.46               ,-92.18  ,22.94                ,12.33                     ,61.86   ,0.42                 ,47.89                        ,21.3              ,5.68                 ,100          ,-22.09            ,-7.73        ,-10.77                          ,-10.16       ,9.6                        ,-0.07              ,18.57    ,31.99              ,-18.03                       ,1.3           ,9.03                  ,               5.96 ,14.23      ,                       9.16 ,-29.81         ,                   11.98 ,-314.95                  ,104.31                         ,-5.55                 ,-61.73                      ,0.9                            ,423.32         ,916.67         ,-3.5                        ,33.03                          ,-177.58             ,-5.55                ,556.92         ,-37.91               ,79.22                   ,0.029520746226180172
 8 ,2018 ,                    9.73 ,          10.07 ,        7.47 ,                      7.15 ,- -                    ,                   8.98 ,-47.22                      ,         9.98 ,17.13                       ,0.02                      ,16.96             ,0.2                         ,16.75               ,  7.95 ,-1.62             , 8.98 , 8.98 ,-2.06            ,-0.69                ,6.61              ,3.46               ,-82.35             ,                4.89 ,25.61                          ,33.19                   ,16.55                   ,12.26       ,18.01           ,17.16                ,8.37                           ,8.37                      ,- -                          ,-1.04           ,                   7.94 ,12.33        ,15.19               ,4.65    ,9.93                 ,13.9                      ,-1.31   ,9.5                  ,0.36                         ,9.73              ,5.29                 ,- -          ,31.71             ,18.24        ,18.75                           ,18.27        ,12.33                      ,0.23               ,-75.3    ,-79.11             ,5.28                         ,2.87          ,-34.18                ,               6.06 ,17.13      ,                       4.89 ,3.82           ,                    5.84 ,-69.18                   ,-14.15                         ,18.67                 ,-83.02                      ,24.56                          ,-82.35         ,-97.88         ,-30.06                      ,-60.19                         ,35.38               ,18.67                ,-33.59         ,55.85                ,-26.62                  ,0.16836533426047173
 9 ,2019 ,                    7.86 ,           7.9  ,        7.56 ,                      8.06 ,- -                    ,                   5.74 ,-173.68                     ,         7.27 ,16.51                       ,0.28                      ,16.42             ,0.25                        ,16.46               ,  5.27 ,-2.4              , 5.74 , 5.74 ,-0.28            ,-1.97                ,8.24              ,4.04               ,50.23              ,                3.83 ,30.1                           ,38.46                   ,-8.03                   ,3.22        ,246.11          ,15.75                ,6.14                           ,6.23                      ,- -                          ,19.19           ,                   6.69 ,11.19        ,4.89                ,1787.78 ,21                   ,16.62                     ,-21.01  ,10.73                ,-15.66                       ,7.53              ,5.07                 ,- -          ,30.06             ,19.77        ,19.1                            ,18.93        ,11.19                      ,0.33               ,-399.04  ,-351.43            ,6.96                         ,-0.74         ,-25.06                ,               3.67 ,16.51      ,                       3.83 ,53.58          ,                    9.38 ,-38.86                   ,10.08                          ,0.98                  ,661.11                      ,-2.78                          ,50.65          ,272.5          ,-24.7                       ,-10.46                         ,51.62               ,0.98                 ,19.71          ,21.29                ,-5.71                   ,0.16822665302942652
