   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA  ,EBIT   ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt  ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,10.86                    ,10.55           ,11.04        ,7.49                       ,0.04                   ,25.16                   ,-32.35                      ,22.38         ,26.62                       ,-1.65                     ,28.74             ,-0.15                       ,26.82               ,23.15  ,11.08             ,25.16  ,25.16  ,0.16             ,12.89                ,14.22             ,2.79               ,- -                ,14.82                ,13.89                          ,-19.88                  ,55.15                   ,23.56       ,7.7             ,16.4                 ,-2.52                          ,-7.37                     ,6.63                         ,30.28           ,24.04                   ,19.08        ,17.12               ,- -      ,18.25                ,40.85                     ,18.39   ,-1.4                 ,11.5                         ,25.11             ,10.04                ,10.04        ,51.27             ,43.22        ,14.54                           ,14.5         ,19.08                      ,-2.25              ,133.84   ,104.23             ,-11.51                       ,-17.36        ,4.4                   ,7.86                ,26.62      ,14.82                       ,-22.36         ,33.07                    ,-123.22                  ,2.79                           ,0.3                   ,-32.01                      ,19.8                           ,- -            ,24.91          ,66.89                       ,5.43                           ,-315.75             ,0.3                  ,3.07           ,2.15                 ,-18.82                  ,-0.2827974748653028
 1 ,2011 ,7.94                     ,15.87           ,3.48         ,9.38                       ,10.43                  ,-7.54                   ,-358.17                     ,-16.89        ,-16.44                      ,-3.54                     ,-13.37            ,-4.87                       ,-12.16              ,-2.1   ,-9.3              ,-7.54  ,-7.54  ,-4.13            ,-14.34               ,-22.59            ,6.25               ,- -                ,22.46                ,11.85                          ,67.26                   ,58.43                   ,11.98       ,-36.82          ,11.3                 ,-0.63                          ,6.7                       ,5.29                         ,0.56            ,0.52                    ,7.35         ,1.12                ,-81.01   ,5.08                 ,-8.98                     ,33.2    ,12.39                ,26.79                        ,8.12              ,2.26                 ,2.26         ,24.49             ,107.7        ,6.68                            ,6.72         ,7.35                       ,-3.89              ,-14.42   ,-19.8              ,3.55                         ,22.28         ,9.22                  ,1.59                ,-16.44     ,22.46                       ,83.59          ,6.79                     ,-69.26                   ,-0.92                          ,16.47                 ,-73.74                      ,-75.41                         ,- -            ,64.85          ,10.44                       ,-754.43                        ,-370.98             ,16.47                ,-2.84          ,-34.68               ,18.57                   ,-0.09613992832851093
 2 ,2012 ,6.58                     ,7.01            ,6.3          ,2.12                       ,-5.75                  ,22.38                   ,-67.59                      ,29.83         ,23.9                        ,-2.88                     ,27.57             ,-2.86                       ,27.54               ,18.36  ,11.05             ,22.38  ,22.38  ,-0.26            ,14.82                ,16.25             ,14.87              ,134.87             ,4.67                 ,9.27                           ,27.89                   ,2.83                    ,11.91       ,5.16            ,8.22                 ,-13.13                         ,-0.69                     ,7.79                         ,1.65            ,-0.13                   ,5.36         ,13.96               ,-94.73   ,4.04                 ,1.29                      ,0.39    ,5.48                 ,1.78                         ,1.56              ,1.61                 ,1.61         ,55.88             ,-48.92       ,8.6                             ,8.55         ,5.36                       ,-2.52              ,-28.72   ,-34.34             ,7.86                         ,6.84          ,-3.22                 ,-7.22               ,23.9       ,4.67                        ,-11.8          ,-13.52                   ,138.55                   ,14.01                          ,-4.09                 ,63.59                       ,30.03                          ,128.12         ,- -            ,-33.11                      ,36.29                          ,-30.64              ,-4.09                ,16.4           ,-13.63               ,-7.98                   ,-0.01800179766682919
 3 ,2013 ,5.53                     ,7.37            ,4.36         ,-1.4                       ,8.27                   ,8.99                    ,-64.76                      ,10.51         ,24.15                       ,-0.76                     ,25.11             ,-0.44                       ,24.71               ,5.25   ,-0.26             ,8.99   ,8.99   ,-1.1             ,3.28                 ,17.65             ,-6.3               ,122.22             ,-9.65                ,3.89                           ,-19.12                  ,18.39                   ,-11.24      ,11.46           ,5.79                 ,-2.35                          ,3.36                      ,-2.91                        ,23.27           ,19.59                   ,10.28        ,7.58                ,10490.32 ,6.78                 ,25.16                     ,-20.67  ,7.98                 ,-12.57                       ,3.97              ,7.71                 ,7.71         ,42.81             ,-8.02        ,15.28                           ,15.26        ,10.28                      ,1.72               ,26.91    ,10.11              ,0.29                         ,-15.47        ,-3.72                 ,12.62               ,24.15      ,-9.65                       ,-0.19          ,-20.06                   ,144.44                   ,12.21                          ,3.02                  ,57.9                        ,208.47                         ,120.52         ,-99.71         ,-106.94                     ,-45.84                         ,-187.69             ,3.02                 ,13.21          ,45.39                ,-9.62                   ,-0.12874665659924944
 4 ,2014 ,-3.01                    ,1.07            ,-5.68        ,-3.09                      ,5.92                   ,-13.61                  ,-35.14                      ,-13.47        ,-21.34                      ,-1.78                     ,-19.91            ,-1.84                       ,-19.86              ,-10.67 ,-7.9              ,-13.61 ,-13.61 ,-2.74            ,-10.92               ,-18.89            ,-1.69              ,15.6               ,3.45                 ,2.89                           ,-15.13                  ,-2.07                   ,7.79        ,5.37            ,2.43                 ,-2.11                          ,1.08                      ,7.92                         ,7.47            ,6.59                    ,3.9          ,-2.46               ,-84.53   ,2.39                 ,-10.74                    ,57.8    ,19.01                ,44.25                        ,15.24             ,-0.98                ,-0.98        ,-13.09            ,11.35        ,-4.17                           ,-4.17        ,3.9                        ,-5.23              ,71.17    ,78.62              ,-15.74                       ,14.75         ,4.22                  ,-1.34               ,-21.34     ,3.45                        ,-68.2          ,20.36                    ,-454.34                  ,-4.36                          ,9.91                  ,-32.71                      ,-43.55                         ,13.53          ,33237.5        ,-3477.02                    ,129.6                          ,-36.02              ,9.91                 ,-5.77          ,0.13                 ,21.58                   ,0.16585251936821876
 5 ,2015 ,4.28                     ,0.55            ,6.89         ,3.71                       ,-1.38                  ,15.27                   ,10.42                       ,15.3          ,14.36                       ,-2.48                     ,17.28             ,-2.56                       ,17.36               ,12.31  ,7.7               ,15.27  ,15.27  ,2.5              ,10.54                ,9.67              ,7.49               ,11.5               ,0.41                 ,16.02                          ,2.25                    ,5.64                    ,2.26        ,6.43            ,13.66                ,2.46                           ,-0.74                     ,-0.22                        ,-2.66           ,-2.16                   ,7.94         ,-2.1                ,667.13   ,2.48                 ,19.25                     ,5.18    ,5.22                 ,5.19                         ,10.94             ,4.08                 ,4.08         ,13.85             ,-90.99       ,5.37                            ,5.38         ,7.94                       ,-0.43              ,30.28    ,23.63              ,1.02                         ,-4.69         ,-3.1                  ,-2.98               ,14.36      ,0.41                        ,250.9          ,6.82                     ,-102.1                   ,1.78                           ,-3.76                 ,217.99                      ,51.86                          ,8.73           ,-37.75         ,-64.59                      ,-66.42                         ,-112.59             ,-3.76                ,2.42           ,7.22                 ,-11                     ,0.013461532884521121
 6 ,2016 ,0.17                     ,-6.12           ,4.31         ,-3.61                      ,1.43                   ,14.87                   ,-84.91                      ,15.35         ,19.57                       ,-1                        ,20.78             ,-1.13                       ,20.94               ,10.09  ,9.9               ,14.87  ,14.87  ,4.13             ,14.67                ,19.37             ,-2.36              ,17.42              ,-11.96               ,8.84                           ,10.96                   ,2.89                    ,-25.2       ,-63.06          ,3.19                 ,5.22                           ,1.09                      ,- -                          ,19.59           ,15.42                   ,7.2          ,34.91               ,6.75     ,3.33                 ,5.45                      ,14.1    ,-0.24                ,9.97                         ,7.98              ,2.12                 ,2.12         ,20.89             ,-634.43      ,6.51                            ,6.5          ,7.2                        ,-1.1               ,13.72    ,6.78               ,-1.82                        ,-2.14         ,-2.75                 ,2.6                 ,19.57      ,-11.96                      ,-30.56         ,1.25                     ,255.56                   ,8.11                           ,-6.6                  ,-51.88                      ,-19.54                         ,16.25          ,40.09          ,18.83                       ,103.16                         ,399.34              ,-6.6                 ,9.7            ,-0.22                ,-9.59                   ,0.05598612050884899
 7 ,2017 ,-2.52                    ,-2.77           ,-2.38        ,-2.24                      ,-3.76                  ,-1.54                   ,5425                        ,-4.9          ,-10.52                      ,-0.85                     ,-9.75             ,-0.77                       ,-9.83               ,-0.42  ,2.16              ,-1.54  ,-1.54  ,0.15             ,1.01                 ,-8.21             ,-1.45              ,17.02              ,6.33                 ,7.2                            ,53.43                   ,-1.16                   ,32.79       ,-2.09           ,6.33                 ,-5.25                          ,2.04                      ,- -                          ,8.54            ,7.41                    ,6.71         ,-5.72               ,92.12    ,-5.58                ,10.73                     ,5.07    ,19.6                 ,8.87                         ,9.67              ,1.66                 ,1.66         ,7.43              ,-114.11      ,4.01                            ,4.01         ,6.71                       ,-0.91              ,4.74     ,0.7                ,-6.84                        ,-3.97         ,-3.01                 ,-1.09               ,-10.52     ,6.33                        ,72.44          ,4.66                     ,-557.81                  ,2.25                           ,-15.88                ,-56.57                      ,-26.17                         ,16.02          ,0.03           ,7.7                         ,-19                            ,440.72              ,-15.88               ,3.93           ,1.43                 ,14.28                   ,0.11848315830722544
 8 ,2018 ,2.76                     ,5.3             ,1.26         ,1.87                       ,4.51                   ,-0.49                   ,-184.16                     ,6.12          ,-98.86                      ,-3.45                     ,-98.81            ,-3.33                       ,-98.82              ,-1.04  ,-3.7              ,-0.49  ,-0.49  ,-1.46            ,-3.16                ,-98.89            ,0.96               ,12.17              ,-4.11                ,-33.97                         ,-23.69                  ,5.01                    ,14.23       ,84.56           ,-26.12               ,-9.51                          ,-4.49                     ,- -                          ,2.68            ,1.8                     ,-16.2        ,96.09               ,-34.46   ,4.31                 ,-1.99                     ,-20.97  ,75.59                ,6.78                         ,2.98              ,-5.38                ,-5.38        ,-94.08            ,-1945.65     ,-34.67                          ,-34.67       ,-16.2                      ,-7.41              ,-24.42   ,15.7               ,-65.4                        ,-24.63        ,-10.15                ,1.78                ,-98.86     ,-4.11                       ,44.8           ,3.28                     ,1494.54                  ,-1.51                          ,-13.49                ,-1190.29                    ,-355.7                         ,8.29           ,-1.48          ,390.18                      ,734.58                         ,-168.04             ,-13.49               ,-0.62          ,32.5                 ,8503.25                 ,0.22808849013606658
 9 ,2019 ,5.22                     ,2.75            ,6.73         ,0.11                       ,3.87                   ,14.79                   ,-91.94                      ,11.75         ,10464.55                    ,-8.64                     ,11463.87          ,-8.77                       ,11479.96            ,10.63  ,5.14              ,14.79  ,14.79  ,1.44             ,9.1                  ,9940.63           ,2.86               ,9.66               ,-13.46               ,-28.22                         ,31.52                   ,0.79                    ,-25.08      ,-19.29          ,-22.77               ,-7.22                          ,-1.67                     ,- -                          ,7.53            ,6.58                    ,-10.1        ,10.32               ,94.56    ,-3.05                ,17.3                      ,-28.8   ,-0.98                ,-15.66                       ,-2.07             ,-5.96                ,-5.96        ,-578.75           ,-6.71        ,-22.3                           ,-22.3        ,-10.1                      ,-7.89              ,-22.36   ,-0.08              ,-128.98                      ,-34.16        ,-25.72                ,2.29                ,10464.55   ,-13.46                      ,-38.81         ,-0.38                    ,-88.47                   ,15.84                          ,8.99                  ,-6.18                       ,-3.18                          ,0.18           ,-67.28         ,18.79                       ,-12.2                          ,-200.18             ,8.99                 ,16.29          ,5.38                 ,-98.9                   ,-0.15065453885362246
