   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA  ,EBIT   ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,                    7.92 ,13.41           ,        4.94 ,                     15.53 ,                 24.44 ,-28.46                  ,-41.34                      ,-28.95        ,-28.91                      ,                     2.78 ,-30.83            ,                       3.92 ,-31.59              ,-21.69 ,-27.43            ,-47.16 ,-28.46 ,-2.76            ,-33.71               ,-34.13            ,11.73              ,- -                ,300.03               ,-7.01                          ,0.3                     ,40.29                   ,- -         ,28.37           ,-3.33                ,264.89                         ,77.81                     ,-1.8                         ,-6.39           ,27.55                   ,8.67         ,17.62               ,- -     ,41.02                ,25.55                     ,- -     ,76.34                ,76.34                        ,27.59             ,                2.84 ,        0.97 ,768.15            ,15.08        ,                           6.27 ,        6.27 ,8.67                       ,              0.7  ,0.3      ,-5.61              ,-2.23                        ,-23           ,-30.3                 ,-3.41               ,-28.91     ,-7                          ,33.56          ,28.58                    ,-150.23                  ,-0.76                          ,443.99                ,-1.78                       ,-1288.5                        ,- -            ,- -            ,332.14                      ,-5.99                          ,-98.21              ,443.99               ,-162.32        ,-27.97               ,39.6                    ,0.2501953605959406
 1 ,2011 ,                   11.26 ,5.46            ,       14.66 ,                     19.25 ,                 15.49 ,-4.41                   ,8.57                        ,-4            ,10.29                       ,                    13.78 ,-3.07             ,                      13.62 ,-2.93               ,-4.94  ,-14.56            ,-4.41  ,-4.41  ,3.05             ,-14.08               ,-0.88             ,2.07               ,- -                ,-5.84                ,161.17                         ,164.18                  ,-3.3                    ,- -         ,53.91           ,143.83               ,-46.27                         ,-27.08                    ,-15.78                       ,24              ,-6.3                    ,75.38        ,7.19                ,- -     ,21.08                ,12.48                     ,- -     ,1455.16              ,1455.16                      ,92.37             ,               70.07 ,       22.12 ,97.58             ,-1.59        ,                          72.78 ,       72.78 ,75.38                      ,             22.47 ,164.18   ,52.9               ,0.07                         ,116.77        ,-57.2                 ,9                   ,10.29      ,-5.84                       ,-194.4         ,-2.44                    ,692.5                    ,-34.59                         ,-73.83                ,-70.86                      ,-244.1                         ,- -            ,- -            ,-8557.89                    ,12376.98                       ,41886.49            ,-73.83               ,-159           ,213.31               ,-40.69                  ,0.15934382592897056
 2 ,2012 ,                   39.01 ,30.28           ,       43.71 ,                     34.92 ,                 63.48 ,88.54                   ,-2344.74                    ,2.5           ,-32.35                      ,                    14.71 ,-41.02            ,                      14.54 ,-40.94              ,113.15 ,53.34             ,88.54  ,88.54  ,3.38             ,35.63                ,-51.33            ,7.1                ,- -                ,154.84               ,-71.56                         ,-71.39                  ,24.71                   ,- -         ,28.33           ,-65.78               ,23.25                          ,19.29                     ,-11.89                       ,614.1           ,414.01                  ,51.11        ,41.56               ,- -     ,28.46                ,64.51                     ,- -     ,67.81                ,373.6                        ,202.88            ,               24.32 ,       11.42 ,33.41             ,-23.93       ,                          25.36 ,       25.36 ,51.11                      ,             11.49 ,-102.68  ,-102.14            ,-127.18                      ,-79.2         ,-2942.67              ,29.79               ,-32.35     ,154.84                      ,-376.46        ,51.57                    ,61.46                    ,235.32                         ,-1.19                 ,212.87                      ,-1197.21                       ,- -            ,- -            ,-101.71                     ,-35.26                         ,-214.9              ,-1.19                ,568.03         ,-39.75               ,395.65                  ,0.20522084641923133
 3 ,2013 ,                   26.01 ,12.47           ,       32.62 ,                     21.33 ,                 42.74 ,68.92                   ,21.7                        ,105.49        ,199.89                      ,                     4.29 ,187.57            ,                       4.69 ,186.46              ,48.23  ,17.64             ,68.92  ,68.92  ,5.25             ,34.06                ,137.99            ,21.02              ,- -                ,22.31                ,64.01                          ,64.04                   ,-4.54                   ,- -         ,45.99           ,54.57                ,24.64                          ,10.62                     ,1.51                         ,-3.21           ,-1.77                   ,7.88         ,2.98                ,37.5    ,5.57                 ,9.76                      ,-15.71  ,5.32                 ,-8.26                        ,-2.86             ,                8.92 ,        1.77 ,75.1              ,-15.16       ,                          12.29 ,       12.29 ,7.88                       ,              1.76 ,-804.4   ,-727.33            ,-172.91                      ,40.83         ,-13.23                ,4.12                ,199.89     ,22.31                       ,-49.96         ,238.29                   ,68.35                    ,25.74                          ,28.37                 ,-99.51                      ,-97.04                         ,- -            ,- -            ,101.45                      ,-93.69                         ,-125.62             ,28.37                ,25.2           ,73.99                ,-58.07                  ,0.7693337743619981
 4 ,2014 ,                   30.61 ,21.51           ,       34.39 ,                     29.93 ,                 18.54 ,57.65                   ,76.13                       ,49.17         ,50.9                        ,                     9.2  ,38.19             ,                       8.61 ,38.94               ,64.25  ,25.75             ,57.65  ,57.65  ,2.89             ,20.7                 ,15.53             ,9.34               ,- -                ,75.68                ,105.9                          ,105.9                   ,91.33                   ,- -         ,4.18            ,94.45                ,27.78                          ,21.82                     ,-22.01                       ,60.33           ,56.44                   ,65.77        ,15.36               ,-16.88  ,10.6                 ,6.94                      ,182.81  ,-3                   ,107.22                       ,73.23             ,               62.69 ,       12.15 ,64.72             ,15.44        ,                          63.12 ,       63.12 ,65.77                      ,             12.03 ,38.11    ,-15.34             ,15.07                        ,81.84         ,-104.79               ,19.45               ,50.9       ,75.68                       ,-35.66         ,-31.97                   ,-19.34                   ,32.88                          ,44.12                 ,7367.11                     ,3095.12                        ,- -            ,214.29         ,-5753.62                    ,6949.62                        ,172.15              ,44.12                ,30.48          ,-19.15               ,-11.94                  ,-0.11905312042312577
 5 ,2015 ,                   23.58 ,20.33           ,       24.8  ,                     64.32 ,                 18.64 ,-63.97                  ,-4.15                       ,-96.36        ,-107.72                     ,                     5.74 ,-107.3            ,                       4.27 ,-107.41             ,-34.37 ,-46.9             ,-63.97 ,-63.97 ,0.99             ,-70.84               ,-106.25           ,14.8               ,- -                ,11.6                 ,-19.96                         ,-19.96                  ,2.48                    ,- -         ,-69.14          ,-21.19               ,19.74                          ,17.8                      ,-9.59                        ,7.9             ,8.29                    ,-0.2         ,24.65               ,-16.27  ,10.88                ,13.41                     ,-7.3    ,-27.61               ,-11.16                       ,-6.02             ,                2.48 ,        0.62 ,-3.03             ,18.95        ,                           2    ,        2    ,-0.2                       ,              0.59 ,-53.03   ,-53.95             ,-52.84                       ,-30.5         ,-16.35                ,7.65                ,-107.72    ,11.6                        ,260.36         ,22.18                    ,15.35                    ,-8.8                           ,27.75                 ,-66.52                      ,-64.44                         ,- -            ,- -            ,-103.43                     ,-102.8                         ,-138.6              ,27.75                ,-17.41         ,21.21                ,-1280.97                ,0.13284458712235536
 6 ,2016 ,                   17.68 ,-7.98           ,       26.95 ,                      0.49 ,                 16.18 ,325.62                  ,-15.84                      ,5194.92       ,-2555.15                    ,                     0.68 ,-2538.59          ,                       1.52 ,-2518.37            ,101.67 ,71.36             ,325.62 ,325.62 ,7.88             ,261.67               ,-2186.23          ,1.05               ,- -                ,-10.65               ,34.47                          ,34.47                   ,19.55                   ,- -         ,13.64           ,32.74                ,-0.84                          ,12.56                     ,-35.82                       ,-2.86           ,-3.07                   ,5.07         ,9.84                ,90.29   ,-7.06                ,14.54                     ,-9.43   ,11.73                ,-6.14                        ,-0.92             ,                2.14 ,        0.31 ,76.83             ,71.7         ,                           7.15 ,        7.15 ,5.07                       ,              0.3  ,243.12   ,220.22             ,210.3                        ,15.89         ,-210.54               ,16.46               ,-2555.15   ,-10.65                      ,70.42          ,5.25                     ,-177.59                  ,49.3                           ,-46.48                ,213.16                      ,-89.21                         ,- -            ,- -            ,-0.07                       ,26.15                          ,-240.15             ,-46.48               ,84.21          ,-28.21               ,-106.08                 ,-0.1834047837262197
 7 ,2017 ,                   15.23 ,26.8            ,       12.2  ,                     10.65 ,                 16.3  ,3.69                    ,-71.72                      ,20.78         ,44.23                       ,                     3.21 ,39.74             ,                       3.46 ,39.4                ,-0.14  ,-13.34            ,3.69   ,3.69   ,-2.63            ,-10.02               ,25.16             ,-4.86              ,- -                ,-9.3                 ,113.58                         ,113.58                  ,25.14                   ,- -         ,34.22           ,105.25               ,-3.51                          ,12.42                     ,1.19                         ,2.12            ,1.79                    ,31.5         ,20.33               ,- -     ,16.65                ,-5.34                     ,- -     ,8.78                 ,-79.91                       ,-58.14            ,               59    ,       10.74 ,63.77             ,-30.82       ,                          60.27 ,       60.27 ,31.5                       ,             10.74 ,429.29   ,230.24             ,204                          ,116.84        ,-223.12               ,21.12               ,44.23      ,-9.3                        ,-17.07         ,7.38                     ,-101.91                  ,19.78                          ,30.55                 ,- -                         ,210.71                         ,- -            ,- -            ,-5086.66                    ,-1957.45                       ,337.86              ,30.55                ,18.64          ,34.09                ,-16.95                  ,0.38121539216749945
 8 ,2018 ,                   23.48 ,22.47           ,       23.77 ,                     11.2  ,                 13.6  ,57.39                   ,-219.33                     ,72.07         ,94.25                       ,                     8.61 ,78.85             ,                       8.61 ,78.85               ,47.94  ,19.82             ,57.39  ,57.39  ,0.24             ,27.46                ,57.32             ,23.68              ,- -                ,22.15                ,-9.17                          ,-9.17                   ,46.46                   ,- -         ,52.13           ,-5.8                 ,-1.41                          ,5.58                      ,- -                          ,34.57           ,32.43                   ,15.3         ,-4.91               ,- -     ,27.25                ,5.11                      ,-98.69  ,75.91                ,81.21                        ,30.98             ,                3.44 ,        0.83 ,91.31             ,29.58        ,                          13.98 ,       13.98 ,15.3                       ,              0.94 ,-9.17    ,-20.31             ,-5.71                        ,-10.37        ,253.66                ,-0.16               ,94.25      ,22.15                       ,109.6          ,5.6                      ,-24887.5                 ,42.93                          ,20.95                 ,- -                         ,519.92                         ,- -            ,- -            ,-102.97                     ,-99.43                         ,-117.08             ,20.95                ,45.49          ,-11.41               ,-26.42                  ,0.19838881356112015
 9 ,2019 ,                   17.44 ,7.15            ,       20.46 ,                     13.71 ,                 24.44 ,32.89                   ,162.2                       ,37.65         ,32.15                       ,                     0.7  ,31.24             ,                       0.5  ,31.49               ,26.59  ,7.79              ,32.89  ,32.89  ,2.57             ,13.16                ,12.52             ,0.33               ,- -                ,4.4                  ,-2.7                           ,-2.7                    ,3.42                    ,- -         ,52.78           ,-1.16                ,4.26                           ,15.29                     ,- -                          ,27.49           ,26.44                   ,16.33        ,14.67               ,-6.89   ,15.72                ,34.31                     ,3243    ,-19                  ,76.34                        ,54.08             ,                2.21 ,        0.55 ,53.31             ,-26.55       ,                          12.7  ,       12.7  ,16.33                      ,              0.61 ,-2.7     ,-13.66             ,-10.47                       ,-26.41        ,19.29                 ,17.06               ,32.15      ,4.4                         ,47.59          ,26.79                    ,6.95                     ,36.46                          ,55.9                  ,- -                         ,7.98                           ,- -            ,- -            ,13.36                       ,-251.38                        ,-72.56              ,55.9                 ,34.58          ,27.48                ,3.26                    ,0.48480084082925323
