   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA ,EBIT  ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,17.64                    ,19.53           ,16.94        ,12.48                      ,- -                    ,24.52                   ,-2.53                       ,44.58         ,37.47                       ,-2.84                     ,39.64             ,-2.78                       ,39.56               ,19.9   ,1.92              ,24.52 ,24.52 ,-0.59            ,5.85                 ,15.33             ,- -                ,             10.98 ,                4.3  ,23.49                          ,25.56                   ,-0.2                    ,7.39        ,5.67            ,11.09                ,2.52                           ,3.17                      ,                        4.23 ,113.94          ,                   3.35 ,        4.09 ,12.93               ,442.48  ,-5.86                ,36.03                     ,1.98    ,5.19                 ,3.64                         ,6.96              ,-21.78               ,-5.85        ,-1.03             ,-4.7         ,-1.81                           ,-1.81        ,                      4.09 ,-5.88              ,5.63     ,7.57               ,-5.73                        ,-18.34        ,-10.04                ,- -                 ,35.68      ,                       4.3  ,13050          ,- -                      ,-5350                    ,57.57                          ,26.12                 ,- -                         ,26.06                          ,7.83           ,60             ,- -                         ,299.67                         ,-26.94              ,26.12                ,131.81         ,-12.4                ,16.14                   ,0.2302515390709925
 1 ,2011 ,10.41                    ,46.79           ,-3.31        ,3.92                       ,- -                    ,-10.5                   ,-58.37                      ,13.43         ,16.57                       ,-5.25                     ,23.03             ,-5.63                       ,23.53               ,-7.81  ,-16.5             ,-10.5 ,-10.5 ,-12.43           ,-18.94               ,5.58              ,- -                ,             36.18 ,                3.06 ,-2.97                          ,-39.4                   ,13.7                    ,10.09       ,-12.75          ,2.8                  ,4.94                           ,5.11                      ,                        3.26 ,11.33           ,                   4.95 ,        4.73 ,21.14               ,-17.29  ,-34.07               ,5.91                      ,8.48    ,8.26                 ,8.36                         ,8.04              ,185.14               ,183.51       ,-8.94             ,13.49        ,-2.66                           ,-2.67        ,                      4.73 ,-5.58              ,14.73    ,17.87              ,-7.05                        ,-2.94         ,-37.53                ,- -                 ,18.62      ,                       3.06 ,3.04           ,- -                      ,-43.33                   ,7.55                           ,25.86                 ,-1119.51                    ,47.32                          ,29.03          ,50             ,7.71                        ,15.16                          ,-293.54             ,25.86                ,-15.97         ,-18.94               ,-7.74                   ,-0.00237072253662729
 2 ,2012 ,0.11                     ,94.08           ,-53.7        ,- -                        ,- -                    ,1.14                    ,-6.98                       ,2.63          ,2.03                        ,-4.16                     ,6.45              ,-4.5                        ,6.84                ,2.78   ,2.66              ,1.14  ,1.14  ,-53.75           ,1.03                 ,1.92              ,- -                ,             21.29 ,                8.5  ,4.98                           ,0.13                    ,-14.79                  ,14.17       ,-25.38          ,-4.57                ,-32.65                         ,-22.71                    ,                        2.99 ,2379.13         ,                   4.64 ,        3.73 ,-21.65              ,53.85   ,55.56                ,-2.23                     ,3.64    ,3.19                 ,3.41                         ,2.69              ,-0.66                ,-2.76        ,7.26              ,6.97         ,6.3                             ,6.31         ,                      3.73 ,-2.76              ,6.98     ,0.63               ,2.53                         ,-2.39         ,-91.22                ,- -                 ,0.27       ,                       8.5  ,-83.95         ,- -                      ,-149.58                  ,-15.61                         ,1.92                  ,-87.56                      ,-11.98                         ,16.25          ,-8.33          ,-53.07                      ,-52.72                         ,-100.2              ,1.92                 ,-49.33         ,-3.37                ,-17.29                  ,-0.17317027717597355
 3 ,2013 ,2.3                      ,3.06            ,0.46         ,- -                        ,- -                    ,0.46                    ,11.76                       ,-1.42         ,0.27                        ,-1.83                     ,2.14              ,-2.02                       ,2.34                ,1.35   ,-0.92             ,0.46  ,0.46  ,-1.79            ,-1.79                ,-1.98             ,- -                ,              9.53 ,                4.25 ,-21.3                          ,-24.49                  ,9.36                    ,-8.03       ,12.89           ,-7.1                 ,3.43                           ,4.76                      ,                        7.63 ,7.61            ,                   5.08 ,        3.96 ,4.34                ,-31.67  ,-8.57                ,-7.73                     ,-0.33   ,-0.59                ,-0.46                        ,-1.35             ,2.1                  ,-1.08        ,11.94             ,-44.12       ,16.63                           ,16.69        ,                      3.96 ,-1.08              ,-0.94    ,-15.1              ,12.35                        ,0.68          ,-89.4                 ,- -                 ,0.27       ,                       4.25 ,124.14         ,- -                      ,-276.27                  ,10.9                           ,-1.2                  ,-378.85                     ,-2.2                           ,7.53           ,-54.55         ,-51.91                      ,84.43                          ,-19300              ,-1.2                 ,57.69          ,36.03                ,10.6                    ,0.19732516893882646
 4 ,2014 ,5.35                     ,5.88            ,4.03         ,- -                        ,- -                    ,4.03                    ,3.27                        ,4.18          ,3.38                        ,-1.77                     ,5.24              ,-1.67                       ,5.13                ,4.09   ,-1.2              ,4.03  ,4.03  ,-1.25            ,-1.25                ,-1.87             ,- -                ,              6.72 ,                4.26 ,-10.94                         ,13.01                   ,7.32                    ,8.33        ,-4.57           ,-1.15                ,2.45                           ,4.74                      ,                        4.47 ,7.78            ,                   4.46 ,        4    ,-0.86               ,-57.22  ,0.78                 ,-13.08                    ,5.45    ,4.31                 ,4.86                         ,2.82              ,1.31                 ,-1.68        ,8.03              ,27.34        ,6.38                            ,6.4          ,                      4    ,-1.68              ,1.23     ,-4.86              ,2.34                         ,13.72         ,-1626.37              ,- -                 ,3.38       ,                       4.26 ,54.36          ,- -                      ,-134.62                  ,2.33                           ,5.88                  ,66.21                       ,-1.98                          ,4.83           ,100            ,46.46                       ,-12.09                         ,-140.1              ,5.88                 ,-6.29          ,21.71                ,-1.02                   ,0.17133423409741066
 5 ,2015 ,-6.77                    ,-9.15           ,-0.8         ,- -                        ,- -                    ,-0.8                    ,-21.62                      ,3.09          ,2.13                        ,-1.8                      ,4                 ,-1.8                        ,4                   ,0.59   ,7.89              ,-0.8  ,-0.8  ,6.4              ,6.4                  ,9.55              ,- -                ,             11.06 ,                4.95 ,49.64                          ,-6.13                   ,-13.02                  ,28.21       ,-6.22           ,15.32                ,5.32                           ,5.56                      ,                        2.8  ,5.35            ,                   5.22 ,        6.01 ,-15.98              ,-91.23  ,120.93               ,-7.36                     ,12.29   ,4.68                 ,8.34                         ,6.83              ,-0.46                ,-2.62        ,4.7               ,-0.15        ,4.48                            ,4.4          ,                      6.01 ,-2.62              ,11.04    ,6.36               ,-1.5                         ,24.48         ,92.07                 ,- -                 ,2.13       ,                       4.95 ,28.9           ,- -                      ,438.89                   ,0.81                           ,4.61                  ,-313.28                     ,32.48                          ,9.06           ,20             ,55.51                       ,-52.08                         ,-153.25             ,4.61                 ,-9.62          ,-33.08               ,-1.29                   ,-0.2599835583972614
 6 ,2016 ,-6.28                    ,-6.65           ,-5.44        ,-99.22                     ,- -                    ,-5.44                   ,45.29                       ,-12.65        ,-12.91                      ,-3.66                     ,-9.6              ,-3.66                       ,-9.6                ,-2.13  ,4.43              ,-5.44 ,-5.44 ,0.9              ,0.9                  ,-7.07             ,3.51               ,              2.89 ,                7.7  ,-29.07                         ,-3.98                   ,-4.48                   ,16.29       ,-37.76          ,-16.15               ,1.59                           ,3.23                      ,                        4.66 ,4.12            ,                   2.66 ,        1.07 ,8.66                ,1555    ,-59.82               ,4.51                      ,2.61    ,-0.17                ,1.22                         ,1.49              ,-1.2                 ,-3.93        ,0.13              ,-3.76        ,0.23                            ,0.22         ,                      1.07 ,-3.93              ,6.1      ,5.87               ,-0.84                        ,-19.77        ,13.85                 ,-9.46               ,-12.91     ,                       7.7  ,-111.08        ,- -                      ,-135.57                  ,-9.76                          ,-6.4                  ,-177.04                     ,-37.83                         ,-0.87          ,83.33          ,31.34                       ,144.32                         ,-39.02              ,-6.4                 ,-20.42         ,49.82                ,3.61                    ,0.32557116444316025
 7 ,2017 ,3.06                     ,-0.59           ,11.33        ,- -                        ,- -                    ,11.33                   ,-2.62                       ,14.63         ,219.19                      ,-3.8                      ,231.81            ,-3.59                       ,231.07              ,8.49   ,5.26              ,11.33 ,11.33 ,8.02             ,8.02                 ,209.71            ,14.32              ,              8.23 ,                1.08 ,-58.92                         ,-33.5                   ,3.41                    ,-8.6        ,26.23           ,-23                  ,0.69                           ,1.97                      ,                       15.56 ,4.35            ,                   2.72 ,        0.92 ,8.51                ,-94.26  ,17.47                ,-7.16                     ,7.55    ,-31.57               ,-11.79                       ,-11.39            ,3.85                 ,-4.09        ,25.16             ,-24.06       ,25.91                           ,25.89        ,                      0.92 ,-4.09              ,6.72     ,-15.23             ,24.88                        ,-17.06        ,-25.07                ,-9.85               ,219.19     ,                       1.08 ,7688.37        ,- -                      ,-49.28                   ,14.17                          ,-14.93                ,3.79                        ,-16.85                         ,4.12           ,-61.36         ,86.55                       ,71.85                          ,708                 ,-14.93               ,122.71         ,43.88                ,-64.23                  ,0.360564680999111
 8 ,2018 ,7.38                     ,-2.07           ,26.5         ,- -                        ,- -                    ,26.5                    ,-25.67                      ,36.98         ,-39.52                      ,-5.93                     ,-35.71            ,-5.8                        ,-35.79              ,19.97  ,11.72             ,26.5  ,26.5  ,17.81            ,17.81                ,-43.67            ,14.57              ,             12.76 ,                1.22 ,165.16                         ,113.97                  ,4.12                    ,-29.3       ,17.53           ,33.94                ,-0.07                          ,0.74                      ,                        5.52 ,2.01            ,                   1.01 ,        2.77 ,-0.06               ,-5.26   ,8.55                 ,1.11                      ,25.01   ,2.2                  ,16.26                        ,14.9              ,-3.61                ,-8.09        ,-13.68            ,36.01        ,-14.57                          ,-14.54       ,                      2.77 ,-8.09              ,21.84    ,42.57              ,-16.64                       ,32.47         ,-123.28               ,-6.27               ,-39.52     ,                       1.22 ,-99.79         ,- -                      ,-77.14                   ,33.67                          ,-14.46                ,-156.2                      ,12.64                          ,6.07           ,252.94         ,137.11                      ,14.73                          ,-326.24             ,-14.46               ,102.23         ,-7.6                 ,121                     ,0.20704479492938177
 9 ,2019 ,-2.56                    ,-5.54           ,2.12         ,- -                        ,- -                    ,2.12                    ,18.98                       ,0.28          ,0.66                        ,-7.08                     ,8.33              ,-7.28                       ,8.57                ,1.95   ,4.62              ,2.12  ,2.12  ,4.79             ,4.79                 ,3.3               ,4.41               ,              9.34 ,                1.35 ,75.88                          ,11.66                   ,-2.38                   ,-0.76       ,-57.46          ,27.8                 ,0.23                           ,0.53                      ,                        5.62 ,5.08            ,                   2.39 ,        4.16 ,-0.25               ,1261.11 ,4.45                 ,12.32                     ,8.51    ,10.07                ,9.04                         ,9.3               ,4.87                 ,-5.5         ,-6.19             ,2.12         ,-5.69                           ,-5.7         ,                      4.16 ,-5.5               ,9.94     ,16.58              ,-9.47                        ,13.78         ,515.04                ,-6.67               ,0.66       ,                       1.35 ,-857.14        ,- -                      ,1362.5                   ,4.5                            ,-5.04                 ,216.02                      ,24.82                          ,1.6            ,-33.33         ,-27.79                      ,5.92                           ,-78.12              ,-5.04                ,10.26          ,5.11                 ,3.81                    ,-0.10821056186032152
10 ,2020 ,-11.34                   ,-11.92          ,-10.5        ,- -                        ,- -                    ,-10.5                   ,31.72                       ,-15.96        ,-16.99                      ,-3.73                     ,-13.78            ,-3.76                       ,-13.75              ,-7.68  ,4.13              ,-10.5 ,-10.5 ,0.95             ,0.95                 ,-6.37             ,-3.53              ,              8.5  ,                2.52 ,60.24                          ,226.62                  ,-7.51                   ,15.71       ,24.68           ,35.48                ,0.63                           ,0.86                      ,                        5.64 ,1.05            ,                   1.07 ,        4.01 ,-14.8               ,63.67   ,-16.72               ,-6.14                     ,1.94    ,1.33                 ,1.74                         ,1.09              ,4.74                 ,-1.29        ,9.85              ,-11.41       ,10.58                           ,10.51        ,                      4.01 ,-1.29              ,-11.15   ,-19.6              ,5.9                          ,44.34         ,-10.38                ,-8.1                ,-16.99     ,                       2.52 ,113.21         ,- -                      ,-98.29                   ,-12.1                          ,-1.87                 ,-236.71                     ,-69.12                         ,4.46           ,-50            ,-74.3                       ,-45.51                         ,2071                ,-1.87                ,-17.41         ,32.55                ,5.89                    ,0.1082701286883685
11 ,2021 ,18.32                    ,18.66           ,17.84        ,- -                        ,- -                    ,17.84                   ,-74.29                      ,36.5          ,36.75                       ,-2.17                     ,39.78             ,-2.17                       ,39.78               ,14.19  ,-3.5              ,17.84 ,17.84 ,-0.41            ,-0.41                ,15.57             ,9.26               ,              7.61 ,                2.68 ,-26.03                         ,-28.44                  ,25.88                   ,12.25       ,-27.08          ,-12.79               ,0.86                           ,1.76                      ,                        5.74 ,7.32            ,                   3.69 ,        1.85 ,26.61               ,-54.86  ,27.95                ,10.6                      ,-0.73   ,3.03                 ,0.54                         ,1.3               ,93.52                ,188.6        ,-7.16             ,-31.77       ,2.97                            ,2.97         ,                      1.85 ,-3.8               ,4.06     ,1.05               ,-0.86                        ,-21.15        ,-67.97                ,8.29                ,36.75      ,                       2.68 ,-343.36        ,- -                      ,8550                     ,19.61                          ,10.15                 ,-107.01                     ,189.21                         ,5.27           ,- -            ,232.87                      ,184.96                         ,-140.99             ,10.15                ,25.45          ,3.89                 ,-12.53                  ,-0.011956526826214287
