   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA  ,EBIT   ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt  ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,-6.02                    ,-7.84           ,-3.42        ,2.51                       ,- -                    ,-17.14                  ,-58.68                      ,-4.9          ,-4.74                       ,-0.05                     ,-4.69             ,-0.05                       ,-4.69               ,-13.7  ,-8.17             ,-17.14 ,-17.14 ,2.77             ,-11.83               ,1.36              ,-2.89              ,2.48               ,-3.5                 ,126.31                         ,216.99                  ,-44.89                  ,-16.24      ,310.89          ,22.51                ,-2.2                           ,7.98                      ,- -                          ,0.93            ,-0.24                   ,7.42         ,31.48               ,1.84     ,- -                  ,31.42                     ,-0.08   ,6.62                 ,1.54                         ,8.11              ,                7.49 ,- -          ,             4.82 ,42.82        ,7.04                            ,7.04         ,7.42                       ,0.05               ,-42.95   ,-46.7              ,5.11                         ,-6.78         ,-4.96                 ,-3.23               ,-4.74      ,-3.5                        ,-31.78         ,28.41                    ,232.07                   ,7.27                           ,-30.62                ,288.98                      ,0.14                           ,2.43           ,- -            ,-96.25                      ,-69.92                         ,326.91              ,-30.62               ,23.96          ,18.13                ,12.61                   ,-0.014779468268371287
 1 ,2011 ,7.42                     ,7.4             ,7.44         ,5.32                       ,- -                    ,13.51                   ,8.26                        ,14.18         ,14.55                       ,-4.1                      ,19.45             ,-4.1                        ,19.45               ,17.37  ,9.27              ,13.51  ,13.51  ,0.03             ,5.68                 ,6.64              ,7.42               ,1.25               ,27.23                ,-7.2                           ,6.52                    ,124.22                  ,47.3        ,-82.99          ,11.53                ,5.78                           ,9.98                      ,- -                          ,9.98            ,8.44                    ,9.63         ,-7.86               ,119.21   ,- -                  ,13.15                     ,63.57   ,23.93                ,53.53                        ,42.74             ,                6.67 ,- -          ,             5.69 ,62.75        ,-9.13                           ,-9.13        ,9.63                       ,-10                ,126.28   ,149.01             ,-39.71                       ,-1.43         ,1.31                  ,- -                 ,14.55      ,27.23                       ,-9.49          ,-0.95                    ,-231.02                  ,-39.3                          ,64.38                 ,-230.48                     ,46.73                          ,-2.9           ,13263.75       ,45688.44                    ,-73.81                         ,-92.1               ,64.38                ,-64.86         ,53.77                ,-47.01                  ,0.26803283251974297
 2 ,2012 ,7.65                     ,7.37            ,8.04         ,2.57                       ,- -                    ,22.55                   ,44.07                       ,19.93         ,20.51                       ,-11.39                    ,35.99             ,-11.29                      ,35.85               ,9.73   ,1.93              ,22.55  ,22.55  ,0.36             ,13.83                ,11.94             ,7.65               ,11.29              ,-19.45               ,-35.31                         ,-22.43                  ,8.1                     ,0.62        ,-64.35          ,-9.36                ,-0.2                           ,5.92                      ,- -                          ,-7.04           ,-1.2                    ,-4.39        ,-0.42               ,16801.57 ,17.46                ,54.53                     ,-17.56  ,-11.7                ,-16.36                       ,-1.34             ,               10.44 ,- -          ,             6.97 ,-38.28       ,-7.1                            ,-7.1         ,-4.39                      ,-8.04              ,11.43    ,19.95              ,-13.94                       ,-41.35        ,6.37                  ,- -                 ,20.51      ,-19.45                      ,82.81          ,33.61                    ,-39.16                   ,37.84                          ,-11.93                ,30.64                       ,-65.07                         ,-1.38          ,- -            ,-11.58                      ,2198.51                        ,-526.9              ,-11.93               ,95.24          ,-16.45               ,14.38                   ,0.059161966627114815
 3 ,2013 ,5.23                     ,7.02            ,2.79         ,1.91                       ,- -                    ,4.74                    ,-4.92                       ,6.15          ,5.98                        ,-4.57                     ,11.06             ,-4.23                       ,10.66               ,8.5    ,3.11              ,4.74   ,4.74   ,-2.32            ,-0.46                ,0.72              ,-0.7               ,17.99              ,21.53                ,5.33                           ,3.66                    ,-45.44                  ,193.46      ,-0.7            ,5.4                  ,4.49                           ,8.27                      ,12.56                        ,3.01            ,3.87                    ,4.44         ,11.77               ,-96.37   ,65.53                ,-17.09                    ,22.83   ,-1.65                ,17.54                        ,6.05              ,               16.01 ,25.68        ,             6.77 ,5.04         ,2.92                            ,2.92         ,4.44                       ,-3.35              ,1.26     ,-1.61              ,-2.57                        ,27.12         ,58.53                 ,5.97                ,5.98       ,21.53                       ,-38.17         ,14.76                    ,-76.35                   ,17.64                          ,22.19                 ,-121.4                      ,172.48                         ,12.6           ,-75.06         ,-45.03                      ,-44.4                          ,-113.17             ,22.19                ,15.27          ,-1.34                ,11                      ,0.181980108573645
 4 ,2014 ,5.45                     ,4.27            ,7.12         ,6.62                       ,- -                    ,8.21                    ,-94.22                      ,21.59         ,18.7                        ,-2.89                     ,22.23             ,-2.32                       ,21.53               ,6.35   ,0.85              ,8.21   ,8.21   ,1.59             ,2.62                 ,12.57             ,1.59               ,20.5               ,0.78                 ,43.4                           ,45.71                   ,0.65                    ,2.79        ,6.77            ,11.13                ,-13.28                         ,-8.48                     ,351.47                       ,-17.76          ,-2.35                   ,2.69         ,16.01               ,-93.86   ,12.02                ,13.28                     ,-0.04   ,18.15                ,3.25                         ,5.85              ,               30.57 ,35.11        ,             7.56 ,-25.43       ,-0.39                           ,-0.39        ,2.69                       ,-4.29              ,-17.68   ,-17.36             ,28.09                        ,-1.9          ,27.29                 ,3.81                ,18.7       ,0.78                        ,-82.14         ,28.16                    ,-227.85                  ,9.99                           ,-25.91                ,-31.34                      ,-94.18                         ,17.02          ,- -            ,71.83                       ,67.83                          ,1192.6              ,-25.91               ,29.79          ,32.95                ,-7.34                   ,0.2345186616892847
 5 ,2015 ,-1.65                    ,-3.1            ,0.36         ,-5.97                      ,- -                    ,13.86                   ,909.83                      ,8.29          ,8.98                        ,-3.72                     ,19.44             ,-3.37                       ,19.01               ,6.11   ,7.88              ,13.86  ,13.86  ,2.04             ,15.77                ,16.93             ,1.43               ,124.7              ,-18.75               ,-15.61                         ,-18.74                  ,-2.23                   ,0.32        ,73.24           ,-3.87                ,1.84                           ,2.36                      ,-28.07                       ,-6.49           ,-7.53                   ,-6.05        ,-7.95               ,- -      ,15.9                 ,-1.44                     ,-0.04   ,-0.01                ,-0.03                        ,-0.42             ,               25.79 ,30.78        ,             5.72 ,-129.8       ,-11.88                          ,-11.88       ,-6.05                      ,-4.56              ,12.09    ,27.19              ,-15.16                       ,-2.47         ,4.57                  ,-3.03               ,15         ,-18.75                      ,-10.48         ,57.33                    ,-156.25                  ,-4.56                          ,49.55                 ,187.54                      ,-371.94                        ,116.34         ,- -            ,48.94                       ,65.81                          ,-153.99             ,49.55                ,-21.59         ,26.73                ,-17.01                  ,0.1813574968679954
 6 ,2016 ,9.57                     ,8.61            ,10.85        ,10.06                      ,- -                    ,12.25                   ,66.86                       ,9.09          ,11.97                       ,-6.63                     ,72.48             ,-6.45                       ,72.16               ,11.22  ,1.5               ,12.25  ,12.25  ,1.17             ,2.45                 ,46.98             ,0.18               ,-38.85             ,6.58                 ,-51.57                         ,-66.59                  ,13.64                   ,3.83        ,-42.55          ,-8.4                 ,14.09                          ,9.99                      ,-62.1                        ,11.12           ,2.35                    ,-2.1         ,10.5                ,49601.79 ,-49.4                ,31.32                     ,-19.23  ,16.89                ,-11.76                       ,0.08              ,               26.42 ,24.43        ,            13.68 ,193.64       ,-4.65                           ,-4.65        ,-2.1                       ,-6.71              ,31.45    ,37.86              ,-27.14                       ,-30.24        ,-3.15                 ,9.38                ,61.05      ,6.58                        ,-3167.12       ,68.7                     ,156                      ,-19.72                         ,26.49                 ,78.83                       ,185.37                         ,-42.9          ,- -            ,41.34                       ,21.64                          ,212.15              ,26.49                ,-47.47         ,10.84                ,-50.15                  ,0.19022644992905913
 7 ,2017 ,8.52                     ,6.03            ,11.76        ,13.3                       ,- -                    ,9.1                     ,160.13                      ,-4.28         ,0.08                        ,-3.01                     ,-28.53            ,-1.98                       ,-29.29              ,10.82  ,2.12              ,9.1    ,9.1    ,2.98             ,0.54                 ,-36.13            ,-9.57              ,27.4               ,18.95                ,-8.71                          ,21.46                   ,38.14                   ,15.79       ,163.74          ,22.92                ,33.12                          ,17.66                     ,31.88                        ,143.79          ,94.47                   ,66.75        ,30.91               ,45.16    ,57.97                ,38.66                     ,163.87  ,61.49                ,135.82                       ,100.79            ,               15.29 ,18.4         ,             7.59 ,-87.82       ,24.97                           ,24.97        ,66.75                      ,- -                ,155.4    ,104.37             ,-279.24                      ,-11.35        ,4.81                  ,20                  ,-30.69     ,18.95                       ,-147.99        ,12.08                    ,88.69                    ,63.98                          ,-0.75                 ,-162.13                     ,-1899.6                        ,23.56          ,672.89         ,-97.34                      ,-282.12                        ,-111.76             ,-0.75                ,157.57         ,-7.73                ,136.57                  ,0.1690384863147132
 8 ,2018 ,21.66                    ,21.24           ,22.19        ,25.5                       ,- -                    ,16.28                   ,-8.93                       ,22.34         ,71.43                       ,1.55                      ,72.6              ,1.88                        ,72.04               ,21.12  ,-0.45             ,16.28  ,16.28  ,0.43             ,-4.43                ,44.07             ,24.63              ,21.39              ,42.13                ,-27.55                         ,-18.04                  ,5.62                    ,7.52        ,-52.89          ,1.2                  ,4.48                           ,7.27                      ,6.55                         ,0.61            ,1.86                    ,1.67         ,4.67                ,- -      ,-12.69               ,-31.39                    ,-8.49   ,-1.45                ,-7.17                        ,-13.2             ,               21.82 ,27.5         ,            12.9  ,-639.55      ,30.99                           ,30.99        ,1.67                       ,2.03               ,-19.15   ,-38.28             ,-65.63                       ,47.5          ,-9.09                 ,-2.38               ,75.28      ,42.13                       ,-161.27        ,26.97                    ,-32.37                   ,26.22                          ,-0.59                 ,-29.82                      ,-94.13                         ,23.28          ,- -            ,514.36                      ,-154.74                        ,-211.35             ,-0.59                ,41.15          ,25.29                ,-27.99                  ,0.1527284063282418
 9 ,2019 ,6.42                     ,5.48            ,7.57         ,3.33                       ,- -                    ,15.75                   ,-69.78                      ,31.08         ,12.59                       ,-0.48                     ,5.54              ,-0.29                       ,5.33                ,18.64  ,11.48             ,15.75  ,15.75  ,1.08             ,8.77                 ,-1.3              ,-3.04              ,26.34              ,28.87                ,-30.33                         ,-30.33                  ,11.33                   ,13.85       ,219.05          ,13.06                ,3.47                           ,4.79                      ,9.55                         ,4.54            ,4.42                    ,6.88         ,3.9                 ,-13.95   ,10.56                ,45.35                     ,0.09    ,21.92                ,4.43                         ,12.49             ,               23.69 ,35.87        ,            14.62 ,-339.56      ,-0.46                           ,-0.46        ,6.88                       ,-2.86              ,14.88    ,15.41              ,-22.7                        ,-22.22        ,4.9                   ,9.76                ,5.03       ,28.87                       ,-195.61        ,23.37                    ,401.18                   ,10.76                          ,1.85                  ,112.25                      ,73.65                          ,25.73          ,-89.65         ,698.23                      ,1.06                           ,15.14               ,1.85                 ,14.25          ,10.77                ,5.45                    ,0.32854733195126773
