   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA  ,EBIT   ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,40.07                    ,          43.53 ,35.59        ,34.76                      ,- -                    ,39.35                   ,-9.39                       ,37.94         ,37.12                       ,2.55                      ,33.71             ,2.66                        ,33.56               ,37.32  ,-1.96             ,39.35  ,39.35  ,-3.2             ,-0.51                ,-2.11             ,5.59               ,- -                ,23.27                ,59.1                           ,39.97                   ,43.01                   ,- -         ,39.49           ,52.47                ,18.47                          ,22.07                     ,- -                          ,          24.21 ,                   3.32 ,37.29        ,42.21               ,- -     ,63.92                ,43.94                     ,- -     ,76.61                ,76.61                        ,45.77             ,27.32                ,2.25         ,37.32             ,75.56        ,35.1                            ,35.1         ,37.29                      ,2.26               ,39.97    ,3.6                ,-1.35                        ,5.92          ,-4.57                 ,32.65               ,37.12      ,23.27                       ,325.87         ,329.74                   ,-116.49                  ,13.73                          ,142.06                ,-8.82                       ,13.2                           ,- -            ,- -            ,5.93                        ,55.95                          ,23.49               ,142.06               ,-2.78          ,30.78                ,-17.06                  ,0.48898351409114804
 1 ,2011 ,33.29                    ,          33.3  ,33.27        ,36.68                      ,- -                    ,31.86                   ,95.37                       ,33.07         ,20.46                       ,0.83                      ,19.47             ,0.39                        ,19.99               ,29.69  ,-2.7              ,31.86  ,31.86  ,-0.01            ,-1.07                ,-9.63             ,0.67               ,- -                ,12.71                ,9.25                           ,-14.93                  ,30.01                   ,- -         ,20.53           ,16.12                ,32.88                          ,31.49                     ,- -                          ,          34.39 ,                  33.58 ,20.18        ,-69.75              ,- -     ,1027.51              ,29.97                     ,- -     ,408.48               ,408.48                       ,55.72             ,-18.14               ,-0.26        ,32.74             ,-1014.08     ,10.28                           ,10.28        ,20.18                      ,-0.27              ,-14.93   ,-22.86             ,-9.13                        ,-10.66        ,-2.97                 ,32.4                ,20.46      ,12.71                       ,-235.94        ,58.35                    ,2036.58                  ,14.45                          ,55.37                 ,110.65                      ,90.27                          ,- -            ,- -            ,-712.67                     ,-312.87                        ,-152.67             ,55.37                ,1.34           ,-29.43               ,-4.99                   ,-0.12249554981653343
 2 ,2012 ,20.02                    ,          20.9  ,18.81        ,17.23                      ,- -                    ,19.8                    ,-20.14                      ,18.68         ,18.97                       ,-0.65                     ,19.76             ,-1.45                       ,20.72               ,20.42  ,0.34              ,19.8   ,19.8   ,-1.01            ,-0.18                ,-0.87             ,5.47               ,- -                ,26.1                 ,17.74                          ,19.77                   ,15.93                   ,- -         ,26.07           ,17.84                ,28.16                          ,27.34                     ,- -                          ,          10.75 ,                  20.03 ,18.4         ,34.01               ,- -     ,8.45                 ,13.86                     ,- -     ,-16.07               ,-16.07                       ,7.21              ,-33.84               ,-0.46        ,29.34             ,-26.34       ,22.81                           ,22.81        ,18.4                       ,-0.47              ,19.77    ,-2.47              ,4.51                         ,3.5           ,-4.81                 ,13.8                ,18.97      ,26.1                        ,-155.15        ,18.98                    ,-107.12                  ,33.99                          ,16.04                 ,-63.34                      ,-32.96                         ,- -            ,- -            ,76.8                        ,34.27                          ,-212.56             ,16.04                ,42.8           ,-13.37               ,12.62                   ,0.014753671830069814
 3 ,2013 ,20.37                    ,          23.08 ,16.6         ,10.91                      ,- -                    ,23.24                   ,-61.69                      ,21.64         ,16.87                       ,0.24                      ,16.59             ,-0.33                       ,17.26               ,22.38  ,1.67              ,23.24  ,23.24  ,-3.13            ,2.38                 ,-2.91             ,10.05              ,- -                ,14.89                ,30.86                          ,40.95                   ,22.67                   ,- -         ,24.5            ,27.7                 ,11.29                          ,16.52                     ,- -                          ,          23.09 ,                  16.37 ,24.74        ,11.8                ,- -     ,34.49                ,28.84                     ,- -     ,-22.58               ,-22.58                       ,19.9              ,19.42                ,101.43       ,26.51             ,15.26        ,26.4                            ,26.4         ,24.74                      ,0.72               ,40.95    ,11.51              ,1.07                         ,-0.88         ,-1.64                 ,9.38                ,16.87      ,14.89                       ,-209.44        ,10.66                    ,-354.31                  ,21.42                          ,-21.79                ,56.76                       ,28.2                           ,- -            ,- -            ,-65.63                      ,-90.99                         ,155.1               ,-21.79               ,38.67          ,23.82                ,3.9                     ,0.07079865711545597
 4 ,2014 ,16.06                    ,          16.63 ,15.21        ,17.91                      ,- -                    ,12.34                   ,290                         ,13.99         ,17.13                       ,0.66                      ,16.35             ,0.54                        ,16.49               ,12.66  ,-2.93             ,12.34  ,12.34  ,-0.73            ,-3.2                 ,0.92              ,-5.95              ,- -                ,15.62                ,0.73                           ,-9.17                   ,22.29                   ,- -         ,-32.86          ,4.44                 ,15.36                          ,16.6                      ,- -                          ,         320.81 ,                 154.6  ,41.11        ,24.99               ,- -     ,1.56                 ,46.07                     ,- -     ,-6.78                ,410.96                       ,87.04             ,2.19                 ,0.38         ,24.55             ,-55.44       ,26.15                           ,26.15        ,41.11                      ,0.27               ,-83.16   ,-86.65             ,-26.71                       ,-28.5         ,4.67                  ,23.4                ,17.13      ,15.62                       ,-16.37         ,13.64                    ,440.34                   ,3.46                           ,-18.96                ,-6.32                       ,332.54                         ,- -            ,- -            ,38.55                       ,-4964.08                       ,-127.94             ,-18.96               ,8.5            ,7.58                 ,-11.67                  ,-0.07092757558554053
 5 ,2015 ,20.98                    ,          21.15 ,20.72        ,23.17                      ,- -                    ,13.63                   ,-43.59                      ,12.47         ,12.86                       ,0.16                      ,12.67             ,- -                         ,12.86               ,18.11  ,-2.37             ,13.63  ,13.63  ,-0.22            ,-6.07                ,-6.71             ,15.41              ,- -                ,58.65                ,31.11                          ,5.72                    ,14.33                   ,- -         ,-4.14           ,23.18                ,1.91                           ,11.94                     ,- -                          ,           1.83 ,                   1.85 ,13.78        ,8.07                ,-42     ,26.7                 ,4.7                       ,-6.45   ,-8.22                ,-6.78                        ,1.18              ,-18.28               ,-1.64        ,22.23             ,-13.89       ,19.87                           ,19.87        ,13.78                      ,-0.07              ,125.98   ,88.52              ,13.83                        ,17.65         ,-3.88                 ,4.82                ,12.86      ,58.65                       ,165.96         ,42.22                    ,-148.87                  ,48.47                          ,28.77                 ,194.57                      ,-56.63                         ,- -            ,- -            ,85.48                       ,-145.38                        ,-172.43             ,28.77                ,51.78          ,-22.72               ,31.56                   ,0.14703055081287508
 6 ,2016 ,8.63                     ,           8.98 ,8.1          ,8.85                       ,- -                    ,6.86                    ,209.09                      ,8.92          ,-4.37                       ,-0.33                     ,-4.06             ,-0.49                       ,-3.9                ,7.93   ,-0.64             ,6.86   ,6.86   ,-0.49            ,-1.62                ,-11.97            ,-7.45              ,- -                ,14.85                ,4.45                           ,-4.28                   ,10.79                   ,- -         ,55.62           ,8.74                 ,3.15                           ,11.66                     ,-58.98                       ,          10.51 ,                   9.9  ,9.2          ,11.58               ,-80.05  ,-1.73                ,-10.91                    ,-9.12   ,66.15                ,4.4                          ,-6.58             ,-20.7                ,- -          ,17.4              ,7.55         ,15.63                           ,15.63        ,9.2                        ,-0.16              ,37.29    ,18.74              ,9.42                         ,22.05         ,5.49                  ,17.37               ,-4.37      ,14.85                       ,47.2           ,13.02                    ,-536.11                  ,-24.78                         ,9.89                  ,-62.11                      ,-29.76                         ,- -            ,- -            ,11.3                        ,8.94                           ,-145.52             ,9.89                 ,-29.73         ,16.78                ,-21.34                  ,-0.16182819721585828
 7 ,2017 ,9.81                     ,          12.88 ,5.19         ,-1.24                      ,- -                    ,11.53                   ,50                          ,12.64         ,-3.16                       ,-2.31                     ,-0.87             ,-2.46                       ,-0.71               ,12.29  ,2.26              ,11.53  ,11.53  ,-4.21            ,1.57                 ,-11.81            ,9.89               ,- -                ,16.89                ,-2.19                          ,-5.36                   ,10.91                   ,- -         ,58.37           ,5.94                 ,0.99                           ,8.23                      ,279.03                       ,           6.11 ,                   7.91 ,6.72         ,17.47               ,116.05  ,12.85                ,17.41                     ,-12.42  ,218.18               ,53.49                        ,28.81             ,-84.89               ,- -          ,0.63              ,-161.4       ,-0.55                           ,-0.55        ,6.72                       ,-3.29              ,-9       ,-8.49              ,-9.84                        ,-9.77         ,2.97                  ,-0.08               ,-3.16      ,16.89                       ,48.91          ,1.84                     ,-139.49                  ,46.32                          ,-5.33                 ,85.07                       ,-39.56                         ,- -            ,- -            ,268.95                      ,167.16                         ,162.3               ,-5.33                ,57.84          ,-10.5                ,51.09                   ,0.08154183666389558
 8 ,2018 ,8.88                     ,           7.5  ,11.12        ,11.49                      ,- -                    ,10.46                   ,-122.55                     ,5.35          ,39.69                       ,-1.85                     ,42.33             ,-1.85                       ,42.33               ,10.75  ,1.72              ,10.46  ,10.46  ,2.06             ,1.45                 ,28.3              ,0.53               ,79.94              ,12.42                ,-10.78                         ,-39.69                  ,-0.99                   ,- -         ,9.12            ,-5.5                 ,5.29                           ,12.11                     ,-65.96                       ,          26.61 ,                  18.43 ,4.11         ,18.56               ,-94.86  ,-4.48                ,-4.54                     ,5.44    ,-3.84                ,-0.06                        ,-2.86             ,-3.64                ,- -          ,8.92              ,-262.86      ,7.08                            ,7.08         ,4.11                       ,-1.87              ,-60.46   ,-63.07             ,0.05                         ,-1            ,2.57                  ,8.31                ,39.69      ,12.42                       ,45.99          ,20.81                    ,-318.82                  ,7.69                           ,32.75                 ,-101.69                     ,179.55                         ,76.6           ,-97.5          ,-33.25                      ,-14.71                         ,355                 ,32.75                ,4.33           ,-21.18               ,-22.91                  ,-0.0342597705768084
 9 ,2019 ,4.08                     ,           8.09 ,-2.2         ,-1.16                      ,- -                    ,-5.32                   ,452.17                      ,-9.08         ,-12.33                      ,-3.95                     ,-8.72             ,-4.11                       ,-8.57               ,-3.68  ,-7.45             ,-5.32  ,-5.32  ,-6.03            ,-9.03                ,-15.76            ,0.2                ,0.78               ,5.62                 ,-24.1                          ,127.82                  ,2.07                    ,- -         ,2.42            ,-11.6                ,60.33                          ,34.33                     ,-78.75                       ,          10.05 ,                  18.75 ,2.26         ,-0.25               ,2566.67 ,2.32                 ,10.07                     ,96.33   ,-22.75               ,28.45                        ,17.19             ,-28.3                ,-16.67       ,-4.03             ,-66.67       ,-3.52                           ,-3.52        ,2.26                       ,-5.03              ,358.41   ,375.13             ,-11.4                        ,-19.69        ,2.73                  ,3.87                ,-12.33     ,5.62                        ,-92.5          ,-18.73                   ,-124.82                  ,-3.59                          ,3.98                  ,28555.56                    ,-197.6                         ,-3.21          ,- -            ,78.19                       ,51.74                          ,-308.52             ,3.98                 ,-4.88          ,-4.17                ,9.97                    ,-0.29950106749077754
