   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA  ,EBIT   ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,-2.48                    ,-2.95           ,-0.68        ,1.14                       ,- -                    ,-4.48                   ,2.1                         ,-5.07         ,-7.51                       ,-4.67                     ,-2.73             ,-5.03                       ,-2.36               ,-2.66  ,-0.19             ,-4.48  ,-4.48  ,1.84             ,-2.05                ,-4.92             ,2.37               ,14.46              ,5.76                 ,31.16                          ,31.4                    ,-9.75                   ,3.4         ,1.39            ,                0.96 ,5.04                           ,10.34                     ,- -                          ,-0.11           ,0.81                    ,0.86         ,-2.19               ,-41.92  ,- -                  ,-10                       ,-1.19   ,-2.16                ,-1.53                        ,-5.56             ,1.51                 ,- -          ,18.03             ,5.93         ,5.4                             ,5.5          ,0.86                       ,-2.01              ,-14.46   ,-18.92             ,-5755.63                     ,12.18         ,7.18                  ,-4.74               ,-7.36      ,5.76                        ,-15.49         ,-9.09                    ,-76.72                   ,18.44                          ,-21.31                ,-120                        ,53.41                          ,9.11           ,-64.61         ,-39.44                      ,-13.43                         ,-228.2              ,-21.31               ,86.55          ,-1.49                ,27.74                   ,-0.0366596761970277
 1 ,2011 ,11.8                     ,14.5            ,1.7          ,0.99                       ,- -                    ,3.16                    ,8.96                        ,2.61          ,1.96                        ,-2.12                     ,3.21              ,-2.18                       ,3.27                ,3.85   ,-7.11             ,3.16   ,3.16   ,-9.04            ,-7.73                ,-9.64             ,11.25              ,43.76              ,6.74                 ,-0.91                          ,-0.98                   ,22.78                   ,-6.07       ,65.34           ,                5.02 ,1.74                           ,7.82                      ,- -                          ,3.71            ,3.34                    ,3.82         ,15.36               ,-42.63  ,- -                  ,8                         ,6.43    ,13.05                ,8.76                         ,8.42              ,1.87                 ,- -          ,14.44             ,20.28        ,0.85                            ,0.84         ,3.82                       ,-4.77              ,-0.34    ,-1.17              ,-28.44                       ,-2.77         ,-14.81                ,0.5                 ,0.99       ,6.74                        ,25.56          ,-10                      ,-305.44                  ,22.54                          ,-6.63                 ,5600                        ,46.95                          ,40.71          ,93.04          ,100.07                      ,23.66                          ,-104.11             ,-6.63                ,43.62          ,1.34                 ,21.3                    ,0.18944045166580303
 2 ,2012 ,14.98                    ,16.31           ,9.37         ,- -                        ,- -                    ,13.88                   ,54.97                       ,9.71          ,10.89                       ,-5.01                     ,17.5              ,-4.97                       ,17.45               ,13.47  ,-1.31             ,13.88  ,13.88  ,-4.88            ,-0.95                ,-2.93             ,14.41              ,29.48              ,11.8                 ,-2.68                          ,-2.69                   ,7.14                    ,9.81        ,17.27           ,                8.43 ,1.95                           ,5.88                      ,- -                          ,-0.14           ,0.24                    ,2.6          ,20.67               ,-13.77  ,- -                  ,18.35                     ,-0.81   ,-0.81                ,-0.81                        ,7.84              ,3.54                 ,6.25         ,13.16             ,5.23         ,-0.97                           ,-1.05        ,2.6                        ,-5.16              ,-1.72    ,-0.68              ,-18.09                       ,-8.38         ,-10.69                ,0.5                 ,11.68      ,11.8                        ,63.27          ,-2.22                    ,13.74                    ,13.92                          ,8.44                  ,- -                         ,-23.28                         ,23             ,-35.23         ,44.29                       ,40.46                          ,171.43              ,8.44                 ,16.49          ,-2.02                ,2.07                    ,0.06876250432570097
 3 ,2013 ,2.96                     ,2.33            ,5.76         ,- -                        ,- -                    ,11.47                   ,-43.76                      ,19.4          ,18.89                       ,-4.25                     ,24.11             ,-4.22                       ,24.07               ,10.53  ,7.36              ,11.47  ,11.47  ,2.72             ,8.27                 ,15.43             ,0.48               ,38.2               ,6.67                 ,202.68                         ,197.38                  ,34.73                   ,0.12        ,8.19            ,               25.61 ,-0.2                           ,6.76                      ,- -                          ,0.42            ,0.31                    ,8.01         ,10.47               ,-19.28  ,- -                  ,9.01                      ,40.6    ,0.7                  ,25.97                        ,17.57             ,2.25                 ,- -          ,13.98             ,-17.68       ,0.76                            ,0.76         ,8.01                       ,-4.14              ,10.17    ,9.35               ,5.22                         ,15.23         ,5.94                  ,2.46                ,18.9       ,6.67                        ,-85.09         ,6.82                     ,-206.84                  ,-13.31                         ,-2.27                 ,-257.89                     ,-0.76                          ,32.33          ,219.94         ,-8.18                       ,-74.55                         ,-7234.21            ,-2.27                ,-18.14         ,61.31                ,-27.05                  ,0.20780985501246518
 4 ,2014 ,9.94                     ,10.7            ,6.66         ,- -                        ,- -                    ,9.48                    ,120.24                      ,1.99          ,0.98                        ,-4.6                      ,6.01              ,-4.65                       ,6.06                ,8.31   ,-1.49             ,9.48   ,9.48   ,-2.99            ,-0.42                ,-8.02             ,5                  ,23.07              ,3.26                 ,-39.79                         ,-39.33                  ,10.97                   ,8.01        ,34.72           ,                2.6  ,2.65                           ,7.92                      ,- -                          ,4.72            ,4.34                    ,3.72         ,19.53               ,124.6   ,- -                  ,23.35                     ,-9.43   ,4.6                  ,-5.32                        ,7.85              ,2.15                 ,- -          ,11.78             ,45.64        ,0.05                            ,0.07         ,3.72                       ,-3.39              ,11.77    ,11.69              ,-97.54                       ,-16.82        ,-1.24                 ,4.71                ,1.13       ,3.26                        ,1041.82        ,17.02                    ,-227.25                  ,40.71                          ,7.66                  ,-104.44                     ,120.44                         ,17.41          ,-45.31         ,0.63                        ,360.31                         ,-159.09             ,7.66                 ,57.96          ,-1.82                ,39.13                   ,0.25173417210298155
 5 ,2015 ,9.99                     ,11.19           ,4.58         ,- -                        ,- -                    ,7.68                    ,-23.37                      ,12.22         ,12.59                       ,-3.7                      ,17.11             ,-3.68                       ,17.08               ,7.8    ,-1.99             ,7.68   ,7.68   ,-4.92            ,-2.1                 ,2.53              ,-1.42              ,27.07              ,8.34                 ,1.27                           ,-0.89                   ,22.72                   ,17.36       ,-60.99          ,               12.22 ,11.44                          ,11.98                     ,- -                          ,35.73           ,31.27                   ,24.6         ,23.67               ,-5      ,- -                  ,21.77                     ,125.86  ,4.15                 ,86.46                        ,52.48             ,1.74                 ,- -          ,11.48             ,64.98        ,-2.01                           ,-2           ,24.6                       ,-3.42              ,140.22   ,145.13             ,-28297.77                    ,-7.84         ,3.48                  ,11.57               ,12.81      ,8.34                        ,-105.73        ,39.39                    ,33.19                    ,4.94                           ,10.81                 ,-700                        ,231.77                         ,22.36          ,582.89         ,24.99                       ,-185.69                        ,-99.88              ,10.81                ,2.85           ,-8.49                ,-6.94                   ,0.03627822414752502
 6 ,2016 ,15.82                    ,17.32           ,8.69         ,- -                        ,- -                    ,9.61                    ,103.61                      ,0.24          ,1.72                        ,-4.03                     ,5.79              ,-4.17                       ,5.95                ,11.19  ,-4                ,9.61   ,9.61   ,-6.16            ,-5.36                ,-12.34            ,12.58              ,21.65              ,18.31                ,35.77                          ,37.09                   ,2.32                    ,5.42        ,-8.59           ,                6.46 ,3.25                           ,8.4                       ,- -                          ,-0.34           ,0.22                    ,2.19         ,10.75               ,60.07   ,- -                  ,13.3                      ,-2.48   ,-0.6                 ,-2.14                        ,4.33              ,2.16                 ,- -          ,9.79              ,-14.8        ,-0.98                           ,-0.99        ,2.19                       ,-3.63              ,-3.38    ,-2.41              ,-4.34                        ,-6.03         ,-4.55                 ,2.88                ,1.53       ,18.31                       ,-2927.78       ,-3.48                    ,6.83                     ,18.76                          ,-6.04                 ,-145.83                     ,-81.59                         ,16.75          ,-64.01         ,-10.8                       ,-238.57                        ,-45600              ,-6.04                ,28.27          ,-32.33               ,16.97                   ,-0.2736538920425923
 7 ,2017 ,4.08                     ,5.07            ,-1.06        ,- -                        ,- -                    ,-6.42                   ,-17.04                      ,-4.27         ,24.64                       ,-4.94                     ,31.02             ,-5.1                        ,31.23               ,-5.16  ,-8.87             ,-6.42  ,-6.42  ,-4.94            ,-10.09               ,19.66             ,5.77               ,17.14              ,0.16                 ,-47.74                         ,-49.69                  ,8.36                    ,3.63        ,43.18           ,                0.6  ,1.15                           ,6.53                      ,- -                          ,0.48            ,0.76                    ,0.71         ,6.04                ,151.62  ,- -                  ,16.75                     ,-13.41  ,-20.06               ,-14.63                       ,-0.33             ,102.86               ,188700       ,11.73             ,-45.9        ,2.34                            ,2.34         ,0.71                       ,-4.43              ,4.74     ,2.35               ,-4.4                         ,-13.83        ,-14.14                ,-1.6                ,24.52      ,0.16                        ,-166.7         ,5.41                     ,-131.3                   ,-21.04                         ,-13.76                ,-790.91                     ,16.48                          ,11.36          ,- -            ,-2.24                       ,-0.15                          ,-278.13             ,-13.76               ,-23.09         ,9.25                 ,-36.6                   ,-0.25172255546586575
 8 ,2018 ,5.3                      ,4.34            ,10.55        ,- -                        ,- -                    ,4.64                    ,504                         ,-82.99        ,-108.99                     ,2.35                      ,-108.76           ,1.95                        ,-108.8              ,5.66   ,0.34              ,4.64   ,4.64   ,4.99             ,-0.63                ,-108.52           ,-12.19             ,-2.82              ,9.64                 ,264.19                         ,139.33                  ,33.76                   ,7.54        ,384.76          ,               44.87 ,10.27                          ,10.62                     ,13946.43                     ,132.03          ,136.63                  ,106.51       ,43.96               ,-58.83  ,21100                ,43.6                      ,222.1   ,387.52               ,250.55                       ,140.12            ,-29.19               ,41.58        ,-6.07             ,-161.82      ,54.48                           ,55.31        ,106.51                     ,27.71              ,174.12   ,76.5               ,108.67                       ,0.89          ,-17.22                ,19.92               ,-109       ,9.64                        ,-1109.57       ,19.66                    ,-73.08                   ,10.72                          ,6.2                   ,-264.47                     ,1404.52                        ,-0.54          ,732.11         ,- -                         ,-645.39                        ,-248                ,6.2                  ,12.14          ,-16.75               ,-1334.27                ,-0.007989833705105642
 9 ,2019 ,31.96                    ,29.57           ,44.36        ,- -                        ,- -                    ,20.14                   ,-63.25                      ,539.9         ,-1212.58                    ,24.62                     ,-996.22           ,25                          ,-993.47             ,28.72  ,-2.46             ,20.14  ,20.14  ,9.39             ,-8.96                ,-946.31           ,34.24              ,2.49               ,60.82                ,22.41                          ,40.01                   ,11.26                   ,6.48        ,11.61           ,               11.18 ,189.93                         ,85.32                     ,10.06                        ,-1.77           ,13.84                   ,13.23        ,16.04               ,170.88  ,-1.13                ,21.12                     ,17.05   ,-4.94                ,11.79                        ,14.77             ,1.17                 ,1.17         ,10.26             ,899.02       ,9.68                            ,9.61         ,13.23                      ,0.54               ,-9.48    ,-17.41             ,-36.27                       ,-8.2          ,-24.66                ,-1.69               ,-1212.58   ,60.82                       ,-94.94         ,61.79                    ,-1438.39                 ,44.93                          ,20.62                 ,-488                        ,-92.29                         ,27.72          ,-91.57         ,- -                         ,-120.79                        ,-22.68              ,20.62                ,52.18          ,0.09                 ,-112.98                 ,-0.11617944531977376
