   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA   ,EBIT    ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,-69.4                    ,-70.19          ,-68.28       ,-69.84                     ,- -                    ,-60.88                  ,-5478.57                    ,-52.69        ,-49.64                      ,0.2                       ,-49.59            ,0.3                         ,-49.64              ,-33.73 ,116.59            ,-60.88  ,-60.88  ,3.67             ,27.87                ,65.08             ,-68.42             ,              6.8  ,7.87                 ,61.13                          ,61.31                   ,17.26                   ,-0.65       ,62.22           ,31.24                ,8.33                           ,10.13                     ,                        1.71 ,1.28            ,6.69                    ,12.24        ,11.61               ,-51.3   ,- -                  ,10.69                     ,11.44   ,8.23                 ,8.94                         ,9.57              ,1                    ,- -          ,12.56             ,3.36         ,14.33                           ,14.31        ,12.24                      ,-0.01              ,-291.72  ,-267.71            ,2.2                          ,18.57         ,583.79                ,-3.12               ,81.16      ,7.87                        ,1.06           ,- -                      ,-104.75                  ,61.87                          ,-1.16                 ,-1080.05                    ,26.21                          ,          7.02 ,-76.62         ,-282.14                     ,45.8                           ,-807.92             ,-1.16                ,-2599.36       ,-9.07                ,220.47                  ,0.10163413347586614
 1 ,2011 ,369.07                   ,397.93          ,330.29       ,290.96                     ,- -                    ,454.7                   ,388.91                      ,443.39        ,407.67                      ,-0.5                      ,410.49            ,-0.3                        ,409.46              ,161.68 ,-44.21            ,454.7   ,454.7   ,-8.27            ,18.25                ,8.28              ,376.76             ,              8.74 ,-1.16                ,13.35                          ,12.83                   ,4.98                    ,0.91        ,16.85           ,8.99                 ,17.32                          ,12.57                     ,                        6.26 ,8.68            ,14.94                   ,13.37        ,15.39               ,81.82   ,- -                  ,15.81                     ,-13.08  ,13.51                ,7.5                          ,10.56             ,2.17                 ,- -          ,17.35             ,34.84        ,15.51                           ,15.47        ,13.37                      ,-1.31              ,103.48   ,76.22              ,2.16                         ,-5.89         ,-64.56                ,-1.61               ,41.14      ,-1.16                       ,39.71          ,- -                      ,2140.18                  ,31.06                          ,35.12                 ,-60.59                      ,31.43                          ,          8.2  ,-69.84         ,943.46                      ,127.7                          ,-65.17              ,35.12                ,24.27          ,-12.34               ,-74.2                   ,0.20283280642299228
 2 ,2012 ,-6.39                    ,2.84            ,-20.75       ,3.41                       ,- -                    ,-13.06                  ,53.73                       ,-2.73         ,-2.49                       ,-1.81                     ,-0.87             ,-1.8                        ,-0.88               ,-7.9   ,-1.61             ,-13.06  ,-13.06  ,-15.34           ,-7.12                ,3.99              ,-7.9               ,             13.54 ,8.19                 ,36                             ,31.99                   ,-3.65                   ,10.84       ,-31.88          ,4.67                 ,15.28                          ,12.87                     ,                        3.72 ,13.3            ,13.45                   ,11.22        ,2.48                ,-62.65  ,- -                  ,1.82                      ,22.96   ,11.38                ,13.49                        ,166.9             ,2.01                 ,- -          ,13.77             ,10.45        ,12.47                           ,12.81        ,77.02                      ,-1.74              ,51.47    ,34.27              ,1.65                         ,2.8           ,-0.54                 ,1.64                ,-2.49      ,8.19                        ,39.47          ,- -                      ,-85.53                   ,-5.56                          ,16.75                 ,-311.93                     ,-9.8                           ,         11.48 ,1032.89        ,29.72                       ,-23.72                         ,174.14              ,16.75                ,-46.06         ,-5.76                ,-2.98                   ,-0.08344273493264898
 3 ,2013 ,-4.52                    ,-3.44           ,-6.72        ,6.75                       ,- -                    ,-22.28                  ,-23.21                      ,-22.5         ,-17.99                      ,-1.69                     ,-16.76            ,-1.68                       ,-16.77              ,-14.09 ,-10.01            ,-22.28  ,-22.28  ,-2.3             ,-18.59               ,-14.29            ,-8.37              ,             11.09 ,6.45                 ,-24.63                         ,-22.42                  ,2.98                    ,3.84        ,-14.01          ,-9.82                ,16.61                          ,12.51                     ,                        7.52 ,8               ,14.8                    ,8.92         ,-4.23               ,194.49  ,- -                  ,-3.49                     ,66.24   ,2.82                 ,15.38                        ,-55.09            ,1.25                 ,- -          ,8.73              ,-42.58       ,8.26                            ,8.18         ,-31.57                     ,-1.7               ,-146.22  ,-142.73            ,-0.57                        ,-6.56         ,-1.45                 ,4.19                ,-17.99     ,6.45                        ,-92.83         ,- -                      ,-466.67                  ,-9.82                          ,22.78                 ,-69.74                      ,43.61                          ,          9.21 ,96.16          ,8.5                         ,-57.45                         ,-187.93             ,22.78                ,-137.88        ,10.78                ,10.2                    ,-0.10292639909203305
 4 ,2014 ,-8.93                    ,-8.34           ,-10.16       ,2.2                        ,- -                    ,-27.51                  ,32.03                       ,-13.1         ,-10.59                      ,-1.77                     ,-8.56             ,-2.48                       ,-7.9                ,-11.14 ,-2.43             ,-27.51  ,-27.51  ,-1.35            ,-20.4                ,-1.38             ,-9.07              ,              7.99 ,18.82                ,-19.99                         ,-21.3                   ,-22.6                   ,1.96        ,0.77            ,-15.96               ,11.13                          ,10.41                     ,                        5.53 ,4.08            ,9.97                    ,4.84         ,-13.81              ,913.37  ,- -                  ,-3.31                     ,19.8    ,7.22                 ,10.81                        ,6.08              ,1.87                 ,- -          ,6.51              ,33.52        ,4.1                             ,3.97         ,4.84                       ,-1.77              ,265.98   ,252.02             ,-0.78                        ,-13.08        ,-27.23                ,0.15                ,-10.59     ,18.82                       ,3631.58        ,- -                      ,-59.43                   ,-10.08                         ,-6.79                 ,-138.63                     ,-16.05                         ,          6.07 ,-11.3          ,-1.82                       ,30.83                          ,-22.83              ,-6.79                ,31.81          ,-4.7                 ,0.12                    ,-0.1837948156089123
 5 ,2015 ,-35.2                    ,-33.47          ,-38.88       ,-7.73                      ,- -                    ,-118.81                 ,-25.48                      ,-84.48        ,-75.61                      ,-0.8                      ,-75.97            ,-0.48                       ,-76.05              ,-47.49 ,-18.97            ,-118.81 ,-118.81 ,-5.68            ,-129.02              ,-63.21            ,-31.83             ,              1.62 ,32.14                ,-14.25                         ,-13.79                  ,-23.16                  ,-2.63       ,-16.53          ,-16.3                ,2.85                           ,3.97                      ,                        0.74 ,11.24           ,3.11                    ,0.03         ,-23.46              ,30.03   ,- -                  ,-17.11                    ,40.1    ,-3.33                ,10.07                        ,2.15              ,1.62                 ,- -          ,-1.84             ,-11.14       ,-1.51                           ,-1.49        ,0.03                       ,0.17               ,83.7     ,86.48              ,-1.56                        ,0.97          ,-150.89               ,-4.95               ,-75.61     ,32.14                       ,33.41          ,- -                      ,266.48                   ,-38.19                         ,-16.67                ,-149.01                     ,-20.36                         ,          0.81 ,49.25          ,-109.56                     ,-156.31                        ,-55.02              ,-16.67               ,155.54         ,8.84                 ,159.29                  ,-0.15444074189240597
 6 ,2016 ,-15.17                   ,-13.23          ,-19.67       ,-9.19                      ,- -                    ,67.55                   ,-52.57                      ,-144.61       ,-109.15                     ,0.27                      ,-110.81           ,-0.11                       ,-110.85             ,-30.08 ,-17.57            ,67.55   ,67.55   ,-5.31            ,97.51                ,-112.77           ,-5.49              ,              0.23 ,-14.56               ,-38.22                         ,-36.6                   ,9.58                    ,-14.45      ,-35.55          ,-16.21               ,-3.3                           ,-1.23                     ,                       11.58 ,18.18           ,-0.13                   ,-2.26        ,-2.74               ,119.97  ,- -                  ,20.11                     ,4.82    ,-11.14               ,-4.88                        ,1                 ,1.46                 ,- -          ,-4.7              ,-9.89        ,-4.72                           ,-4.69        ,-2.26                      ,0.46               ,42.03    ,49.02              ,-2.59                        ,-30.23        ,290.33                ,-10.24              ,-109.15    ,-14.56                      ,-7.58          ,- -                      ,-72.21                   ,-33.97                         ,-38.62                ,195.4                       ,-29.22                         ,          0.5  ,-18.37         ,208.06                      ,-99.11                         ,159.01              ,-38.62               ,-47.62         ,107.6                ,-709.38                 ,0.2712640503818582
 7 ,2017 ,22.19                    ,20.74           ,25.84        ,-4.28                      ,- -                    ,-139.9                  ,66.2                        ,-526.9        ,-2250.58                    ,0.53                      ,-1940.28          ,1.33                        ,-1925.73            ,60.43  ,31.29             ,-139.9  ,-139.9  ,2.98             ,-132.65              ,-1614.09          ,29.96              ,              0.71 ,-2                   ,-31.12                         ,-31.12                  ,8.95                    ,3.06        ,-9.88           ,-3.58                ,-2.46                          ,2.5                       ,                        7.43 ,-16.57          ,-2.26                   ,-2.41        ,7.64                ,-52.1   ,- -                  ,-12.74                    ,-4.86   ,-6.71                ,-5.91                        ,-7.72             ,1.37                 ,- -          ,0.61              ,-6.22        ,1.76                            ,1.76         ,-2.41                      ,0.7                ,-13.29   ,-14.79             ,4.4                          ,10.5          ,-14.42                ,-5.98               ,-2250.58   ,-2                          ,43.44          ,- -                      ,-186.55                  ,59.7                           ,-25.98                ,-105.45                     ,-51.34                         ,          1.25 ,-55.92         ,-14.15                      ,-58316                         ,-43.73              ,-25.98               ,-235.11        ,-1.28                ,-108.63                 ,-0.08830365535043683
 8 ,2018 ,17.99                    ,19.85           ,13.51        ,2.08                       ,- -                    ,482.5                   ,-9.08                       ,123.13        ,60.32                       ,0.8                       ,59.94             ,0.84                        ,59.87               ,53.66  ,30.23             ,482.5   ,482.5   ,-3.8             ,393.69               ,36.64             ,26                 ,              3.7  ,-0.75                ,114.54                         ,94.1                    ,-1.97                   ,2.13        ,4.36            ,19.12                ,-4.79                          ,-1.23                     ,                        9.38 ,0.35            ,-2.4                    ,0.02         ,-4.88               ,10.29   ,- -                  ,-2.04                     ,-14.41  ,-2                   ,-7.43                        ,-67.39            ,1.41                 ,- -          ,3.95              ,-1.18        ,5.19                            ,5.08         ,-25.1                      ,-0.1               ,-25.81   ,-29.4              ,5.22                         ,21.6          ,16.66                 ,-6.36               ,60.75      ,-0.75                       ,-65.82         ,- -                      ,-247.06                  ,49.16                          ,2.89                  ,3475                        ,49.98                          ,          4.53 ,59.73          ,-154.12                     ,-5.87                          ,-305.36             ,2.89                 ,136.37         ,-32.91               ,-7.48                   ,-0.03510160807973217
 9 ,2019 ,-11.98                   ,-4.09           ,-32.0        ,-83.01                     ,- -                    ,-102.19                 ,-4.5                        ,-73.09        ,-80.85                      ,-0.84                     ,-80.11            ,-0.99                       ,-80.08              ,-14.66 ,-3.05             ,-102.19 ,-102.19 ,-22.75           ,-102.49              ,-77.59            ,-11.25             ,              6.78 ,50.52                ,-44.43                         ,-39.14                  ,-11.46                  ,2.52        ,16.6            ,-16.73               ,-11.06                         ,-3.97                     ,                        8.84 ,32              ,-4.89                   ,-6.47        ,8.41                ,-42.68  ,- -                  ,-2.36                     ,-17.55  ,-0.75                ,-7.54                        ,170.51            ,0.81                 ,- -          ,-3.34             ,38.21        ,-7.33                           ,-7.34        ,24.9                       ,-1.09              ,-15.25   ,-8.53              ,-1.02                        ,-14.72        ,29.17                 ,-0.82               ,-81.21     ,50.52                       ,106.67         ,- -                      ,-314.29                  ,-10.78                         ,2.35                  ,-195.1                      ,-6.5                           ,          5.88 ,-59.44         ,380.13                      ,44.53                          ,-186.96             ,2.35                 ,-21.56         ,16.18                ,352.3                   ,-0.1360439856013076
10 ,2020 ,-32.46                   ,-35.98          ,-19.84       ,1.69                       ,- -                    ,2100.95                 ,-108.13                     ,-234.63       ,-295.47                     ,-0.64                     ,-290.79           ,1.32                        ,-287.1              ,-56.64 ,-35.81            ,2100.95 ,2100.95 ,18.67            ,3158.52              ,-380.66           ,143.34             ,              8.47 ,-33.22               ,-2.12                          ,-1.58                   ,-13.91                  ,-2.94       ,-3.02           ,-7.95                ,4.07                           ,5.67                      ,                        0.94 ,-9.41           ,2.21                    ,0.99         ,-11.24              ,-52.83  ,- -                  ,-16.39                    ,80.52   ,0.27                 ,29.21                        ,15.97             ,-2.28                ,- -          ,-8.33             ,11.89        ,-8.78                           ,-8.69        ,0.99                       ,2.29               ,81.89    ,99.19              ,-9.86                        ,10.09         ,30.71                 ,-72.24              ,-300       ,-33.22                      ,-74.19         ,- -                      ,-213.33                  ,-61.17                         ,-36.8                 ,-96.32                      ,-39.13                         ,          7.78 ,795.36         ,-48.28                      ,-81.31                         ,-97.5               ,-36.8                ,-87.27         ,52.71                ,-120.48                 ,-0.42211029568312963
11 ,2021 ,64.71                    ,53.29           ,97.38        ,-4.72                      ,- -                    ,-322.04                 ,-1391.39                    ,-390.34       ,-382.13                     ,2.46                      ,-375.12           ,- -                         ,-381.89             ,166.65 ,61.88             ,-322.04 ,-322.04 ,19.83            ,-234.81              ,-271.14           ,-48.26             ,              2.63 ,-8.21                ,0.85                           ,0.79                    ,60.57                   ,11.08       ,1.06            ,29.37                ,-6.17                          ,-2.66                     ,                        4.21 ,0.54            ,-3.7                    ,-0.11        ,28.59               ,-83.46  ,- -                  ,20.77                     ,-27.25  ,-1                   ,-14.23                       ,-7.06             ,2.43                 ,- -          ,3.22              ,-29.44       ,5.77                            ,5.6          ,-0.11                      ,0.24               ,-33.55   ,-37.08             ,5.92                         ,7.12          ,-27.04                ,218.37              ,-380.36    ,-8.21                       ,87.5           ,- -                      ,-17.65                   ,175.47                         ,-9.71                 ,-102.86                     ,-15.71                         ,          5.15 ,-80.79         ,-7.8                        ,524.32                         ,-300                ,-9.71                ,1160.07        ,-27.55               ,-197.72                 ,0.193485602763384
12 ,2022 ,51.48                    ,50.74           ,53.14        ,7.42                       ,- -                    ,155.97                  ,62.99                       ,129.56        ,126.96                      ,0.78                      ,125.21            ,1.04                        ,124.64              ,67.57  ,10.62             ,155.97  ,155.97  ,1.1              ,68.98                ,49.84             ,47.16              ,              7.01 ,-8.94                ,215.44                         ,213.44                  ,11.06                   ,30.8        ,11.98           ,49.22                ,-2.29                          ,-2.46                     ,                       11.16 ,2.19            ,0.76                    ,7.59         ,21.51               ,667.19  ,- -                  ,27.68                     ,-31.3   ,0.46                 ,-13.11                       ,156.51            ,7.21                 ,- -          ,14.79             ,-26.42       ,15.26                           ,15.23        ,74.48                      ,-0.76              ,-78      ,-80.91             ,7.33                         ,16.86         ,-22.62                ,2.94                ,126.75     ,-8.94                       ,46.67          ,- -                      ,-250                     ,69.86                          ,48.63                 ,-11800                      ,105.08                         ,          7.84 ,-94.09         ,717.06                      ,8.23                           ,6150                ,48.63                ,77.95          ,-7.27                ,-25.16                  ,0.7790518824464798
13 ,2023 ,-16.46                   ,-15.59          ,-18.37       ,-3.97                      ,- -                    ,-33.86                  ,-66.51                      ,-40.44        ,-39.87                      ,-3                        ,-37.88            ,-3.09                       ,-37.82              ,-21.38 ,-5.89             ,-33.86  ,-33.86  ,-2.28            ,-20.82               ,-27.87            ,-19.68             ,              6.25 ,8.97                 ,-54.06                         ,-53.74                  ,-2.62                   ,4.43        ,16.93           ,-18.3                ,6.98                           ,5.58                      ,                        3.48 ,8.29            ,6.34                    ,1.52         ,-1.6                ,-73.07  ,- -                  ,-5.7                      ,-5      ,12.54                ,6.62                         ,-61.31            ,13.2                 ,- -          ,5.26              ,5.33         ,1.05                            ,1.05         ,-37.4                      ,-2.59              ,112.4    ,110.19             ,-0.46                        ,-13.37        ,5.99                  ,4                   ,-39.86     ,8.97                        ,-94.8          ,- -                      ,-258.81                  ,-28.21                         ,32.19                 ,49.57                       ,25.88                          ,          3.05 ,8.37           ,32.2                        ,20.44                          ,-177.86             ,32.19                ,-47.43         ,-2.24                ,19.15                   ,-0.37863229465292814
