   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA  ,EBIT   ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,0.87                     ,44.78           ,-37.45       ,- -                        ,- -                    ,31.72                   ,-360.58                     ,177.21        ,141.24                      ,-0.74                     ,119.81            ,-0.61                       ,119.51              ,19.39  ,18.36             ,31.72  ,31.72  ,-37.99           ,30.59                ,116.3             ,14.28              ,4.28               ,-4.62                ,29.17                          ,29.17                   ,3.03                    ,-1.86       ,-43.33          ,-20.79               ,4.38                           ,2.1                       ,7.42                         ,4.51            ,4.7                     ,0.62         ,22.2                ,-22.57  ,-41.94               ,-15.51                    ,1.79    ,2.58                 ,2.08                         ,-1.75             ,-11.94               ,- -          ,36.96             ,56.4         ,7.26                            ,7.26         ,0.62                       ,-3.01              ,-1.6     ,-8.26              ,13.52                        ,-6.24         ,0.23                  ,-11.73              ,116.64     ,-4.62                       ,-494.66        ,- -                      ,-66.79                   ,-51.8                          ,-10.82                ,-51.32                      ,-111.34                        ,3.5            ,-30.32         ,-281.14                     ,1892.86                        ,-157.14             ,-10.82               ,3031.37        ,56.58                ,-77.91                  ,0.020119211867410502
 1 ,2011 ,-7.78                    ,-6.47           ,-10.44       ,- -                        ,- -                    ,-14.89                  ,-134.12                     ,-56.46        ,-51.87                      ,-2.68                     ,-48.48            ,-2.63                       ,-48.5               ,-10.21 ,-2.63             ,-14.89 ,-14.89 ,-2.88            ,-7.71                ,-45.62            ,-7.78              ,7.74               ,2.38                 ,64.52                          ,64.52                   ,-9.39                   ,15.91       ,0.83            ,0.56                 ,11.07                          ,7.87                      ,2.48                         ,-4.07           ,7.4                     ,6.53         ,-25.36              ,74.88   ,31.48                ,20.6                      ,10.38   ,5.02                 ,8.39                         ,10.68             ,-9.31                ,- -          ,4.35              ,84.85        ,-4.59                           ,-4.12        ,6.53                       ,-1.89              ,17.1     ,22.13              ,-12.25                       ,-16.62        ,18.23                 ,- -                 ,-49.52     ,2.38                        ,-134.24        ,- -                      ,-412.71                  ,63.45                          ,6.72                  ,81.08                       ,-892.6                         ,4.85           ,132.77         ,-31.84                      ,-116.94                        ,233.33              ,6.72                 ,-58.11         ,-3.79                ,225.98                  ,0.2946141941195213
 2 ,2012 ,-6.76                    ,-11.12          ,2.44         ,- -                        ,- -                    ,-0.76                   ,-4.05                       ,0.13          ,-2.02                       ,-0.03                     ,-78.54            ,-0.12                       ,-78.52              ,3.19   ,10.67             ,-0.76  ,-0.76  ,9.86             ,6.43                 ,-77               ,-4.95              ,6.93               ,12.03                ,143.14                         ,143.14                  ,-15.63                  ,-6.6        ,-1.49           ,-5.34                ,3.72                           ,3.1                       ,9.03                         ,0.96            ,3.77                    ,2.68         ,-6.59               ,40.75   ,-23.49               ,11.51                     ,-3.12   ,18.9                 ,4.79                         ,6.16              ,5.52                 ,6.04         ,-13.54            ,43.77        ,-7.67                           ,-7.63        ,2.68                       ,1.05               ,3.17     ,11.7               ,-12.7                        ,-15.11        ,11.04                 ,-1.9                ,-76.93     ,12.03                       ,132.22         ,- -                      ,-175.27                  ,38.69                          ,13.5                  ,-46.27                      ,15.63                          ,6.89           ,-9.13          ,-147.07                     ,-139.95                        ,265                 ,13.5                 ,-98.8          ,-23.83               ,546.59                  ,-0.11755133107791016
 3 ,2013 ,2.22                     ,-3.22           ,12.17        ,- -                        ,- -                    ,16.03                   ,3.2                         ,19.38         ,24.62                       ,1.01                      ,456.29            ,0.98                        ,456.49              ,9.42   ,7.04              ,16.03  ,16.03  ,9.74             ,13.5                 ,449.71            ,9.27               ,6.59               ,-3.67                ,27.42                          ,27.42                   ,6.93                    ,-6.59       ,36.33           ,15.56                ,6.03                           ,5.97                      ,21.74                        ,-4.57           ,5.89                    ,6.96         ,0.23                ,-25.65  ,30.7                 ,-9.91                     ,14.71   ,4.58                 ,10.58                        ,6.19              ,104.53               ,5.28         ,6.79              ,-63.06       ,10.16                           ,9.57         ,6.96                       ,0.87               ,5.75     ,-3.48              ,6.79                         ,28.27         ,-7.78                 ,-6.45               ,422.8      ,-3.67                       ,-72.72         ,- -                      ,-148.36                  ,-17.02                         ,-1.93                 ,-52.78                      ,-9.95                          ,7.67           ,81.55          ,4.91                        ,-161.59                        ,-53.42              ,-1.93                ,7800           ,41.03                ,-85.23                  ,0.0022924817953728915
 4 ,2014 ,-5.21                    ,-1.89           ,-10.46       ,- -                        ,- -                    ,-17.94                  ,54.08                       ,-34.25        ,-26.82                      ,0.69                      ,-23.33            ,0.86                        ,-23.47              ,-9.03  ,-4.03             ,-17.94 ,-17.94 ,-5.53            ,-13.43               ,-18.56            ,-4.56              ,6.09               ,12.23                ,0.63                           ,0.63                    ,-11.06                  ,19.9        ,-13.71          ,-5.47                ,11.16                          ,9.45                      ,9                            ,7.08            ,10.32                   ,8.45         ,-14.58              ,20.43   ,-13.61               ,2.92                      ,12.8    ,10.2                 ,11.8                         ,10.18             ,1.61                 ,1.61         ,-1.42             ,28.4         ,-0.75                           ,2.71         ,8.45                       ,0.69               ,14.15    ,11.14              ,-4.43                        ,-8.15         ,22.18                 ,-0.69               ,-22.91     ,12.23                       ,69.19          ,- -                      ,66.02                    ,0.17                           ,31.49                 ,-64.71                      ,49.83                          ,6.82           ,61.7           ,114.75                      ,1775.27                        ,-97.06              ,31.49                ,201.58         ,4.77                 ,29.77                   ,0.11602978056000035
 5 ,2015 ,-6.06                    ,-21.32          ,20.35        ,- -                        ,- -                    ,29.95                   ,-24.92                      ,59.06         ,45.02                       ,1.66                      ,42.59             ,1.57                        ,42.72               ,21.58  ,29.42             ,29.95  ,29.95  ,28.11            ,38.33                ,54.31             ,-7.97              ,7.23               ,6.99                 ,90.88                          ,90.88                   ,-16.17                  ,-4.4        ,-61.62          ,-25.4                ,14.57                          ,12.39                     ,3.83                         ,3.63            ,11.8                    ,7.95         ,-18.25              ,28.53   ,0.92                 ,12.8                      ,7.63    ,0.69                 ,4.99                         ,6.32              ,13.68                ,13.68        ,5.96              ,13.94        ,9.6                             ,13.76        ,7.95                       ,1.88               ,9.98     ,-3.32              ,8.05                         ,-33.86        ,24.25                 ,2.08                ,45.02      ,6.99                        ,-11.96         ,- -                      ,-127.78                  ,30.13                          ,4.3                   ,-333.33                     ,25.52                          ,9.01           ,-41.42         ,31.66                       ,32.86                          ,14350               ,4.3                  ,-42.29         ,-22.33               ,-10.23                  ,-0.08036420673921485
 6 ,2016 ,0.46                     ,-0.5            ,1.55         ,- -                        ,- -                    ,-3.51                   ,-23.02                      ,1.38          ,15.03                       ,4.05                      ,7.44              ,3.94                        ,7.56                ,1.08   ,0.61              ,-3.51  ,-3.51  ,1.08             ,-3.95                ,11.28             ,-8.84              ,8.06               ,10.78                ,-57                            ,-57                     ,24.62                   ,13.06       ,-12.49          ,1.41                 ,20.24                          ,20.39                     ,9.85                         ,55.03           ,23.69                   ,22.1         ,44.88               ,-8.81   ,-5.89                ,-0.05                     ,28.82   ,22.03                ,26.34                        ,21.59             ,27.99                ,27.99        ,6.13              ,68.57        ,15.33                           ,23.81        ,22.1                       ,5.37               ,23.55    ,-0.21              ,-14.45                       ,1.46          ,5.39                  ,10.2                ,15.03      ,10.78                       ,-26.9          ,- -                      ,-611.58                  ,-7.24                          ,9.15                  ,-685.71                     ,64.4                           ,12.43          ,107.68         ,297.46                      ,168.88                         ,-207.27             ,9.15                 ,75.82          ,14.68                ,-17.03                  ,0.08131402491214179
 7 ,2017 ,7.23                     ,0.62            ,14.57        ,- -                        ,- -                    ,11.52                   ,31.19                       ,7.78          ,41.05                       ,3.18                      ,36.91             ,3.06                        ,37.06               ,14.18  ,6.48              ,11.52  ,11.52  ,6.84             ,4                    ,31.73             ,7.23               ,8.37               ,19.09                ,-54.02                         ,-54.02                  ,4.69                    ,-3.08       ,25.63           ,2.02                 ,7.59                           ,7.57                      ,9.79                         ,4.29            ,7.26                    ,6.95         ,-4.17               ,31.09   ,5.78                 ,18.74                     ,2.37    ,1.26                 ,1.98                         ,4.46              ,15.38                ,15.38        ,15.79             ,-17.52       ,17.37                           ,15.02        ,6.95                       ,2.71               ,6.8      ,-7.15              ,16.19                        ,-14.08        ,1.52                  ,- -                 ,41.05      ,19.09                       ,-107.99        ,- -                      ,59.26                    ,8.46                           ,-9.55                 ,32.93                       ,-44.42                         ,11.81          ,-54.91         ,-57.75                      ,-79.09                         ,-55.81              ,-9.55                ,-48.19         ,11.21                ,-23.22                  ,-0.09506816886675895
 8 ,2018 ,-11.02                   ,-0.14           ,-21.61       ,- -                        ,- -                    ,-27.46                  ,-80.28                      ,-15.24        ,-32.79                      ,2.86                      ,-20.68            ,2.97                        ,-20.76              ,-16.1  ,-5.71             ,-27.46 ,-27.46 ,-11.9            ,-18.48               ,-8.3              ,-32.33             ,10.01              ,3.54                 ,123.33                         ,123.33                  ,16.46                   ,-3.99       ,46.69           ,19.08                ,1.49                           ,2.35                      ,-5.8                         ,0.9             ,0.69                    ,1.74         ,1.57                ,-36.78  ,21.41                ,-20.64                    ,0.63    ,2.67                 ,1.35                         ,-2.36             ,27.6                 ,27.6         ,16.17             ,157.97       ,17.3                            ,13.83        ,1.74                       ,5.58               ,-6.27    ,-17.65             ,19.59                        ,50.06         ,11.13                 ,31.48               ,-18.3      ,3.54                        ,-502.17        ,- -                      ,-68.86                   ,6.02                           ,-22.71                ,-17.43                      ,-60.32                         ,13.15          ,96             ,86.44                       ,-269.53                        ,-250.36             ,-22.71               ,-151.8         ,2.99                 ,29.94                   ,-0.013539679780353198
 9 ,2019 ,28.59                    ,34.26           ,21.56        ,- -                        ,- -                    ,5.51                    ,1348.94                     ,-66.82        ,-68.53                      ,23.63                     ,-55.67            ,23.52                       ,-55.63              ,16.85  ,-9.13             ,5.51   ,5.51   ,-5.47            ,-17.95               ,-56.84            ,43.4               ,10.43              ,30.57                ,-49.63                         ,-49.63                  ,16.59                   ,13.96       ,37.63           ,18.12                ,4.84                           ,7.14                      ,20.5                         ,180.43          ,34.33                   ,33.25        ,31.83               ,-17.86  ,131.62               ,29.99                     ,-6.89   ,80.69                ,24.12                        ,24.92             ,-5.37                ,89.26        ,-17.82            ,5.47         ,59.12                           ,54.36        ,33.25                      ,23.05              ,-7.74    ,-40.23             ,16.48                        ,-9.13         ,-15.96                ,-10.33              ,-46.02     ,30.57                       ,857.3          ,- -                      ,281.74                   ,9.03                           ,17.07                 ,-58.89                      ,96.01                          ,36.52          ,-1.36          ,66.48                       ,-68.13                         ,-159.22             ,17.07                ,-56.84         ,22.85                ,96.46                   ,-0.07377633853181353
