   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA  ,EBIT   ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,12.39                    ,7.04            ,26.12        ,6.76                       ,7.72                   ,72.94                   ,-61.13                      ,125.79        ,114.57                      ,0.28                      ,112.9             ,0.99                        ,111.42              ,51.22  ,34.54             ,72.94  ,72.94  ,12.21            ,53.87                ,89.97             ,3.51               ,1.84               ,4.75                 ,-17.04                         ,-18.51                  ,11.27                   ,27.77       ,- -             ,11.12                ,-40.14                         ,-8.6                      ,14.9                         ,-5.58           ,-9.19                   ,5.19         ,23.2                ,5.25    ,- -                  ,12.99                     ,-3.32   ,-6.43                ,-4.15                        ,1.79              ,                3.67 ,        3.67 ,            12.5  ,-5.95        ,30.65                           ,30.81        ,5.19                       ,-0.25              ,3.31     ,-21.02             ,34.89                        ,-1.65         ,-175.72               ,8.58                ,114.57     ,4.75                        ,-1.83          ,0.99                     ,147.45                   ,14.98                          ,0.36                  ,-103.14                     ,3600.18                        ,2.13           ,-58.28         ,-1827.07                    ,-314.69                        ,-134.89             ,0.36                 ,43.25          ,46.4                 ,-46.15                  ,0.4355220662395285
 1 ,2011 ,23.58                    ,25.98           ,18.37        ,6.74                       ,16.51                  ,34.91                   ,-33.95                      ,39.59         ,49.81                       ,-1.56                     ,52.5              ,-1.45                       ,52.33               ,27.21  ,2.93              ,34.91  ,34.91  ,-4.22            ,9.17                 ,21.48             ,12.29              ,24.61              ,0.01                 ,10.35                          ,-3.78                   ,12.95                   ,42.69       ,- -             ,12.19                ,62.81                          ,13.54                     ,-17.51                       ,5.28            ,9.13                    ,11.42        ,18.51               ,27.81   ,- -                  ,23.44                     ,0.86    ,16.04                ,4.82                         ,11.98             ,                4.68 ,        4.68 ,            17.54 ,8.83         ,8.11                            ,8.11         ,11.42                      ,-3.82              ,11.6     ,3.22               ,-1.84                        ,-9.11         ,-41.08                ,10.05               ,49.81      ,0.01                        ,-188.87        ,-3.09                    ,-38.42                   ,1.93                           ,28.03                 ,2118                        ,24.26                          ,22.67          ,115.75         ,551.72                      ,-113.83                        ,-81.5               ,28.03                ,-33.41         ,-9.15                ,-32.1                   ,-0.049775852138265075
 2 ,2012 ,13.04                    ,14.09           ,10.61        ,7.84                       ,16.91                  ,11.1                    ,-20.43                      ,12.12         ,9.4                         ,-4.86                     ,15.05             ,-4.95                       ,15.16               ,10.87  ,-1.92             ,11.1   ,11.1   ,-2.15            ,-1.71                ,-3.17             ,3.58               ,23.69              ,9.76                 ,38.07                          ,27.56                   ,14.27                   ,18.29       ,- -             ,17.66                ,66.43                          ,15.95                     ,6.59                         ,7.13            ,13.83                   ,16.72        ,15.17               ,3.51    ,- -                  ,8.77                      ,32.39   ,14.23                ,27.15                        ,19.35             ,                3.09 ,        3.09 ,            16.23 ,24.29        ,0.61                            ,0.69         ,16.72                      ,-4.5               ,21.03    ,20.2               ,-12.55                       ,8.18          ,14.33                 ,9.14                ,9.4        ,9.76                        ,-67.12         ,7.97                     ,256.86                   ,-49.8                          ,26.19                 ,22.98                       ,52.79                          ,17.67          ,88.19          ,1.98                        ,2679.51                        ,-774.29             ,26.19                ,-247.68        ,29.28                ,-54.14                  ,0.008796747213131395
 3 ,2013 ,4.6                      ,2.64            ,9.27         ,5.52                       ,3.05                   ,14.46                   ,-45.41                      ,15.82         ,15.17                       ,-2.97                     ,18.96             ,-3.06                       ,19.07               ,14.3   ,9.28              ,14.46  ,14.46  ,4.47             ,9.43                 ,10.35             ,4.44               ,11.18              ,13.55                ,-16.23                         ,-24.68                  ,11.5                    ,-4.55       ,-45.78          ,6.76                 ,32.11                          ,14.32                     ,2.98                         ,-3.24           ,2.71                    ,5.79         ,-0.48               ,29.4    ,- -                  ,15.75                     ,-3.9    ,-29.04               ,-10.42                       ,-0.3              ,                5.13 ,        5.13 ,            16.42 ,-41.09       ,50.04                           ,49.63        ,5.79                       ,-3.61              ,11.54    ,-25.46             ,50.96                        ,-7.77         ,57.24                 ,0.15                ,15.17      ,13.55                       ,-96.25         ,8.32                     ,-47.52                   ,178.69                         ,11.99                 ,-73.25                      ,20.39                          ,7.88           ,-55.52         ,-11.12                      ,-89.52                         ,-211.12             ,11.99                ,-192.21        ,-45.83               ,141.46                  ,-0.21379832790695952
 4 ,2014 ,-5.04                    ,-3.47           ,-8.55        ,-8.91                      ,-1.71                  ,-16.33                  ,-371.99                     ,-12.51        ,-10.58                      ,-5.79                     ,-5.13             ,-5.94                       ,-4.98               ,-11.06 ,-6.34             ,-16.33 ,-16.33 ,-3.7             ,-11.89               ,-5.87             ,6.75               ,10.81              ,14.58                ,-2.47                          ,8.08                    ,5.12                    ,-14.69      ,- -             ,0.96                 ,29.8                           ,11.3                      ,36.95                        ,3.86            ,9.91                    ,3.05         ,-4.68               ,-2.48   ,- -                  ,-3.92                     ,12.99   ,19.37                ,14.3                         ,6.13              ,                4.29 ,        4.29 ,            12.01 ,40.47        ,-11.72                          ,-11.71       ,3.05                       ,-7.57              ,7.1      ,21.31              ,-14.93                       ,5.08          ,46.86                 ,-11.04              ,-10.58     ,14.58                       ,3564.56        ,-2.73                    ,-53.78                   ,8.35                           ,11.96                 ,-323.63                     ,-40.24                         ,4.4            ,73.89          ,90.26                       ,-170.92                        ,-130.74             ,11.96                ,-1.41          ,-10.42               ,21.22                   ,-0.11936749396695878
 5 ,2015 ,-20.11                   ,-18.7           ,-23.44       ,-12.52                     ,-1.85                  ,-40.62                  ,-83.46                      ,-42.05        ,-38.64                      ,-8.1                      ,-33.23            ,-8.22                       ,-33.14              ,-30.41 ,-12.9             ,-40.62 ,-40.62 ,-4.18            ,-25.67               ,-23.2             ,-16.73             ,13.01              ,5.81                 ,-8.05                          ,9.91                    ,-8.45                   ,-9.33       ,- -             ,-8.49                ,10.56                          ,5.82                      ,0.1                          ,1.02            ,3.4                     ,-5.52        ,-14.59              ,3.49    ,- -                  ,-3.88                     ,-2.25   ,4.37                 ,-0.83                        ,-2.07             ,                4.09 ,        4.09 ,             5.18 ,25.02        ,-25.59                          ,-25.46       ,-5.52                      ,-8.34              ,-1.46    ,32.19              ,-23.05                       ,-4.79         ,12.49                 ,-4.06               ,-38.64     ,5.81                        ,-161.17        ,-15.8                    ,-136.66                  ,6.08                           ,6.27                  ,73.03                       ,-63.25                         ,3.85           ,-30.62         ,0.66                        ,635.03                         ,57.74               ,6.27                 ,5.49           ,-21.5                ,72.88                   ,-0.10534239288354752
 6 ,2016 ,-8.02                    ,-9.4            ,-4.54        ,-3.81                      ,-2.53                  ,-18.57                  ,-168.68                     ,-20           ,-21.61                      ,-5.52                     ,-16.86            ,-5.77                       ,-16.64              ,-8.08  ,-0.06             ,-18.57 ,-18.57 ,3.79             ,-11.47               ,-14.6             ,-7.4               ,-1.29              ,12.83                ,4.12                           ,4.17                    ,-2.5                    ,-12.48      ,- -             ,-2.68                ,11.45                          ,9.06                      ,-23.36                       ,6.66            ,7.37                    ,0.06         ,-0.95               ,-8.47   ,- -                  ,-5.74                     ,-0.31   ,21.47                ,4.61                         ,0.48              ,                2.25 ,        2.25 ,             3.31 ,18.96        ,-3.31                           ,-3.15        ,0.06                       ,-0.61              ,-4.13    ,-1.01              ,-5.59                        ,3.25          ,6.9                   ,-0.66               ,-21.61     ,12.83                       ,108.3          ,-15.13                   ,30.93                    ,0.64                           ,4.56                  ,-100.26                     ,11.19                          ,-6.74          ,-11.21         ,-93.48                      ,13.28                          ,-66.83              ,4.56                 ,-11.49         ,3.53                 ,28.12                   ,0.2940412354331814
 7 ,2017 ,10.5                     ,9.23            ,13.51        ,10.96                      ,-1.54                  ,30.77                   ,-1317.58                    ,41.81         ,41.91                       ,1.36                      ,39.78             ,2.12                        ,38.75               ,22.24  ,10.63             ,30.77  ,30.77  ,2.73             ,18.35                ,28.23             ,3.74               ,-1                 ,9.98                 ,104.34                         ,115.3                   ,4.71                    ,16.87       ,- -             ,17.34                ,0.77                           ,5.32                      ,-21.54                       ,5.91            ,4.1                     ,13.46        ,16.62               ,18.79   ,- -                  ,17.97                     ,8.97    ,-9.63                ,4.1                          ,9.28              ,                9.43 ,        9.43 ,             5.81 ,-18.88       ,46.58                           ,46.29        ,13.46                      ,2.25               ,-2       ,-33.01             ,30.83                        ,-0.53         ,-17.89                ,6.51                ,41.91      ,9.98                        ,-203.71        ,21.39                    ,-511.43                  ,-41.56                         ,-12.28                ,-16000                      ,39.68                          ,0.35           ,71.62          ,-408.44                     ,-278.57                        ,2494.86             ,-12.28               ,-148.5         ,117.07               ,-58.75                  ,0.35409645040620696
 8 ,2018 ,27.4                     ,28.28           ,25.37        ,12.68                      ,21.2                   ,49.17                   ,-236.82                     ,29.07         ,9.79                        ,0.97                      ,8.64              ,1.24                        ,8.35                ,35.57  ,6.42              ,49.17  ,49.17  ,-1.59            ,17.09                ,-13.9             ,4.16               ,4.46               ,12.33                ,-55.1                          ,-58.18                  ,9.92                    ,57.5        ,- -             ,0.55                 ,23.11                          ,11.76                     ,13.59                        ,23.03           ,22.95                   ,6.57         ,19.92               ,6.11    ,- -                  ,11.31                     ,5.2     ,-17.32               ,0.08                         ,4.61              ,                4.53 ,        4.53 ,             8.9  ,-2.98        ,18.11                           ,18.08        ,6.57                       ,-1.05              ,24.88    ,5.76               ,-21.31                       ,-9.66         ,-82.26                ,22.31               ,9.79       ,12.33                       ,-517.15        ,23.05                    ,215.21                   ,-17.25                         ,13.8                  ,-119.64                     ,395.92                         ,5.47           ,-4.76          ,-241.82                     ,-79.55                         ,-212.72             ,13.8                 ,187.85         ,2.71                 ,-24.56                  ,0.03341432840209824
 9 ,2019 ,5.27                     ,4.77            ,6.44         ,2.76                       ,7.57                   ,6.88                    ,93.6                        ,0.42          ,37.39                       ,-1.89                     ,40                ,-2.05                       ,40.22               ,6.24   ,0.92              ,6.88   ,6.88   ,1.11             ,1.53                 ,30.47             ,5.99               ,19.28              ,4.77                 ,1                              ,-1.2                    ,6.62                    ,-2.83       ,- -             ,4.91                 ,4.05                           ,3.89                      ,3.71                         ,1.81            ,2.43                    ,4.14         ,-4.32               ,0.57    ,- -                  ,-1.41                     ,10.98   ,2.24                 ,9.34                         ,4.72              ,                3.75 ,        3.75 ,             8.34 ,26.64        ,1.11                            ,1.11         ,4.14                       ,-1.67              ,8.15     ,6.96               ,2.3                          ,6.4           ,-16.41                ,-0.68               ,37.39      ,4.77                        ,-112.59        ,-2.15                    ,-59.17                   ,87.44                          ,16.91                 ,-9.25                       ,-51.88                         ,17.03          ,20.49          ,45.07                       ,-41.92                         ,-99.95              ,16.91                ,-96.73         ,-12.25               ,36.47                   ,-0.10582590112816415
