   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA  ,EBITDA Margin (%) ,EBITA   ,EBIT    ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,20.3                     ,2.51            ,549.79       ,-0.32                      ,- -                    ,-135.96                 ,5.42                        ,-118.02       ,-144.95                     ,0.38                      ,-144.78           ,0.54                        ,-144.71             ,-141.75 ,-134.71           ,-135.96 ,-135.96 ,440.13           ,-129.89              ,-137.36           ,9.52               ,0.04               ,-33.07               ,-4.93                          ,-33.11                  ,-94.54                  ,-5.84       ,-2.72           ,-9.87                ,4.67                           ,-6.95                     ,- -                          ,-31.72          ,-29.05                  ,-12.11       ,-5.53               ,- -     ,- -                  ,166.68                    ,-97.36  ,- -                  ,-97.36                       ,-26.12            ,                9.23 ,- -          ,            31.23 ,- -          ,                          15.65 ,       15.63 ,-12.11                     ,0.42               ,-34.66   ,-43.49             ,31.72                        ,-66.2         ,-14.6                 ,9.84                ,-144.95    ,-33.07                      ,-82.6          ,-2.92                    ,-67.15                   ,-37.84                         ,209.68                ,- -                         ,435.35                         ,0.42           ,-96.35         ,72.73                       ,103.09                         ,-213.68             ,209.68               ,-39.19         ,49.78                ,-238.3                  ,-0.01599973416316325
 1 ,2011 ,-17.35                   ,-16.66          ,-20.59       ,-7.16                      ,- -                    ,-68.63                  ,-42.76                      ,-87.84        ,-70.71                      ,0.06                      ,-70.72            ,-0.03                       ,-70.7               ,-61.02  ,-52.84            ,-68.63  ,-68.63  ,-3.92            ,-62.04               ,-64.56            ,-11.75             ,0.15               ,15.7                 ,-44.64                         ,-44.05                  ,-22.5                   ,0.02        ,-8.57           ,-15.58               ,-4.79                          ,140.41                    ,- -                          ,52.31           ,46.13                   ,-9.77        ,-9.93               ,-23.84  ,- -                  ,-18.91                    ,34.68   ,- -                  ,34.68                        ,-17.52            ,                1.17 ,- -          ,             2.96 ,-66.67       ,                           0.28 ,        0.02 ,-9.77                      ,-0.87              ,12.7     ,12.67              ,10.89                        ,4.11          ,18.07                 ,-6.35               ,-70.71     ,15.7                        ,-3.07          ,6.77                     ,-154.82                  ,-97.9                          ,-15.1                 ,-97.47                      ,-93.93                         ,0.21           ,68.54          ,-607.89                     ,-44.94                         ,-11                 ,-15.1                ,-100.2         ,1835.03              ,-92.83                  ,0.07161687022949592
 2 ,2012 ,19.72                    ,15.52           ,40.44        ,10.41                      ,- -                    ,377.21                  ,-60.52                      ,1907.44       ,1231.89                     ,-0.06                     ,1232.73           ,12.72                       ,1081.64             ,274.7   ,212.98            ,377.21  ,377.21  ,17.31            ,298.6                ,1012.5            ,3.64               ,0.06               ,-5.53                ,30.63                          ,43.01                   ,16.13                   ,20.74       ,1445.42         ,38.37                ,26.04                          ,3.96                      ,- -                          ,17.4            ,18                      ,35.27        ,12.63               ,45.16   ,- -                  ,32.36                     ,61.2    ,- -                  ,61.2                         ,33.59             ,                3.28 ,3.12         ,           108.85 ,100          ,                          37.07 ,       37.02 ,35.27                      ,1.53               ,48.7     ,8.53               ,1.05                         ,4.54          ,-3.92                 ,15.51               ,1231.89    ,-5.53                       ,-700.09        ,27.46                    ,235.7                    ,-2037.58                       ,106.13                ,5.26                        ,665.28                         ,- -            ,2453           ,-231.87                     ,-231.31                        ,-154.64             ,106.13               ,22921.43       ,-130.88              ,-245.48                 ,0.4610493954141919
 3 ,2013 ,43.76                    ,38.97           ,63.16        ,24.76                      ,- -                    ,146.34                  ,-209.58                     ,170.81        ,-51.62                      ,1.26                      ,-52.22            ,1.64                        ,-52.4               ,137.86  ,65.46             ,146.34  ,146.34  ,13.5             ,71.36                ,-66.34            ,8.45               ,24.38              ,20.74                ,-30.41                         ,-10.61                  ,1025.69                 ,48.79       ,-59.04          ,21.05                ,46.97                          ,-45.06                    ,- -                          ,-16.12          ,29.61                   ,22.19        ,10.82               ,- -     ,- -                  ,-62.89                    ,1768.48 ,- -                  ,1768.48                      ,31.24             ,                3.14 ,- -          ,            23.09 ,850          ,                          12.98 ,       12.98 ,22.19                      ,0.64               ,77.98    ,57.53              ,-7.51                        ,226.22        ,-1.51                 ,32.56               ,-51.62     ,20.74                       ,-133.14        ,4.97                     ,211.99                   ,326.43                         ,72.62                 ,-3591.25                    ,-222.48                        ,25.94          ,70.77          ,- -                         ,24.95                          ,-135.29             ,72.62                ,299.97         ,-79.54               ,781.34                  ,-0.16759989464831015
 4 ,2014 ,28.21                    ,29.16           ,24.93        ,25.98                      ,- -                    ,23.67                   ,27.32                       ,23.78         ,15.3                        ,5.71                      ,9.07              ,0.47                        ,14.77               ,25.23   ,-2.32             ,23.67   ,23.67   ,-2.55            ,-3.54                ,-10.07            ,5.13               ,-23.63             ,69.16                ,-29.33                         ,-29.33                  ,-14.62                  ,24.25       ,12.13           ,16.33                ,78.82                          ,78.82                     ,20.7                         ,-8.32           ,8.3                     ,15.2         ,8.86                ,- -     ,- -                  ,8.86                      ,4.95    ,- -                  ,4.95                         ,6                 ,               27.97 ,12.12        ,            22.6  ,15.79        ,                          26.05 ,       26.06 ,15.2                       ,12.89              ,17.43    ,-6.84              ,8.97                         ,6.86          ,2.93                  ,21.96               ,15.3       ,69.16                       ,-27.22         ,37.89                    ,-28.05                   ,-46.28                         ,72.76                 ,- -                         ,-255.94                        ,-19.27         ,9.15           ,- -                         ,-33.13                         ,183.81              ,72.76                ,-40.92         ,125.69               ,-53.41                  ,0.029303046743924588
 5 ,2015 ,34.88                    ,36.17           ,30.29        ,22.85                      ,- -                    ,39.37                   ,-9.44                       ,37.98         ,40.71                       ,7.58                      ,30.8              ,0.87                        ,39.49               ,39.44   ,3.38              ,39.37   ,39.37   ,-3.4             ,3.33                 ,4.32              ,21.7               ,75.2               ,40.89                ,109.1                          ,109.1                   ,-8.6                    ,1.38        ,47.55           ,11.1                 ,-24.53                         ,-24.53                    ,32.31                        ,-20.58          ,-2.5                    ,9.3          ,3.15                ,- -     ,- -                  ,3.15                      ,3.49    ,- -                  ,3.49                         ,3.4               ,                4.59 ,2.7          ,            25.06 ,-36.36       ,                          15.22 ,       15.15 ,9.3                        ,1.11               ,-19.64   ,-30.21             ,5.6                          ,7.71          ,-19.14                ,10.83               ,40.71      ,40.89                       ,-30.14         ,61.07                    ,-84.66                   ,-205.9                         ,-44.01                ,-105.3                      ,-66.18                         ,88.48          ,11.42          ,- -                         ,-81.37                         ,-328.77             ,-44.01               ,-184.6         ,-205.78              ,-175.26                 ,0.28594619540298605
 6 ,2016 ,12.32                    ,11.33           ,16.02        ,11.32                      ,- -                    ,21.07                   ,-9.95                       ,20.48         ,18.06                       ,1.28                      ,16.57             ,1.43                        ,16.39               ,20.68   ,7.44              ,21.07   ,21.07   ,3.29             ,7.79                 ,5.11              ,0.31               ,27.94              ,12.75                ,-5.82                          ,-5.82                   ,-29.88                  ,6.84        ,11.79           ,4.84                 ,35.69                          ,35.69                     ,3.65                         ,-26.19          ,-5.17                   ,3.66         ,3.5                 ,- -     ,- -                  ,3.5                       ,-14.17  ,- -                  ,-14.17                       ,-9.32             ,                4.82 ,- -          ,            23.33 ,- -          ,                          15.24 ,       15.23 ,3.66                       ,1.16               ,-18.93   ,-29.64             ,11.4                         ,1.3           ,-6.25                 ,11.97               ,18.06      ,12.75                       ,41.49          ,16.11                    ,126.7                    ,-11.76                         ,53.48                 ,-341.89                     ,18.03                          ,29.59          ,- -            ,-111.59                     ,-600.85                        ,-111.16             ,53.48                ,-17.45         ,12.85                ,-25.26                  ,-0.2320254059467195
 7 ,2017 ,15.9                     ,16.21           ,14.82        ,11.46                      ,- -                    ,18.14                   ,34.21                       ,18.37         ,17.16                       ,0.89                      ,16.13             ,1.01                        ,15.99               ,16.9    ,0.86              ,18.14   ,18.14   ,-0.94            ,1.93                 ,1.08              ,4.53               ,24.92              ,-10.33               ,-22.67                         ,-22.67                  ,241.71                  ,10.74       ,-48.94          ,5.18                 ,66.33                          ,66.33                     ,-10.2                        ,7.19            ,7.34                    ,5.41         ,4.74                ,- -     ,- -                  ,4.74                      ,-12.22  ,- -                  ,-12.22                       ,-6.9              ,                4.4  ,- -          ,            21.91 ,- -          ,                          14.05 ,       14.05 ,5.41                       ,0.55               ,-5.3     ,-16.97             ,8.32                         ,0.42          ,-6.29                 ,10.88               ,17.16      ,-10.33                      ,30.62          ,20.82                    ,77.79                    ,-29.6                          ,82.69                 ,-124.58                     ,51.87                          ,26.03          ,-47.51         ,927.12                      ,-4.52                          ,266.5               ,82.69                ,-47.77         ,50.82                ,-39.91                  ,0.6963564678345202
 8 ,2018 ,14.03                    ,12.27           ,20.4         ,13.94                      ,- -                    ,26.42                   ,162.35                      ,28.58         ,40.82                       ,0.61                      ,39.77             ,1.19                        ,38.98               ,26      ,10.5              ,26.42   ,26.42   ,5.58             ,10.86                ,23.33             ,4.54               ,25.17              ,14.08                ,46.17                          ,46.17                   ,-55.03                  ,12.54       ,136.12          ,17.12                ,23.42                          ,23.42                     ,-98.13                       ,133.31          ,5.52                    ,15.84        ,11.93               ,- -     ,- -                  ,11.93                     ,11.56   ,- -                  ,11.56                        ,11.69             ,                3.1  ,2.63         ,            25.72 ,- -          ,                          15.97 ,       18.22 ,15.84                      ,0.34               ,-7.16    ,-21.46             ,2.01                         ,4.63          ,0.02                  ,9.08                ,40.82      ,14.08                       ,33.1           ,-5.74                    ,45.17                    ,25.3                           ,-56.71                ,-182.95                     ,-101.52                        ,25.94          ,159.1          ,127.39                      ,-85.25                         ,-257.52             ,-56.71               ,71.74          ,7.1                  ,-10.9                   ,-0.25026782809471515
 9 ,2019 ,9.49                     ,10.67           ,5.51         ,9.29                       ,- -                    ,2.33                    ,28.25                       ,3.17          ,10.69                       ,-1.06                     ,12.02             ,-1.56                       ,12.6                ,2.72    ,-6.18             ,2.33    ,2.33    ,-3.64            ,-6.54                ,1.23              ,3.61               ,19.85              ,15.38                ,1.44                           ,1.44                    ,59.94                   ,8.53        ,26.08           ,9.22                 ,-49.81                         ,15.23                     ,9645.45                      ,-53.71          ,22.68                   ,10.57        ,9.13                ,- -     ,- -                  ,9.13                      ,6.12    ,- -                  ,6.12                         ,7.18              ,                3.05 ,- -          ,            22.87 ,- -          ,                          11.54 ,       12.41 ,10.57                      ,-2.08              ,10.1     ,-2.05              ,1.53                         ,0.09          ,0.2                   ,5.68                ,10.69      ,15.38                       ,-60.99         ,31.18                    ,-27.6                    ,63.63                          ,86.78                 ,- -                         ,-15253.85                      ,18.58          ,16.86          ,189.4                       ,494.06                         ,-98.28              ,86.78                ,60.32          ,-25.91               ,47.63                   ,0.25411880366458384
