   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA  ,EBIT   ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,18.04                    ,11.37           ,25.5         ,15.16                      ,27.95                  ,38.97                   ,-269.27                     ,64.42         ,55.68                       ,1.82                      ,52.9              ,1.76                        ,52.99               ,34.85  ,14.24             ,38.97  ,38.97  ,6.32             ,17.73                ,31.89             ,14.12              ,22.93              ,16.25                ,-5.17                          ,-5.17                   ,15.76                   ,23.38       ,10.79           ,9.75                 ,4.28                           ,0.03                      ,- -                          ,11.73           ,14.7                    ,13.38        ,20.14               ,-7.75   ,- -                  ,19.7                      ,-3.64   ,1.75                 ,-1.24                        ,6.02              ,16.44                ,103.26       ,18.91             ,-0.45        ,17.89                           ,18.42        ,13.38                      ,1.69               ,-1.62    ,-16.92             ,-67.8                        ,-8.31         ,-2.9                  ,3.43                ,55.68      ,16.25                       ,-11302.73      ,0.88                     ,-60.66                   ,15.74                          ,15.26                 ,- -                         ,142.74                         ,25.16          ,- -            ,2.4                         ,-71.32                         ,-106.93             ,15.26                ,15.8           ,9.28                 ,-25.65                  ,0.12911942724029224
 1 ,2011 ,21.87                    ,20.35           ,23.39        ,25.42                      ,25.82                  ,22.09                   ,-185.07                     ,4.49          ,7.94                        ,3.52                      ,17.03             ,2.62                        ,18.06               ,28     ,5.03              ,22.09  ,22.09  ,1.24             ,0.18                 ,-0.59             ,-0.44              ,13.45              ,59.9                 ,-67.12                         ,-67.12                  ,37.45                   ,45.4        ,38.58           ,9.47                 ,76.21                          ,38.76                     ,2.07                         ,42.41           ,43.61                   ,34.8         ,24.81               ,141.39  ,- -                  ,26.24                     ,87.03   ,52.77                ,71.33                        ,53.68             ,60.55                ,4.33         ,19.29             ,-110.69      ,23.29                           ,23.23        ,34.8                       ,4.78               ,300.12   ,224.7              ,809.95                       ,-13.28        ,24.67                 ,22.41               ,7.94       ,59.9                        ,-126.49        ,8.49                     ,-29.45                   ,26                             ,53.9                  ,- -                         ,155.46                         ,17.45          ,254.52         ,523.61                      ,1688.15                        ,1190.81             ,53.9                 ,22.75          ,-19.95               ,4                       ,-0.0008707078324686757
 2 ,2012 ,13.49                    ,11.78           ,15.14        ,12.45                      ,11.72                  ,18.26                   ,-50.17                      ,23            ,18.81                       ,2.54                      ,7.39              ,1.7                         ,8.29                ,21     ,6.62              ,18.26  ,18.26  ,1.45             ,4.21                 ,-2.96             ,6.28               ,37.4               ,32.27                ,212.61                         ,212.61                  ,7.13                    ,1.8         ,-8.37           ,20.97                ,1.9                            ,8.93                      ,5.06                         ,7.65            ,7.08                    ,9.99         ,1.89                ,-43.59  ,- -                  ,0.82                      ,1.55    ,21.24                ,9.6                          ,6.78              ,-4.87                ,1.17         ,17.79             ,60.27        ,12.49                           ,12.44        ,9.99                       ,-0.03              ,-23.15   ,-31.65             ,-29.54                       ,19.99         ,5.57                  ,6.78                ,18.81      ,32.27                       ,9.47           ,14.95                    ,229.1                    ,30.03                          ,37.02                 ,- -                         ,-67.72                         ,40.89          ,- -            ,-139.23                     ,-118.6                         ,-200.59             ,37.02                ,29.01          ,-9.89                ,18.08                   ,0.0565230014473066
 3 ,2013 ,4.7                      ,3.55            ,5.77         ,4.86                       ,9.84                   ,5.81                    ,-444.91                     ,18.44         ,17.21                       ,0.37                      ,12.24             ,-0.29                       ,12.99               ,5.97   ,1.22              ,5.81   ,5.81   ,1.03             ,1.06                 ,7.6               ,-0.06              ,-39.92             ,6.57                 ,85.57                          ,85.57                   ,5.64                    ,-1.65       ,-7.85           ,20.11                ,3.29                           ,9.93                      ,- -                          ,3.01            ,0.81                    ,5.26         ,8.3                 ,12.25   ,- -                  ,8.35                      ,-35     ,-3.13                ,-20.59                       ,-11.81            ,12.71                ,2.6          ,17.07             ,-462.33      ,17.72                           ,17.65        ,5.26                       ,1.54               ,-89.53   ,-91.1              ,-105.47                      ,10.85         ,-9.08                 ,4.76                ,17.21      ,6.57                        ,-531.83        ,7.1                      ,-13                      ,4.99                           ,20.34                 ,-476.23                     ,-70.73                         ,-39.7          ,- -            ,-140.65                     ,313.44                         ,25.29               ,20.34                ,2.61           ,31.26                ,-6.81                   ,0.08709712557096672
 4 ,2014 ,4.16                     ,3.39            ,4.87         ,4.86                       ,5.14                   ,4.78                    ,-82.65                      ,-2.36         ,-3.58                       ,0.89                      ,-4.44             ,0.72                        ,-4.27               ,4.79   ,0.61              ,4.78   ,4.78   ,0.68             ,0.59                 ,-7.44             ,-3.17              ,333.19             ,4.86                 ,-3.52                          ,-3.52                   ,5.28                    ,2.69        ,25.81           ,3.48                 ,-0.38                          ,6.35                      ,- -                          ,8.61            ,7.83                    ,6.69         ,18.45               ,15.41   ,- -                  ,18.41                     ,-1.02   ,12.24                ,6.29                         ,10.81             ,7.76                 ,- -          ,12.87             ,-768.39      ,4.44                            ,4.45         ,6.69                       ,0.89               ,21.89    ,16.7               ,-622.42                      ,-12.6         ,-6.92                 ,7.58                ,-3.58      ,4.86                        ,207.65         ,2.89                     ,6.03                     ,4.83                           ,8.34                  ,1.04                        ,523.4                          ,337.04         ,- -            ,-25.08                      ,-86.41                         ,-93.28              ,8.34                 ,4.19           ,7.38                 ,8.73                    ,0.0019467615878656641
 5 ,2015 ,3.26                     ,3.48            ,3.06         ,6.27                       ,-5.71                  ,1.1                     ,-387.33                     ,-4.53         ,0.01                        ,-0.58                     ,29.97             ,-1.06                       ,30.6                ,3.45   ,0.18              ,1.1    ,1.1    ,-0.19            ,-2.09                ,25.13             ,-9.49              ,56.42              ,12.02                ,-73.69                         ,-73.69                  ,9.09                    ,14.41       ,2.71            ,-16.91               ,28.26                          ,14.6                      ,- -                          ,48.12           ,46.53                   ,30.36        ,0.01                ,1075.52 ,- -                  ,14.34                     ,253.53  ,32.01                ,124.51                       ,80.61             ,11.15                ,1.27         ,3.39              ,61.21        ,1.34                            ,1.34         ,30.36                      ,-2.48              ,2482.21  ,2448.07            ,1416.38                      ,-27.33        ,7.51                  ,14.08               ,0.01       ,12.02                       ,-111.28        ,14.78                    ,-79.99                   ,1.15                           ,5.94                  ,-117.38                     ,334.08                         ,55.51          ,115.28         ,87.36                       ,-4247.66                       ,-2288.74            ,5.94                 ,0.25           ,4.31                 ,-21.71                  ,0.09766766619473288
 6 ,2016 ,-17.9                    ,-22.99          ,-13.27       ,-7.36                      ,-21.31                 ,-20.7                   ,-3.79                       ,-21.44        ,-17.14                      ,-0.99                     ,-23.18            ,-1.23                       ,-22.99              ,-14.19 ,4.52              ,-20.7  ,-20.7  ,5.64             ,-3.41                ,-7.36             ,7.26               ,152.45             ,7.31                 ,21.86                          ,21.86                   ,-19.63                  ,-18.42      ,-18.3           ,-14.95               ,-16.69                         ,-21.47                    ,- -                          ,-3.42           ,-4.35                   ,-6.07        ,-19.64              ,207     ,- -                  ,11.4                      ,-19.55  ,-9.46                ,-16.09                       ,-9.16             ,6.65                 ,1.25         ,-1.47             ,30.74        ,-2.9                            ,-2.89        ,-6.07                      ,0.79               ,-6.41    ,-3.62              ,23.04                        ,-23.66        ,14.17                 ,-23.46              ,-17.14     ,7.31                        ,-32.7          ,-6.62                    ,-643.19                  ,-7.36                          ,-6.86                 ,-700.45                     ,-64.93                         ,149.96         ,-42.97         ,-33.94                      ,-77.43                         ,-115.32             ,-6.86                ,-7.47          ,18.85                ,21.79                   ,0.01729026390307964
 7 ,2017 ,8.57                     ,7.81            ,9.19         ,7.74                       ,15.76                  ,9.83                    ,-40.97                      ,12.54         ,14.69                       ,0.67                      ,-3.06             ,0.9                         ,-3.28               ,9.81   ,1.14              ,9.83   ,9.83   ,0.57             ,1.15                 ,-10.12            ,0.47               ,-57.54             ,9.77                 ,-34.6                          ,-34.6                   ,10.54                   ,7.69        ,6.35            ,2.77                 ,4.27                           ,15.21                     ,- -                          ,2.94            ,3.02                    ,2.99         ,7.44                ,-92.5   ,- -                  ,-30.28                    ,6.75    ,-8.98                ,0.94                         ,-8.72             ,4.23                 ,- -          ,10.16             ,-34          ,14.59                           ,14.26        ,2.99                       ,0.64               ,-12.5    ,-23.42             ,-18.57                       ,47.42         ,1.35                  ,8.06                ,14.69      ,9.77                        ,-373.36        ,7.4                      ,26.43                    ,-1.25                          ,5.09                  ,-47.92                      ,-83.91                         ,-57.26         ,-45.01         ,-58.18                      ,-251.69                        ,-244.35             ,5.09                 ,-2.52          ,21.05                ,1.19                    ,0.005930813329334095
 8 ,2018 ,8.53                     ,7.97            ,8.97         ,7.11                       ,9.07                   ,12.66                   ,34.71                       ,12.05         ,7.33                        ,0.69                      ,5.64              ,0.58                        ,5.76                ,10.61  ,1.92              ,12.66  ,12.66  ,0.41             ,3.81                 ,-1.99             ,2.41               ,13.78              ,5.6                  ,24.99                          ,24.99                   ,-0.91                   ,3.76        ,5.74            ,3.56                 ,2.31                           ,7.35                      ,- -                          ,2.37            ,2.36                    ,2.54         ,4.18                ,-73.39  ,- -                  ,1.03                      ,-6.19   ,-1.65                ,-4.68                        ,-3.33             ,5.34                 ,1.23         ,10.33             ,39.96        ,7.04                            ,7.05         ,2.54                       ,0.7                ,-9.5     ,-15.46             ,-13.99                       ,2.51          ,-5.59                 ,5.97                ,7.33       ,5.6                         ,-3.61          ,8.61                     ,-74.48                   ,15.65                          ,5.83                  ,-191.88                     ,249.7                          ,14.57          ,- -            ,39.53                       ,-74.26                         ,-159.3              ,5.83                 ,17.78          ,-4.18                ,8.72                    ,0.18041794866623373
 9 ,2019 ,-9.96                    ,-9.77           ,-10.11       ,-13.66                     ,-8.54                  ,-3.95                   ,-132.34                     ,0.38          ,-8.25                       ,2.06                      ,8.66              ,2.15                        ,8.56                ,-5.36  ,5.11              ,-3.95  ,-3.95  ,-0.17            ,6.68                 ,26.04             ,6.54               ,69.72              ,-9.04                ,2427.58                        ,2427.58                 ,-8.55                   ,-14.75      ,-4.6            ,260.83               ,-8.33                          ,-5.17                     ,- -                          ,-10.58          ,-10.44                  ,29.79        ,-1.46               ,310.04  ,- -                  ,1.87                      ,122.08  ,5.42                 ,81.98                        ,62.2              ,29.62                ,2.44         ,-3.96             ,9.93         ,7.29                            ,7.28         ,29.79                      ,-0.85              ,-79.71   ,-81.08             ,-86.01                       ,254.2         ,-4.38                 ,-15.49              ,-8.25      ,-9.04                       ,-170.73        ,4.89                     ,36.74                    ,-1.75                          ,-3.08                 ,90.21                       ,-58.02                         ,73.21          ,579.69         ,2209.06                     ,-2152.41                       ,6832.92             ,-3.08                ,-1.49          ,55.75                ,-13.42                  ,0.20675697156137507
