   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA  ,EBIT   ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,5.29                     ,2.91            ,18.06        ,- -                        ,- -                    ,18.06                   ,153.85                      ,17.13         ,19.51                       ,3.18                      ,16.14             ,3.89                        ,15.35               ,15.16  ,9.37              ,18.06  ,18.06  ,12.13            ,12.13                ,13.81             ,1.76               ,-2.33              ,5.03                 ,-20.34                         ,-20.34                  ,19.16                   ,13.45       ,-2.98           ,2.83                 ,                          1.19 ,                     3.39 ,-1.61                        ,17.97           ,11.23                   ,        9.65 ,8.78                ,94.86   ,20.31                ,23.13                     ,-11.87  ,20.25                ,0.57                         ,7.84              ,                6.28 ,        6.28 ,10.61             ,14.42        ,11.22                           ,11.06        ,                      9.65 ,4.32               ,5.11     ,-5.36              ,-13.46                       ,-16.49        ,2.25                  ,3.47                ,19.51      ,5.03                        ,34.1           ,14.22                    ,-49.91                   ,23.67                          ,20.37                 ,- -                         ,157.72                         ,0.77           ,-32            ,1834.06                     ,-12.64                         ,-267.07             ,20.37                ,25.29          ,0.5                  ,3.2                     ,0.047995547609286815
 1 ,2011 ,7.44                     ,5.66            ,15.69        ,- -                        ,- -                    ,15.69                   ,-364.65                     ,21.37         ,21.91                       ,-1.93                     ,23.69             ,-2                          ,23.78               ,14.02  ,6.13              ,15.69  ,15.69  ,7.68             ,7.68                 ,12.9              ,2.61               ,18.05              ,7.47                 ,17.01                          ,17.01                   ,6.88                    ,10.61       ,22.75           ,12.53                ,                         10.61 ,                     8.54 ,-3.1                         ,-1.16           ,2.43                    ,        4.22 ,4.14                ,30      ,5.12                 ,9.89                      ,7.82    ,10.61                ,9.11                         ,9.4               ,                5.43 ,        5.43 ,11.79             ,39.82        ,-0.36                           ,0.28         ,                      4.22 ,-7.1               ,10.6     ,10.29              ,-6.37                        ,2.4           ,14.04                 ,4.7                 ,21.91      ,7.47                        ,26.41          ,-18.97                   ,328.2                    ,6.32                           ,68.67                 ,- -                         ,-27.35                         ,15.77          ,130.5          ,87.07                       ,17.56                          ,-168.35             ,68.67                ,-23.12         ,-26.69               ,-12.34                  ,0.01655330355171314
 2 ,2012 ,3.39                     ,0.92            ,13.91        ,- -                        ,- -                    ,13.91                   ,51.53                       ,15.13         ,17.4                        ,-4.47                     ,23.74             ,-4.77                       ,24.12               ,12.76  ,9.07              ,13.91  ,13.91  ,10.17            ,10.17                ,14.33             ,-2.84              ,48.99              ,7.93                 ,6.34                           ,6.34                    ,5.79                    ,-3.64       ,-19.68          ,-0.35                ,                          9.23 ,                     7.47 ,11.83                        ,1.98            ,4.83                    ,        3.85 ,0.49                ,18.3    ,5.05                 ,6                         ,-2.06   ,-2.39                ,-2.22                        ,0.82              ,                4.74 ,        4.74 ,11.96             ,24.18        ,6.35                            ,6.35         ,                      3.85 ,2.15               ,1.22     ,-4.82              ,11.19                        ,-5.99         ,7.67                  ,6.41                ,17.4       ,7.93                        ,-13.25         ,-3.55                    ,-4.21                    ,13.9                           ,6.32                  ,- -                         ,44.83                          ,42.33          ,54.79          ,-39.62                      ,-7.67                          ,-53.26              ,6.32                 ,21.75          ,48.63                ,-3.64                   ,0.21406548223179
 3 ,2013 ,6.54                     ,6.51            ,6.62         ,5.09                       ,- -                    ,6.62                    ,-57.18                      ,3.89          ,7.5                         ,-0.11                     ,8.11              ,-0.28                       ,8.29                ,7.3    ,0.72              ,6.62   ,6.62   ,0.08             ,0.08                 ,1.37              ,1.06               ,23.19              ,10.32                ,16.06                          ,16.06                   ,6.53                    ,-3.25       ,-23.21          ,2.92                 ,                          4.03 ,                     6.26 ,4.63                         ,13.39           ,9.71                    ,        8.47 ,6.41                ,-58.16  ,20.78                ,-8.66                     ,19.44   ,-8.69                ,6.26                         ,0.46              ,                5.39 ,        5.39 ,11.16             ,-63.66       ,14.26                           ,14.76        ,                      8.47 ,- -                ,-5.19    ,-17.38             ,9.38                         ,12.67         ,2.79                  ,5.42                ,7.5        ,10.32                       ,-36.45         ,-1.47                    ,-104.95                  ,18.65                          ,-26.11                ,- -                         ,-1.74                          ,23.05          ,-7.42          ,35.56                       ,41.17                          ,153.15              ,-26.11               ,59.16          ,18.16                ,9.88                    ,0.25737565928840134
 4 ,2014 ,8.37                     ,4.73            ,22.12        ,2.39                       ,- -                    ,22.12                   ,315.29                      ,27.3          ,20.61                       ,-2.9                      ,25.9              ,-2.98                       ,26                  ,18.78  ,9.6               ,22.12  ,22.12  ,12.68            ,12.68                ,12.8              ,5.36               ,17.3               ,4.38                 ,-12.97                         ,-12.97                  ,12.27                   ,5.85        ,36.83           ,7.56                 ,                          4.25 ,                     4.94 ,-5.37                        ,2.57            ,2.8                     ,        3.63 ,11.64               ,43.12   ,4.25                 ,13.57                     ,-0.78   ,16.6                 ,6.21                         ,8.82              ,                2.57 ,        2.57 ,12.51             ,65.8         ,-1.04                           ,0.06         ,                      3.63 ,-5.56              ,10.25    ,10.19              ,-8.95                        ,-5.29         ,-1.61                 ,2.86                ,20.61      ,4.38                        ,27.02          ,1.49                     ,-2388.89                 ,3.47                           ,18.42                 ,- -                         ,-28.46                         ,13.9           ,-43.25         ,59.7                        ,59.23                          ,-148.93             ,18.42                ,-2.81          ,24.58                ,-15.36                  ,0.13461696102509646
 5 ,2015 ,7.48                     ,5.28            ,14.59        ,-0.49                      ,- -                    ,14.59                   ,-8.78                       ,13.25         ,10.59                       ,-2.64                     ,14.78             ,-2.84                       ,15.01               ,12.66  ,4.81              ,14.59  ,14.59  ,6.62             ,6.62                 ,3.97              ,4.58               ,108.63             ,2.88                 ,24.79                          ,24.79                   ,2.52                    ,-0.19       ,22.89           ,10.42                ,                          7.92 ,                     6.31 ,-1.97                        ,1.44            ,3.5                     ,        4.75 ,3.28                ,110.86  ,11.15                ,22.89                     ,0.77    ,3.78                 ,2.1                          ,9.77              ,                2.39 ,        2.39 ,9.85              ,23.02        ,-0.96                           ,0.99         ,                      4.75 ,-5.88              ,14.43    ,13.31              ,-2.44                        ,-10.14        ,-4.79                 ,2.78                ,10.59      ,2.88                        ,-31.49         ,0.49                     ,-35.84                   ,11.54                          ,28.81                 ,- -                         ,26.91                          ,103.12         ,14.3           ,-6.62                       ,-17.82                         ,-518.18             ,28.81                ,2.71           ,-4.91                ,-0.18                   ,0.13656461246763252
 6 ,2016 ,6.04                     ,5.18            ,8.58         ,2.71                       ,- -                    ,8.58                    ,-20.81                      ,7.21          ,10.6                        ,-3.84                     ,16.51             ,-4.1                        ,16.82               ,8.39   ,2.22              ,8.58   ,8.58   ,2.39             ,2.39                 ,5.66              ,0.6                ,-21.47             ,7.35                 ,7.99                           ,7.99                    ,13.04                   ,-11.52      ,-34.43          ,1.24                 ,                          8.62 ,                     8.35 ,61.94                        ,-0.38           ,5.1                     ,        4.37 ,16.39               ,-19.2   ,2.5                  ,3.11                      ,29.05   ,9.26                 ,20.16                        ,13.11             ,                2.1  ,        2.1  ,11.96             ,64.35        ,-2.83                           ,-2.74        ,                      4.37 ,- -                ,19.08    ,22.43              ,-14.57                       ,-1.81         ,-25.71                ,5.41                ,10.6       ,7.35                        ,282.86         ,-4.15                    ,26.48                    ,21.12                          ,11.91                 ,- -                         ,35.64                          ,-24.49         ,137.84         ,23.04                       ,26.79                          ,-59.65              ,11.91                ,27.03          ,-25.91               ,8.11                    ,-0.08863058183376893
 7 ,2017 ,-0.89                    ,-0.02           ,-3.38        ,-6.6                       ,- -                    ,-3.38                   ,-116.67                     ,-7.26         ,-4.33                       ,-3.74                     ,-0.66             ,-3.72                       ,-0.68               ,-1.36  ,-0.48             ,-3.38  ,-3.38  ,-2.51            ,-2.51                ,-3.52             ,-2.88              ,9.82               ,10.09                ,-12.86                         ,-12.86                  ,-4.77                   ,-1.22       ,-1.84           ,-6.35                ,                          3.86 ,                     5.99 ,-25.19                       ,11.17           ,6.44                    ,        4.08 ,-3.01               ,67.4    ,13.49                ,16.35                     ,15.99   ,-4.06                ,7.8                          ,11.02             ,                1.08 ,        1.08 ,9.86              ,-11.33       ,-4.51                           ,-2.47        ,                      4.08 ,-6.25              ,36.72    ,40.19              ,-38.57                       ,-19.51        ,-17.54                ,2.05                ,-4.33      ,10.09                       ,-27.33         ,-7.38                    ,18.15                    ,-6.58                          ,-24.09                ,- -                         ,-28.6                          ,5.71           ,-20.53         ,24.92                       ,28.15                          ,-256.68             ,-24.09               ,3.32           ,15.05                ,-2.31                   ,-0.1465975824517789
 8 ,2018 ,7.79                     ,8.08            ,6.95         ,8.37                       ,- -                    ,6.95                    ,27.06                       ,6.82          ,39.5                        ,-4.4                      ,46.75             ,-4.5                        ,46.9                ,7.16   ,-0.58             ,6.95   ,6.95   ,-0.78            ,-0.78                ,30.15             ,6.72               ,7.6                ,8.23                 ,3.31                           ,3.31                    ,8.12                    ,1.38        ,4.45            ,5.89                 ,                          3.99 ,                     4.98 ,-9.46                        ,2.16            ,2.34                    ,        2.93 ,7.05                ,-38.59  ,0.5                  ,-8.85                     ,-10.64  ,-11.21               ,-10.85                       ,-10.06            ,                1.46 ,        1.46 ,13.87             ,-12.22       ,18.05                           ,16.91        ,                      2.93 ,- -                ,-21.39   ,-32.76             ,94.64                        ,16.18         ,13.69                 ,1.01                ,39.5       ,8.23                        ,-130.58        ,7.97                     ,14.77                    ,15.81                          ,23.24                 ,- -                         ,29.8                           ,2.86           ,-78.09         ,-61.82                      ,-1.29                          ,-115.96             ,23.24                ,12.73          ,-3.98                ,-17.45                  ,0.09845070510939402
 9 ,2019 ,17.05                    ,29.42           ,-20.13       ,30.26                      ,- -                    ,-20.13                  ,-2037.96                    ,-5.33         ,-16.48                      ,10.47                     ,-20.57            ,10.55                       ,-20.63              ,-10.29 ,-23.36            ,-20.13 ,-20.13 ,-31.76           ,-31.76               ,-25.04            ,5.51               ,4.2                ,38.16                ,30.55                          ,30.55                   ,65.86                   ,18.46       ,186.1           ,67.16                ,                          6.98 ,                     6.16 ,11.21                        ,165.6           ,102.83                  ,       96.74 ,89.28               ,133.69  ,2.85                 ,76.49                     ,123.19  ,121.49               ,122.57                       ,104.14            ,               46.57 ,       46.57 ,-48.6             ,113.66       ,82.23                           ,90.63        ,                     96.74 ,18.73              ,148.55   ,30.39              ,-102.76                      ,-5.29         ,-18.5                 ,10.95               ,-16.48     ,38.16                       ,587.91         ,80.92                    ,354.85                   ,-53.79                         ,9.2                   ,- -                         ,-22.83                         ,15.11          ,3930.11        ,- -                         ,-87.67                         ,1105.17             ,9.2                  ,-82.4          ,103.58               ,-47.33                  ,0.046354304550796366
10 ,2020 ,-6.01                    ,6.71            ,-67.99       ,7.17                       ,- -                    ,-67.99                  ,-364.55                     ,-112.5        ,-122.38                     ,9.18                      ,-123.73           ,8.52                        ,-123.87             ,-42.92 ,-39.27            ,-67.99 ,-67.99 ,-65.94           ,-65.94               ,-127.57           ,3.25               ,-49.79             ,28.49                ,230.64                         ,230.64                  ,-17.91                  ,-4          ,-45.37          ,25.34                ,                          1.5  ,                     5.59 ,21.06                        ,-0.55           ,0.26                    ,        3.9  ,-6.36               ,-35.52  ,-12.83               ,-15.52                    ,38.78   ,14.01                ,29.86                        ,14.16             ,                1.09 ,        1.09 ,-9.83             ,25.77        ,-5.96                           ,-5.19        ,                      3.9  ,1.46               ,-2.05    ,3.31               ,-185.63                      ,48.37         ,-9.61                 ,-8.97               ,-122.38    ,28.49                       ,-284.57        ,-26.16                   ,-89.57                   ,15.32                          ,-17.51                ,- -                         ,-11.68                         ,-45.18         ,-57.42         ,- -                         ,-877.98                        ,791.34              ,-17.51               ,107.86         ,1.21                 ,-545.09                 ,0.09012453062941361
11 ,2021 ,3.1                      ,3.51            ,-3.56        ,9.28                       ,- -                    ,-3.56                   ,-80.17                      ,-246.93       ,-203.85                     ,0.44                      ,-169.35           ,1.11                        ,-168.9              ,-4.04  ,-6.93             ,-3.56  ,-3.56  ,-6.46            ,-6.46                ,-167.56           ,10.16              ,- -                ,-4.38                ,-10.91                         ,-10.91                  ,5.19                    ,-15.92      ,-1.51           ,-4.52                ,                          1.7  ,                     4.36 ,0.82                         ,2.36            ,2.2                     ,        1.02 ,24.36               ,2.71    ,4.88                 ,16.71                     ,-8.27   ,-11.12               ,-9.17                        ,-2.55             ,                1.79 ,        1.79 ,5.52              ,-22.61       ,5.95                            ,4.83         ,                      1.02 ,0.61               ,-5.57    ,-9.92              ,945.46                       ,-18.19        ,-145.49               ,-6.4                ,-203.85    ,-4.38                       ,-179.79        ,14.29                    ,-440.16                  ,-26.92                         ,-11.04                ,632.61                      ,-13.03                         ,- -            ,-99.65         ,- -                         ,-151.71                        ,-115.9              ,-11.04               ,-44.69         ,80.76                ,-204.91                 ,-0.414031668402675
12 ,2022 ,22.7                     ,19.12           ,85.02        ,21.24                      ,- -                    ,85.02                   ,35.25                       ,106.36        ,40.1                        ,0.33                      ,57.12             ,-0.05                       ,57.73               ,36.07  ,10.89             ,85.02  ,85.02  ,50.79            ,50.79                ,28.48             ,5.97               ,- -                ,1.02                 ,-27.22                         ,-27.22                  ,-5.35                   ,30.88       ,2.97            ,-13.55               ,                          2.98 ,                     3.41 ,-18.22                       ,3.24            ,2.7                     ,        0.01 ,-3.26               ,-47.66  ,34.12                ,-6.45                     ,-6.68   ,-4.07                ,-5.87                        ,-6.05             ,                1.67 ,        1.67 ,7.93              ,-36.04       ,7.29                            ,6.02         ,                      0.01 ,-2.04              ,-4.4     ,-9.83              ,117.32                       ,-7.59         ,191.63                ,15.79               ,40.1       ,1.02                        ,-25.1          ,62.83                    ,-77.76                   ,7.96                           ,38.15                 ,-84.57                      ,58.33                          ,- -            ,420.31         ,- -                         ,8.12                           ,88.74               ,38.15                ,-46.35         ,-53.48               ,-31.52                  ,-0.2446575813881975
13 ,2023 ,7.47                     ,5.21            ,32.82        ,-6.42                      ,- -                    ,32.82                   ,184.38                      ,-9.76         ,-4.59                       ,0.33                      ,-25.4             ,0.16                        ,-25.27              ,20.35  ,11.99             ,32.82  ,32.82  ,23.59            ,23.59                ,-30.35            ,5.08               ,- -                ,3.99                 ,22.1                           ,22.1                    ,-2.55                   ,12.69       ,38.82           ,12.6                 ,                          4    ,                     6.3  ,-4.29                        ,-2.12           ,-0.98                   ,        0.96 ,2.27                ,41.04   ,6.01                 ,7.11                      ,-7.06   ,-7.44                ,-7.18                        ,-2.82             ,                1.75 ,        1.75 ,5.63              ,-20.08       ,4.49                            ,4.28         ,                      0.96 ,2.75               ,-12.26   ,-15.86             ,40.51                        ,5.12          ,-10.92                ,2.27                ,-4.59      ,3.99                        ,-129.04        ,16.99                    ,-63.73                   ,64.16                          ,0.53                  ,780.77                      ,-7.33                          ,- -            ,-75.08         ,- -                         ,-42.54                         ,-166.89             ,0.53                 ,358.95         ,-38.19               ,119.32                  ,-0.19966836560274537
