   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA  ,EBIT   ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,12.1                     ,96.89           ,-33.37       ,- -                        ,- -                    ,13.68                   ,-1.67                       ,20.7          ,23.02                       ,1.86                      ,20.55             ,2.01                        ,20.37               ,11.36  ,-0.66             ,13.68  ,13.68  ,-40.56           ,1.4                  ,9.53              ,13.56              ,3.16               ,                8.02 ,8.3                            ,8.3                     ,-56.12                  ,-13         ,155.27          ,7.93                 ,6.31                           ,5.74                      ,11.68                        ,-9.51           ,3.11                    ,3.59         ,-0.2                ,-45.57  ,19.55                ,-4.67                     ,11.31   ,-2.33                ,                        4.74 ,             3.65 ,1.75                 ,- -          ,2.47              ,-100.54      ,3.55                            ,3.5          ,3.59                       ,1.53               ,    8.29 ,4.63               ,2.9                          ,13.22         ,-60.08                ,-1.28               ,21.94      ,                       8.02 ,6.06           ,- -                      ,-4838.46                 ,30.26                          ,7.47                  ,-146.74                     ,-1.54                          ,          5.07 ,-37.9          ,-41.81                      ,-97.48                         ,-76.98              ,7.47                 ,-69.97         ,-11.22               ,6.09                    ,-0.03314237347998139
 1 ,2011 ,1.8                      ,1.89            ,1.67         ,- -                        ,- -                    ,2.31                    ,-22.45                      ,11.54         ,29.77                       ,1.14                      ,27.79             ,0.91                        ,28.08               ,2.03   ,0.22              ,2.31   ,2.31   ,-0.13            ,0.5                  ,26.96             ,2.87               ,2.34               ,                1.6  ,37.72                          ,26.35                   ,154.06                  ,20.49       ,-57.47          ,10.56                ,5.74                           ,4.84                      ,2.52                         ,3.97            ,5.26                    ,5.81         ,3.93                ,372.71  ,-20.36               ,41.85                     ,4.15    ,5.81                 ,                        4.9  ,             8.85 ,0.52                 ,- -          ,25.2              ,-11800       ,1.11                            ,0.94         ,5.81                       ,0.53               ,   12.74 ,11.69              ,-4.42                        ,-22.06        ,289.81                ,-1.04               ,29.55      ,                       1.6  ,-30.45         ,- -                      ,-176.3                   ,-18.6                          ,-9.24                 ,-520.93                     ,0.25                           ,          3.5  ,-6.14          ,-77.81                      ,2905                           ,243.75              ,-9.24                ,128.76         ,45.14                ,-37.02                  ,0.30190492972588157
 2 ,2012 ,23.28                    ,26.02           ,18.93        ,- -                        ,- -                    ,14.92                   ,108.61                      ,-9.37         ,-5.95                       ,29.28                     ,-19.84            ,29.5                        ,-19.98              ,21.23  ,-1.67             ,14.92  ,14.92  ,-3.53            ,-6.79                ,-15.94            ,-19.32             ,1.97               ,               30.9  ,-23.61                         ,-32.51                  ,39.98                   ,102.96      ,130.73          ,47.12                ,60.7                           ,63.8                      ,87.5                         ,190.98          ,86.42                   ,82.09        ,58.36               ,79.53   ,130.16               ,81.42                     ,94.61   ,71.1                 ,                       83.97 ,            83.61 ,85.87                ,- -          ,0.85              ,30.77        ,79.85                           ,79.46        ,82.09                      ,58.08              ,  106.96 ,15.32              ,-21.19                       ,-18.91        ,88.68                 ,52.8                ,3.97       ,                      30.9  ,102.24         ,- -                      ,-99.36                   ,42.81                          ,25.82                 ,3.87                        ,39.76                          ,         31.83 ,73.07          ,- -                         ,-77.79                         ,-255.91             ,25.82                ,-63.29         ,-8.1                 ,37.8                    ,-0.12088452596059751
 3 ,2013 ,27.04                    ,20.56           ,37.95        ,- -                        ,- -                    ,47.72                   ,10.58                       ,69.87         ,60.77                       ,23                        ,22.55             ,22.78                       ,22.77               ,36.65  ,7.56              ,47.72  ,47.72  ,8.59             ,16.27                ,18.65             ,26.76              ,1.54               ,               21.76 ,-12.07                         ,5.41                    ,10.6                    ,0.84        ,12              ,3.89                 ,1.36                           ,2.57                      ,16.87                        ,-3.94           ,0.51                    ,0.81         ,0.93                ,-29.37  ,-7.65                ,-13.81                    ,4.95    ,0.5                  ,                        3.08 ,             0.75 ,0.22                 ,- -          ,25.09             ,30.39        ,0.91                            ,0.91         ,0.81                       ,0.28               ,    1.28 ,0.36               ,1.02                         ,20.54         ,-3.6                  ,0.23                ,50.17      ,                      21.76 ,70.36          ,- -                      ,30166.67                 ,21.7                           ,0.45                  ,-148.94                     ,-19.67                         ,         24.89 ,-16.95         ,- -                         ,-597                           ,-111.22             ,0.45                 ,-433.07        ,21.87                ,-19.26                  ,-0.1659796286651276
 4 ,2014 ,-1.09                    ,-0.9            ,-1.36        ,- -                        ,- -                    ,-6.76                   ,-21.98                      ,-0.84         ,-2.01                       ,0.14                      ,-29.44            ,0.14                        ,-29.44              ,-0.92  ,0.17              ,-6.76  ,-6.76  ,-0.27            ,-5.73                ,-28.57            ,-2.47              ,1.96               ,                8.61 ,31.78                          ,35.64                   ,-8.02                   ,6.43        ,22.09           ,10.07                ,0.8                            ,1.7                       ,6.92                         ,12.93           ,4.53                    ,5.03         ,-3.67               ,80.8    ,14.45                ,29.95                     ,-2.86   ,18.02                ,                        5.71 ,             8.57 ,0.1                  ,- -          ,-14.85            ,36.09        ,-1.1                            ,-1.23        ,5.03                       ,0.14               ,    1.9  ,3.17               ,-7.41                        ,-15.3         ,11                    ,1.42                ,-29.41     ,                       8.61 ,29.31          ,- -                      ,-33.81                   ,3.2                            ,-2.57                 ,-172.83                     ,7.93                           ,          2.1  ,39.85          ,-62.69                      ,-48.91                         ,594.81              ,-2.57                ,40.42          ,22.29                ,46.05                   ,0.14957876645639034
 5 ,2015 ,-0.61                    ,-2.89           ,2.75         ,- -                        ,- -                    ,4.91                    ,8.17                        ,3.91          ,4.57                        ,-1.84                     ,52.35             ,-1.84                       ,52.35               ,4.12   ,4.76              ,4.91   ,4.91   ,3.39             ,5.55                 ,50.47             ,-3.49              ,2.79               ,                3.02 ,-81.19                         ,-81.19                  ,-18.13                  ,8.3         ,-41.8           ,-28.1                ,5.33                           ,5.38                      ,7.11                         ,-0.91           ,3.53                    ,0.5          ,-6.35               ,6.35    ,1.36                 ,1.49                      ,-0.59   ,5.67                 ,                        2.28 ,             2.17 ,-3.65                ,- -          ,27.44             ,48.43        ,-2.81                           ,-2.76        ,0.5                        ,-2.69              ,    4.39 ,7.35               ,-4.35                        ,-29.16        ,3.98                  ,2.98                ,49.87      ,                       3.02 ,-69.91         ,- -                      ,-52.91                   ,1.73                           ,25.67                 ,-104.48                     ,-1.79                          ,          0.9  ,-0.68          ,-6032                       ,283.78                         ,-320.37             ,25.67                ,-105.49        ,-25.79               ,-31.97                  ,-0.1004537855647798
 6 ,2016 ,1.66                     ,0.61            ,3.14         ,- -                        ,- -                    ,0.76                    ,17.28                       ,-4.5          ,-2.86                       ,-0.43                     ,-23.25            ,-0.43                       ,-23.25              ,3.49   ,1.8               ,0.76   ,0.76   ,1.45             ,-0.89                ,-24.83            ,3.04               ,3.91               ,                7.39 ,2.35                           ,2.35                    ,16.84                   ,-5.98       ,-23.26          ,-3.4                 ,11.85                          ,10.33                     ,12.75                        ,7.15            ,10.54                   ,9.58         ,27.2                ,-15.07  ,6.47                 ,1.32                      ,23.71   ,4.37                 ,                       14.55 ,            12.7  ,2.04                 ,- -          ,-7.02             ,-88.46       ,3.29                            ,3.19         ,9.58                       ,1.74               ,   18.69 ,15.02              ,-15.43                       ,-4.66         ,-17.46                ,-1.34               ,-23.35     ,                       7.39 ,22.82          ,- -                      ,-153.36                  ,2.43                           ,16.78                 ,2666.67                     ,118.46                         ,          3.46 ,120.6          ,-149.29                     ,-263.37                        ,-64.89              ,16.78                ,1472.73        ,-1.75                ,34.04                   ,0.03901302038323484
 7 ,2017 ,3.61                     ,-1.43           ,10.49        ,- -                        ,- -                    ,13.21                   ,10.56                       ,14.25         ,19.08                       ,1.3                       ,40.32             ,1.3                         ,40.32               ,9.39   ,5.57              ,13.21  ,13.21  ,6.64             ,9.26                 ,37.19             ,2.68               ,3.71               ,                4.28 ,-8.67                          ,-8.67                   ,4.92                    ,-7.72       ,39.84           ,5.15                 ,4.69                           ,4.92                      ,16.02                        ,-0.78           ,3.8                     ,3.88         ,6.13                ,12.51   ,3.21                 ,8.06                      ,7.59    ,0.19                 ,                        4.4  ,             4.86 ,0.13                 ,- -          ,26.38             ,-27.96       ,1.72                            ,1.7          ,3.88                       ,- -                ,    8.19 ,6.39               ,-1.16                        ,-2.69         ,-22.13                ,0.91                ,41.2       ,                       4.28 ,12.39          ,- -                      ,-914.57                  ,-3.48                          ,1.91                  ,-67.47                      ,-26.77                         ,          5.06 ,-36.14         ,- -                         ,-58.08                         ,-91.3               ,1.91                 ,37.57          ,10.04                ,-32.1                   ,-0.06464210180429819
 8 ,2018 ,4.06                     ,8.24            ,-1.02        ,- -                        ,- -                    ,-11.96                  ,30.38                       ,-27.97        ,-14.5                       ,1.14                      ,-13.83            ,1.14                        ,-13.83              ,-0.53  ,-4.41             ,-11.96 ,-11.96 ,-4.88            ,-15.39               ,-16.25            ,0.52               ,-0.28              ,               16.07 ,23.46                          ,23.46                   ,12.98                   ,-5.11       ,47.46           ,14.92                ,6.14                           ,5.39                      ,-1.73                        ,3.04            ,4.8                     ,5.42         ,12.24               ,26.06   ,21.85                ,20.5                      ,4.26    ,2.12                 ,                        3.37 ,             5.59 ,5.16                 ,- -          ,3.32              ,37.31        ,4.98                            ,5.02         ,5.42                       ,3.86               ,    4.57 ,-0.43              ,3.21                         ,-4.63         ,-20.02                ,3.52                ,-13.71     ,                      16.07 ,41.4           ,- -                      ,-1.95                    ,8.48                           ,16.6                  ,-155.56                     ,19.17                          ,          0.86 ,-20.16         ,151.44                      ,66.11                          ,-338.89             ,16.6                 ,54.27          ,-8.26                ,24.48                   ,0.13653132490213882
 9 ,2019 ,2.28                     ,-3.37           ,9.78         ,- -                        ,- -                    ,10.22                   ,-23.54                      ,33.32         ,36.3                        ,2.97                      ,35.04             ,2.97                        ,35.04               ,10.22  ,7.77              ,10.22  ,10.22  ,7.34             ,7.77                 ,37.46             ,6.86               ,4.86               ,               10.22 ,-29.64                         ,-29.64                  ,-2.36                   ,4.8         ,-16.18          ,-5.67                ,13.19                          ,10.93                     ,23.95                        ,-0.11           ,10.32                   ,9.25         ,-3.87               ,-7.92   ,11.94                ,-1.92                     ,10.36   ,12.22                ,                       11.12 ,             9.19 ,0.21                 ,- -          ,31.96             ,41.3         ,6.86                            ,9.39         ,9.25                       ,0.83               ,    7.77 ,-1.48              ,-1.7                         ,-3.82         ,-7.88                 ,-4.29               ,35.06      ,                      10.22 ,-63.5          ,- -                      ,-23.55                   ,14.24                          ,18.46                 ,-66.67                      ,18.86                          ,          7.97 ,29.75          ,-79.11                      ,26.01                          ,-120.93             ,18.46                ,32.23          ,-7.06                ,-18.74                  ,-0.18589843131416695
10 ,2020 ,-6.83                    ,-11.14          ,-1.79        ,- -                        ,- -                    ,-2.93                   ,187.19                      ,-77.54        ,-69.56                      ,1.1                       ,-66.11            ,1.23                        ,-66.16              ,1.31   ,8.74              ,-2.93  ,-2.93  ,5.41             ,4.19                 ,-60.57            ,-2.57              ,4.25               ,                5.99 ,-16.72                         ,-16.72                  ,3.04                    ,-2.01       ,-17.85          ,-5.25                ,4.36                           ,5.06                      ,-0.01                        ,-1.37           ,2.69                    ,2.23         ,-6.32               ,13.3    ,24.78                ,10.53                     ,0.97    ,0.54                 ,                        0.79 ,             2.09 ,7.06                 ,- -          ,-39.85            ,82.31        ,2.44                            ,2.57         ,2.23                       ,4.91               ,    2.51 ,-0.06              ,2.02                         ,-14.27        ,19.47                 ,-4.37               ,-69.7      ,                       5.99 ,636.72         ,- -                      ,-41.32                   ,7.88                           ,-10.92                ,1140                        ,-11.32                         ,          5.4  ,24.72          ,614.84                      ,-53.59                         ,-5.56               ,-10.92               ,-63.92         ,3.98                 ,193.64                  ,-0.11487478493280379
11 ,2021 ,5.37                     ,5.41            ,5.33         ,- -                        ,- -                    ,5.47                    ,-59.94                      ,333.8         ,241.87                      ,4.34                      ,186.91            ,4.2                         ,187.3               ,4.35   ,-0.97             ,5.47   ,5.47   ,-0.04            ,0.1                  ,169.34            ,5.1                ,6.13               ,                3.23 ,31.66                          ,31.66                   ,11.7                    ,-1.77       ,41.04           ,14.49                ,-1.51                          ,-0.86                     ,7.77                         ,19.23           ,3.87                    ,4.43         ,15.11               ,-3.32   ,-15.25               ,-2.29                     ,7.76    ,3                    ,                        5.8  ,             4.63 ,1.38                 ,- -          ,32.13             ,27.85        ,2.78                            ,3.97         ,4.43                       ,- -                ,    5.45 ,1.43               ,1.87                         ,17.18         ,-2.53                 ,0.25                ,230.78     ,                       3.23 ,-109.72        ,- -                      ,25.14                    ,-6.39                          ,-1.94                 ,-108.06                     ,3.12                           ,         10.74 ,12.73          ,-99.82                      ,50.72                          ,111.76              ,-1.94                ,35.59          ,25.5                 ,-67.02                  ,-0.0778139546365304
