   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA   ,EBIT    ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,30.26                    ,22.1            ,34.7         ,-13.12                     ,- -                    ,120.98                  ,-94.27                      ,-178.83       ,-184.74                     ,-0.9                      ,-285.21           ,-0.68                       ,-284.79             ,50.77  ,15.75             ,120.98  ,120.98  ,3.41             ,69.65                ,-240.91           ,40.68              ,-0.16              ,-8.44                ,251.34                         ,343.65                  ,-0.5                    ,- -         ,44.77           ,85.66                ,4.72                           ,5.62                      ,- -                          ,15.62           ,2.54                    ,10.92        ,20.09               ,26.47   ,10.17                ,20.54                     ,-34.68  ,18.02                ,-11.86                       ,-3.13             ,-14.12               ,-4.44        ,56.08             ,27.08        ,23.65                           ,23.65        ,10.92                      ,-3.4               ,-58.33   ,-66.3              ,20.92                        ,54.02         ,-23.88                ,-7.41               ,-265.27    ,-8.44                       ,-124.83        ,- -                      ,-301.43                  ,15.64                          ,32.73                 ,-2171.43                    ,-97.91                         ,-1.06          ,- -            ,- -                         ,-358.45                        ,287.33              ,32.73                ,602.82         ,-15.95               ,-163.01                 ,-0.04964173160670704
 1 ,2011 ,15.14                    ,33.5            ,6.07         ,3.91                       ,- -                    ,17.89                   ,-5.26                       ,20.24         ,-8.53                       ,-6.36                     ,10.41             ,-6.12                       ,10.13               ,17.43  ,1.98              ,17.89   ,17.89   ,-7.88            ,2.39                 ,-10.21            ,10.71              ,5.66               ,16.48                ,134.41                         ,93.82                   ,17.64                   ,- -         ,-45.53          ,67.51                ,26.06                          ,10.8                      ,- -                          ,-8.83           ,16.22                   ,24.87        ,10.26               ,110.44  ,-5.47                ,47.02                     ,56.3    ,32.4                 ,42.44                        ,43.97             ,-37.15               ,-6.98        ,37.25             ,-10.51       ,11.31                           ,11.31        ,24.87                      ,-6.44              ,52.86    ,37.33              ,-10.49                       ,13.93         ,-26.21                ,4                   ,3.38       ,16.48                       ,-63.35         ,- -                      ,-2.48                    ,13.62                          ,16.34                 ,836.55                      ,4941.07                        ,-1.07          ,268.69         ,99.66                       ,-154.48                        ,0.31                ,16.34                ,31.26          ,-35.29               ,9.9                     ,-0.2028656914120639
 2 ,2012 ,-16.99                   ,1.89            ,-28.72       ,18.29                      ,- -                    ,-53.39                  ,623.98                      ,-107.39       ,-108.67                     ,-2.91                     ,-104.51           ,-3.38                       ,-104.53             ,-27.76 ,-12.98            ,-53.39  ,-53.39  ,-14.14           ,-43.85               ,-105.28           ,-24.27             ,20.04              ,25.04                ,-1.11                          ,-16.53                  ,-11.95                  ,7.84        ,-13             ,-3.59                ,10.26                          ,10.7                      ,- -                          ,0.01            ,7.99                    ,5.37         ,2.42                ,-16.32  ,-21.21               ,-10.91                    ,41.65   ,8.74                 ,23.91                        ,11.99             ,5.13                 ,2.5          ,-3.25             ,12.44        ,-0.71                           ,-0.71        ,5.37                       ,0.57               ,65.85    ,67.03              ,-7.09                        ,8.21          ,-16.36                ,9.62                ,-104.38    ,25.04                       ,-635.03        ,- -                      ,-106.91                  ,-20.37                         ,9.17                  ,-38.14                      ,33.3                           ,16.55          ,-46.06         ,- -                         ,-3.67                          ,-141.47             ,9.17                 ,149.54         ,-17.16               ,-1918.28                ,-0.2833606881803177
 3 ,2013 ,9.43                     ,7.22            ,11.39        ,-10.84                     ,- -                    ,20.7                    ,-0.77                       ,-147          ,-89.19                      ,0.5                       ,-90.34            ,0.5                         ,-90.34              ,8.37   ,-0.97             ,20.7    ,20.7    ,1.79             ,10.3                 ,-91.13            ,5.72               ,6.87               ,-1.1                 ,-13.09                         ,30.82                   ,29.24                   ,- -         ,-48.11          ,-10.77               ,4.14                           ,5.91                      ,- -                          ,-8.72           ,1.5                     ,-1.04        ,-8.45               ,27.5    ,-6.36                ,10.86                     ,-5.9    ,2.33                 ,-2.01                        ,1.5               ,2.47                 ,- -          ,-2.33             ,-28.4        ,-3.66                           ,-3.66        ,-1.04                      ,- -                ,-15      ,-11.77             ,-3.08                        ,-19.51        ,-13.84                ,3.51                ,-90.29     ,-1.1                        ,21.55          ,- -                      ,-768.42                  ,9.69                           ,-96.89                ,-378.93                     ,-46.86                         ,7.41           ,-30.39         ,- -                         ,-98.77                         ,-254.84             ,-96.89               ,-258.46        ,182.58               ,1029.76                 ,-0.08920567346081354
 4 ,2014 ,88.19                    ,122.55          ,58.79        ,37.28                      ,- -                    ,115.85                  ,-36.26                      ,2624.16       ,-8555                       ,0.75                      ,-8075.48          ,1.24                        ,-8036.29            ,66.06  ,-11.76            ,115.85  ,115.85  ,-15.62           ,14.7                 ,-4369.65          ,68.23              ,10.1               ,19.39                ,-75.6                          ,-75.6                   ,54.2                    ,- -         ,668.79          ,-18.83               ,27.59                          ,6.27                      ,- -                          ,22.07           ,26.57                   ,18.1         ,28.68               ,-64.78  ,232.75               ,-10.82                    ,23.55   ,9.84                 ,16.78                        ,8.57              ,8.06                 ,- -          ,7.92              ,-38.56       ,5.07                            ,28.5         ,18.1                       ,0.74               ,64.24    ,27.81              ,12.59                        ,-8.98         ,-75.78                ,11.86               ,-8555      ,19.39                       ,-53.51         ,- -                      ,129.92                   ,10.76                          ,2424.22               ,-97.57                      ,104.65                         ,10.92          ,139.14         ,-117.58                     ,-12070                         ,-412.77             ,2424.22              ,-108.51        ,-54.92               ,-101.38                 ,-0.11034666029757689
 5 ,2015 ,-32.82                   ,21.12           ,-97.49       ,40.85                      ,- -                    ,-126.6                  ,1072.54                     ,-589.23       ,-906.92                     ,0.49                      ,-898.55           ,- -                         ,-902.49             ,-71.76 ,-57.96            ,-126.6  ,-126.6  ,-96.27           ,-139.59              ,-1294.48          ,-32.82             ,2.09               ,21.18                ,56.08                          ,56.08                   ,-55.46                  ,- -         ,-76.11          ,-38.12               ,-47.47                         ,3.37                      ,- -                          ,-18.88          ,-42.39                  ,-41.84       ,-29.89              ,-31.84  ,-73.77               ,-44.48                    ,22.64   ,-63.53               ,-17.4                        ,-24.01            ,22.02                ,2.44         ,-89.29            ,-70.47       ,-67.27                          ,-58.28       ,-41.84                     ,2.2                ,9.61     ,162.74             ,-50.15                       ,11.46         ,-179.64               ,- -                 ,-906.92    ,21.18                       ,1013.35        ,49.69                    ,-104.79                  ,-18.65                         ,-82.87                ,- -                         ,-29.09                         ,2.59           ,-10.64         ,65.61                       ,-175.69                        ,-119.9              ,-82.87               ,-959.64        ,6.69                 ,-110.14                 ,-0.45896141865900364
 6 ,2016 ,-21.61                   ,-27.01          ,291.03       ,-27.49                     ,- -                    ,-81.08                  ,-94.37                      ,-93.37        ,-89.31                      ,24.57                     ,-93.43            ,24.57                       ,-93.43              ,-48.18 ,-33.89            ,-81.08  ,-81.08  ,398.85           ,-75.87               ,-89.55            ,3.47               ,-55.2              ,-60.42               ,-15.19                         ,-15.19                  ,22.71                   ,- -         ,-24.59          ,-6.19                ,7.68                           ,-35.61                    ,- -                          ,-31.31          ,-2.07                   ,-2.63        ,7.87                ,- -     ,30.74                ,-20.61                    ,-15.78  ,2.31                 ,-12.07                       ,-13.59            ,44.68                ,23.81        ,-103.87           ,358.26       ,17.38                           ,15.77        ,-2.63                      ,25.12              ,-23.57   ,-33.98             ,59.17                        ,18.16         ,36.75                 ,-24.24              ,-89.31     ,-60.42                      ,-95.34         ,-16.8                    ,71.43                    ,-69.38                         ,-23.31                ,- -                         ,-89.76                         ,-44.19         ,-55.05         ,116.35                      ,-166                           ,-131.97             ,-23.31               ,-82.83         ,372.18               ,273.99                  ,0.3535238276079178
 7 ,2017 ,-36.91                   ,-43.19          ,31.08        ,-25.43                     ,- -                    ,-153.71                 ,-89.17                      ,-103.04       ,-102.26                     ,2.56                      ,-182.91           ,2.56                        ,-182.91             ,-11.38 ,40.46             ,-153.71 ,-153.71 ,107.76           ,-185.13              ,-234.78           ,-35.62             ,-43.97             ,-36.68               ,34.86                          ,34.86                   ,-27.06                  ,- -         ,153.83          ,27.01                ,-28.97                         ,-11.91                    ,- -                          ,148.65          ,2.2                     ,5.46         ,-17.34              ,-88.22  ,141.07               ,26.72                     ,-33.53  ,90.79                ,-3.86                        ,1.15              ,1.33                 ,1.92         ,-1117.39          ,10.63        ,11.84                           ,10.86        ,5.46                       ,0.38               ,-48.48   ,-53.53             ,27.69                        ,0.23          ,64.29                 ,-2                  ,-173.94    ,-36.68                      ,-226.18        ,-37.93                   ,-58.33                   ,93.93                          ,-94.82                ,233.33                      ,270.2                          ,-42.53         ,10.77          ,-65.9                       ,-100.75                        ,-347.93             ,-94.82               ,340.09         ,-25.36               ,-328.06                 ,-0.2816075596921245
 8 ,2018 ,36.84                    ,25.08           ,91.95        ,-11.01                     ,- -                    ,881.58                  ,389.29                      ,2260          ,2063.64                     ,-5                        ,259.16            ,-4.42                       ,256.99              ,134.48 ,71.35             ,881.58  ,881.58  ,40.27            ,617.32               ,149.34            ,131.21             ,23.5               ,21.83                ,-8.63                          ,-8.63                   ,-17.9                   ,- -         ,4.4             ,-7.39                ,-41.98                         ,-12.26                    ,- -                          ,-38.64          ,-40.55                  ,-35.3        ,-22.76              ,40.87   ,-48.58               ,-32.85                    ,-36.41  ,-36.41               ,-36.41                       ,-35.68            ,-38.65               ,-15.09       ,419.94            ,-11.92       ,-0.73                           ,-34.87       ,-35.3                      ,-14.48             ,-51.68   ,-25.81             ,-0.64                        ,37.92         ,-76.44                ,-40.82              ,199.07     ,21.83                       ,217.82         ,8.73                     ,-1680                    ,-7.05                          ,25                    ,- -                         ,-147.98                        ,17.32          ,- -            ,-690.02                     ,-46800                         ,-161.75             ,25                   ,-7.54          ,-44.86               ,-72.76                  ,-0.3885038268258174
 9 ,2019 ,-30.08                   ,-17.85          ,-67.46       ,-17.25                     ,- -                    ,-89.28                  ,-50.91                      ,-111.55       ,-111.06                     ,-18.83                    ,-114.27           ,-19.32                      ,-114.36             ,-39.08 ,-12.87            ,-89.28  ,-89.28  ,-53.46           ,-84.66               ,-116.57           ,12.65              ,15.75              ,21.91                ,-39.35                         ,-39.35                  ,8.25                    ,- -         ,24.53           ,-13.21               ,4.42                           ,-33.39                    ,- -                          ,-84.55          ,-34.79                  ,-29.89       ,-7.51               ,- -     ,-5.3                 ,-13.43                    ,5.73    ,-65.51               ,-28.01                       ,-24.88            ,-38.8                ,-15.56       ,-13.75            ,-111.59      ,-36.84                          ,-35.55       ,-29.89                     ,-14.92             ,38.73    ,115.26             ,-11.08                       ,0.26          ,212.3                 ,-37.93              ,-110.95    ,21.91                       ,-136.19        ,-16.06                   ,-48.1                    ,-23.41                         ,-43.64                ,- -                         ,-12.7                          ,-6.04          ,- -            ,-37.45                      ,-13.42                         ,45.72               ,-43.64               ,-22.99         ,18.15                ,-761.05                 ,-0.12067764858165497
