   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA  ,EBIT   ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,6.44                     ,-2.77           ,9.63         ,3.75                       ,- -                    ,58.12                   ,-9.79                       ,100.85        ,112.7                       ,0.71                      ,117.45            ,1.52                        ,115.73              ,41.14  ,32.6              ,58.12  ,58.12  ,2.99             ,48.55                ,105.74            ,6.79               ,-7.17              ,                3.82 ,29.64                          ,29.64                   ,-12.55                  ,3.97        ,6.96            ,7.16                 ,-0.3                           ,                     1.95 ,-3.94                        ,-3.75           ,-2.19                   ,3.07         ,-17.04              ,-30.77  ,- -                  ,7.74                      ,-13.16  ,-10.93               ,-12.44                       ,-4.05             ,               24.66 ,3.85         ,            11.55 ,67.98        ,18.8                            ,18.11        ,3.07                       ,0.52               ,-80.66   ,-83.63             ,39.57                        ,-0.54         ,-13.86                ,-0.32               ,112.7      ,                       3.82 ,406.67         ,10.68                    ,-23.11                   ,37.46                          ,-3.29                 ,-101.14                     ,-17.11                         ,-6.51          ,- -            ,326.04                      ,-422.81                        ,-44.18              ,-3.29                ,64.85          ,34.57                ,-37.23                  ,0.5576415727658983
 1 ,2011 ,13.01                    ,5.88            ,15.2         ,12.43                      ,- -                    ,33.26                   ,-22.42                      ,48.99         ,45.9                        ,-0.35                     ,47.04             ,0.25                        ,46.15               ,28.29  ,13.52             ,33.26  ,33.26  ,1.94             ,17.92                ,29.65             ,9.16               ,36.14              ,               11.64 ,11.81                          ,11.81                   ,26.72                   ,20.45       ,15.16           ,18.12                ,11.67                          ,                    13.35 ,- -                          ,22.52           ,16.83                   ,17.59        ,16.95               ,489.74  ,15.32                ,23.6                      ,-10.37  ,1.77                 ,-6.36                        ,7.62              ,               21.44 ,- -          ,            15.5  ,-109         ,34.95                           ,34.68        ,17.59                      ,-0.22              ,-132.4   ,-124.06            ,20.96                        ,-4.44         ,4.8                   ,3.53                ,45.9       ,                      11.64 ,17.29          ,66.32                    ,-121.35                  ,7.35                           ,29.71                 ,-300                        ,115.67                         ,35.66          ,- -            ,48.71                       ,-22.9                          ,-60.25              ,29.71                ,-1.47          ,69.94                ,-26.73                  ,0.4051472723691807
 2 ,2012 ,10.26                    ,3.04            ,12.29        ,11.03                      ,- -                    ,18.41                   ,-12.59                      ,22.97         ,22.26                       ,-1.35                     ,23.94             ,-1.34                       ,23.94               ,14.82  ,4.14              ,18.41  ,18.41  ,1.84             ,7.4                  ,10.9              ,-7.5               ,39.72              ,                0.48 ,7.56                           ,7.56                    ,12.13                   ,-1.21       ,-5.85           ,4.57                 ,7.76                           ,                     3.71 ,- -                          ,4.28            ,5.82                    ,5.09         ,6.69                ,58.7    ,2.13                 ,9.39                      ,-1.02   ,7.8                  ,2.14                         ,6.03              ,               15.72 ,103.7        ,            15.75 ,-1302.82     ,3.95                            ,3.8          ,5.09                       ,-1.44              ,70.77    ,64.53              ,1.69                         ,-4.4          ,0.74                  ,19.2                ,22.26      ,                       0.48 ,-55.13         ,31.54                    ,71.43                    ,9.71                           ,19.86                 ,- -                         ,-29.43                         ,37.84          ,- -            ,49.45                       ,86.87                          ,5.89                ,19.86                ,4.44           ,-11.03               ,-10.28                  ,-0.05493527411276755
 3 ,2013 ,4.82                     ,1.51            ,5.68         ,4.3                        ,- -                    ,11.9                    ,-36.62                      ,16.98         ,18.98                       ,-0.28                     ,19.35             ,-0.53                       ,19.64               ,12.25  ,7.09              ,11.9   ,11.9   ,0.82             ,6.76                 ,13.54             ,0.39               ,106.07             ,               13.89 ,10.98                          ,10.98                   ,10.51                   ,13.25       ,11.31           ,11.47                ,9.65                           ,                     8.73 ,- -                          ,-0.58           ,4.02                    ,8.38         ,0.52                ,-91.64  ,0.44                 ,-8.99                     ,24.03   ,-10.44               ,10.99                        ,-0.06             ,               14.11 ,1.82         ,            12.58 ,-26.02       ,20.26                           ,20.18        ,8.38                       ,-0.23              ,154.03   ,111.37             ,21.74                        ,22.48         ,10.78                 ,4.42                ,18.98      ,                      13.89 ,163.93         ,16.92                    ,261.63                   ,8.84                           ,9.58                  ,2000                        ,8.69                           ,105.49         ,67.52          ,-34.59                      ,4.51                           ,31.77               ,9.58                 ,8.4            ,12.98                ,-8.55                   ,-0.023959118872115104
 4 ,2014 ,7.73                     ,6.53            ,8.03         ,5.9                        ,- -                    ,17.06                   ,-42.7                       ,20.44         ,18.1                        ,-0.36                     ,18.5              ,-0.46                       ,18.61               ,16.54  ,8.18              ,17.06  ,17.06  ,0.28             ,8.66                 ,9.6               ,2.14               ,-27.74             ,               14.16 ,8.92                           ,8.92                    ,17.72                   ,16.17       ,1.34            ,12.29                ,11.25                          ,                     9.37 ,11.48                        ,2.01            ,6.87                    ,10.13        ,5.87                ,0.55    ,8.05                 ,6.31                      ,-0.1    ,6.06                 ,1.78                         ,4.06              ,               11.88 ,- -          ,            16.81 ,-36.32       ,17.28                           ,17.19        ,10.13                      ,-1.32              ,88.9     ,61.2               ,11.94                        ,5.62          ,14.44                 ,5.47                ,18.1       ,                      14.16 ,85.12          ,4.66                     ,-6.24                    ,25.19                          ,10.67                 ,85.71                       ,9.9                            ,-28.01         ,- -            ,72.09                       ,40.13                          ,11.65               ,10.67                ,33.93          ,-6.96                ,6.03                    ,-0.09050639794214543
 5 ,2015 ,-1.72                    ,-2.7            ,-1.48        ,1.26                       ,- -                    ,-11.99                  ,-6.05                       ,-12.15        ,-9.52                       ,-1.79                     ,-7.91             ,-1.88                       ,-7.82               ,-8.79  ,-7.2              ,-11.99 ,-11.99 ,0.24             ,-10.44               ,-7.98             ,-5.3               ,18.08              ,                6.34 ,-6.38                          ,-37.3                   ,-14.85                  ,-6.04       ,-48.7           ,-13.3                ,-0.83                          ,                     1.41 ,2990.44                      ,39.64           ,32.85                   ,4.55         ,4.24                ,61.96   ,-1.05                ,3.55                      ,20.41   ,37.17                ,25.74                        ,14.33             ,               12.03 ,1.79         ,            11.78 ,280.36       ,-5.49                           ,-5.56        ,4.55                       ,-2.09              ,-311.01  ,-323.43            ,-21.84                       ,-16.27        ,-6.49                 ,3.77                ,-9.52      ,                       6.34 ,-33.48         ,8.13                     ,-278.7                   ,26.56                          ,-7.29                 ,-11664.1                    ,215.87                         ,15.97          ,-41.05         ,47.33                       ,4.45                           ,-440.73             ,-7.29                ,43.41          ,-4                   ,39.94                   ,0.17713334398486835
 6 ,2016 ,4.47                     ,3.86            ,4.62         ,3.73                       ,- -                    ,8.53                    ,317.78                      ,-0.38         ,2.47                        ,-2.45                     ,4.96              ,-2.36                       ,4.86                ,7.1    ,2.51              ,8.53   ,8.53   ,0.14             ,3.89                 ,-1.99             ,-0.07              ,23.89              ,                1.47 ,-9.32                          ,-10.51                  ,7.11                    ,3.96        ,19.31           ,0.99                 ,6.23                           ,                     6.05 ,163.62                       ,8.17            ,23.61                   ,12.11        ,12.73               ,1014.09 ,8.78                 ,25.88                     ,19.74   ,23.27                ,20.97                        ,23.26             ,               10.07 ,5.26         ,             9.84 ,42.86        ,-1.95                           ,-1.84        ,12.11                      ,-1.9               ,120.05   ,124.18             ,-18.5                        ,-19.77        ,-13.05                ,4.55                ,2.47       ,                       1.47 ,18.68          ,11.52                    ,-58.45                   ,-7.93                          ,10.99                 ,-28.71                      ,-21.47                         ,20.86          ,109.52         ,-9.46                       ,-32.4                          ,-85.04              ,10.99                ,-14.01         ,5.62                 ,-10.07                  ,-0.2143436289478765
 7 ,2017 ,4.99                     ,11.6            ,3.4          ,1.66                       ,- -                    ,10.73                   ,66.49                       ,3.99          ,12.04                       ,-0.78                     ,12.9              ,-0.96                       ,13.1                ,10.94  ,5.66              ,10.73  ,10.73  ,-1.51            ,5.47                 ,6.69              ,4.99               ,15.8               ,               11.81 ,25.89                          ,24.29                   ,10.89                   ,17.01       ,9.06            ,17.49                ,5.56                           ,                     5.87 ,-7.4                         ,69.35           ,32.13                   ,25.43        ,14.47               ,-43.07  ,3.57                 ,5.3                       ,77.12   ,-8.13                ,46.97                        ,27.15             ,               12.57 ,- -          ,             9.87 ,-11.19       ,22.73                           ,22.72        ,25.43                      ,0.09               ,83.43    ,49.47              ,-47.14                       ,11.58         ,2.56                  ,- -                 ,12.04      ,                      11.81 ,-45.37         ,19.02                    ,-92.41                   ,0.06                           ,-4                    ,-93.62                      ,73.68                          ,14.89          ,143.18         ,-53.6                       ,-204.13                        ,-354.12             ,-4                   ,1.74           ,6.83                 ,-10.68                  ,0.492646036040314
 8 ,2018 ,15.72                    ,16.84           ,15.43        ,14.65                      ,- -                    ,18.45                   ,-2.24                       ,22.45         ,-11.07                      ,0.25                      ,-11.51            ,0.72                        ,-11.93              ,17.67  ,1.68              ,18.45  ,18.45  ,-0.25            ,2.35                 ,-23.34            ,15.72              ,12.07              ,               14.44 ,55.94                          ,91.99                   ,6.59                    ,9.4         ,-0.29           ,24.25                ,9.1                            ,                    10.35 ,-17.84                       ,-4.45           ,-3.1                    ,8.64         ,19.08               ,-3.17   ,17.24                ,17.25                     ,-0.65   ,23.54                ,4.7                          ,9.64              ,               11.58 ,- -          ,             6.96 ,-10.33       ,6.93                            ,7            ,8.64                       ,-0.26              ,-44.05   ,-47.71             ,15.66                        ,5.97          ,-18.55                ,- -                 ,-11.07     ,                      14.44 ,493.22         ,7.76                     ,5027.27                  ,43.13                          ,24.8                  ,-760.98                     ,-83.76                         ,12.35          ,- -            ,83.78                       ,-286.03                        ,377.78              ,24.8                 ,50.31          ,8.66                 ,61.34                   ,0.09613088323500019
 9 ,2019 ,8.62                     ,19.09           ,5.88         ,3.55                       ,- -                    ,14.57                   ,1.96                        ,16.52         ,60.61                       ,-1.22                     ,63.1              ,-1.41                       ,63.41               ,12.74  ,3.79              ,14.57  ,14.57  ,-2.53            ,5.47                 ,48.31             ,4.1                ,12.92              ,                4.9  ,10.02                          ,36.96                   ,23.13                   ,23.98       ,11.49           ,16.93                ,13.44                          ,                     8.93 ,-79                          ,-0.91           ,-7.11                   ,4.69         ,27.28               ,181.97  ,45.1                 ,39.12                     ,-13.84  ,4.89                 ,-8.95                        ,11.3              ,               10.83 ,- -          ,            10.44 ,29.72        ,-6.44                           ,-6.35        ,4.69                       ,-1.65              ,-68.82   ,-66.71             ,-17.48                       ,-15.96        ,-6.1                  ,4.35                ,60.61      ,                       4.9  ,-52            ,2.97                     ,-100.35                  ,-1.76                          ,18.28                 ,348.34                      ,-232.12                        ,11.54          ,- -            ,104.87                      ,85.41                          ,-20.83              ,18.28                ,-8.28          ,22.33                ,-39.02                  ,0.31466068520299895
